pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Sep 11 2009 	 never 	 would never advise one stay take 30th birthday romantic weekend find give single bed tell double bed make push together . offer book include dinner first night like back school breakfast exactly would not ever go stay advise one else . 
 Sep 9 2009 	 Good Location excellent value 	 stay 3 night , room bathroom clean comfortable quiet noise corridor , hotel large breakfast room get really busy peak time notice warn . english breakfast fancy plenty food much want . hotel good spot easy tube , bus usually couple taxi be wait outside . want somewhere really posh place excellent value money would stay . 
 Sep 8 2009 	 Hotel drab 	 hotel room small ok price . hotel drab big . breakfast like free allow stand long que ? know table vacant . we manage toast want get even though pay full English . anyway next day went find lovely cafe sit outside enjoy full english Breakfast £ 5 serve table . so Royal National either charge pound less room sort dining room . big busy / Regards June 
 Sep 6 2009 	 BEDBUGS ! ! ! ! 	 stay Royal National 2 night large group friend go Wembley Challenge Cup Final . first impression Hotel huge pack every nationality available . friend allocate twin room 6th floor . wake first day go stroll breakfast ( avoid restaraunt like cattle market ! ! ) go back room maid make one bed leave we note say routine maintenance mean change room . friend ask one maid ask problem bed not make ! , maid reply yes Bedbugs ! ! ! go reception ask say electrical fault change room another one floor . home 5 day ' m cover bite , see Doctor first thing say ' have stay hotel ' diagnose rash bite probably bed bug ! ' m try get touch rest thr group see anyone else suffer . 
 Sep 4 2009 	 nice 3 day would better another hotel 	 nice time london , do not think realise double bed royal national , check staff seem interested , room small , breakfast like school dinner hall free find bench . would never stay . sorry truth . 
 Sep 1 2009 	 well review 	 like reviewer look forward stay hotel book spur moment see short break advertised agent window come home read review think make major error .Wearrived saturday thing could well room clean food excellent breakfast good pot clear away quickly busy hotel leave entrance quiet shall definately back 
 Aug 31 2009 	 cleancomfortablebasic room great location reasonable price 	 read review dread stay here . do not put -the room clean , comfortable , least quiet . agree pillow could well . but that s bad thing could say place . there 1600 room 3000 people make lot noise . Central London lot traffic include bus , impossible central location noise . if not like lot people lot traffic stay somewhere else . 
 Aug 30 2009 	 well expect 	 read previous review really be not look forward stay London upon arrival pleasantly surprised . arrive around 12:30 could not check left case store room . trip plan 3 pm take walk around corner visit British Museum getting tube Tottenham Court Road across Victoria . go back hotel around 6 check room , staff appear foreign language barrier . allocate room 3003 overlook courtyard noisey night hotel could upgrade double glaze window . room clean bed comfy need well pillow . Tea & amp ; coffee facility available . allocate Windsor room breakfast include full english , bacon go egg , sausage etc good . 1st morning breakfast around 7:30am room fairly empty wide choice seat follow morning get around 8:45am like feed time zoo . take free meal poppadom express buffett resaurant really nice , naan bread pay soft drink little expensive . want leave case hotel check extra cost 50p per case . overall would stay , really close tube station 1 stop king Cross . do not put previous negative review remember get pay , want luxury stay somewhere else hotel ideal 2 night break . 
 Aug 30 2009 	 Good Value Money 	 travel Superbreak 13 year old Son plus Sister 17 year old Daughter addition Mother . like visitor read review dread stay Hotel . try change require triple room little choice persuade give try rest party . contact hotel beforehand email request adjoining room low floor receive response say would make every attempt accommodate request . arrive hotel around 12.30 could check 2.00 pm able leave luggage secure room . find staff friendly helpful ask we need advice direction . short walk around return hotel check 2.00 pm . give interconnect room first floor ( per request ) . room basic clean , although slide door toilet bathroom rather odd . package include evening meal , ok personally would bother stay , other seem thoroughly enjoy . however , pay break evening meal issue . Breakfast also include package although organge juice toast could full english breakfast want . other state Hotel busy , lot people coming go , however , experience unnecessary noise disturbance room . sum find hotel basic clean , good location close tube station , although either walk jump taxi . would hesitate recommend hotel would stay hotel . 
 Aug 27 2009 	 not put 	 read review hotel travel 2 day break family absolutely dread stay . however , find hotel bad previously review . location excellent access tube get we around London quickly . staff pleasent helpful . room small double bed , single bed temporary bed sqeeze . spend time room sleep , not problem we . pillow need renew though . room clean , bed clean bathroom clean . breakfast adequate choice cereal , toast , bread roll fruit . buffet style , could eat much want . tea , coffee , milk fruit juice also available . cook breakfast offer additional charge , look nice , although not try . however , not see people leave food . busy breakfast , however , could visit dining room 7 10 , plenty time get breakfast . go London cafe complimentry evening meal include stay , food good . choice place eat nearby , maybe bad luck choose place . local area Tesco local , Waitrose , shopping centre like Gap , New Look , pret manger , starbuks etc . also park close small , welcome green space hot day . overall , stay good , would use hotel part short break package . want spend time hotel room , may place stay , base see London good . 
 Aug 25 2009 	 good value clean busy 	 go Lonodn wife 2 day stay superbreak cost £ 103 pp include railtravel . see previous review , bit apprehensive . Checkin allow 2 pm allow store bag hotel foc arrival ( note charge 50p per bag storage day departure ) . go watch England win ashe party Park allocate room return 7pm- end corridor , problem noise . room clean tidy , overly hot , pillow little old . good choice channel tv . good powerful shower plenty clean towel , staff friendly helpful . our superbreak include voucher evening meal choice place , go Bedford hotel ( 5 min walk ) - busy , helpfuil waiter , good food - thai chicken chicken & amp ; bacon salad . good beer ( green king IPA reasonable price £ 2.30 ) . breakfast v busy , manage get table . breakfast expect mass catering consider footfall people . voucher , helpful lady till say could also cook breakfast well cereal , without prompt , hat . Eggs ok , sausage ok , tomatoe ok , bacon - like rubber , toast like elastic , tea good , coffee ok . consider price pay , minor point . interesting every person stay hotel seem spanish , do not know block booking . book another superbreak happy stay royal national . good location , far west end theatre . 
 Aug 24 2009 	 stay 	 stay hotel 2 night big dissapointment ; stay 5 year shabby clean shabby dirty . sheet clean bed dirty toilet also dirty also lot dust pipe radiater . dining room like canteen table clear vfood poor quality . good thing give voucher free meal use another hotel . 
 Aug 23 2009 	 great value 	 stay hotel 3 night surprise , site book , course think sholud change hotel , decide close go see show decide . glad room clean well lay , Staff friendly .as get voucher meal first night walk Bedford hotel eat .That good , waiter friendly chatty . would recommend hotel , stay hilton maidftone back june assure stay well . 
 Aug 21 2009 	 pay extra stay somewhere else 	 check take almost hour , breakfast awful make ill next two day . member staff loud aggressive argument black cab driver make lot people uncomfortable . security , anyone could walk without question , probably becuse size hotel . also cleaner come room 8:40am , would know reception room ben vacate come anyway ! would rather pay stay somewhere else . 
 Aug 20 2009 	 great hotel price 	 stay 1 night friend . large hotel facility include indian restaurant traditional pub plus swimming pool bowling alley nearby get discount price . suprise read poor review .. consider low price pay ( book hotel ba.com ) think clean excellent central location . 
 Aug 19 2009 	 unpleasant hotel experience ever 	 Noisy beyond belief . dirty room ( toilet actually leak ) . badly train staff clearly not want offer nothing way customer service . thoroughly unpleasant experience . would tempt price - simply not worth . 
 Aug 17 2009 	 far noisy young family 	 Location great , easy walk king Cross Mainline Russell Sq Underground station . English Buffet Breakfast good , ' complimentary 3 course Evening Meal ' anything complimentary , poor indeed . family room hot window open traffic noise intolerable . even window close still noisy wall thin , aware everything go next room . someone check next door 1.30am wake we , not settle till 3 am . guest speak comment quiet side hotel . will know another time , another time , hotel request quiet room far away traffic possible . would recommend buy Oyster Card trip Underground . 
 Aug 14 2009 	 chaotic shamble 	 would think large hotel would idea run thing consistently stuff thing . stay night various time recent stay UK . time stay , give room card check - in open room already occupant . occasion , room card would work would go back reception reactivate . last stay , book double tell arrival twin available nothing could . hotel busy staff rude . 
 Aug 14 2009 	 horrible hotel 	 first impression hotel favourable . busy . room clean thought would . use tea coffee facilite cheap tea bag . we go sister hotel President evening meal . like fawlty tower . meal good , staff not seem clue manner . crockery dirty . Breakfast National hotel appalling , enough table , eat filthy Cafe London , toast like rubber . pandemoneum . next day go breakfast . second night wake find man room use key get . obviously get wrong room appal someone would able get room . complain hardly even apolise . staff put case storage quite abrupt ill mannered . would never stay hotel . 
