Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Sep 19 2009 	 good city hotel excellent location 	 enjoy stay 3 night . lovely room modern decor good view Union Square . bed good quality pillow imaginable ailment . plenty storage space . loved coffee cookie guest reception . excellent . complaint would breakfast 2 morning . enjoy , lady staff lovely though . reception staff friendly helpful . 
 Sep 18 2009 	 great stay Chancellor San Francisco 	 hotel recommend friend - would happy sing praise & amp ; sundry . however problem billing ! ' ve return home ( Australia ) find credit card charge $ 243.91 aud ( $ 202.00 usd ) twice 7/9/09 $ 346.40 aud ( $ 288.76 usd ) 9/9/09 . quote 125.00 usd per night amount correct charge 3 time ? please contact we - wait anxiously reply . 
 Sep 16 2009 	 wonderful hotel central location . 	 spend two great week Chancellor Hotel , San Francisco July 09 . pleasant experience . location central , right Union Sq . hotel service top : staff friendly , courteous always helpful , concierge arrange trip information city environ ready ; tea / coffee lobby time bonus along internet service . the room ( perhaps little small side ) clean daily . complaint hope return time see rest wonderful city . Maurice & amp ; Breda . 
 Sep 16 2009 	 Great Location Great Hotel 	 Fantastic Hotel Heart San Francisco . staff helpful . accommodation excellent . recommend everyone . 
 Sep 15 2009 	 great hotel rate ! 	 wife stay Chancellor hotel one night go Sonoma Valley wine country . stay hotel receive good review Tripadvisor , expensive . get nice rate include parking , expensive San Fransisco . hotel good location 2 week away Union Square . probably good highlight hotel . hotel old receive upgrade hotel , atypical San Fransisco boutique . room extremely small decently clean . 's purpose , would recommend stay one day . wife stay San Fransisco mom sister trip wine country Orchard Hotel much well Chancellor hotel . would recommend stay hotel , one two block away Union Square . 
 Sep 14 2009 	 Nice Stay 	 Chancellor Hotel provide wife wonderful stay , right Union Square shopping person could want . room nice , 5th floor . room quite though overly plush ; comfortable . one drawback wc ( toilet ) loud flush . appear like would see public bathroom . service standard request save towle save water . tub hand big deep , great relaxing bath . in lobby tour stand , get setup tour , highly recommend hop hop give great access tourist location include drive across Golden Gate Bridge . also resturant hotel , open breakfast dinner , ok nothing special could not get else . atop Macy 's across Union Square Cheesecake Factory good average price . Union Square appear place shopping . overall good place stay , especially discount rate third party site . 
 Sep 12 2009 	 Brilliant stay 	 honestly fault Chancellor . from let we check 3 pm , room allocate , treatment receive stay , time check , everything brilliant . the hotel old bathroom room small , aware book , disappoint . these thing cause we problem though . it hot also , lack AC problem . fan , opening window , fine . the Chancellor 's main strength 's service location . every member staff encounter helpfull , time check leave ( Wes - be credit ! ) .Location perfect also , right corner Union Square , great access cable car , bus form public transport . the duck top ! be plan go San Francisco , first place consider stay . if find price , stay ! 
 Sep 12 2009 	 nice hotel 	 recently complete week long stay Chancellor . couple thing mention previous post true - smallish room A / C . know book anyway base price , location positive comment . glad . San Fran , receive attractive rate call directly , location great kind mass transit , service excellent staff friendly . one warm day stay bit uncomfortable couple hour . open bathroom main window get nice cross breeze . ceiling fan , tolerable . cool nicely sundown . twin room 3rd floor double - pan window work amazingly well block street noise . eat breakfast Luques restaurant two day find food excellent staff attentive friendly . friend Mao almost instantly ? ! definitely consider hotel ' m SF . 
 Sep 8 2009 	 good bad 	 mixed feeling hotel . location - wise , be spectacular . 's hop skip away market street public transportation locate . staff - wise , be flawless . staff super nice , always helpful . rely restaurant recommendation ( thank Mike ) , ride different public transportation attraction ( thank Rory Susan ) , simple hello every staff come across . thoughtful enough comp we small bottle wine anniversary , although not drink much , think count . also , hotel offer free coffee tea cookie whenever like . room problem . although cool SF , humidity make warm . alert ! HOTEL AC . already know book room . humidity combine lack ventilation hotel floor well room , make extra hot . something anticipate . also , room bathroom small . , already know reading review . not realize would bother much . bathroom small , be really easy & quot ; flood & quot ; floor since outlet water . really can not fault hotel since already warn advance . 's personal preference . one thing 's good room clean . overall , probably would not stay simply personally need big bathroom well temperature / humidity control room . not mind 2 thing , GREAT hotel . location service , can not find well place price . 
 Sep 7 2009 	 gem ! 	 hotel fantastic location right union square , 50th birthday put chocolate , wine & amp ; card room arrival ! room really nice , bright & amp ; traditional , could breakfast bed reasonable price , could choose approx 12 different pillow & quot ; pillow menu & quot ; ( yes really ! ) free tea , coffee , lemon juice & amp ; cookie reception 24/7 nothing much trouble front desk . only 1 downside .... air con room ! 
 Sep 7 2009 	 great location attention detail remarkable ! 	 book Chancellor hotel great location actually beat ! right Union Square good place stay San Francisco shopping , transport sightseeing tour . steep hill get hotel ! staff great , check - in give coupon , map , small guide book , info , etc . the room small , walk - in - closet plenty room 2 big suitcase . surprised attention detail hotel : flat screen tv , clean sheet , soap , lolly , soft toilet paper ! mean , nothing missing ! view Union square great ! room sound proof window ' hear thing street ! air / con guess ' need San Francisco . veeery hot , unusual city fan ok anyway . I one complain Luke restaurant inside hotel . partner $ 25 credit breakfast . omelette good , fried egg taste like pancake ! think cooked pan cook pancake ! change potato ( terrible be … ) go cold bacon . next day special steak … come ! ' steak morning ! ask pastry none even menu … .. set yogurt ( bowl … . ) juice white toast … all $ 7.50 find expensive … .I also order fruit aside include set … let ' say , ' bother eat breakfast Luke ' go somewhere else ! 
 Sep 6 2009 	 great location nice hotel 	 stay Chancellor week August . hotel location excellent , half block Union square , right Powell Street cable car route . hotel old one renovate , room smallish comfortable . spend little time hotel , leave early morning return dinner . room always clean well look . staff friendly helpful , pleasant clean hotel great location really nothing ordinary . price , San francisco , quite good . 
 Sep 4 2009 	 FABULOUS HOTEL STAFF 	 love Chancellor hotel Union square . locate perfect location shopping , sightseeing , dine public transportation . hotel provide clean comfortable room , everything look nice hotel . I love homemade cookie lobby every day . hope return San Francisco Chancellor hotel . 
 Sep 3 2009 	 Great Location 	 enjoy stay hotel . conviently locate close transit ( cable car , subway , light rail , bus ) . cable car go Fisherman 's Wharf go right front hotel . the staff extremely friendly . always greet smile . I stay queen room . room alittle small expect large enough . rubber ducky bathroom cute touch . hotel old , good condition . big tv person , may issue ; roughly 20 channel news station . not room enough really care . I read review complain air conditioning . first , say website . second , know anything part country , place A / c . temperature usually mild need . 
 Sep 1 2009 	 Great Location Great Staff difficult find almost worth . 	 drive place , know way around San Francisco good navigator . drive city make go mad drive big city , still test skill driver . Park buy MUNI pass ! ! ! great place we tourist . buy transit pass lobby learn system get Fisherman 's Wharf , Chinatown , North Beach , GO ! staff friendly helpful , room nice SMALL , location great . hotel nice , old , classic , need remodeling . 
 Aug 31 2009 	 happy repeat guest 	 Chancellor great hotel excellent location . stay several time always pleased . 
 Aug 31 2009 	 Cool Hotel . 	 spend three night hotel LOVED . start , staff friendly . nate front desk friendly accommodate Matthew ( one bellman ) sincerely nice helpful . aside , room funky . small , definitely plenty room lot character . cool view Union Square . reviewer say , cable car right doorstep great central location everything . definitely recommend hotel ! 
 Aug 31 2009 	 Loved ! 	 stay year ago ( mean write review soon ) family - own hotel really deserve . great location near Union Square - hill cable car start Market Street walk distance Nob Hill . travel solo feel safe indeed . nice room bathroom great breakfast room ( yummy blueberry pancake ! ) . hotel also provide free tea coffee lobby . reasonable rate helpful staff . would definitely stay . 
 Aug 28 2009 	 comfortable good value well situate 	 spend 3 night Chancellor , choose basis tripadvisor comment good advance deal expedia . highly satisfied would definitely stay . room comfortable clean ; staff could helpful , situation Powell perfect easy access either foot public transport ( cable car stop virtually outside door market st bus / streetcar stop 5 min walk away ) 
 Aug 27 2009 	 good bed ever sleep 	 stay honeymoon delighted room hotel . book online pay $ 100 aud night . great central location right across road union square . great restaurant next door also order breakfast hotel great big serve . also choose type pillow least 10 different type choose . really enjoy stay ! ! ! ! 
 Aug 27 2009 	 Excellent location relax clean unique ! 	 stay hotel 3 night . arrive early room ready ! first part honeymoon greet free champagne - lovely touch . room clean good size staff helpful . location fantastic - right union square room amazing view ! 
 Aug 27 2009 	 will back ! 	 stay 3 night Chancellor San Francisco everything live expectation : great staff ( get impression really like work ) , excellent room ( 2 room ) great bed , excellent breakfast . hotel locate right center . come San Francisco Chancellor top list . 
 Aug 26 2009 	 Brilliant 	 stay Chancellor first 3 night honeymoon ( explore California beyond ) . great find , brilliantly locate right heart city street car stop right outside . really friendly staff , particular bar staff full top tip head travel . can not fault hotel location , cleanliness friendliness . 
 Aug 25 2009 	 stay ! 	 stay Chancellor recently 3 night . find . can not beat location . staff helpful suite 14th floor great 2 bathroom great view . room not ready arrive go Powell cafe lunch . be pretty low maintenance hotel guest prefer research sightseeing , restaurant , etc everyone hotel pleasant Alice housekeeping Matthew help we luggage check . hotel be around since 1914 , Chancellor keep good condition comfortable , quality feel . not know reviewer mean thin wall , not hear peep guest . room update well flat screen tv free wireless internet . can not wait return ! 
 Aug 25 2009 	 impeccable hotel 	 time return San Francisco , plan stay Chancellor . 's classy without snooty , everyone work act like like actually enjoy job . room clean simple comfortable bed nice amenity -- free wireless internet access definite plus ! perfect location Union Square . reason would hesitate recommend Chancellor not want competition ! truly great affordable place stay San Francisco . high recommendation . 
 Aug 25 2009 	 will back ! 	 enjoy everything stay ! everyone front desk , restaurant , bell boy kind courteous ! keep room rate competivave . look forward return trip month . Maryanne Grobe 
 Aug 25 2009 	 Greatest Bath ' ve ever take 	 great location . 8 year - old son think good hotel ' ve ever stay . staff welcome efficient . decor room sensational . good part , far , bathtub ! original tub must 6 foot long 3 foot deep . will not stay place else - Chancellor . Linda WellsSacramento , CA 
 Aug 24 2009 	 great homey hotel 	 sister stay Chancellor 9 day ( July - Aug ) , read review decide stay , meet expectation . room actually larger anticipate , lie efficient . huge walk closet store belonging . lovely deep tub relax long day walk . even foot massager rent , sister glad . not need try different pillow , one great ( ' m picky pillow person ! ) several choose wish . other mention wonderful taste cookie , tea , coffee always available . restaurant lucque great well .... wonderful breakfast lunch . staff always helpful able answer question . can not find staff hotel helpful . rory answer ! good location well ... handy cable car , public transit , restaurant , shopping .. great place return day .... feel like home . definitely return . 
 Aug 24 2009 	 First Timer 	 first trip US great start Chancellor . room clean well equip staff friendly helpful . tend eat breakfast rather try go find anywhere special offer tend quite reasonably price . really happy hotel would definately go back . info , come accross fantastic chinese restaurant Chinatown , Broadway Restaurant Broadway Street . completely full locall surprise food amazing CHEAP ! ! $ 23.00 4 plate food main . recommend particularly peke rib . wow ! ! 
 Aug 22 2009 	 Good hotel / location / value 	 ' ve make couple trip San Francisco past year , stay different hotel time . think ' ve find permanent place stay future . San Francisco great walk City , Chancellor 's w / in reasonable walking distance everything . be also close BART Muni huge bonus . also , staff friendly helpful every request . not downside , head - up : room , cute , clean , well - appoint , small , be use prefer lot room spread , advise . small room not unusual San Francisco , one small room ' ve stay here . overall , highly recommend . 
 Aug 20 2009 	 Location + Staff + Room = Ideal Choice S.F . Weekend 	 Chancellor perfect weekend getaway . San Francisco provide extra , find need stay luxurious setting . find staff helpful thoughtful . especially find room perfect couple on - the - go : comfortable bed , clean surrounding , large walk - in closet reduce clutter came go . location Union Square ideal ; appreciate near good restaurant , store , course , transit connection . look forward return Chancellor future . 
