excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Jan 8 2009 	 fab hotel ! ! ! ! ! ! ! ! ! ! ! great value money 	 husband 40yrs nov go treat ! defo stay hope book gor 40yrs birthday oct ! ! ! ! ! well do mary c. cork 
 Jan 6 2009 	 Nice hotel 	 stay 4 night begin November . unfortunately we catch gastro bug way spend almost whole time ill hotel definitely make use room ! fortunately go renovated room ( friend stay non renovated room say tiny basic , one friend even electricity room cut shower shower dark ! ) . spend age look hotel cheap could find look ( although still quite expensive ) . room second floor gorgeous , chandelier , huge queen size bed comfortable , wardrobe safe room . beautiful bathroom big rain fall shower ever see . also mini Aveda bath hair product wonderful love Aveda ! room warm air conditioning little loud overall fine . big flat screen tv opposite bed load channel great watch tv bed . also little table couple chair great since eat take away room occasion ill . the bad thing room bit dark . one window bathroom room open internal part hotel not much natural light although plenty bright internal one make also sort extractor fan thing could hear open window . hairdryer bathroom really weak take ten time long usual dry hair keep get scorchingly hot make difficult hold . little powerful travel hairdryer adaptor make also weak little annoying . there also sort work go hotel day little annoying we end ill sleep day constant loud bang drilling go . usually would not bother we tho would sightseeing . the location decent , mid town block away Empire State Broadway . near subway station couple block away various direction . check efficient staff fine . coffee facility foyer use bar next door hotel quite nice . would stay get good rate . 
 Jan 5 2009 	 wonderful cheap ! 	 stay 8 night New Year 's 2008/09 could not impressed . staff friendly helpful , hotel great amenity ( guest laundry handy ) , room much big thought would , huge bathroom . location obviously drawcard , room quiet oasis heart city . compare hotel NYC price range , Herald Square exceptional . highly recommend ! 
 Dec 14 2008 	 still good 	 usual stay hotel bridge extend stay business trip stay Novotel . Booked thank give night hotel website cheap way everytime . get single private bathroom room $ 115 inclusive . problem age start change standard . hotel excellent complimentary coffee stand lobby reliable free wifi room area . also one rare hotels book shuttle bus airport . location excellent close empire state shopping area 2 mns walk macy five mns fifth avenue addition buzy 34th street know commercial brand gap , old navy , victoria 's secret , banana republic , aldo , bebe name . also sbarro good alternative quality value meal 3 mns away diwan read pharmacy 24 hrs stone throw . stay many hotel new york one price good . problem ensure get room private bathroom become expensive double room stil good value single 2 double bed 
 Nov 26 2008 	 good clean hotel excellent location 	 centrally locate hotel . 5 star location , 10 minute walk time square , 5 minute penn station , macys , empire state building etc , etc . close herald square subway station make easy travel city . even though locate right busy area quiet inside hotel , 5th floor could not hear street noise . the room small old looking functional , clean housekeeping service good . bed comfortable . bathroom good size clean , linen also nice clean . safe new tv room , tea / coffee facility room . little space put suitcase room pretty much take bed . could hear bit noise though wall . hotel location feel safe great . lift slow . lobby area great unfortunately coffee machine action never get fix . laundry service ( self service ) internet access ( one computer though ) available price . staff ok , lovely other bite rude abrupt find lot service staff new york anyhow . seem pricy budget hotel consider location compare hotels area offer private ensuite really well price . beware do not include taxis advertised rate add end stay . city tax , state tax occupancy fee . overall find taxis increase bill 15 % . great hotel want room sleep private ensuite budget excellant location . would not recommend traveller want spend lot time hotel room . 
 Nov 24 2008 	 Fabulous Location 	 return 4 night stay Herald Square . tralle internet hour trying find something reasonably price , clean central settle . really great location , central everything . empire State Macy 's around corner , Madison Square Garden short walk away plently place pick MTA ( New Yorks Underground ) .We refurbish room , really spacious , clean extremely comfortable bed , need walk around day long ! shower also warm room clean fresh towel leave morning . there two lift hotel , extremely slow sometimes take age reach floor , couple time take stair . coffee machine situate reception / rest area , nice touch , although order two day ! America , price quote internet room include tax present final bill include almost £ 50 per night various tax charge , quite alarming increase expenditure £ 200.all great location pleasant stay . 
 Nov 23 2008 	 Excellent ! 	 hotel great price New York City . good location , aproximately 12 block Times Square , near subway Penn Station . clean staff extremely friendly . 
 Nov 18 2008 	 somewhat overprice 	 well locate heart New York City block Empire State Building , Herald Square Hotel , lack well word , average . although room newly remodelle , outdate generally tidy . bathroom clean bit old appliance ( tv , airconditione etc ) look like date back late 70 's early 80' . the staff friendly enough seem give impression paycheck hotel seem bit price even summer standard . it be somewhere sleep would not recommend anyone like spend part holiday relax hotel . 
 Nov 17 2008 	 Excellent location 	 stay Herald Square hotel one night cost $ 100 pretty good New York . room tiny clean , bathroom tv safe . location hotel fantastic nice place eat nearby . 
 Nov 13 2008 	 great little hotel 	 stay Herald Square Hotel 13/10/08 - 20/10/08 also 24 25/10/08 first visit New York unsure way go hotel . very happy Herald Square , good location room clean . if want hotel big flashy lobby want value money comfortable bed look . 
 Nov 6 2008 	 one New York 's gem 	 family three ( 2 adult 11 yo ) spend 5 night Herald Square Hotel ( HSH ) September . would rate HSH one New York 's affordable gem . we arrive New York early Monday morning red eye flight San Francisco . want drop luggage begin exploration New York . pleasantly surprised tell room available could check there . the room comfortable . room huge , two double bed enough room three large suitcase . room quiet , shutter block - out blind window . comfortable bed pillow mean sleep well . bathroom adequate , plenty hot water . also free room safe storage valuable . housekeep good . always return nice tidy room end day . hotel staff always pleasant helpful . the HSH also good laundry facility pay internet kiosk . also offer free coffee / tea / hot chocolate lounge adjoining foyer . the location Herald Square Hotel excellent . regularly walk Times Square . subway stop two block away . Penn Street Station also ten minute walk away - even wheel suitcase . find number restauant within 15 minute walk ( also good restaurant right next door do not want walk ) . breakfast , walk less 2 block Speedys . summary , Herald Square Hotel pleasant hotel good value New York standard . would definitely stay . 
