wonderful 	 thoroughly enjoy stay Hotel Drisco . Situated Pacific Heights , hidden jewel sit among many Heritage building / home - well worth stroll see stunning architecture . room re - design update keep age character building . complimentary breakfast serve morning , well sit room enjoy read book / newspaper tea & amp ; coffee serve day . hotel quiet , comfortable staff kind helpful . look forward next trip San Francisco - Hotel Drisco hotel choice . 
 Jul 26 2007 	 great yet ... 	 , hotel elegant , homey charming . desk clerk work hard please dual role clerk concierge . seem overburdened complain all . everyone smile hotel service - orient . think price reasonable room comfortable attractive . 2 - room suite elegant bathroom . nice view one room also . brunch excellent provide good newspaper . the problem hotel can not exist vacuum . therefore walk outside affluent residential neighborhood great architecture , nothing . free fruit room limited room service ( heated panini $ 8.50 per ) . close store , restaurant , cafe drug store 12 block away . taxi driver tell will not go unless drop fare need leave good amount time find taxi also . virtually near nothing . weigh charms hotel versus thelack civilization . 
 Jul 26 2007 	 Terrific 	 truly superb hotel . visitor Australia , look something little different wonderful city - get . small enough allow personal touch imbue comfortable grace elegance find normal large modern hotel . staff extremely helpful friendly . locate magnificant Pacific Heights area - thoroughly enjoy walk around surround street , day night , enjoy view house . comfortable walk Fillmore Union Streets plenty great shop restaurant . also memorable dinner nearby Garibaldi 's restaurant . far walk Downtown Fisherman 's Wharf areas- taxi plentiful fare hotel reasonable . definitely come back . 
 Jul 14 2007 	 Rare Gem Hotel ! 	 hotel rare gem Pacific Heights . hotel staff genuinuely helpful make stay wonderful . the hotel resemble & quot ; home & quot ; elegance upscale amenity . an excellent choice may want romance picturesque view San Francisco ! 
 Jul 13 2007 	 Best Hotel SF ! ! 	 live Sausalito 11 year move San Diego 7 year ago , stay many Bay Area frequent return visit . ' ve also travel extensively pleasure work , say , one pleasant hotel experience ever ! staff outstanding , room lovely , location premier ( love walk explore neighborhood perfect ) , breakfast outstanding . many little extra not often see anymore , like complimentary wine cheese pleasant front room evening , chocolate turn service , little stuff dolphin crib provide 14 month old son , beautiful bath product ( purchase , other complimentary ) , great restaurant recommendation direction , walk distance wonderful restaurant shopping , complimentary use gym beautiful Presidio park , . happy , , staff warm wonderful little toddler , greet delight ( ) time return lobby . hotel stuffy not really like child around , clearly case El Drisco . would plan stay one night , book extra night wonderful experience first night . not stop talk since arrive home week ago . say , though , somewhat reluctant spread word write glow review , would like keep little secret getaway . fact , ' ve never write review hotel , one find share thought . hope enjoy El Drisco much ! certainly back ! ! 
 Jul 9 2007 	 Lovely Historic Hotel near Presidio 	 stay historic ( 100 yrs old ) Drisco Hotel King bed - room early July . locate near steep hill , stone 's throw Presidio . room good view SF Bay , see street . true other say , truly great hotel . staff reception polite , knowledgeable helpful direction , restaurant recommendation advice place visit . know name check . use gym pool Presidio provide . hotel staff always friendly greet whenever see . complaint might maid little over - zealous keep knock door see ' m still room morning , even check - out time noon . my king bed room cozy fairly spacious ( give small size hotel ) high - speed internet connection ( WiFi ) , fridge , closet tv . bathroom immaculate , many quality amenity . drisco stock extra snack personl groom item purchase room . air - conditioning cool night never need . would strongly recommend use free SF greeter pprogeam ( guide resident SF . love show around city answering question , show area interest etc . enjoy tour chinatown various bus ride see neighborhood SF . free breakfast plentiful excellent ( egg , ham / turket , yogurt , juice , cook oat , cereal , toast bagel ) even evening wine taste snack . there not many restaurant around hotel ( although Eliza 's , 3 block away excellent ) , would rent car ' m stay . 
 Jun 14 2007 	 excellent 	 town conduct difficult family business . Wanted get soothe place stay city . slept window open due warm evening , get good night sleep life hotel ! quiet area staff top notch . zero fool around , dress well behave appropriately . much appreciate . parking fine area , help lot . breakfast great . will like place . take buck & quot ; right & quot ; Drisco good value . 
 Jun 1 2007 	 well ever ! 	 expectation high , Drisco meet exceed , rare occurrence world travel . moment walk feel like private club , home away home . corner suite view tip Golden Gate Bridge way Bay Bridge . extraordinary . staff excellent , courteous professional . breakfast terrific afternoon wine service enable we meet interesting guest . home run ! 
 May 22 2007 	 Hotel Drisco Best ! ~ 	 find hotel trip advisor book 2 suite parent friend go travel SF . also book Four Seasons , people travel bit hard please come accommodation Drisco valet parking , think may problem . decide stay Drisco please . book 2 City View Suites amazing ! great view huge room . reception desk assure parking would hard find ( City driver mean ) not ! find spot right outside hotel ! staff fabulous good deal . think suite 279 night ! highly recommend ! 
 May 10 2007 	 Perfect spot 	 never staye part San Francisco . Pacific Heights great place stay , quiet scenic Hotel Drisco make even well excellent service , amenity great breakfast . 
 Apr 30 2007 	 feel pamper 	 husband go Hotel Drisco ( never hear ) gift . wonderful gift we ! ' ve never go hotel someone open front door us front desk hand plate warm wet wash cloth wipe face hand long trip get . nice touch ! room lovely ( King Suite - Wong Room ) . fresh whole fruit basket ready eat , robe slipper person special treat use bathroom . bed soooo comfortable bit picky come hotel bed . continental breakfast delicious great variety food beverage choose morning . ' m glad able go , look forward come back anniversary roll around . 
 Apr 23 2007 	 new favorite place stay 	 hotel wonderful . staff friendly ready answer question one may anything know San Francisco . continental breakfast seem little continental location great get away everything else . Fillmore district walking distance . Fisherman 's wharf minute away . know well , would know hotel . home away home ( least purchase home SF ) . 
 Apr 17 2007 	 love Drisco ! 	 picky . research hour choose Drisco . Hotel Drisco meet need . hotel charming architecturally pleasing , bathroom deluxe king room clean comfortable , water hot , window courtyard open let sweet air , area provide easy parking unlike Marina use stay gather ticket , quiet residential surrounding , central activity enjoy like byobw Lombard , ( see youtube laugh ) hike Stow Lake , Chestnut street bbq , cook Easter dinner near Haight family . wine cheese night hearty delicious breakfast morning meeting couple Oklahoma South Carolina share story pluse . staff nowhere see always keep everything perfect . ! ? good thing knock door find chocolate bunny wait . love Drisco meet expectation . always stay Drisco ! thank recommend ! 
