awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Jul 31 2009 	 Disappointing 	 small squeeze room , weird architecture , separation bathroom room , noise fan outside ( build A / C ) , noisy room A / C , toilet light order , bad television picture ( noise / grayish colour ) .I not feel well room find depressing . horrible sleep . hope downgrade room rest hotel like that . last least , waken 5 am wake - up call not request ! definitely worth 5 - star hotel like 3 - star hotel . the positive element find hotel location . 
 Jul 30 2009 	 Traffic Noise - beware good 	 2 stay year . wife take 4 room ( 2 customer colleague ) . 1st stay take one amazingly modern new room conversion 1st floor . ( Exec ) . open plan get use fact loo shower simply room behind frosted glass really quiet good . Hilton . like boutique hotel . ..... be not always , room face onto Aldwych double Decker bus height . 's frosted glass window no - one stare shut traffice noise . do not care noise would really recommend try one room . good Firmdale Hotels ( Google see mean ) . anyway , wife actually top noise next time go get exec room face inward . totally silent junior suite sized space . breakfast average . - free usual exec lounge actuallly worth pass . almost silver service standard full english splendid main restaurant worth experience . not bother spa , outsource serious weight pumper paradise . go fitness fanatic , actually smell sweat change room . dirty , businesslike business proper exercise . I prefer luxury . really , typical Hilton . 
 Jul 22 2009 	 thoroughly enjoy ! ! ! 	 read late review hotel expect much , however really enjoy stay . reception area quite small uncluttered staff helpful . tv working arrive report front desk somehow forget tell maintenance crew . report maintenance man appear within minute , appologetic one inform . simple fix , power restore happy ... 10 minute late reception rang make sure everything indeed ok need anything else . we wish book tea dance hold Sunday afternoon Palm Court band Tango dancing , maybe next time . we drink bar friendly service extensive cocktail menu reasonable price , ideal pre- theatre drink . we enjoy breakfast although stick continental even could not eat full english breakfast . set Homage restaurant really relax classical music play 8am . we request high floor quiet room although room , 734 face busy main road surprisingly quiet . the bed comfortable decor calm . newspaper leave small bag door outside mean disturb . yes , mohair throw appear hotel website soft comfortable bed ... able leave luggage quite safely check go around corner enjoy Covent Garden make time . find staff friendly attentive , maybe polite friendly enjoy good service . daughter wait return end school hol . one stay London walk every need take taxi anywhere . 
 Jul 20 2009 	 great position - weird service 	 excited stay Hilton Waldorf - room let we . standard deluxe room lovely bathroom great fitting fixture . the decor excellent definitely impressed - Homage bar area downstairs . price steep - expect certain extent . there spectacular bar hotel nearby also frequent Drury Lane around corner . .. Covent Garden . we also get cheap Tix Covent Garden musical West End - La Cage au Folles - definintely recommend - evening pure laughter entertainment . we walk everywhere - great base we London much well previous stay Oxford Street also far away . the hotel also complimentary umbrella - handy rain nearly whole stay . not dampen spirit though . the breakfast lovely doining room excellent staff spectacular . thoroughly recommend one good trip . some issue though call 11.30pm woken tell supply credit card check ... 9 hour early ... . bar rang we advise we ! go next morning find supply . disturb we 11.30 ! concierge help ask could tell we sopme market Covent Garden - love antique . & quot ; not know & quot ; answer . customer service , offer find let we know . then check tell account already pay ... lovely ... ask see - find charge someone else ! internet available room & quot ; Business Centre & quot ; available Executive Suites . would stay ? yes ... double check procedure need checkin account end . 
 Jul 20 2009 	 Nice Hotel 	 stay 2 night impressed staff - friendly helpful . room adequate - little small side - nice view front building . bathroom lovely - large heated towel rack . good part Executive Lounge - full breakfast , lovely afternoon tea , cocktail appetizer evening tea cookie night - really wonderful ! 
 Jul 18 2009 	 cover dingy hotel modern trapping 	 book hotel near St Pancras depart Eurostar next day . reason , good choice . get package breakfast include still expensive . breakfast good anyway , service mediocre food par . old hotel take Hilton chain . could beautiful . dingy . carpet floor show black around side due dirt / mould . unacceptable 5 star ( 5 star ) . lobby attractive . Hilton need invest massively bring hotel good standard , shameful . room acceptable term good bed , window old dingy , bathroom good atmosphere ridiculous - old ' dame ' hotel bedroom look cheap fit decor hotel . everything hotel mediocre disappointing . many hotel central London price offer much . Hilton management - need get hotel refurbish . 
 Jul 18 2009 	 expect Hotel standing 	 Room far elevator contemporary style view inner hotel part , Executive Lounge limited variety treat , Crabtree & amp ; Evelyn toiletry .. fantastic bed available lounge receptionist . 
 Jul 14 2009 	 Pefect ovenoght stay 	 good standard throughout . attentive staff . comfortable bed , clean room . quiet effective air - conditioning . dark curtain help we sleep late . 
 Jul 13 2009 	 great location comfortable hotel bed ' ve ever sleep ! 	 hotel great location- 10 minute walk 3 different tube line , easily get wherever want Central London . room comfortable- modern accessory , soft comfortable bed , great bathroom . stay feel comfortable . ton restaurant nearby- would highly recommend anyone . 
 Jul 13 2009 	 excellent hotel excellent location 	 select hotel base primarily location , however disappointed . arrive early ( around 10 ) staff make everything possible us room ready early . room clean clean regularly ( least twice daily ) . location , Covent Garden area , hard beat , close lot primary tourist objective entertainment venue . staff friendly professional . definitely return . 
 Jul 13 2009 	 Great Hotel ! 	 start finish hotel stunning . our check experience effortless room amazing 50 inch flat screen tv bed die , comfortable . room quiet issue noise consider central London . the Breakfast stun fantastic choice food could beaten . the bar expensive expect central London hotel , service overall second none ! want hotel close everything hotel ! right heart theatreland everything london traveller would wish ! A1 ! 
 Jul 8 2009 	 Comfortable Accomodations Personal Service Great Location 	 ' ve pleasure stay Waldorf London several time past 10 year . keep go back several reason . my Hilton status allow receive one hotel 's Executive suite . euro hotel place large , separate sitting sleep area , large well equip bathroom . tend stay inside ( face relatively unattractive courtyard roof ) . view exceptional , peace quiet . would recommend sacrifice generally mundane view street solitude good night 's sleep . Aldwych west end noisy . breakfast main restaurant ( Homage ) Executive Lounge nicely do tasty . Executive Lounge fare get bit tiresome awhile offering present day . still , enough selection allow variation . would rate highly present formerly Hilton Paris Conrad Tokyo , tasty reasonable . the staff always helpful . year stay , ' ve never experience poor customer service . arrive early , instance , take we Executive Lounge relaxing drink whilst room prepare . baggage deliver absence room promise . whenever ask direction , recommendation , taxi , etc . always greet friendly welcoming face . find many experience poor service often present poor behaviour . pushy , loud obnoxious customer often receive less stellar service - rather - experience receive , poor . Waldorf staff front desk , bellman , delightful housekeeper excellent . if be stay London doubt could find appeal location . central everything . stay way Knightsbridge Earls Court stay heart everything . easy access two tube station , walk distance Westminster , West end theatre , Shakespeare 's Globe , . will find well location . my criticism minor . year back embark upon modernisation scheme lift ( elevator ) . one would think time fan could instal . Waldorf 's lift warmest ever experience , nil way airflow . lift horribly hot Tube station ( e.g . Covent Garden ) cooler Waldorf . fancy dress , get pretty hot . true holiday take place one bad heat wave UK experience , also true ' ve note hot lift regardless time year . it would nice second customer computer Executive Lounge . suspect business office never enquire . it be modern feature find many many hotel round world , ' m big fan frosted glass door bathroom . reveal . ok we , simply roommate , much . unfortunately modern style door many like rage . finally - need functional electrical outlet room . wind plug everything camera charger iron inconvenient outlet inside closet . outlet , turn , function traditional UK electrical plug . make inconvenient tea make facility also closet require move plug appliance . apart minor issue , would give hotel big thumb - would say 3.5 4 star . London , question continue stay . 
 Jun 29 2009 	 problem ? talk Georg ! 	 book executive room 5 day recently . room fine , even Hilton Gold card member , receive upgrade . bed & quot ; gully & quot ; right side , mattress need flip replace . way receive free internet go executive lounge , one computer , , surprisingly , constant demand . 5 - star hotel free wi - fi every room ; truly important nowadays telephone every room 50 year ago . hotel send we champagne anniversary , next day , send small cake 50th birthday - kind gesture MUCH appreciate ! , upon return week later , & quot ; regular & quot ; room one night , dreaded room 235 , problem bathroom shower flood bathroom floor , poor bed ( shape like u ) , iron tv working - remodel / fix CLOSED upgrade . anyway , happen ride elevator Georg ( pronounced & quot ; Gay - org & quot ; like captain Sound Music ) , hotel manager , mention room & quot ; issue & quot ; disappoint upgrade visit . Georg wonderful ! take time explain upgrade possible demand , comp - ed us dinner give we access executive lounge ( use 10 min . check email - still appreciate ) make sure feel well situation . even though particular room awful , feel still recommend hotel first 5 day stay level service receive . Georg hero we ! 
 Jun 21 2009 	 5 star Business Pleasure 	 hotel great location beside covent garden . service excellent room good standard . business traveller problem free wi fi , 5 star hotel standard . get right hotel simply perfect . would recommend hotel anyone look break London particuarly want take West end . business traveller perfect , especially executive room lounge 
 Jun 21 2009 	 Good Hotel 	 book hotel January get good half - price deal executive room . staff incredibly helpful highly professional . hotel prime location theatre district Covent Garden impose facade , reflect edwardian heritage . however , perplexed reception trace architecture period . perhaps remove different era , possible retain ethos original feature , whilst add modern touch . cocktail bar also slightly disjoint feel . apart , hotel impressive breakfast room Palm Court retain original opulence . buffet breakfast wonderful , book executive room , also enjoy facility private lounge . food eat excellent wish dine Homage , hotel 's restaurant . fantastic break would recommend hotel , be cheap . 
 Jun 18 2009 	 wonderful noisy 	 executive level room , wonderful spacious . breakfast 5 star hotel . location one convenient London , near Covent Garden . however , middle London entertainment area , place noisy . room window soundproof ou could hear traffic night long . 
 Jun 17 2009 	 good 	 Overpriced , bathroom bad condition . overcharged checkout ( refund overcharge complain ) . room description reflect actual room website . would go . 
 Jun 10 2009 	 good west end hotel 	 actually good hotel - thing bit expensive deserve ( hotel nearby equally good cheap ) . say , hotel great location . room fine , complete mini - bar , coffee/ tea maker + biscuit standard stuff . view awful ( not exist ) - well open window room : - ( ' ve stay twice , time issue handle credit card/ take ' hold ' imprint time check - in later cancel hold ' ve settle bill . 
 Jun 8 2009 	 Birthday Weekend Waldorf 	 boyfriend book weekend stay hotel birthday . first trip London book hotel base location boyfriend Hilton Diamond member service always great . arrive Gatwick airport take first capital connect train London Bridge Station . cost 17 pound roundtrip . take bus hotel although would not recommend . bus crowded could not even sit . leave take cab 10 pound station get alot fast . arrive Saturday around 11 am . check not 3 pm send we executive lounge hour finish get room ready able check early . also tell upon arrival since celebrate birthday complimentary cake would send would get full english breakfast greatly appreciate . book Queen Deluxe room . 4th floor overlook main street . room great . well expect . bed comfortable . bathroom plenty big enough . even heat towel rack ! love modern decor hotel . Breakfast Waldorf great . beautiful ballroom . even not eat take peek ballroom . really beautiful . whole staff friendly helpful answer question especially staff executive lounge . Sunday ask resturant recommendation tell we try either Christophers Sophies . go Sophies . open late unlike resturaunt London Sunday night right hotel . food service exceptional . would highly recommend try . overall would say perfect choice anyone stay London . could not perfect location . not take cab anywhere go London . one block river Thames plenty shop ansd resturaunt right Covent Garden mention many theatre ! thank Waldorf make birthday unforgettable ! 
