great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Jun 8 2009 	 great hotel handy location . 	 stay sister 3 night end April 2009 standard room 2 double bed . compare site find good rate hotel 's website ( also include breakfast ! ) service - we check couple hour early room not ready staff extremely helpful courteous make we feel welcome . luggage safely store whilst explore area advise room would ready 3 pm , . standard decor room hotel general high . initial room 1st floor ( US 2nd floor ) overlook rear fire escape disappointing , next morning ask possible change room well view move lovely room 8th floor . staff extremely polite helpful . room - the bedroom high spec . decent size - massive plenty space 2 double bed , 2 armchair coffee table ( bay window area ) along wardrobe / dress table unit incorporate large flat screen tv . room also usefully contain iron & amp ; board , minibar alarm clock / radio also iPod dock . bathroom decent size good shower lovely Aveda toiletry . room spotless not show sign wear , overall feel ' cosy luxury' . amenity - Breakfast include rate . bad continental breakfast go probably worth pay extra ( think be around $ 16 ) - include fresh pastry , muffin , fruit , hot drink , juice , scrambled egg & amp ; bacon - also free US newspaper . there small gym appear contain modern well maintain equipment , seem quiet , not make use - much else ! location -We find really handy - easy walk NY Penn station ( be street ) also walk distance Empire State ( round corner ) , Grand Central Station , Times Square also close subway station get south island Central Park . as comparison stay one night Hilton 6th Ave ( part package ) , stay Chandler . twin bedded room calculate roughly double price night , without breakfast . room large advantage , decor similar standard . staff whilst unfriendly , impersonal rush hotel feel soulless Chandler . future would always choose Chandler Hilton . 
 Jun 7 2009 	 bit well average 	 Hotels expectation standard expect find hotel . think Chandler hotel overrate Tripadvisor . stay 4 night May year . room 11th floor real cramp . almost could walk around bed ! yes , bed comfy bathroom nice amenity need . I would label hotel upscale . be clean , kind classy staff polite offer good advice service . expect pamper , grandeur impeccable service would look elsewhere . 
 Jun 6 2009 	 GREAT STAFF BEAUTIFUL Hotel 	 stay Hotel Chandler & quot ; girl trip & quot ; NYC . stay AARP rate , treat royalty . bartender ( oh cozy little bar site ) housekeeping staff -- everyone friendly helpful . front desk staff generous time smile . breakfast seem little spendy first , quality ( mention quanity ) food good eat every morning . hotel beautiful great location . will look forward return . 
 Jun 3 2009 	 good choice 	 wife stay Hotel Chandler early April , please choose hotel stay . people work hotel nice helpful . location nice , central Manhattan , near Empire State Building . Hotel Chandler luxurious hotel New York , offer nice clean room comfort need . choose hotel great review site , room rate fairly affordable compare rate many NY hotel . make great choice . revisit NY , definitely check rate availability hotel . price still right , return sure . 
 Jun 1 2009 	 say tin 	 housemate get back 5 night stay Hotel Chandler fantastic , exactly say tin ! arrive late afternoon receptionist lovely helpful straight room . review spot , 2 double bed comfy fab bathroom excellent shower , heaven long flight . room small think quiet , 8th floor back , major view care . bell boy good taxi ready need . great location well . would definately recommend hotel would go back . room service keen , though get choc newspaper ! ! 
 May 29 2009 	 could ask ! 	 sister visit New York City first time selection possible hotel overwhelming . much research , settle Hotel Chandler . Junior Suite king size bed well pull queen size couch . room comfortable , well decorate , spacious enough need . bathroom small cute good shower / bath , soft bath sheet , great soap shampoos well comfy robe . two flat screen tv mount wall two blow drier provide . staff accommodate friendly , especially consider elementary question . housekeeping staff available always quickly answer request . doorman helpful anticipated need cab ! clean lovely room ; would definitely stay . hear expect noise night pleasantly surprise quiet area hotel . sleep like log every night ! location near Empire State Building Macy 's ; also within walking distance Time Square Grand Central Terminal not mind hoof . tired take cab amazingly affordable . also eat place include Starbucks cafe nearby . favorite spot Vezzo thin crust pizza die ! like Chinese , Grand Schizwan also close good . 
 May 28 2009 	 Brilliant hotel great location 	 first visit NYC book hotel Chandler good price great location . positive review site correct - great place stay . we not spend much time room , find comfortable , quiet ( even though near lift ) air - con great job . staff great , not deal much beyond check - in / out , helpful arranged taxi flight back . we stay superior queen room , flat screen tv , safe ( free use ) able access free wireless connection . shower brilliant bed comfortable . several people say room small - although be massive , be enough two people plus luggage etc . we go bar , seem nice beer onlt $ 2 happy & quot ; hour & quot ; .Everything want walk distance hotel . empire State 2 minute walk , Times Square central park much . use subway , find easy get to . would definitely stay . 
 May 28 2009 	 make trip complete success ! ! 	 trip New York Hotel Chandler fantastic largely part wonderful , helpful staff cozy , quiet room . hotel 's location terrific ! close subway less advertise two block Empire State Building . staff front desk ALWAYS friendly helpful need question . know next time ' m New York exactly ' m stay friend know stay ! ! 
 May 25 2009 	 Beautiful Hotel great location ! 	 husband back wonderful 3 night stay Hotel Chandler . book surprise 30th birthday could not well ! find location excellent . close Empire State Building , Flatiron district , Greenwich Village , Macy 's , 5th Ave etc room lovely fantastically comfortable bed , LCD tv , Aveda product , dress gown etc . the staff friendly efficient happy answer query , provide map etc rarely spend time room 2nd trip NYC still load , however , hotel wonderful ambience , would highly recommend . last time visit NYC , stay Times Square area stay Hotel Chandler give we opportunity explore Midtown area not constantly draw hustle bustle Times Square ! ! ! read previous review , understand people 's annoyance room locate right beside elevator noise definitely travel within hotel . thankfully , little impact stay would definitely stay hotel ! 
 May 20 2009 	 Sweet boutique hotel great Midtown location ! 	 friend go girl ' weekend NYC stay four night Hotel Chandler . love - hotel nicely locate quieter side - street Murray Hill , low part Midtown north Chelsea / Flatiron district stone 's throw Empire State Building . Times Square / Theatre District 15 20 minute walk . the staff polite accommodate ( although never really specific great spot eat - not think live area , provide sheet list recommend place ) . always greet came go hotel . we stay Deluxe room two small double bed , great . bed nice , great sheet , clean . bathroom wonderful Frette towel ( although not nice shower head , reason ) . not notice noise hall room , although A / c bit noisy , usually tired block . lot closet space lot hanger , always case two woman travel ! room small - people need remember many NYC building small room , never felt cramp bathroom bedroom , even luggage beside bed . radio / iPod dock flatscreen nice , Aveda amenitie Frette towel bathrobe . minibar bit dusty , much great food doorstep , 's surprise . the staff great accommodate we late checkout ( first come first serve , though ) trouble luggage store . not get chance check bar , look really cozy . the rate fantastic value location , would not hesitate stay . can not wait go back ! 
 May 19 2009 	 could hotel well ? 	 fantastic find hotel . great room , fab LCD tv , ipod dock , load storage , amazing shower ( difficulty get great ) . Towels & amp ; robe fluffy - great touch Aveda bathroom product . staff could not helpful - really good location . wish back . 
 May 17 2009 	 Perfect Location ! 	 first , say - People look review hotel make sure look see many & quot ; contribution & quot ; reviewer make take much value say . many hotel put excellent review make people aware one contribution could mean fake review . would dock Hotel Chandler since exuberant amount one time contributor leave review time since really good job make stay excellent will not . really great place price . book room 40 % make $ 199 per night think reasonable price boutique hotel . the service excellentroom cleanbed comfy Air Conditioner great ( loud someone previously state ) room small perfect amount space everything need . the thing would fix shower drain not drain fast enough amount pressure come . stand pool water fun hotel room . see complaint not shock much gross bit . way see fix problem put low flow head shower much water come . love shower head bad . room 1023 bright refreshing , quiet comfortable . we dinner absolutely wonderful fine Vegetarian Restaurant around corner call Hangawi - romantic tasty korean food . we eat breakfast Keko 's around corner love ambiance well food 
 May 14 2009 	 great location lovely staff 	 spend 3 night recently - lovely hotel ! smallish serene , really easy get everywhere close subway . spend first night room 2nd floor find bit noisy , get room change problem ( 8th floor , back building - v quiet , bay window , lot light , spotlessly clean , stylish decor ) . staff ( particularly one concierge ) lovely - really friendly , polite , lot helpful answer question . free internet access library , free newspaper breakfast , free hot drink day lobby nice touch . I stay large hotel midtown , hotel completely outclass ! 
 May 13 2009 	 gem ! 	 stay 3 days+ location 5th Avenue+31st Street fantastic , within walk distance Penn Station , Empire State , Times Square etc . the hotel quiet+tranquil , virtually noise hotel outside . the staff helpful upgrade we Deluxe suite without we even ask . the room fantastic enough room hold 2 huge case , us+ shopping+more , air - con effective bathroom huge big double - size shower . great Aveda toiletry . stay Hotel Chandler visit NYC ! visit ' ICHI UMI ' Shushi buffet next street like seafood-62 different type sushi plus main course , incredible ! 
