overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Oct 21 2008 	 Great Locations / Support Chicago Marathon 	 stay th 11 - 12th Oct chicago marathon , really surprise complimentry breakfast marathon runner . accomondate request oatmeal / newspaper request . good facility internet reasonable price internet use ! ! fantastic location opposite Macys next Nordstorm Sears . 1 min walk CTA train back Chicago O'Hare Airport 
 Oct 12 2008 	 Great Location ! ! 	 great location . easy walk distance blue line ( Washingon ) red line ( note red line Washington currently close ) . located block Millenium Park Michagan Ave . room large big city hotel nice view Chicago Theatre . check Hotwire great rate . 
 Sep 27 2008 	 Anniversary Weekend 	 would recommend check internet deal call hotel directly . match rate find Orbitz able request room top floor . worried construction noise level indicate site . stay two night 9/19 9/20 . return 9/19 noticed crew get ready work , not hear thing get room . noise next morning , 7:30.we walk hotel Field Museum / Shedd Aquarium / Adler Planetarium . long walk , probably warm . way back take free trolley ( green line ) . sure ask general ticket without show ( be interested show Planetarium Aquarium ) . general ticket price list - only general plus 1 2 show . the one thing surprise dead downtown Sunday . hope grab bite lunch take Metra back Wisconsin , nothing open . even McDonald 's close - not would ate anyway . end chain sandwich shop call Potbelly 's , terrible . one mention , lot homeless people solicit $ walk destination . 
 Sep 26 2008 	 Great Hotel Great City ! ! ! 	 Hotel Burnham - Chicago recently stay 3 night Hotel Burnham would definately recommend . great location hotel 's decor beautiful . long trip receive warm greeting hotel staff room stay fabulous view street Chicago include famous theatre sign . we even goldfish room ! hotel open guest wish bring pet however despite hotel clean . great one morning lift door open black labrador greet we ! hotel offer complimentary wine reception evening Starbucks coffee Dunkin Donuts morning - though tea coffee facitilie room would welcomed . England girlfriend hair straightner take work however hotel happy supply pair throughout stay . highly recommend . 
 Sep 25 2008 	 Good experience 	 stay two night . other say , small reception area , small room pretty . staff good . location outstanding -- theater getting marry City Hall -- within 2 block . we enjoy restaurant : couple breakfast dinner . even vegetarian try Lentil Cake entree available . excellent . as noise : room seem excellently sound proof . 12th floor face construction zone . first night back hoe work unless really try listen , discernible . second night however , 3 am , start machine let powerful whine , little later loud jack hammering . so project do appear luck draw work schedule give evening go factor . 
 Sep 23 2008 	 love 	 stay couple night Burnham recently . be get quality small hotel amenity large one . staff friendly andvery professional . restaurant one good downtown . location perfect museum , shopping , stroll waterfront . room immaculate comfortable ( bed great ! ) . expensive . could ask ? 
 Sep 12 2008 	 dependable choice boutique hotel 	 ' ve stay Burnham summer business trip ' ve Chicago ' m always pleased top quality hotel . room not large , beautifully decorate high quality furnishing , always spotless . restaurant little pricey menu not diverse , food always make good ingredient prepare perfectly , usually take modern twist traditional recipe . the customer service always prompt , professional polite . drawback construction road nearby noisy night , Chicago 's city project Burnham can not much . ask high floor away noise , . 
 Sep 3 2008 	 feel like royalty 	 2 teenage daughter want short weekend away lucky enough take advantage TravelZoo promotion Hotel Burnham Chicago . welcome e - mail receive couple day ahead arrival right loading car departure treat like royalty . luxurious room , restore wood iron grill elevator even appreciate daughter teenager real compliment . offer glass wine first enter lobby stress rush hour traffic welcome . know lots complaint noise corner room 12th floor problem noise . even though across elevator never hear anyone hallway - it place . amazing deal 2 night ' m already make plan go back husband time would happily pay go rate discount available . hotel central everything enjoy walk direction see around corner . first trip Chicago will go back sure . 
 Sep 2 2008 	 Great Old Hotel Chicago 's Theatre District 	 Hotel Burnham great spot Chicago 's Theatre District near many downtown tourist attraction ( e.g . Sears Tower , Chicago Theatre , etc . ) . unique feature hotel include old style elevator gate use key open room ... yes , real key ( card ) ! room small , tastefully do , beautiful poster bed canopy . window decorate velvet like curtain musical score Mozart gold color script , emphasize hotel 's proximity various performing art venue . evening , hotel host wine reception lobby , nice respite long workday . breakfast menu also quite enjoyable , especially delicious egg Benedict fresh squeeze orange juice . spend two night , would happy come back ! 
 Aug 31 2008 	 terrible not live hype 	 hotel live former glory . desperately need makeover . consider luxurious well design 30 year mow seem run mill verging tacky . the tv set 30 year old clunker Zenith . not care much television travel ( not think turn ) . mention 's apt metaphor entire experience . for starter , arrive 4 pm find room ready . take cell phone number could call ready , never call . pop 6 discover room ready leave wonder ever would call . ( apology either ) .When get room ( easy task room 410 not even list possibility sign face elevator ) shock see small ( consider amount time take clean , check 11 way ) . be one deal open door bathroom almost collide bed . view , suspect people prison enjoy well vista . they offer complementary continental breakfast wonder continent refer . customary cereal , cheese , yogurt option . sad fruit salad muffin white whole wheat toast . , think prison service less smiley . the good thing place wonderful location building , one Chicago 's old skyscraper . everything else disappointment . 
 Aug 28 2008 	 Great Location service 	 Burnham lovely small hotel historic buliding right smack - bang middle Chicago , great shopping ( right across road Marshall Fields ) access theatre . can not beat location , staff friendly attentive . my room tiny ( would expect location ) well appoint furnishing extremely comfortable . unfortunately time stay rip State Street , Taxi access difficult subway station State Washington close much year . also take ten minute diagonally cross road get Marshall Fields due roadwork - hotel 's fault . on whole pleasant stay round . 
 Aug 28 2008 	 Wonderfully Plush 	 hotel unexpected find ! search several website reserve room somewhere else , receive notice Hotwire hotel area . take gamble hit jackpot ! price exceptional area , especially hotel iteslf ! hotel staff accommodate , personable ready assist . even receive handwritten note clean personnel . wine taste excellent opening great stay historical beautiful hotel . not spend much time room hotel , time spend luxurious . room comfortably romantic , clean plush . hotel close many wonderful site Chicago offer . nice area , walk distance many attraction well train station . feel safe area walk single woman . construction area bothersome , however husband little trouble sleep one morning start work 8 am early . first evening stay , enjoy walk see shop , theater architecture area . take excellent Ghost Tour , would recommend provide interesting history city . architectural boat tour also great tour Chicago River give insight building area . breakfast one morning Atwood Restaurant , excellent food , poor service , one waiter 8 table . look Chicago style pizza 2 hour wait table get food , try Gino 's east , however , like little pizza place Frank Lloyd Wright 's home , Giordano 's , much well wait long . would highly recommend Burnham Hotel look Kimpton hotel travel ; will not go wrong choose one ! 
 Aug 27 2008 	 disappoint 	 room disappointment . room small could not roll suitcase wheel space bed wall tight . might suitable single business traveller single night , couple holiday . as well , jackhammer road work outside night long . annoying . Red Line train shutdown weekend ... would nice warning . the breakfast Cafe Atwood good , well wine hour . overall , wish stay somewhere else , mile north hotel , close nightlife restaurant . 
