bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Aug 13 2009 	 near 4 * quality 	 bill 4 * luxury hotel great location hotel fail deliver ... room tiny stuffy . instead air conditioning find fan reministant Thai hostel make much noise sleep 
 Aug 11 2009 	 awful room expensive receive 	 _ stay two night . put awful single room cost nearly 200 per night . grotty , air con ( mid summer bolie hot ! ) . lift break walk stair would ok also grotty . waiter knock door 7 room serivce have not order even apoligse waking . breakfast basic . firend wake call day order wake 6 day . key wuldnt work arrive abck late night get amintace sort . big walk form tube . travle around world , stay well hotel 3rd world ! main problem would put hotel cheap- however big waste money . 
 Aug 10 2009 	 well hope 	 stay one night part package include organise trip . read rev iews trip advisor prepare bad pleasantly surprised . arrive lunchtime , room ready . offer upgrade decide check room first ask upgrade necessary . room 4 star quality , budget style , fairly large huge date bathroom . room bathroom clean , bed comfortable , tea coffee safe . upgrade fridge air conditioning , however , 6th floor feel quite safe leave window open leave fan place room . find staff helpful polite . complaint would queue breakfast . need leave hotel 8.15am , head breakfast 7.30am find breakfast room already full 50 people front we wait table . take 15 min seat rush breakfast . shame good - hot food fresh roll . problem hotel location . beware NCP car park near htoel open weekend hotel charge £ 20 per day park . park NCP Aldersgate Street next Barbican Satation . whether come car park station 15 min . walk hotel partly residential area . long walk luggage although arrive back hotel near midnight Saturday , feel threatened area all . probably would not stay location . 
 Aug 5 2009 	 beyond awful 	 atrocious , firstly hotel middle nowhere , need taxi get near tube station . upon arrival could not find booking take 30 min check blame company book agent , report book agent show despite misfortune stay two night ! room tiny scruffy , builder lamp light corridor , maid leave window wide open onto low roof central area hotel anyone could helped belonging , could not get outside line wife could not ring , TV would not work despite ring reception would not answer , go front desk find staff talk ignore phone . add insult book early morning call never come , result turn late meeting travel London first place . would not return pay . 
 Aug 4 2009 	 shocking dump ! ! 	 stay 2 night weekend check take 30 min nearly get shunt another hotel do not room request room shockingly date window jameed could not open , safe do not operate , door hang iron cupboard , shower spray water bathroom , bath handle hang , toilet flush barely flushed ! ! bar price expensive even london standards.cost £ 100 night room avoid ! ! ! 
 Aug 3 2009 	 Excellent value money travel tour company pay good price 	 reading review hotel , feel make comment hotel . must say two friend feel bit apprehensive reading people review . stay Sat 1st Aug could fault hotel apart tv , could get work , ' m sure would take call reception sort . already state pay peanut trip one night stay London . stay 2nd floor friend stay annex . room excellent everything would require include tea , coffee , iron , hair dryer , tv , mini bar , extra pillow , toiletry clean towel . room clean furnish well . peaceful , traffic noise although stag hen party stay hotel night not thing night . intend use tube , barbican fair walk ( 15 - 20 min ) three lady approach 50 exactly fit manage , problem . circle line allow easy access everywhere . public area hotel clean , comfortable attractive free daily newspaper pick reception . get busy breakfast time , good avoid peak time join quite large queue . breakfast good ( self service ) wish could keep food warm . staff pleasant attentive . would problem stay hotel . 
 Aug 1 2009 	 good get one well room . 	 upgrade suite £ 15 extra per night see normal room . Suite good excellent value money package . room annex top two floor main building not nice reflect comment . common area leisure facility reception bar smart . bus stop close number 4 straight centre . problem area . walk tube family concern . got bus back late night . service hotel good . probelm breakfast time although eat 9 . overall good experience could disappoint original room . 4 star . restaurent / bar pricy . 
 Jul 30 2009 	 European Tour 	 hotel not good hotel group 500 musician stay , room nice , yet small . cramp small room 3 bed look like enough room fit one , group teen , sufficient . 
 Jul 28 2009 	 never bad hotel ' ve stayed ...... 	 see review , stay husband January attend party locally . room tiny , barely ventilation . heating rattle shake & amp ; could control . one usable plug socket stuff away desk far away use want boil kettle Tv unplug first . room badly need decorate maybe turn back cupboard ! bathroom adapt cupboard , small cupboard , sink overlap toilet could barely turn around there . never ! 
 Jul 28 2009 	 Excellent Service 	 think reviewer stay different hotel . could fault City Barbican Hotel . staff courteous helpful . busy , nothing much trouble , queue dinner breakfast . food excellent . room comfortable clean day . water hot required shower . spa clean available . make negative comment would would like kettle room make tea . 
 Jul 21 2009 	 not ! ! ! 	 never bother spending time write review feel warn hotel . first trip London love place would recommend hotel anyone . for start absolutely way hotel 4 * standard advertise last minute.com . spend lot time research hotel use ' secret hotel ' offer would never make mistake . upon arrival ( good 15 min walk tube station questionable area ) ask reception would like upgrade room £ 15 3 night , obviously take ! know normal room would like , enough space room double bed ! even problem squeeze past end bed dress table ' m size 6 ! shower also terrible , switch go sideways instead downwards ! could not even get shampoo rinse hair ! complain reception ' upgrade ' room move we big one without hassle ( 2 single bed push together obviously ) , think chance luck young couple . the spa area also unclean , floor lady change room even pool area dirty , time use . spend lot money stay hotel would not like anybody else make mistake . stay much much nice budget hotel one . 
 Jul 19 2009 	 great . well option available 	 price good take chance place despite review suggest gamble . not wrong , read accurate . favourite sight hotel kebab someone throw ( external ) stair well . obviously time clearly none hotel staff care enough clean . 's general impression place - nobody give monkey . fact : clean room , sufficient towel toiletry , tea coffee , comfortable enough bed . stuffy & amp ; hot , thin wall , date generally uncared for . I ' ve stay well place less London , will not return . 
 Jul 14 2009 	 will not return 	 sit room write . business near affordable hotel . next time will look something nicer away . this hotel enter top # 5 bad hotel list . check - in , go upgrade , otherwise will end ' tower ' stay room like university hall residence £ 100 / night hotel room . single bed tiny , furniture date , fan not work window not open much . , tv good ! location not seem nice feeling cowardly , eat brasserie . solo diner line tiny table , pretend engross book / newspaper / mobile , whilst actually inwardly sob . service unfriendly ask glass water , almost scoffed . caeser salad strange brown colour , not convince chicken , although make generous amount crouton . throw anemic chip will give bill £ 17 , service charge already add , convenience . I ask service charge remove , scamper back shoe box / room . 's 2045 ' m go sleep escape experience . this first review ' ve write , ' ve try balanced , note previous reviewer ' comment , really , choice , not choose hotel . 
 Jul 13 2009 	 well option available 	 book lastminue.com upon arrival give room tower block across road similar £ 8per night hostel stay Dublin . wallpaper come , small , twin camp bed ( have book double ) definately not reflect official star rating hotel . upgrade cost & quot ; deluxe double & quot ; anything deluxe - comparable travelodge x4 cost . enough bath towel , break shower , air conditioning sound like mate elephant , date ( gharish ) decor problem . staff pleasent helpful struggle speak clear Engish . food acceptable vastly overpriced drink 
 Jul 13 2009 	 Nice hotel need bit ' Hotel Babylon ' treatment ! 	 spend weekend . upgrade standard deluxe room - ha ha , mean big bed air con . room decor date , room bathroom clean , hand basin crack . sort thing let hotel make think stay 4 star establishment ! reception , bar restaurant area modern good standard , staff uniform look unkempt touch shabby ill fitting - image would want staff hotel . breakfast bad , bacon cook en - mass pick . eat restaurant food lovely . good stay central location hotel need pull sock image wise . 
 Jul 13 2009 	 ` ` average '' poor location 	 stay Thistle Barbican recently night London work . arrive Old Street station per advice concierge start supposedly short 10 minute walk hotel . , around 1 am admit slightly intoxicated , however hotel major pain backside find area surround ( least middle night ) not nice . would not imagine 's safe female traveller near dark even 16 stone skinhead bloke , little & quot ; edge & quot ; .Once find hotel check relatively quick although receptionist give card sign someone else 's detail . upgrade deluxe King ( think 's call ) free charge . find room bit difficult sign seem stop every often would approach t - junction coirridor without sign say way room . room average really . kingsize bed although usual two bed push together result big hard ridge run middle . room nice big LCD tv channel available bit naff really . usual tea / coffee , iron , safe etc . aircon ceiling fan . the bathroom fairly spacious London hotel clean usual complimentary toiletry . check ( would find desk ) fairly quick , mess around . all 's great deal either way , good bad say place . room hotel general fairly average London hotel , thing really let 's poor location . 
 Jul 12 2009 	 return visit 	 not impressed find book hotel follow previous trip however check late nr midnight reward pleasant reception staff upgrade suite . room comfy clean sadly key thing female traveller hair dryer dryer work ! reward hot chocalte biscuit small thing almost expect day . the breakfast tasty enough taxi plentiful . hotel close tube run shuttle time table . 
 Jul 11 2009 	 average hotel tired room 	 stay recently 5 night business . 's 10 minute walk Old Street tube not find onerous . well locate need , need fairly specific . tourist , perhaps good stay different part London . first impression neighbourhood could little sketchy , actually litter / break glass issue return foot around 10pm couple occasion . arrival , receptionist offer room upgrade thankfully accept . get room , not want imagine standard room like ! rather warm London recently glad A / C , however seem cool intermittently . iron & amp ; trouser press room , however iron board build trouser press unit . locate right next door make awkward use . the room tired corner could refresh . fridge definitely need replace , seem impart flavour anything keep day . damage furniture , ' executive ' room fair bit would find say Holiday Inn . the bathroom clean little tired . basic toiletry supply towel leave lot desire . harsh little small ( ' m overweight ! ) obviously hard life . the communal area lot well shape . pool , sauna , steam room & amp ; whirlpool clean good condition . bar area small little formal , could lounge - type couch seating . not eat restaurant breakfast include rate . breakfast typical buffet style , could improve fresh fruit . for around £ 110 / night inc . breakfast central London , satisfied overjoyed . ' m sure would choose next stay . 
 Jul 6 2009 	 not stay unless be desperate 	 ' m afraid ' m join many negative review . never write trip advisor normally satisfy basic hotel , feel force vent frustration . will keep brief , room 40 degree air conditioning available . plug fan leave whir night get sleep . cold hot tap room pour scald hot water make glass water shower unpleasant . staff polite incredibly unhelpful . ask could sort breakfast send room , even croissant bowl cereal would fine , leave 6:30am , lead around unhelpful circle hour . eventually fall asleep man knock room lunch menu way order anything , point give . also charge £ 2 small tube toothpaste extract vend machine . pay £ 132 one night accomodation not really expect this . basically really would not stay pay , pretty bad consider one night normally stay much cheap hotel . 
