excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Jul 3 2009 	 stay 3 night 	 first night , room ( 461 ) stale smell , could live . everything ok run bath late evening water brown . brown . staff respond quickly , could not fix move next day . not go shower contaminate water though , less ideal . second night , room ( 123 ) clean , smell much well , everything fine 6 am hear box / crate throw outside window . ( may kitchen , neighbouring business ) . , twice , even three time , five time 5 - 10 minute interval . alarm set 7.30 , have formal dinner night , early start welcome . request move again . third night , room 101 [ staff try tell something ? ? ] clean , not stale smell . problem sound ... unlike two room , aircon control dial . local paper ' headline & quot ; London hit 33 ' C & quot ; , dial go round round . not hot , certainly not feel cool . another disturbed night . add , last stay two year ago , awful night complain . time supervisor put note system explaining would simply like good night 's sleep , either quiet room , one aircon work . alas , time achieve 1/3 night . will not return . ( shame , staff polite always helpful . ) 
 Jul 2 2009 	 Perfect city break 	 stay Grafton times business . location ideal , close tube station get wherever need , close hear hotel . room well appoint staff friendly helpful . breakfast good choice set day business sightseeing . 
 Jul 1 2009 	 Pleasant 	 stay first 3 night travel throughout UK Europe find room clean tidy . room small come back end day sleep anyway be not problem we . bathroom clean modern however shower small . breakfast fine good variety staff pleasant . 
 Jun 30 2009 	 impressive relax warm friendly venue 	 first stay , will not last . find hotel excellent value money , room high standard price offer . hotel immaculately clean find staff go way make feel welcome . enquiry small deal even sit cool drink bar head town staff make feel welcome ( solo traveller ) .I would defenately recommend venue traveller . 
 Jun 28 2009 	 great spacious room spotless 	 stay third time good safe bet chain London much stuff poor quality .. good spacious accommodation be guarantee get view room face roof generator stuff . great location next Warren St tube station , u need walk ride London attraction . staff mainly foreign English speak ( apart Chamber staff ) welcome great polite helpful english lady . stay regular room ok worth upgrade plenty space . ice machine corridor rarely work dial 0 get ice bring room charge . Bathroom spotless would expect good quality linen . ask bus service staff not knowlegable find bus stop town 3 min walk hotel . 
 Jun 21 2009 	 lovely friendly helpful Hotel 	 hotel staff helpful friendly room spacious comfortable . I would go back London .A lovely clean nice Hotel . 
 Jun 19 2009 	 good deal great weekend 	 choose stay Grafton four time fancy cultural break London . si ideally situate near Warren St. tube station handy west end . always get good welcome usually get room upgrade king size bed . room tastefully furnish little dark good power shower . staff really welcome oblige enough help . breakfast really nice much choose nicely present lot healthy option . two night break pay £ 129 two we think great valuejane P York 
 Jun 19 2009 	 pleasent night rest Central London 	 need somewhere lay head night attend family party night away kid ; Radisson Grafton ideal place . comfy clean room back hotel little noise , could stay day . make reservation phone ( web site work ) lady professional , courteous friendly . upon arrival , check painless straight forward . bed , eventually get , comfortable sleep brilliantly ( kid ! ) . buffet style breakfast treat , food excellent staff wonderful . highly recomende . sir , 
 Jun 15 2009 	 v Good Hotel 	 stay one night part xmas pressie Husband clean hotel , staff friendly ! ! good selection breakfast would defo stay location good Oxford street Covent Garden . 
 Jun 14 2009 	 good hotel professional staff friendly atmosphere . 	 good hotel . stay number time , occasion consistently meet professional staff , excellent service sense need customer meet . 
 Jun 14 2009 	 great location comfortable hotel 	 stay sister part theatre package . room ready try check early arrange do priority . room good size nice bathroom rear hotel . hotel busy quiet . breakfast include package . breakfast buffet breakfast plenty choice . hotel close Oxford Street right next Warren Street tube station easy get around . think nice hotel would recommend anyone travel London . 
 Jun 11 2009 	 great business meeting service 	 use hotel recruitment meeting , staff , food , room service excellent . 
 Jun 11 2009 	 nice breakfast - horrible room 	 good thing first : breakfast excellent , staff professional friendly , nice lobby cool art deco detail . pick proximity soho destination , turn not close , 's locate top tottenham court road , road long - 100 euro be ok . problem - room awfully small locate metre street level bed face big window face tube station exit , feel like sleep corridor face street , pleasant , also lot hustle bustle street throughout night , make good night sleep impossible . also 2 cm glitch floor door towards corridor . Bedpost lamp halogen spotlight ceiling , light whole room , bright comfort . room clean enough , window frame extremely dirty . guess not suppose pull curtain anyway , basically street . sure get room upper floor go , bring earplug . 
 Jun 11 2009 	 Great Hotel 	 stay radisson 2 night start June . 2nd stay hotel impressed . upgrade upon check pleasant surprise . staff helpful room great . would go back sure 
 Jun 9 2009 	 clean comfortable stylish 	 regularly isit hotel business- whilst bedroom relatively small like London Hotels everything comfortable clean good air con ice machine . breakfast service efficient wide range food option . staff helpful atttentive . top tip ask room bath rear hotel ensure quiet restful night . hotel central convienent Warren St Euston Square Underground station 
 Jun 1 2009 	 good enough price 	 firstly positive : reasonably well locate hotel staff generally helpful courteous . deluxe room ( pay upgrade anniversary ) good size . request quiet room give room back hotel , away traffic noise . unfortunately seem whole bank air con unit window mean , even window shut , noise constant hum unit room bit like plane . stay Premier Inn business night whilst quality range facility high Radisson , would expect , much well night 's sleep pleasant stay Premier Inn real shame pay double amount Radisson . finally , warn anyone want breakfast ... breakfast room far small hotel size prepare queue lot . get table first place , also get food . hotel management , wisdom , locate hot cold food , cereal , pastry etc part breakfast room mean everyone queue ( quite long time ) food item . time finish breakfast , food queue snake around room . mean pretty much load everything think need eat one go , avoid queue second time , also eat breakfast queue people right next table . hardly relax poor value bear mind high cost breakfast . time , would strongly recommend get breakfast one many cafe area instead . 
