Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Jun 16 2009 	 nice hotel 	 reserve online two week advance check room price day schedule arrive . rate go $ 40 per night call helpful lady adjust room rate . location slightly east side good . subway stop block . lot within walking distance ; shop , Museum Modern Art , Central Park . check - in go smoothly . room small ok . seemed good condition although prefer contemporary decor ; . nice blow dryer . love windows open . lot counter space bathroom . baseboard heater keep bathroom toasty warm rainy day NY . like guest program 's coffee delivery service morning . overprice in - room bar snack . use express checkout way . like noon checkout time . we would stay . 
 Jun 12 2009 	 Great Location clean nice large room Great Management 	 travel together 2 family total 7 people . email management arrival request certain accomodation . management respond email everything possible would do accomodate we true . request fufille view , 7th floor ok spend much time room anyway . arrive , room ready store luggage we . check smooth arrive back . , tour New York spend little time hotel relax . location great ! room spotless , large extremely nice . housekeep wonderful job doorman helpful . want mention especially William went always speak we , hold traffic us cross street , hail taxi extremely friendly . plus hotel ! would stay recommend due location , room management . day time refreshing experience business really care want happy ! 
 Jun 12 2009 	 Omni perfect location 	 Omni provide excellent ambience access business district . staff courteous 
 Jun 10 2009 	 LOVE Omni Berkshire 	 arrive early still room ready . room good size NYC clean . view greatest , ask room view . staff friendly helpful . maid could enough we . never prompt excellent service . concierge probably well ever encounter . say enough staff hotel . bar usual hotel bit price compare place stop .. paper morning fantastic coffee tea deliver room wonderful . also receive bottled water room first night stay . turn bed everynight room always perfect nomatter come back . could tell attend . 
 Jun 6 2009 	 absolutely complaint ! 	 stay 5 night memorial weekend . good sized room 2 queen bed request . definitely sign free internet coffee service plus free paper deliver request . friendly staff concierge cleaner . excellent location shop sight . little bit noisy night centre Manhattan get see Nicolas Cage film street ! . Isadora be across road useful snack etc . bad breakfast Prime Burger opposite St Patrick 's ... good breakfast Madison 's 3rd Avenue . enjoy two late night Fireside bar - pricey decent measure ! would definitely return . 
 Jun 1 2009 	 great - horrible . 	 frequent travler excite get Omni hotel PriceLine . end land one 5 night trip $ 150 night . bad . check quick , lobby clean straight forward location hotel beat . upgrade superior room since PriceLine always get every hotel 's sub - par room . room fealt date , Motel 6ish . bathroom also small . tv old , small side ( come expect nice big flat screen 4 star hotel stay day ) . strange thing : first night arrival go jump bed quickly realize bottom sheet comforter , mean comforter rest atop body . public comforter use every guest ... unacceptable quickly phone front desk , run sheet we tell although never provide top sheet would make sure maid make aware preference would leave top sheet remainder trip . well go 2 4 call top sheet 2 night . strange . 
 May 29 2009 	 Excellent Service - would highly recommend 	 husband recently travel NYC celebrate one year anniversary . book Priceline . week husband call ask would upgrade room other available . arrive find upgrade regular room junior suite 20th floor ! view great extremely pleased size room . sign select guest program receive coffee juice room every morning along free wi - fi husband two shirt press free . concierge helpful suggestion place eat , show see , especially use subway system . staff friendly general . order room service deliver promptly , set we , taste delicious . also eat restaurant connect hotel enjoy well . location great also - close restaurant , subway , shopping ( fifth ave 1/2 block away ) , tourist attraction . overall would highly recommend hotel anyone visit NYC . 
 May 27 2009 	 Excellent Location 	 Hotel clean Staff , especially Yumi , take great care we . able check early , everyone friendly . 5 minute walk Rockefeller , 15 Broadway , 20 time Square . feel safe neighborhood . area loud busy Times Square , plus . could walk busy section easily , could & quot ; get away & quot ; return hotel . 
 May 26 2009 	 Good Stay 	 fiance stay Omni Memorial Day weekend . find hotel accomidate servce friendly . check late Friday night find lady front desk helpful . general , find front desk personnel helpful entire stay . overall , enjoy stay , location centrally locate would stay . 
 May 9 2009 	 Central Location comfortable bed would return 	 wife & amp ; stay past April . business meeting , tag along see NYC . Berkshire Omni locate block Rockefeller Place Madison & amp ; 5th Ave . comment parking arrive JFK via taxi . check easy . room small ( standard big - city hotel ) clean & amp ; full amenity . example , full ironing board , nice hairdryer , mini - fridge , safe , etc . bath nice - light shaving mirror & amp ; excellent showerhead . quality toiletry . wireless internet room cost - nice touch ! bed superior - soft linen & amp ; super soft ( firm enough ) . time check exercise room ( nice work inside ) . staff friendly . bed turn & amp ; chocolate drink & amp ; cookie provide . newspaper door morning . rush - hour , hard get cab front , doorman try hard ! fortunately , subway 1 min away & amp ; take everywhere . area feel safe even night & amp ; load thing see nearby ( Central Park , Rockefeller Center , NBC , 5th Ave Shops , Time Square , NY Public Library ... list go ) . good location business pleasure . would stay . also - desk staff hold labtop manager 's office day check -- easy helpful . 
 may 8 2009 	 Great Value property location 	 stay family two night New York weekend . 's Plaza wonderful hotel even wonderful staff . good accommodate every request . concierge wonderful helping find direction subway address Brooklyn doormen secure car airport without problem reasonable rate . it be great location , close everything . Breakfast Burger Heaven 53rd ( right around corner ) wonderful next nothing . Close Park , Rock Center , practically 5th Ave , two subway station get anywhere . will stay . 
 May 1 2009 	 ok would stay 	 visit New York time like stay experience different hotel . the primary reason select hotel due 's location , good positively comment detail review . hotel show sign age , particulalry public area . initially allocate room 13th floor , unlucky . room overlook building site close proximity room noisy . acceptable request room change . initially offer room smoking floor , ideal we . bit persistence move , precise move room 8th floor front hotel . much view either , room reasonable size fitting fixture good condition . although , shower could really update . concerned traffic noise might problem low floor , however not disturb . initially , not find hotel staff particulalry helpful , couple time hail taxi , major problem know . also request concerige confirm restaraunt reservation day , surprisingly not do we despite write detail . although last day doormen friendly helpful . would stay , , hotel five star property , be three star plus , result comparatively overpriced . strong point 's location , New York , number well quality hotel vicinity . visit New York special occasion want stay somewhere remember , look elsewhere . be visit friend repeat visitor need room , could bad , could well . 
 Apr 25 2009 	 clean great location super staff 	 visit NYC six friend last weekend . pay $ 220 / night spacious ( even non - nyc standard ) well appoint room . room 1602 corner room entry vestibule , love seat ( pull ) , desk , chair / ottoman , wardrobe , king bed large bathroom . hotel staff terrific . glitch run book four room two double bed - even call twice confirm - ' leave ' 2:00pm check king - bed room . two roommate choose rollaway , fit fine room . hotel extremely well locate . 
 Apr 24 2009 	 friendly large room excellent location 	 well greet Omni provide beautiful upgrade marvellous corner room . room spacious well appoint . location hotel excellent , business shopping . 
 Apr 22 2009 	 Omni Berkshire equal Quality 	 recently stay Omni Berkshire Place would return hotel next time NYC . reservation handle great efficiency positive attitude front desk employee . book Spring Promo rate two night stay third night free . large premier room city view . good part stay two doorman William Lenny . two gentleman well meeting person enter leave hotel . day offer & quot ; Good morning & quot ; & quot ; help ? & quot ; provide good information regard place see go ny well direction . would hesitate recommend hotel friend look forward return next time ny . 
