good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 oct 13 2009 	 good value hotel 	 husband come back 5 night stay New Yorker Hotel great stay . check give complimentary room upgrade lovely view Emipre State Building add bonus . hotel value money clean , great location able walk majority sight . would return New Yorker visit New York hope point next couple year . 
 Oct 11 2009 	 great place stay celebrate daughter 21st birthday ! 	 great hotel oustanding location . center everything , walk distance everything , step subway . complaint room way small , sure room . 
 Oct 11 2009 	 Great Hotelwill visit one day . 	 great hotel great location everything want Big Apple . Taxi ride airport $ 55 toll tip problem , 45min trip . room large , want bed somewhere shower change . staff helpful would help anything . Tick Tock resturuant ok well cheap resturuant along 8th ave , Food Court good , watch amount Americans eat 8th/45th ave , food heaven . Charlie Os along ave get cheap beer $ 4 select cocktail $ 5 happy hour . tip , watch service charge , gather include tip do not pay happy service . if want ticket show Broadway , go Times Square 3 pm join queue , look bad , get quickly ticket 40/50 % cheap . 
 Oct 11 2009 	 Fantastic hotel location 	 return hotel say fab , hotel clean staff friendly helpful . location hotel even well round corner macy 10 min walk times square . tick tock dinner hotel really nice little price thought . macdonald across also starbuck TGI friday . request high floor get excellent view 37th floor great . hotel trip fantastic could complain would return hotel . 
 Oct 8 2009 	 Outstanding Hotel Fantastic Location 	 impressive hotel central sight want see first trip New York . service arrival departure friendly efficient , even get case put boot taxi we ! room clean comfortable double bed . go back New York , definately stay New Yorker . 
 oct 8 2009 	 great location friendly staff make shortcoming . 	 room small view city . clean staff friendly helpful . locate close subway station , able walk many attraction go see , i.e. , Empire State Building , Times Square . Tick Tock Diner hotel good , special . several fine restaurant within walking distance . would probably stay return NYC . 
 oct 8 2009 	 great hotel historic Art Deco feel modern amenity 	 Loved hotel , clean efficient , extremely conveniently locate . booked room little $ 100 could not worth . comfy bed , super quiet room , great bathroom - feel like NY 30 's . would stay sure . 
 Oct 8 2009 	 great view location SMALL room 	 first time trip New York , great pick . 's close everything walk distance every New York attraction . literally right across street Madison Square Garden . perfect situation , couple . family . room far small . diner connected lobby pretty excellent , Tick Tock Diner . eat almost every uber late night . staff friendly accomodate . 
 oct 8 2009 	 great hotel location 	 back day New York stay New Yorker . little concerned go read review say excellent . get good rate 1800 hotel . upon check pleasant receptionist upgrade we suite really lovely . spacious quiet ! location great diner good quick bite . downside check check reception slow due high level business . would definately go back ! 
 oct 8 2009 	 Excellent Hotel Great Location 	 return New York stay 4 night friend . we fly Newark get yellow cab Hotel , return airport one Hotels executive car cost we price yellowcab much stylish book consierge reception . on arrival check easy greet Mohammed nice friendly , give free upgrade room 37th Floor fantastic view city Empire State building.the problem ear pop floor 32 take hour get use altitude . location great 1 block Macys , times square 10 - 15 minute walk , central park 25 min walk . my friend walk mile mile much see en route do not even notice . this city fantastic touristy thing invest new york city pass go , pay £ 110 dollar , collect Planet Hollywood Times Square , get free entry 50 attraction miss queue work like fast pass , empire state , rockerfeller centre , statue liberty , madame tussaud definately worth money . we use tick tock diner every morning breakfast although bit tea toast girl first thing cook breakfast look really nice . we also come back couple night food nice staff friendly . highlight we Statue Liberty , empire state building night , shopping ( Tiffanys , Macys , Bloomingdales ) also book Sex City tour highly recommend fan show , see location , eat cupcake Magnolia Bakery ( die ) 2 3 Cosmopolitans steve bar afternoon , life do not get well . cant wait return 
 Oct 7 2009 	 's okay 	 hotel New York expensive . hotel little bit cheap rest . room small bathroom even small , least relatively clean . actually think hotel well expect , especially read mixed review site . good part hotel proximity Pen station Times Square . hotel good home base like walk around spend time site see . 
 Oct 7 2009 	 Look mouse ! ! ! 	 ticket concert MSG past Friday decide stay New Yorker . hoter GREAT LOCATION check go fast . room bed small hey New York ? half party staying go concert part stay hotel find mouse YES mouse say . move another room help bellman move luggage . receive comp breakfast diner hour later check - out think enough . yeah not think will stay 
 Oct 6 2009 	 Great Location ... 	 use review website money choose New Yorker Hotel . hotel great location , minute everything include Subway . take clean e train really anywhere west side City . room nice clean . bathroom old small yet functional . wonderful view Empire State Building Crysler buidle room . downfall stay New Yorker dinge elevator reach floor - our room right elevator . Tic Toc diner good expensive . chain resturant area jack price not alarm . research resturant prior come . challenge find great resturant mid town . keep mind 9th avenue head south club ... Museum Natural History huge plan go make day . SoHo Central Park favorite spot . 
 Oct 6 2009 	 never 	 spend two night ( three prepaid night ) New Yorker Hotel Manhattan . consider price people probably wonder leave early . well , enter room check little disappointed size oh well 's Manhattan . not expect share room large cockroach ' ve ever see life . immediately call housekeeping , hear cockroach room , housekeeping manager come upstairs course move another room . friendly still cut stay short possible would never stay . cockroach not travel alone - one , many . hotel management not anything make . apology , upgrade nice room , make wonder use ... 
 oct 6 2009 	 pleasantly surprised 	 mum book hotel part package trip check review tripadvisor expect much , excellent . location great get around , subway station ( Penn Station 34th Street ) right next door run C & amp ; e line right World Trade Centre Site west side Central Park ( also get train express not stop way - find late carry past 72nd Street want stop ! ) empire State Building couple block away , Times Square within 10 minute walk , Macy 's major clothe store within minute walk 7th Avenue 's easy walk downtown Chelsea , Union Square etc . room fantastic - manage blag upgrade mum birthday - spacious , modern clean good sized bathroom bath shower , huge tv sattelite channel , desk armchair . one small gripe try shower evening water cold , 9.30pm though evening swhen little early problem . lucky room look directly onto Empire State Building , quite impressive wake fall asleep looking ! check - in girl serve immensely helpful , polite friendly staff belboy encounter ( 3 even pass around bottle wine could not uncork someone manage ) pleasantly surprise not expect tip - belboy money hand get job not hang around expectantly . there tea / coffee facility room din next door , McDonalds across road , starbuck around corner lot fast food place convenience store , offer hot food drink take away . letdown location availability good food : love fast food will spoilt choice prefer fresher , less greasy , healthy option go little afield , especially breakfast dinner . hotel restaurant , Coopers , ok quite limited menu . lunch light breakfast ( croissant / pastry / french toast ) good coffee Dean & amp ; Deluca five minute walk away , head towards 7th , ground floor New York Times building fantastic sandwich , snack , cake , cappucino hot chocolate ! sum , would definitely recommend New Yorker anyone want easy access main sightseeing must NYC would recommend ask room 20th floor - 32nd problem noise see review people complain street noise . ' ve see sight though would choose stay Greenwich Village less busy less crazy vibe . New Yorker great seeing sight central not good area surround area busy , always feel safe find easy get back always cab around not fancy subway , although easy use . 
 Oct 5 2009 	 Broom closet room 	 small room , tiny bathroom - shelf put toothbrush etc . coffee make facility . assistance luggage . 
 Oct 5 2009 	 great hotel great location 	 stay new yorker 3 night end september partner . do not arrive hotel 10.30pm , queue reception receptionist really friendly . lobby hotel beautiful huge . go room corridor bite drab room perfect trip , clean , colourful comfortable large bed . room bit small small room stay , new york . plenty room two we two large suitcase . bathroom bath shower toilet clean big enough purpose . hotel within walk distance many thing , empire state building see hotel , walk central park , financial district , chelsea , soho . do not want walk penn tube station madison square garden right across road . location cleanliness would book hotel next stay new york . 
 Oct 5 2009 	 Fantastic Hotel . great view 	 take partner New York surprise 30th birthday . obviously want everything perfect , be . I take lot time read review many hotel New York finally decide New Yorker . hotel seem mixed review , suppose 's everyone 's personal experience . my experience New Yorker extremely good . book holiday email hotel directly upgrade city view room . hotel helpful respond request prompty . we arrive hotel around 1 pm . room check 3 pm , however issue check immediately . also upgrade tower room cost city view upgrade already request . room 39th floor view fantastic , financial district statue liberty ( could see : ) .The room good size , presumably give tower room , sure standard room like . room probably would usually get vacation spot probably big usual New York judging review . room clean comfortable . we fridge room can pop water arrive . not get replace , could not really complain have upgrade extra charge anyway . realise , excitement forget tip clean left tip , surprise , surprise fridge magically re - stocked : ) .The location pretty good although think stay close Central Park Times Square would bit easy foot : ) overall pleased hotel . location good staff helpful friendly would happy stay again . General New York tip : not forget tip , 15 - 20 % usual . plan want soooooooo much , will not fit in . do tourist stuff - will not regret it . do not go & quot ; 21 Club & quot ; resturant , ' ve never pretentious boy club life . soon get want leave . 's dark , dingy , food price average good . staff seem walk round head rear end . I take partner World Yacht Dinner cruise birthday . bit worried may bit cheesy overprice , one good night life . great food . great atmosphere , fantastic sight - must opinion , worth every penny . I hope enjoy trip New York much 
