Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Jun 2 2005 	 be not JW Shanghai ... 	 solid hotel . whether cream crop 5 star family luxury / premier hotel debatable - think flagship Peninsula HK , Ritz Carlton , JW Marriott Grand Hyatt Shanghai , Oriental & amp ; Regent Bangkok . think Peninsula Palace Beijing . my comment minor 1s barometer comparision set outstanding property note , noticeable . staff guest ratio good nothing ordinary , always wait cab , concierge seem overwhelmed time , construction around building start 7 am morning one choice get ( & amp ; could also take afternoon nap ) , drainage bathroom like old college dorm room . , nothing severe chink armour 5 star contender . Huang Ting / chinese rest . excellent - quality & amp ; value wise . conversation - interrupt Peking duck . stop think duck ... also go famous Peking duck rest . busy street behind T. Sq / Mao 's maus . every guidebook & amp ; /or mag / newspaper article mention ( think open since late 1800s ) . be ok . Toyota Camry & amp ; pay price 'd rather Lexus . pay amount quality duck & amp ; service compare without tempt ridicule little child . zing , rest . , breakfast serve - review site note , excellent . lot choice - western food dim sum . get busy rush hour morning traffic though ( seem lot tour group hotel ) . however , rest . also highly rate 's dinner ( Conde Nast rank think ) - sis try dinner yet give thumb . conclusion : get decent rate , go . otherwise , may want check Hyatt ( connect oriental Plaza - great food court ! ) 
 may 20 2005 	 stay 	 say fabulous , hotel get right . moment walk foyer treat wonderfully . travel China , also travel world , say hotel good breakfast buffet ever see . room wonderful exceptionally clean . I praise hotel Beijing enough . return September would never stay anywere else . stay great confidence . 
 May 4 2005 	 truly magnificent . real 5 star reasonable price 	 extremely well situated , walk distance Forbidden City Tienanmen Place . luxurious hotel , mix traditional modern . splendid decor . room bathrrom real 5 star . restaurant facility outstanding breakfast supper whether Jing Huang Ting eat delicious Peking duck ( even 2 different occasion ! ) impeccable service , registration bedroom , first class conciergerie service . polite staff good accomodate aspect stay . drive airport mercede limo . help 2 Peninsula 's bellboy airport ( stay day accomodate incoming outgoing client ) make sure get connect flight Shanghai . take we way gate . luxurious berroom bathroom daily change towel faucet purify water . tv take bath huge plasma screen bedroom . great hallway little bar enjoy 3 - 5 musician play either classical soft music . 3 floor world prestigious boutique hotel , although must expect pay home . go shopping market Beijing bargaining tradition must . fitness first quality . enjoyable stay truly 5 star hotel . price beat 5 star Beijing . 
 May 2 2005 	 oasis Beijing 	 other note , Peniunsula Palace oasis within noise , chaos , dirt Beijing . renovate year ago , room decorate asian - western fusion style silk bed accessory hi - tech plasma tv . bathroom compact practical soak tub granite marble feature -- plus amusing bathroom tv . staff hotel outstanding consistently helpful attentive . especially enjoy beatiful fitness spa facility , include wonderful indoor pool area thoughtul item tuck locker : robe , plush towel , flip - flop , even drawdstre plastic bag transport wet bathing suit . breakfast buffet , include room rate , heavenly -- perfect mix dim sum , japanese , usual western standard . hotel stay China , Peninsula far good breakfast . service breakfast slow , however ; tea coffee cup routinely run dry , pancake waffle maker seem take lot break . meal , restaurant Jing relatively unremarkable except great decor , enjoy breafast anyway . dinner solid , hardly inspire , culinary perspective frustrating service perspective ( could not find member wait staff speak enough English communicate allergy milk product , end dinner soak butter tnat send back ) . Huang Ting , hotel 's major restaurant , much well antique chinese decor , highly attentive service , great chinese food . overall , great hotel . perk include easy walk distance Beijing 's major shopping district , nightly Snack Market ( brave ! ) , major sight city , include Forbidden City . 
 May 1 2005 	 Excellent hotel Beijing 	 although many new hotel continue pop bustle city 15 million people , Peninsula Palace still great place stay . location hotel exceptional pedestrian mall block away . hotel well appoint room although not huge . offer two twin bed ( actually double ) . bathroom beautiful even tv allow view shower bathtub . also separate water faucet bathroom drink make nice brush tooth . daily ill affect . manage maintain coolness room night long , important sleep soundly . Breakfast include Jing restaurant . exceptional . good array international breakfast cuisine find trip China . also internet access run 45 Yuan 15 minute $ 8.50 US . staff pleasant speak English . helpful like might find first rate hotel NY . great place stay . 
 Apr 25 2005 	 Peninusla Palace ! 	 return Beijing . 4/16/05 - 4/23/05 . Stayed Peninsula Palace . fantastic hotel . minute step car till moment leave treat wonderfully . take quite bit getting use , state accustomed service attentiveness . normal folk expect thing ... fact , 25 year old daughter comment trip back restroom lobby bar , attendent everything short go bathroom ! ! ! ! hotel number one service also beautiful . standard adjoining room well appoint decorate great view main street . breakfast include room rate delicious restaurant beautiful looking well . absolutly nothing negative say hotel . last time go hotel wonderful around , Ritz Maison Orleans New Orleans , LA , USA . Peninsula Palace , top , see next trip ! ! ! ~Elle 
 Mar 20 2005 	 Fantastic 	 hotel wonderful start finish . when check , although chinese speaker we insist speak English . service staff throughout prompt impeccable . one party birthday send birthday cake room . the room newly decorate immaculate everything could want tv bathroom . buffet breakfast Jing good China really good choice western chinese food . include rate 135USD night ( + tax ) . beautiful restaurant unfortunately chance eat evening . order room service one night , bad reasonably price five star hotel . hotel lot facility time take advantage , although time wander around designer shop lobby . problem work ongoing day , quite noisy try nap jetlag , stop six clock night . base experience would recommend hotel anyone . 
 Mar 16 2005 	 Best Place Town 	 Everything Peninsula Palace spectacular . however , service definitely stand alone good reason come hotel . staff , level , terrific incredibly helpful . hotel undergo recent renovation facility outstanding . standard king bed room spacious city hotel , well appoint nice modern furnishing contain large plasma tv reviewer rave about . we get club level room come club amenity well worth . club lounge serve delicious breakfast day , snack afternoon tea appetizer evening cocktail . take advantage offering club lounge stay . we also eat hotel restaurant find quite reasonable ( US dollar standard ) good . Huang Ting , chinese restaurant hotel , good highly recommend . one note caution , go Quanjude Peking Duck restaurant one night rave several tour book place go Peking Duck . rather disappoint expensive meal impressed . perhaps bad luck ... location hotel also excellent within walk distance Forbidden City & amp ; Tiananmen Square well good mall shop eating . I would highly recommend Peninsula anyone travel Beijing ! 
 Feb 25 2005 	 Service luxury location - three ! 	 Nov 04 - second trip Beijing , take american friend side - trip Hong Kong . ' amazing great hotel experience change opinion city . last visit ( Apr 04 ) , stay New Otani disappointment detract overall Beijing experience . we arrange hotel transfer airport seamless . upon arrival Peninsula meet motor lobby hotel staff immediately escort club lounge , experience make feel special business value . book club level receive superb check - in club staff . mistake one room reservation need twin bed ( re - confirmed phone 2 day prior ) , not available , upgrade companion suite . excellent recovery . the room lovely housekeeping staff , good . bathroom double room little tight ( nothing beat Singapore Ritz - Carlton bathroom ) , nonetheless nice . room light tv control state art well flat screen tv wall leave plenty counter space top bureau ! room great chaise lounge nice alternative always relax bed . business center perform quick task without much hesitation . concierge staff amazingly patient accommodate good recommendation . dim sum hotel restaurant delicious . Breakfast , tea cocktail hour club level well worth it . my husband discern hotel guest stay many top hotel Asia . hotel exceed expectation . 
 Jan 31 2005 	 far good 	 stay Peninsula Palace mid - January end visit China , prove perfect end trip . minute driver porter meet we baggage claim whisk we away Mercedes , excellent experience . meet door escort club level , relaxed drink check - in . room beautiful perfectly appoint - console bed control everyte room ( okay , bit afraid couple large plasma tv might render husband unwilling leave ! ) . lcd tv bath ice . breakfast , tea , cocktail , superb chocolate , along help reservation transfer make perfect hotel bargain . 
 Jan 25 2005 	 superb oasis beijing 	 civilized oasis away bustle beijing ... lovely hotel , good location , attentive staff , excellent concierge , tastefully furnish room huge flat screen tv ... spend one morning bed watch riveting film ... marble bathroom also tv ... nice swimming pool , excellent breakfast buffet ... good , get bicycle hotel , unmatched explore city , especially go hutong . can not wait go back ... 
 Jan 11 2005 	 Palace Hotel deserve sixth star 
 Dec 20 2004 	 Great Hotel 
 Dec 8 2004 	 great Choice Beijing 
 Oct 22 2004 	 Good Hotel Beijing 
 Oct 22 2004 	 Peninsula wonderfully enjoyable 
 Sep 22 2004 	 fantastic hotel 
 Aug 9 2004 	 Flawless ! 
 Aug 1 2004 	 miss book 
 Jun 23 2004 	 Best Hotel Beijing Comfort Service Location 
 Jun 21 2004 	 's really Palace ! ! ! 
 Jun 21 2004 	 Espléndido 
 Nov 26 2009 	 Molto elegante ottima posizione e con una spa fantastica 
 Nov 26 2009 	 fascino old england 
 Nov 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 oct 9 2009 	 ? ? ? ? ? ? 
 Aug 29 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 3 2009 	 ? ? ? ? ? ? ? ? ? 
 Sep 12 2008 	 Luxus Pur 
 Jun 8 2008 	 o.k . 
 May 21 2008 	 Excelente ! ! ! 
 Sep 2 2007 	 Meriterebbe un restauro 
 May 8 2007 	 Ruhige Lage aber überbewertet und zu teuer ! ! fitness abgewohnt 
