Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Sep 10 2006 	 Average @ Essex House 	 Stayed Essex House labor day weekend . got decent rate hotels.com . regular rate stay would dissapointe . pro ... Staff ( except bellman ) seem upbeat welcome professional feel , probably Jumeirah influence . room clean , small , unspectacular . king bed low floor city face . hotel lobby area general appearance meticulous . con ... Bellman take bag we taxi driver pull cab , follow we front desk wait almost hand tip ( two light roller bag ) , grudgingly give . take long bag arrive , wife friend bring . poor form lazy behalf . room service inconsistent sometimes room clean well , time non - existent . since not spend much time room not disspaointe , not 4 star . would hope Jumeirah impress normally flawless service entire staff , hotel eb restore glory year starwood mediocrity . way think management great job keep noisy renovation away guest , obvious major overhaul ongoing teh worker , never hear peep . impressive consider similar situation . 
 Sep 9 2006 	 great stay Essex House 	 stay Jumeirah Essex House 4 night September 1st . location fabulous right across Central Park fortunate park view 14th floor . we get good deal Quikbook $ 228 night great value hotel . room decent enough size comfortable . room due renovate Jumeirah good thing start look little tired hotel high end market . the staff hotel always pleasant accomodate could fault . I would stay probably never get good rate future . 
 Sep 9 2006 	 Art Deco Splendour 	 fantastic stay Essex . lovely room view park 14th floor . view breathtaking room well appoint . bathroom nice , especially double headed shower . bed comfy . recommend place highly enough . 
 Aug 30 2006 	 Excellent Place ! ! 	 stay Essex House weekend recently truly wonderful experience . location simply perfect , step Central Park amentie mid - town Manhattan . room comfortable hotel bar great place relax . highly recommend hotel especially get good deal ! dinner - Rue 57 near hotel excellent French Brasserie Brooklyn Dinner top place breakfast / brunch . 
 Aug 30 2006 	 really nice hotel 	 orginally book unknown hotel Hotwire give Barclay Intercontinental NYC . 2 day due arrive receive email Hotwire say overbooke we move we Jumeirah Essex House . check website look nice pleased , especially since Howire refund 1 night stay we ! arrive early , well check time 3 pm , accomodate let we check room immediately . room nice , clean quiet . nice bathroom bed confortable . room big NY standard . rest hotel refurbish would never know . good night sleep ever , would definately return . 
 Aug 11 2006 	 miss already ! 	 husband spend 10th anniversay NYC great time ! Essex House pleasent surprise ! location right across street Central Park literally around corner 5th Avenue shop one couple could ask . yes , hotel undergo renovation would never know never hear noise . room clean , nice sized , clean bathroom , a / c view park ! feel doorman live Park Avenue aprtment ! staff great friendly . one complaint really complaint : bathroom vanity small side everything NYC ! * * terrific car service JFK hotel : Pat 's Lincoln Towncars 917 - 412 - 0544 ( nice New Yorker ever meet ! ) * * Best cheesecake : Carnegie Deli 7th AvenueThanks Essex House Trip Advisor ! back ! 
 Aug 8 2006 	 Nice Hotel 	 Essex House undergo 's Jumeirah makeover complete ' m sure one hell hotel . meantime rate pay pleasantly surprised . room superb , bed world location hotel could not well , great location extremely quiet . my gripe bar expensive , staff could train deal customer Jumeirah way , internet free ! : ( would stay ? yes , rate good get time : ) 
 Jul 30 2006 	 nice stay park 	 brief trip New York know would people come hotel room want make good impression . Essex House , adjacent Central Park deliver . one small suite . two bathroom , living room couch two chair , well well appoint bedroom . view quite nice furnishing adequate . item bit date showing use . however , general hotel quite nice . location great . take good afternoon walk park Metropolitan Museum Art ( take cab be long walk ) . return evening town final drink hotel bar . crowd nice service great . atmosphere general nice . would recommend Essex House stay anyone . 
 Jul 17 2006 	 Hated ! ! ! 	 book one night stay broadway.com . tell broadway.com rep would room view Central Park . view . room back hotel , view room . water toilet run continuously flush . call front desk twice tub back . first time someone come resolve problem even though claim . second time problem resolve . later evening get ready go need iron . iron room work properly call front desk ask another one . wait twenty minute still iron . call front desk finally work iron bring room . ready night walk hail cab . doorman try take cab give guest ballroom hotel . horrible totally worth money . check also terrible experience woman speak smug . feel like unwanted guest . e - mail comment hotel website . wait 5 day answer . e - mail receive response apology tell next stay would receive complimentary suite upgrade . would possibly want spend hard earn money stay . recommend hotel . also e - mail broadway twice finally receive response disappoint . rep apologize go state positive review customer . 
 Jul 14 2006 	 Loved ! ! 	 great stay hotel . front desk helpful room immaculately clean . standard queen room . bed fantastic quiet . location fantastic , right front central park , within walk distance great shop times square . we definately return hotel ! 
 Jul 7 2006 	 great hotel experience ! 	 finally find perfect New York City hotel , plan stay every time return city . usually stay Starwood hotel Essex House buy Dubai Arab - own Jumeirah chain . middle completely renovate beautiful hotel though could not hear see work do . gorgeous marble lobby welcome clam oasis excitement city . directly across Central Park Sixth Seventh Avenues , location perfect Fifth Avenue shopping Theatre District energy . stay fifth floor Park View room ideal enjoy green park watch horse carriage park activity . view upper floor breathtaking prefer . bed comfortable Westin Heavenly bed though everything going replace . furniture rug tired look time . service outstanding , friendly extremely prompt . husband share large breakfast room . everything delicious perfectly prepared . ask fluffy comforter wool blanket deliver quickly . room doorbell way . book Quikbook get good rate . 
 Jul 3 2006 	 well expect 	 first , location perfect . Central Park right across street major shop meccas within 15 twenty minute walk . bed comfortable , bed clean worn . great workdesk broadband . bath amenity top drawer - Penhagligon . staff friendly accomodating . , comfortable stay . also find great deal , bonus ! back . 
 Jun 6 2006 	 stay next time 	 stay partner Astor suite Jumeirah Essex House week - end 26 - 29 May . price give web - site ( usd 599 ) absolutely great location huge suite , much well 5 star neighbour . really enjoy excellent service fantastic view central park ! small disapointment service : request 6 usd flat fare request bring cutlery ... strange 5 star suite quest . stay next time sure ! ! 
