refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Apr 24 2004 	 need TLC ! 	 Queen Elizabeth expect . expect 5 star beautiful city hotel , instead find hotel need load renovation . room old section look like bed carpet 1970 's . dissappointe . location good , worth money spend . 
 Mar 29 2004 	 need work become place 	 one stay city many time , agree say decor strike one 1970 . queen supplant Lowes Vogue Delta place city . room not particularly big luxury hotel . one plus place large pool nicely equip gym . like other , expect spend C $ 75 / day top list price taxis , parking whatnot . not addict five star service want real Montreal experience , would prefer Chateau d'Argoat . 
 Mar 25 2004 	 disappointingly outdated hotel . reasonable location . 	 hotel disappointment . stay two fairly nice fairmont hotel Canada ( Vancouver Edmonton ) , quite disappointed one . hotel large conveniently locate ( top train station ) , look outdated , victorian outdate 70 's outdated . expect Fairmont . bad , bad would not stay choice . 
 Feb 16 2004 	 great hotel worth money 	 comparable price Sheraton , Mariott Hilton , much well accommodation , service location . try keep come back Queen E. Newly renovate well ever . compare hotel price NYC bargain ! ! not get wrong discount hotel , expensive other 's caliber . 
 Jan 21 2004 	 well hotel area - avoid one . 	 not let appearance mislead you.- fire alarm throughout night - valet parking $ 22 / night ( car get scratch ) - $ 12.95 in - room internet access ( hotel area offer free ) - charge $ 1.15 per call toll - free number - price breakfast extreme ! ! favour take moment look hotel area offer well customer service facility . 
 Nov 2 2003 	 overall nice 	 centrally locate hotel Montreal . want middle thing , stay . not like : lobby not impressive , amazed much nice area hotel . like : leave lobby , everything get nice . room really special ( stay mini - suite , like two room price one ) restaurant supurb . pool nice , get noisy 's many people . hotel situate right nice underground shopping Montreal . hotel elevator actually go right train station shopping promenade . elevator suprisingly fast , will not wait even high floor . forget lobby ( care anyway ) place . 
 Oct 14 2003 	 Great Hotel 	 Fairmont Queen Elizabeth great location within walk distance shop , easy access underground shop train . the service excellent , concierge extremely helpful . definitely stay . 
 Sep 25 2003 	 Gold Service Montreal 	 room gold level Queen E. stylish . use private salon R & amp ; r great wife . 
 Sep 17 2003 	 avoid hotel 	 although somewhat regular patron Queen Elizabeth , recently experience drop ' terrible ' category avoid hotel & amp ; recommend everyone . recent stay alarm system ' go ' numerous time midnight & amp ; 4:00 , include announcement stay room , real emergency apparent . 2nd 3rd time happen , tell happen guest time . fundamental problem system . another incident hotel employee walk un - announced room even ' do disturb ' sign door . overall experience terrible , well choice Montreal . 
 Jul 14 2003 	 Fairmount Queen Elizabeth 	 little expensive , splurge wife . worth . Hotel Downtown , connect entire & quot ; underground & quot ; train , metro , shop food . concierge service great . hotel minute Quebec tourist info center , ( catch double - decker bus great tour . ticket good two day , get & quot ; lay land & quot ; , use bus like taxi get city . entire week superb ; friendly people , excellent food , good shopping bargain . 
 Jun 7 2003 	 Loved every moment 
 May 1 2003 	 Bugs 
 Mar 22 2003 	 Loved Queen Elizabeth 
 Feb 21 2003 	 dump ! ! ! 
 Feb 19 2003 	 QE Hotel Disappointing 
 Oct 21 2002 	 Big Terribly Special 
 Sep 9 2002 	 Hotel Theft - ruin family vacation ! ! ! 
 Mar 18 2002 	 Great Place couple ! 
 Mar 18 2002 	 vista espectacular 
 Oct 31 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Oct 21 2009 	 Sehr schöne Haus mit Stil könnte aber hier und da renoviert werden 
 Oct 10 2009 	 für ein Fairmont eine Enttäuschung 
 Aug 20 2009 	 El mejor hotel de Montreal 
 Aug 15 2009 	 Magnifique 
 Aug 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 18 2009 	 ? ? ? ? ? 
 Feb 16 2009 	 Ne perdez pas votre argent ! 
 Aug 28 2008 	 Un excellent séjour 
 Nov 5 2007 	 Niveau satisfaisant si bon prix obtenu au préalable 
