nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Jul 5 2009 	 great value central location short stay 	 perfectly happy stay St Giles , not quite understand many bad review . check hour early queue ( Wednesday ) , quickly get room key ( although receptionist seem insist speak mother instead even though one pay - know look young even ) ! not wait lift go , wait minute come time 11th floor expect . room clean , lovely size , open window ( noisy Tottenham Ct Rd side expect prime location middle London ) . nice little bathroom - small shower , sink toilet could need ! whole hotel stiflingly hot go one hot day year ( easily 32c outside ) . fan room ( though make sure proper look around get not find till next morning ) ! could invest air conditioning hotter month , even reception / restaurant area . Breakfast ok . would not rave good selection - full English , cereal , fruit , yogurt etc . complaint one could apply many UK hotel - lactose intolerant therefore either lactose free soya milk cereal . ask ( foreign ) member staff ' m lactose intolerant say sorry , not skinny milk , use semi - skim ! think ask low - fat milk ( ! ) - could not get drink normal milk make ill , frustrated ! go Sweden recently - lactose free milk behind counter ask - great ! UK hotel follow suit . other little gripe , great stay hotel . 's perfect central West end theatre ( reason stay ) be literally 10 step Oxford St shopping heaven , across road Soho Square - rare green bit London - perfect relax London heat waiting show start . , happen go soon , will pleasure one many park piano place across city , anyone walk start entertain ! 
 Jul 2 2009 	 Great Location - Shame Hotel 	 twin room tiny , bathroom extremely tiny shower unit ! ! - well think swinge cat come mind . must highlight fact ask 2 occasion something do noisey , wobbly bed . neither friend get sleep weekend break London . threaten take mattress bed sleep floor thing make bad saw state heavily stain mattress . decent breakfast breakfast room ( cafeteria ) tired shabby . 
 Jun 28 2009 	 room ready arrival 	 arrive 2 pm tell room ready could give time . flight book London Eye ticket Oliver , leave luggage concierge desk chance freshen afternoon evening . get see room arrive back midnight . plus room 3 adult , least 2 room small . bathroom unbelievably small shower nonslip floor ( feel unsafe ) . fan , thank goodness room hot , extractor fan bathroom open window non - starter ( traffic noise ) , however plug fan move unit unplug TV.The last trip lobby result 10 - minute wait lift ( 8th floor fancy stair ) . lift small 6 people plus case enough stop anyone else get on . plus - . central , breakfast ok busy . Lazy Dog bar - excellentwould use - extremely unlikely 
 Jun 28 2009 	 would never stay ! 	 hotel good location . reasonably clean . breakfast edible . nothing get steal . 's good stuff ! arrive 2.30pm two child theatre break . book two room allocate one straight away , promise room next one would available later . leave bag one room go sight seeing . arrive back 5.30pm tell near room three floor away ! ! husband go share one child would not alone , want near familly ! ! never ever problem hotel . second room tiny shower head spray water bathroom , soak clean clothe . room key not work take tired daughter back reception get re - set . take 20 minute ! live next field full sheep , outside traffic noise not bother . expect big city ? however money pay , would like shower key work . theatre show see Oliver brilliant . Rowen Atkinson fantastic . meet Jodie Prenger afterwards lovely ! ! 
 Jun 26 2009 	 Glad not pay ! 	 stay one night business , book hotel myself . the lobby hotel deceptive , give good impression guest . I shock though arrive floor . when lift door finally open , something reminicent university hall residence reveal . pink carpet fit floor properly drab hallway . my room double , glad stay alone would enough room two woman get ready room size . the tv old symbol rubber button wear , take guess work operate . old style tv big back , open window nearly whack tv onto floor . the traffic loud room hot , one must endure sleep . location hotel excellent , traffic noise expect , proper air conditioning also expect traveller . for though real disappointment bathroom . bit fear nasty bathroom . small space , noisy pipe poor lighting , leave feel anxious , ' m afraid not manage long shower hotel . shower build cubicle space bathroom , mean shower curtain shut light . tired old fashioned bathroom , tired date room . stay travelodge etap much cheap much nice . 
 Jun 13 2009 	 great location ... everything need city break . 	 Stayed St Giles Hotel begin June 2009 . hotel huge 11 floor think 1000 bed room . the room quite small compact ... clean . deliver everything could want weekend break . although provide iron room . designate iron room . downfall hotel time wait almost 5 - 10 minute elevator . 9th floor , face stair challenge . four elevator 1000 room , atpeak time elevator really busy . reception large staff meet efficient . however whole lack personal touch , be impersonal easily feel like number . breakfast take buffet format , much help attire . nice simple . the location great . right next Central Point . Tottenham Court Road Underground . also right beside ' we Rock Theatre ' . round corner Soho . location great selling point . the hotel always semme well staff . always concierge help . the Bar attach hotel nice . dine within hotel - except breakfast - hence comment restaurant . overall , simple , large - nice . 
 Jun 12 2009 	 Basic central London accommodation 	 place great location dew min walk Tottenham Court Road Tube close main theatre area . however basic , ie small shower , bath , small bed room decor wise stick 1992 ! look somewhere convenient bother frill luxurie flat screen tv etc , be ok . feel bit like youth hostel . need get well lift though it d fine going seem wait age go . be never £ 100 basic room though central London Ok . get £ though head somewhere like bayswater . 
 Jun 10 2009 	 Overpriced Small Noisey rubbish go ! 	 hotel well locate shame let pay £ 97.00 double room ! turn twin partner would want 2 single bed ! ? ? ? ? upon arrival room twin ( 2 single bed ! ) could not change room tiny shower rubbush room noisey stuffywhatever stay like hostel triple price way near good ! 
 Jun 4 2009 	 short trip London back 	 Hotel situate centrally . a nice place stay general day standard dbl room narrow bed 2 person stay room one insist twin bed standard room . facility like tea /coffee facility breakfast choice etc quite satisfactory . the concept room service probably never give importance , eg get glass bottle open nowhere bottle opener available even contact operator / housekeeping / restaurant . such small handicap irritate patron . breakfast item quite repetitive 7 dyas even choice egg . it surprising note breakfast restaurant hot milk nowhere available simple cup tea . this true experience describe stay . management shud seriously consider improvisation irrregularite . 
 May 26 2009 	 Business bonus 	 stay St Giles recently really happy see great deal breakfast great service staff . manage get room inc breakfast HC ( link ) seem kind offer here . the location great staff friendly helpful , hotel little old worn location price certainly good option £ 100 night mark.http : //www.hotelsclick.com / index.php ? & amp ; country = united_kingdom & amp ; city = LONDON & amp ; hotel = ST._GILES & amp ; hotel_id=4806 & amp ; distributor = Tripadvisor 
 May 25 2009 	 nice enough Altho expensive 	 9th floor , room tiny , clean , be not much be not real problem . also quiet really like whilst away . buffet breakfast thoroughly enjoy think high standard . do not get info desk staff breakfast etc ... manage find way easy enough . hotel easy access lot transport . 
 may 24 2009 	 do not shock ! 	 that s receptionist tell we go look single room ! think book 2 double . shock ! ! room tiny corner building claustrophobic . receptionist helpful manage move we two twin room fine . room clean . noise hotel noisy window open can not help central London ! ideally situate everything touristy . breakfast fine . staff helpful friendly . would use overnight stay . 
 may 22 2009 	 well expect ... 	 book hotel month ago , two night midweek break , read review make worry little . however book executive double picture , lovely big modern shower room , marble wall spotlessly clean . 9th floor back bother noise . room warm benefit air con spot second day ! room not huge right , comfortable digital tv wall . look map floor could see small room be - literally half size see people mean room size . not realise get room entitle ' executive ' breakfast . turn japanese restaurant lovely , choice hot breakfast serve table help cereal , juice , croissant etc . half dozen people quiet . first morning . second morning , arrive find due technical problem executive breakfast direct main buffet breakfast ok not busy . soon come realise though spoil previous day food not good quality , cereal milk sour , pointed member staff tell another milk machine unfortunately also sour . partner cook breakfast look ok though coffee alright . I must say though good stay . reception polite efficient , although queue little slow busy time , concierge helpful , lift always busy not long wait , hotel perfectly situate West end compare hotel central London price , would say great value money . also try hotel bar find cheap bar surround area benefit waitress service . we would stay without doubt . 
 may 20 2009 	 would definately recommend 	 would definately recommend hotel . use . stay disabled room - advise booking room not people 100 % reliant wheelchair - thankfully ' m . thing slightly stuggle door big enough standard wheelchair - way could propel . speak highly enough staff . concierge staff amazing . 8 step reception use wheeelchair lift always ready wait we . also bring collect luggage room leave have check 11 am ( collect 6.30pm ) . Everytime needed taxi concierge would take we always help . breakfast need use service lift ring one staff take we . prompt . go breakfast 8.15am problem find table . 8.30 get busy people wait long . stay 2 night find room plenty big enough need - place rest sleep . 
 may 14 2009 	 choose another hotel option 	 book hotel business trip , voluntarily choose stay . location right heart tourist zone : corner Tottenham Court Road Oxford Street , theatre China Town / Soho doorstep . however , optimum location sight - see great trying get sleep road outside noisy night long ( even ear plug ) make impossible leave window open . suspect would stifle summer , air conditioning . check - in painfully slow hotel cram many room possible square footprint , make lift service inadequate : prepare wait long time use ( hide - away ) stair . stay hotel globe deeply disappointed room give price ( £ 70 + ) . could not quite touch wall room hand outstretche , far . single room tiny remind cabin ferry - especially microscopic bathroom ( open door bathroom would remove knee anybody sit toilet ! ) . addition , cistern toilet constant overflow shower unit , noise dribble aid sleep . quality food breakfast OK 's mad canteen service grab food try find space sit next guest . clean come room 8.20am 8.30am , somebody come try clean inside window ! point , gave leave . sleep well . enjoy stay good mood meeting . sorry , can not recommend hotel . 
