consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Jan 3 2005 	 Good Choice 	 nice highrise North Side Hyde Park good residential neighborhood . tube station basement , convenience store friendly pub across street- could want ? room clean modern , staff helpful . go everyday forage cheap food not try restaurant . great location walk park . ask coffee / tea tray bring pot . 
 Dec 2 2004 	 Great Location Excellent Hotel 	 arrive back 2 fabulous day London Royal Lancaster , excellent location , really helpful attentive staff . good sized room fairly small functional marble bathroom . fantastic view London , good air conditioning noise . room spotless . all good hotel would'nt hesitate return . 
 Oct 7 2004 	 Great Location 	 stay July 2004 . check room early helpful . hotel nothing get excited fine 4 * hotel room reasonably clean adequate size . room could redecoration furniture seem bash around bit . the location hotel fantastic we close Paddington Heathrow Express right central line tube ( tube station 50 yard hotel ! ) . brilliant location stroll Hyde park well hotel overlook . 
 Sep 28 2004 	 Practical moderately price 	 Though origianally CA , live Milano , Italy past 3 year , travel Europe UK extensively , stay 4 5 star hotel . hear hotel BA holiday website , book room Royal Lancaster website bargain 80 pound night ( around $ 140 ) upon check husband , reception ask we would like upgrade large room supplement 70 pond night ( decline ) Upojn ask room park view , ask would like upgrade suite ( decline ) key would let we room initially , persuade maid let we . room nice ( small ) locate 14th floor partial view park , partial view hotel construction site - though window close could not hear jackhammere . hotel list four star , technically , , hotel ( staff ) date . could sink waterstaine carpet lobby , room bathroom small , wall thin , new furniture would big improvement . however , room clean , carpet hall room good , plenty fresh towel even bathrobe . international outlet desk fit US , EU , UK plug . travel laptop , direct internet access room high speed connection . not think pay movie , theater metro stop away . bed double , not mind comfy ( crack middle like standard EU king ) pillow wonderful sheet scratchy . hyde park right accross street perfect morning jog . Lancaster Gate tube station ( central line ) right around corner stop away Kensington ( high street ) Knightsbridge ( Harrods ) not eat hotel , prefer go , though order chicken ceasar salad room service - set back 16 pound though good , resemblance anything & quot ; ceasar taste . & quot ; average experience average location . would stay get low price hotel quite pricey London . Definitly Ritz , nice quick one night stay . 
 Sep 14 2004 	 Great Place Stay ! 	 Royal Lancaster great hotel stay . cousin stay two night August 14 - 16 . service great . room accomodate . staff helpful pointing sight place go . location great . be right across street Hyde Park Kensington Gardens . Underground Tube right corner hotel . wonderful time . 
 Aug 19 2004 	 comfortable date 	 landmark building , size location ( opposite Hyde Park near Paddington Station ) . room standard small side , need refurbishment ; horrible view building work . particularly good Thai restaurant . 
 Aug 7 2004 	 thank make great Vacation ! 	 ' m glad find hotel good offer British Airways . stay Royal Lancaster 11 year daughter two week last June , service really expectation . multinational collaborative staff member fluent many language member make people feel home . service great , also location ( immediately behind Lancaster Gate tube station Hyde Park ! ) food well . defenitly hotel first choice whenever come london . 
 Jul 18 2004 	 Royal Lancaster Great ! ! ! 
 Jul 18 2004 	 rude noisy - avoid place 
 Jun 26 2004 	 not stay 
 Jun 20 2004 	 Loved hotel ! 
 Apr 18 2004 	 fabulous weekend ... 
 Mar 9 2004 	 nice place 
 Feb 22 2004 	 good hotel 
 Jan 24 2004 	 Great Hotel 
 Aug 6 2003 	 Practical 
 Jul 3 2003 	 Terrific Location 
 Nov 25 2009 	 Grande classe 
 Nov 16 2009 	 Hotel à conseiller 
 Nov 5 2009 	 ? ? ? ? ? 
 Oct 6 2009 	 fatevi coccolare dal royal lancaster ! 
 Sep 29 2009 	 ? ? ? ? ? ? 
 Sep 24 2009 	 Durchschnittliches Hotel Top Lage 
 Sep 16 2009 	 Hotel ideale per un soggiorno perfetto 
 Sep 14 2009 	 Fantástico . Volveré siempre que vaya Londres 
 Sep 7 2009 	 Da prenotare con cautela 
 Aug 19 2009 	 Situación 
 Aug 19 2009 	 Salvo pequeñas cosita el hotel estuvo bien 
 Jun 30 2009 	 Excelente Hotel 
 May 21 2009 	 Buenas vista mejor localización 
 May 10 2009 	 Quello che cercavo ! 
 Apr 22 2009 	 Molto piacevole 
 Apr 8 2009 	 Eccellente ritorneremo ! 
 Mar 30 2009 	 Confort contenido al estilo británico 
 Mar 28 2009 	 ? ? ? 
 Mar 20 2009 	 Très bon hôtel j ' reviendrai . 
 Mar 4 2009 	 Tutto perfetto 
 Feb 14 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 3 2009 	 ottimo hotel per una bella vacanza 
 Dec 9 2008 	 Muy buen hotel 
 Oct 9 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 23 2008 	 gusto 
 Feb 24 2008 	 gustó mucho 
 Oct 9 2007 	 horrible 
