FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Oct 24 2005 	 clean friendly luxury 	 10 we stay hotel 1 night . staff extremely friendly helpful floor . room spotless , modern every amenity may little small . bathroom spotless , large luxurious . bed sooooo comfortable . pay extra view sleep room not really matter . breakfast selection ( include ) excellent . get tube Vauxhall walk past MI6 hotel . ( 10 min ) . next day walk Westminster , Eye etc . ( 10 min opposite direction ) . 4 party upgrade thi room ready arrive ( hesitation staff ) use executive lounge thoroughly enjoy . short stay would thoroughly recommend hotel . negative point would note modern minamalist decor appear cold unfriendly tube could bit close ! overall , excellent value money . 
 Oct 18 2005 	 great 	 spend three night London good hotel . personal service perfect . always give hand nothing diffucult . good complement ! 
 Oct 17 2005 	 .... '' definately visit hotel '' 	 recently stay Riverbank Park Plaza hotel London - thoroughly enjoy stay . room beautifully lay stunning view river Thames , Big Ben Houses Parliament . breakfast enjoyable hot ! ! ! Chino Latino restaurant fantastic . can not wait return ... 
 Oct 13 2005 	 Best Hotel London 	 stay weekend lovely Hotel . brand new good location view river well worth extra money pay . very good breakfast concierge staff friendly . I tell week start bus service also would even well . will back christmas shopping . 
 Oct 12 2005 	 Love Riverbank 	 love Riverbank plan go back soon . hotel extremely beautiful contemporary . room comfy bed , lot pillow , flat screen tv gorgeous bathroom walk glass shower . airconditione work perfectly room clean quiet . not hear sound outside room . staff friendly knowledgable . often walk Riverbank walkway Eye Globe theatre . interesting restaurant along walk ( Starbucks ) . could want ? sure , be little way bus Kensington stop right front hotel . vauxall tube 2 block away block direction # 3 bus Trafalger , Piccadilly Oxford . find easy take bus theatre district . always happy come back clean lovely hotel . not mind five minute walk ten minute bus ride , stay Riverbank . go soon suspect rate dramatically increase word get lovely hotel . 
 Oct 10 2005 	 Sublime ! 	 enjoy fantastic six night stay Riverbank Park Plaza last visit London . room spacious bathroom , design och ambiance public area second none . add charming smile receptionist , courteous speedy respon concierge regardless impossible book Ivy theathre ticket , visit London sublimely enhance . ' m thrilled gratefull . 
 Oct 7 2005 	 new : mixed feeling 	 fun stay Riverbank Park Plaza , ' m sure would return . we upgrade brand new Residence Club , share lobby hotel . suite TERRIFIC river view . sleek modern immaculate . staff send fruit basket . tv offer channel . hotel offer menu pillow . bed comfortable . 2 robe , usual single robe . sleekness extreme : hook towel bar compact bathroom . on downside : hotel new cabby not know , London cabby know everything ... stay , know address ! tube station bit walk , central London attraction . tate ( old ) directly across Thames , Eye within walking distance , otherwise , location convenient . nearby restaurant shop . the & quot ; Executive Lounge & quot ; breakfast snack ( include rate ) hotel side ( one elevator another ) key card work access -- many guest , knock get breakfast , find help hour snack ( potato chip olive ) . breakfast nice , get room ! get lot money , terrific view suite fun , location big minus unless need Lambeth . 
 Sep 26 2005 	 Look 	 Contemporary , modern , clean hotel . room quiet include UK , Euro US plug socket . fully digital entertainment system include flat screen LCD dvd player . staff extremely polite helpful . restaurant serve good food decent price . 5 minute walk Vauxhall tube station bus stop around , smart taste will stay . 
 Sep 25 2005 	 varied experience 	 hotel well price compare , comparable London hotel , important we australian dollar weak gbp . lobby impressive staff generally helpful , although somewhat brusque time . decor elegant modern , red black marble kind way . unfortunately , aircondione work 3 day stay late August , also coincide London extended period heat , floor room fairly suffocate . response query would repair , frankly disappointing . eat delicious , creative , interesting meal Chino restaurant ; expensive , willingly . pity seem diner . location pretty good , easy walk along embankment many favourite London tourist location , bus stop outside hotel . breakfast room noisy , combination persistent , loud machine noise ( suffer airconditione system ? ) loud music , noticed guest ask turn low , , marginally . room somewhat disappointing view Waterloo line ( multiple track ) adjacent old office building . , room comfortable , beautful bathroom , well supply tea coffee , clean properly day . well many old fashioned London hotel , still teethe problem . fix , may stay give reasonable ( London ) price . 
 Sep 1 2005 	 First Class - Reasonable rate 	 get Expedia £ 190 2 night . between Parliment Tate Britain . 5 min Vauxhall 10 min Westminister underground . clean , smart fantastic lift ! room modern nice ' extras ' ( DVD player , nice lighting etc .. ) . staff polite . nice bathroom seperate shower bath . very highly recommend £ 10 night travel inn ! would stay . 
 Aug 30 2005 	 Best Hotel Europe Trip ! ! ! 	 Riverbank Park Plaza definitely good hotel european trip . since not may review hotel , new , bit skeptical . however , upon arrive , thoroughly impressed . bar area lobby trendy elegant . staff friendly . also upgrade executive room since request non - smoking room . executive room decent size , modern decor . nice linen , flat screen tv , beautiful bathroom . well , get good rate ( $ 150 per night ) .. especially consider weak dollar compare pound . downside hotel 's location . walk distance London Eye , Big Ben Parliament . however , get part London , metro ten minute walk away . also dinner hotel 's restaurant , Chino Latino . good dinner London .. although bit pricey , get pay for . because quality hotel important location , would definitely stay . ! ! 
