Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 May 30 2009 	 Clean Hotel Great Breakfast Buffet 	 stay k+k May 2009 9 night . prove exceptionally good value . room clean functional bathroom modern spotless . room small include flat screen television , desk phone ( free local call ) , small fridge ( stock mini - bar ) handy little safe well - organize closet . even enough room additional chair . bed great - pair twin bed push together - pillow decadent . bathroom also small , update fixture . walk - in shower great - although take shower sprayer mount run risk hose good bit bathroom ! perhaps good part hotel stay breakfast buffet . start early restock often . include price room booking , make life lot easy . selection cereal , bacon , sausage , egg , hash brown , toast , cheese , fruit much provide well beverage like juice , coffee tea , - oh yes - champagne ! location hot topic discussion . Earls Court Road amazing selection quality restaurant k+k quiet street one block away . tube station literally 2 minute walk front door hotel . downside need take Tube almost everywhere location . vast majority typical ' tourist ' thing see within walk distance Earl 's Court area . would strongly suggest read brochure spend time talk Underground staff whole system charge work - seem require additional year schooling understand . good solution we get Oyster Card ( refundable 3 pound deposit ) load 7 day Travelcard Zones 1 2 . get everything want city . end 7 day , simply top card cash last 2 day . ( money use refunded deposit . ) staff great - friendly helpful - apparently multi - lingual english good choice . free internet computer station helpful planning day , review local restaurant , check open closing time attraction . we would highly recommend k+k Hotel George . 
 May 30 2009 	 central location everything 	 look hotel CLEAN , central location access underground line route main tourist attraction , modern , close restaurant . the k+k hotel disappoint ; fact exceed expectation . hotel locate near Earl 's court Underground Piccadilly District line , hotel reside quiet side street foot away lie busy Earl 's Court road 's mind blow amount restaurant . hotel modern clean cute garden back . room tiny important thing cleanliness beyond impressed . bathroom size disability stall overlook size due impeccable cleanliness . one humorous thing find hotel elevator tiny claim fit 9 people friend ( thin ) elevator another couple basically fill elevator . 
 May 25 2009 	 fabulous accommodation sumptuous breakfast buffet 	 room small , clean modern - looking . Crisp , white sheet fluffy duvet make comfortable sleeping , room restaurant overlook beautiful garden . helpful staff great recommend restaurant , hotel provide five computer check email plan day . * good part K+K George wonderful breakfast buffet , complete champagne , egg , cereal bar , pastry , assortment cheese fish . treat ! * 
 May 21 2009 	 small room big style beat expectation far 	 stay K+K George part overnight package include show ticket . London overnight extend layover , need place lie head , would gladly stay George long stay . hotel locate around corner Earl 's Court Tube Station , convenient 's border zone 1 & amp ; 2 ... buy Zone 2 - 6 ticket get Heathrow , buy Zone 1 ticket go town . lobby refine , breakfast good , free computer terminal free internet access guest , mention free in - room wi - fi access . room especially bathroom exceedingly small , decorate tastefully . heck , beautiful tile - and - glass shower , flat - screen tv , really can not complain . heartily recommend . * bonus , put business card pot draw free dinner champagne K+K restaurant . win , receive note hotel ( send internationally ) offer free drink bar next stay . will hopefully use soon ! 
 May 16 2009 	 Great Hotel Perfect Location - could not ask well price 	 excellent time hotel . close Earl 's Court Tube Station connection line go anywhere . buffet breakfast fabulous load anything could really want ... include Champagne ! waitress little slow pour coffee 's small detail thing really say slightly negative ... big deal ! buffet great way start day energy walk sightseeing . room clean , may say small well plan good storage ... not forget use long shelf bathroom counter store item be laugh . first place room front hotel charming view street surround neighbourhood , next day scaffolding go front hotel ( renovation facade ) . ask move back hotel face beautiful garden ... problem ... even move luggage item new room sightseeing . seamless transition repack . staff accommodate quite pleasant . the hotel bar / lounge nice place come back enjoy night Theatres . 's free use computer want research anything , look theatre ticket check e - mail ... never really wait one . free newspaper lobby every morning coffee / tea sparkle mineral water stand . be really nothing could ask hotel price location ! get Heathrow use Tube one train ride , connection one hour . easy ! 
 May 9 2009 	 Great Value Stay 	 K & amp ; K Geroge Hotel recommend stay , reason : -1 . excellent location : close tube , mini - supermarket & amp ; convenience shop , restaurtant , fast - food shop & amp ; bar nearby.2 . good price : relatively cheap price 4 star hotel via internet hotel agent , book GDP135 / night3 . lovely breakfast : reasonable price ( GDP14 ) breakfast , include champagne . choice breakfast fair good . however , refill rate fast , ask refill milk ; staff busy , need ask 3 time refill immediately . can not see refill oatmeal , mightbe take long time cook ? ? moreover , quality cameal4 . good staff : warmly welcome check . read another comment toilet paper , yes happen , might busy housekeeper , however , call reception , housekeeper immediately send paper room say many time & quot ; sorry & quot ; 5 . clean : room clean & amp ; tidy 
 May 2 2009 	 Nice hotel great location 	 hotel clean , staff friendly , location great . Earl 's Court tube stop short walk away . staff helpful question . complaint would size room . barely space turn around . however , computer site use can not say enough clean hotel . really enjoy stay . 
 Apr 26 2009 	 great hotel good location 	 stay one night hotel 24th April 2009 . able park right hotel ( although £ 20 charge ) really convenient . staff friendly hotel although fairly busy really quiet night mean good night sleep comfortable bed . criticism rather cold food serve breakfast . also serve cold cup coffee , immediately replace smiley waitress . overall pleasant stay would stay 
 Apr 23 2009 	 good get Price London 	 use hotel one night stay Central London fly early evening . first thing location excellent access Heathrow Airport . near tube station , Earl 's Court , 3 minute walk hotel direct tube line Heathrow . journey airport hotel take around 45 minute - would much fast taxi . the hotel bedroom small modern clean . ground floor room overlook garden . possible sit garden nice touch Central London . fruit bowl bedroom also good variety quantity perspective . the bed comfortable room temperature fine , air conditioning relatively quiet . concern would lack proper blackout lining curtain . anyone like dark room , could issue Spring Summer morning . the bathroom extremely small virtually nowhere put toilet bag . however , water shower warm fairly powerful , often problem hotel London . the breakfast extremely good great variety choose . nice touch table full newspaper rather normal four five . overall , would hesitation recommend hotel hotel choice London go forward . 
 Apr 22 2009 	 love ! 	 3 child stay k+k last June . arrive states morning go right work get room offer we breakfast wait - could not kind ! breakfast room lovely view garden .. sit outside enjoy ! breakfast typical english kid enjoy variety . our room small 4 - especially bathroom . however spotlessly clean quiet . bed comfortable bathroom modern / new . we really love location ! 3 kid - one stroller - we walk 5 minute tube station be way London 's sight . tube line well convenient major tourist attractions- little switch train necessary . thankful convenience ! also , neiborhood quiet residential feeling always feel safe come home night . we travel month Europe great start gracious welcome K+K ! 
