excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Jul 30 2005 	 cheap 	 stay Wolcott July 2005 3 night , price ( $ 160 ) be not expect anything special , rather , little bit scared . glad report pleasantly surprised . room ( 206 ) clean , yes little bit old , hey , price , do not care . room mini fridge , safe , tv clean bathroom . every morning free coffee muffin . the problem airconditione unit make noise , discover due water fall airconditioner , decide put plastic glass water drop fall solve problem . elevator slowwww , hallway floor smell little bit funky . , think good option budget traveler , close subway , macys , time square . 
 Jul 5 2005 	 over - price 	 good location expensive offer . money spend lobby give false impression inadequacie Hotel . a / c noisy chiller unit . dingy old - fashioned room bathroom decent bed . excessively expensive room price even charge one dollar ' freephone call ' room ! shop around well deal well hotel . 
 Jun 30 2005 	 Excellent value location 	 Stayed Wolcott June 25 - 28.this hotel excellent value . the lobby great , lift hall bad room bath clean enough room . pay $ 126 per night + tax . price excellent value consider location . stay next time go NYC . 
 Jun 30 2005 	 adequate 	 Stayed Wolcott June 2005 . since vary opinion review read , idea expect . think pretty much get pay . rate one cheapest find mid - town Manhattan . lobby beautiful ; room clean adequate size . hallway elevator look feel old . expect modern Holiday Inn type experience , disappointed . realize stay 100 year old building whose basic structure not change , satisfied . bathroom look old corner stain , etc . , clean . room look dirty alley back building fire escape , think sort New York City kind experience , not bother . location good , block away busy area , may feel bit nervous come back late . , expect . teenager not , expect would less thrilled . , good enough spend 8 hour per night sleep . 
 Jun 28 2005 	 Loved Wolcott 	 4 we stay Wolcott 6/22 - 25,05 . never NYC not know stay pick Wolcott price reveiw site . think hotel fine , yeah elevator slow , neighborhood ( little korea ) neat seem safe enough . convenient , never wait long taxi come . actually never taxi . there s pretty decent coffee muffin lobby every morning Starbucks Dunkin Donut / Subway / Baskin Robbins , outside hotel , case need little variety . one block 32nd St. 's korean rest . one buffett , price pound , do not eat fun look different food stuff sale . do not stay hotel much friendly , people street . highrise construction across street enjoy listen worker typical New York style fuss impatient driver stick , honk horn course , behind taxi pick drop guest . walk Time Square Macys everyday shop 34th St. finding shopping really want , price good little room suitcase . think fine hotel we . 
 Jun 27 2005 	 Excellent price .... 	 stay many hotel NYC - low end high end often disappointing hotel ad mislead omit important flaw - like elevator , old bed , etc . Wolcott deliver ! room ( triple 3 woman ) clean , roomy quite comfortable . bed ( 3 twin bed ) appear new comfortable ! ! problem shower , light , etc . overall happy room price . staff wonderful accomodating ! arrive noon able go room even though check - in 3:00 . checkout 12:30 problem store luggage leave town 5:30 pm . would definitely stay . 
 Jun 19 2005 	 Fantastic Value Great location 	 normally get pay , be not expect much Wolcott .. great ! walk lobby stare upwards right underneath Empire State , turn leave 3 min Penn Station turn right 50 yard 5th Avenue . the location would really , really hard beat Hotel , although bit tired date , difficult beat value money . three friend stay three night , although room quite small room spacious bed separate lounge area . exceptionally clean tidy , view limit though . the coffe muffin breakfast enough clear night hangover , many delis , coffee shop diner within five minute can not go wrong . yes lift slow , yes decor outdate hotel highly recommend short stay lad ...... sure romantic weekend missus ! 
 Jun 6 2005 	 great value money 	 book hotel internet base review website . think per night cost reasonable ( especially look hotel ) .i problem room - request twin smoking room 's exactly get . room small , friend enough room suitcase floor still able walk around . room clean ( include bathroom ) .while 's true lift could slow not find much problem . also find staff friendly helpful time . the location excellent . would recommend hotel anyone look reasonably price accommodation Manhattan . 
 May 8 2005 	 good pricekwalitielocation 	 stay Wolcott hotel , 27 april till 4 may , Rooms nice clean , every day bed bin make demand clean handtowel deliverd . badroom little small clean . staff helpfull we , information desk lobby . hotel 5 min walk esb , 10 min Times Square , 5 min subway . every morning free coffie muffin lobby . enjoy hotel , sleep , take time city . 
 Apr 15 2005 	 location location location 	 great service ..... really nice staff .... water pressure shower bit dodgy bath 's trial ! ! ... room sheet clean properly regularly great room safe ..... see Empire State Building window ! .... beautiful , old - world reception .... be look budget hotel New York would not hesitate recommend one ! ... think pay £ 60 night stay .. 
 Apr 13 2005 	 great budget hotel 	 room surprisingly big staff pleasant ... friend pleased choice stay Wolcott . free muffins coffee morning definite plus , vintage feel lobby make feel like be stay ' budget hotel ' . complaint elevator pretty slow , area outside Wolcott ugly due construction . however , hotel close lot fun shopping ( H & amp ; , Macy 's , etc . ) subway super close too . recommendation : go Empire State Building WEEKDAY .... otherwise , line literally 2 1/2 hour long ! 
 Apr 2 2005 	 Wolcott so - so hotel 	 write late review 'cause get around sign website . Stayed Wolcott last year June seven day . the good : - location good , near times square Empire State Bdg.- Staff okay ( would not say friendly ) - price good 's location- room fairly clean , see rodent , pest , undesirable things.- Decent TV ( like spend much time watch , many thing NYC waste time ) bad : - water pressure / temperature shower variable hot / cold- strange look liquid gurgle drain coated bottom tub , happen infrequently.- room quite small ( bed take room ) - elevator , SLOW ( like hotbox summer ) , would not say 's bad place stay , would not give 3 - star rating . next time around think lay little cash , research , maybe get something little well . 
 Mar 24 2005 	 Hotel Wolcott - 12th - 15th Feb 2005 	 9hr fromLas Vegas look forward arrive ' city never sleep ' Hotel Wolcott promise lot thing . after read review site , bit unsure expect . well recieve shockon arrival Wolcott greeting unhelp staff ever meet . first could not find book twin room double . specify double booking explain basically ' like lump it'the lobby stunning go tired tiny lift begin find hotel 's true colour . hall stunk nothing well would find YMCA . room awful door would blow one breath paper thin . good bathroom clean . that night go concierge ask help greet ' shut , lady ' never even bother answernothe hotel good honestly never experience anything like bad awfulavoid ! ! ! 
 Mar 8 2005 	 great ! 	 aunt stay near Times Square two year ago unfortunately , hotel fully book last June . of Wolcott . well , will . part hotel remind we Louvre ! 's incredible , hotel one budget hotel breakfast include also use european habit . travel aunt sometimes difficult travel friend , since would like share room , bed course . well , let us face , long day sightseeing , one would prefer bed . 's Wolcott prepaire offer . yes old , yes carpet get stain . sheet clean bathroom . , New York 's common citizen , roach , nowhere see . 
 Feb 13 2005 	 great 6 - day stay great hotel 	 stay hotel wolcott 7th 12th February 2005 good trip ever . lobby authentic , love . room big , special room hang clothe safe . three window room , big tv clean comfortable bed . service excellent ( toilet float handy man solve within 5 minuted dry floor ) muffin + coffee & amp ; tea morning taste really good . read site elevator slow , not stay . location : great ! 3 minute walk Empire State Building Macy 's , Times Square also far away many shop , supermarket internetcafés within 5 min . walk . subwaystation 2 connect line around corner . not think could better hotel prize , everything turn really good , expectation . lobby way crowd many day English Irish school hotel class , not cause trouble . neither japanese tourist . truly recommend hotel anybody stay New York . 
 Jan 21 2005 	 Disappointing 	 go NYC Birthday . the hotel great location .... free muffin coffee much appreciate ! apart , pretty poor . I agree reviewer , reception desk service poor . our room big , cold , January problem ! bathroom tiny , impractical . I go group 5 none we like , would never stay . 
 Jan 19 2005 	 Bad ... 	 stay June 2004 four night honest say not bad . yes lift slow , think reception Staff could little friendly whole price pretty good Hotel ! location superb room clean tidy . certain would stay Hotel , could lot bad ! ! 
 Jan 18 2005 	 great 	 stay Wolcott 1/14/05 - 1/17/05 happy . first room offer glass part window . window cardboard tape opening ! quickly get another room smell smoke . plan stay inexpensive great location prepared change room . also bath tub clean hair previous guest . furthermore , twin bed rather stiff sleep . hotel recomende friend disapointe . 
 Jan 14 2005 	 ok budget hotel . 	 stay Wolcott two night november 2004 find hotel old clean , superclean OK . it´s simple , yes , want save money great location stay New York , Wolcott fine . europeans hotel might simple like 2 star hotel overseas remember New York ! empire state build 2 min . walk away Times square 10 min . away , great location ! staff friendly , elevator slow ( care ! ) , nice free muffin coffee / tea morning . travelagent Sweden see budgethotel NY Wolcott one well . , don´t expect first class even middle class hotel , hotel fine night . 
 Jan 4 2005 	 absolutely great ! 	 visit New Year holiday -- excellent time ! great location ... clean accommodation , service great ... nice coffee & amp ; muffin morning ... apprehensive reading prior review cleanliness , clean . location excellent walk close subway . Trump tower , save alot money ! ! ! expect 100 yr old hotel ammenitie new hotel -- slow elevator water temperature change give hotel lot character ! ! worth money ... 
 Jan 3 2005 	 Great Budget Hotel 	 Thought convienient hotel say budget hotel think great . great location , could look window crank neck see Empire state build close . lot different food place nearby ( fast food sort far walk decent restaurant ) . would happily go even though not room much ( far much see ) plenty decent tv channel large tv channel hop keep we entertain take break walk . subway close lazy people main attraction within walking distance . slight critisism building work across road start early 7.30am annoyin first morning not bother we next 2 morning 'cos early get enough sight seeing ! ! 
 Dec 16 2004 	 hotel wolcott 	 great location mid Manhatten bit noisey building go around . old well love hotel , clean comfortable excuse thing leaky bath tap slow lift . extra bonus muffin hot drink morning could way explore amazing city something tum . 
 Dec 7 2004 	 Perfect Location 	 hotel perfectly locate shopping sightseeing . 2 block away Empire State Building , around corner 5th Avenue less 5 minute walk Macy 's . not mind walk Times Square minute away also lazy people sub - way short distance . fault could hotel muffin get bit boring morning lift snail pace ..... otherwise great ! 
 Nov 21 2004 	 Minging 	 hi , rather late review stay Wolcott April 2004 browse review evening , feel compel join . school trip stay budget reason say MINGING ! ! ! ! Musty , dirty room ( would love know review describe clean ) . afraid take anything case incase get contaminate mustiness . Felt need shower have walk barefooted carpet ( wish have take slipper ) . not expect anything grand first holiday abroad 30 year ' ve actually glad check hotel . would not stay pay ! ! ! 
 Nov 17 2004 	 great budget hotel ! 	 Excellent hotel , locate two block ( 200 meter ) Empire State Building . stay late September 2004 wife really enjoy . stay 10 night . hotel staff helpful plesant . problem elevator , really slow hot . take floor anyway . room pretty small , clean everyday ( leave & quot ; clean room & quot ; -tag door ) go try find breakfast ( eat complimentary blueberry chocolate muffin lobby , you´ll get bored day ) . subway - fastfood place across street also Donkin Donuts , buy bagel donut . it´s hard find continental breakfast New York , don´t like muffin bagel much . the hotel shop extremely expensive , don´t go shop , go across 5th Avenue find something cheap . , great hotel great place shoper other . well $ 100 + hotel New York . 
 Nov 15 2004 	 reasonable price average 	 arrive Wolcott miserable rainy day 1 pm . rather slow man reception desk tell record reservation , make well advance . even show voucher date clearly indicate remain unconvinced , discover list correct day wrong month . take half hour computer accept , afterwards give room key immediately . the two elevator incredibly small door , spacious inside , travel amazingly slowly . room tiny , expect low - price Manhattan hotel . radiator make hammer noise night . complimentary breakfast turn thermos luke - warn coffee assorted ( actually quite good ) muffin . 
 Nov 3 2004 	 great value great location 	 clean , good location , good value . although check hotel website , seem price rise . locate 32nd & amp ; 5th , 5th Avenue shopping start 5 block , 34th Street metro stop 2 block away ... can not go wrong hotel $ 150 night . 
 Nov 1 2004 	 Fault 	 stay week pay get bargain . room spacious clean , big comfy bed even view Empire State Building window . okay lift slow not end world . even get safe room much well go lobby . staff friendly enough . superb location numerous subway station locate nearby include Penn Station . also 5 10 minute walk Times Square . would certainly stay . 
 Oct 30 2004 	 Excellent Location Standard Accommodation overall good trip 	 not expect much hotel , get pay . clean standard , look go New York ! want stay hotel whole time ? ! ! clean room big , good group girl ! staff not friendly expect . hear story excellent service receive States , first impression , slightly disapointe , manage redeem end trip extremely helpful friend purse steal street ! ( typical ! ! ) lift bad condition end take stair ..... 11th floor ! ! , great visit Wolcott since recommend friend also enjoy saty . 
 Oct 25 2004 	 okay $ 99.00 	 stay two year row always clean sheet towel great price , elevator slow staff friendly , close everything worth stay $ 140.00- $ 160.00 per night , well one price 
 Oct 22 2004 	 bad Hotel world 	 ' ve NYC many time never experiance like . hotel terrible ... bad hostal . take shoe .... even consider take shower .... floor gross hotel smell awful . staff rude . hair bed .... scare sleep light . bad experiance life . never stay hotel . recommend hotel . 
 Oct 17 2004 	 could not fault ! 	 stay week whilst New York begin October ' 04 , nothing could find fault . okay , spacious room fairly basic , want somewhere get much needed rest night , 's spot . room clean every day without fail , give fresh towel daily . could not get fantastic location , hotel literally 2 minute away Empire State . slight gripe elevator hotel little slow , thankful third floor ! though , would stay sure , recommend no - frill accommodation anyone look somehere stay NYC ! 
 Oct 15 2004 	 absolutely love 	 return five day whirlwind trip New York Hotel Wolcott one good thing . review make nervous , try keep mind opinion base personality everyone be different . opinion , Wolcott everything hope would . elevator slow hurry take service elevator one temporarily disable make NY experience much rich . room really clean , wonderfully decorate surprisingly spacious . three us third bed separate partition another tv . view speak window , really interesting look ' behind scene ' ny , look onto someone 's rooftop garden quagmire fire escape ( love ) . shower waterworks fine . ( large ) tv , two mintue may ( really , time watch tv ? ) , good working order . in - room safe work like charm . staff pleasant lot interesting ( mostly european ) people stay . location superb . street Walcott short moment lot construction go . really problem , much nicer finish . I stay many bargain hotel , include London Paris look hotel ' fit ' city make feel part city . Hotel Wolcott . 
 Oct 8 2004 	 good hotel ! 	 Wolcott hotel good hotel ! location perfect , near 5th Avenue , 2 minute walk Empire State Building 10 minute walk ro Times Square . room quality , comfortable bed big tv . bathroom big ans clean . recomend hotel everybody want visit N.Y.C 
 Sep 26 2004 	 good value money 	 stay june think hotel good location . yes could bit redecorate room fine clean . staff helpfull . change room big one problem ask . 
 Sep 9 2004 	 Yuck . 	 word ... AWFUL . book company find late change . 100 - year old , hotel really show age . lobby small date looking . elevator tiny slow . get elevator take several minute ... several minute get floor choice . disgusting odor hallway ... carpet look like not clean decade . wall need little sprucing . room amenity beyond color tv . outlet bathroom . window a / c unit rattle night disrupt attempt sleep . location dark uninvite side street . also , restaurant bar mean room service . I never stay would never recommend anyone . trust , spend extra buck nice hotel . 
 Jun 9 2004 	 good bargain 	 hotel locate fifth avenue ( stone 's throw Empire State Building ) Broadway . 's 10 minute walk Times Square . location hotel really can not beaten . we stay four night September 2003 room perfect want : place sleep wash - rest day would explore city . would definitely recommend hotel return NYC , certainly stay ' cheap , basic clean . 
 Apr 26 2004 	 stay twice 	 stay wolcott 5 day September ' 02 return ' 03 , find hotel ideal , staff great completely help we lose credit card arrive mexico 2 am 3 hour notice call form philly , stay problem lucky enough get room . its amazing location walk everywhere , free coffee muffin every morning nice touch always find staff helpful friendly accommodate ever , even stumble late night , lift old , room tidy comfortable amenity information need stay , price wolcott great , look modern posh hotel pay $ 300 get look average safe comfortable place stay reasonable price , palace safe would not hesitate recommend , good job wolcott might see ' 04 
 Apr 25 2004 	 Wolcott ... Great Value even well location ... 	 website clearly state ... & quot ; 2nd good budget hotel US , next someplace Hawaii ... & quot ; would agreee ... first trip city never sleep , not think could paint pretty picture hotel experience . literally ... Wolcott scream old world charm moment see awning corner 5th Ave e 31st street . head move towards clouds notice detail exterior , teaser ... enter double volume space eye hard time focus first . floor ceiling lobby interior fill decorative trim & amp ; moulding , faux finish mirror possibly imagine ... celebrate 100th anniversary course elevator little slow quarky , hallway bit musty , window unit not top line comment poltrageist inside tv ... however , room clean , bed nice firm , water pressure temp great , maid service respectful privacy actually read sign door knob , ice machine work soda machine take bill nothing complain ... staff ok , exactly try long lose buddy , not rude difficult either ... sort speak ... would highly recomend Wolcott anyone look stay Midtown Manhattan budget ... 
 Apr 20 2004 	 ok big complaint ... 	 get back weekend trip NYC stay Wolcott . read review , think place would nightmare . fine . absolutely luxury - room clean , bathroom spotless , staff friendly helpful . never spend much time hotel room whenever come ny , be - hotel really ok pay . watch water though ! temperature change - sometimes will either scald freeze . elevator extremely slow . ok . would stay ? probably - like bit pamper hotel . - last - minute trip , save ton money choose Wolcott , clean , bad . major reason advise anyone avoid - experience . 
 Apr 13 2004 	 pleasantly surprised 	 reading review book Hotel Wolcott trepidation . pleasantly surprised . this typical tourist class hotel . room clean , bit weird layout , reasonably attractive ( lobby spectacular pre - depression , over - the - top kind way ) . bed pillow comfortable . staff pleasant helpful . spite review , problem water pressure 4 night stay . the location convenient subway make get around snap . yes , elevator small slow , not high priority list . agree sensitive cigarette smoke , might want pass one . smoking permit room hallway floor . in experience , will pay lot get much well Manhattan . 
 Feb 19 2004 	 smell ? ? 	 arrive ny first time 6/2/04 four night look forward great stay . say NY fantastic , be can not say hotel Wolcott . room floor 8 soon manage cram tiny lift slowly make way ( half hour later ) , door open horrendous smell , bad make heave . room small dingy , natural light water pressure shower swing freeze cold scorch hot , heating system ( think ) keep awake half time heat room unbearable , say sleep window open radiator ! ! ! TThe hotel provide clean bed linen towel alway change , bonus . tv not work contact reception desk greet unpleasant staff , maybe Wolcott could give training customer service skill , would not go miss . all wolcott cheap cheerful hotel long ensure absolutely knackered want sleep could cope hotel . PS take peg noise incase floor eight ! ! ! 
 Jan 26 2004 	 great location fare deal 	 wife spend night hotel ( 1/15/2004 - 1/20/2004 ) Pro 's : great location , quite , coffee , tea muffine , clean warm room , good bad new bathroom . Con 's : slow elevator , front desk stuff , toilet water run slowwww flush yes , paitient water bath . bottom line : be good bargain . P.S . - not miss Minado re . 32nd ! ! ! 
 Jan 23 2004 	 Great Location Price 	 Hotel well price offer great location manhattan . room need bit update find facility reasonably good . nice complimentary coffee muffin morning . lift poor staff reasonably friendly helpful . 
 Jan 8 2004 	 New York Vacation 	 Hotel Wolcott pleasant , room reasonable clean . enjoy stay go back . 
 Jan 7 2004 	 great bargain complaint 	 really don´t know fuss ! stay Wolcott 29 . 12 . 03 . 01 . , New Yers Eve room 12th floor . I´m nonsmoker can´t stand old smoke , room perfectly alright , clean small . imagine room side face building site must loud , absolutely fine . also face little problem water , hey , Waldorf Astoria , little patience turn knob carefully , able get pleasant temperature . miss water twice , minute back . end day holiday run , prob wait little extra time ! overall say hotel great value money , never wait minute lift , staff front desk helpful room always clean . it´s always different people expect hey , relax , it´s New York , building bite old , want predictable hotel book Holiday Inn witch round corner ! 
 Dec 31 2003 	 never .... 	 New York wonderful , Wolcott . nap weary traveler . forget . construction next door obviously go late evening seven day week . watch TV . cable out . the room either stifle hot freezing cold . leave windows open tolerate heat mean construction noise prominent . Shower ? initially think showerhead hot cold temp reverse realize irregardless temp set moment could blasted ice cold extremely hot water . tub drain shower . hall accomodation reek smoke . upon ask non - smoking room tell one would available next day . never notify . ask rate reduction . manager , would Monday could approve . ask contact . ? ! two unsuccessful attempt call ask front desk personnel assistance . tell find pay phone hotel charge attempt callout would removed bill . checkout confront charge different staff member rude other . note change sheet daily save enviroment . kid ! Wolcott care pocketbook . 
 Dec 18 2003 	 word : ghastly ! 	 one begin litany horror Hotel Wolcott ? partner spend week ( December 9 - 16 , 2003 ) , moment arrive face perpetually grumpy frontdesk staff , fear have make awful mistake . thing get rapidly bad : first room , bill suite @ $ 150 p.n . , dank musty , rear 2nd floor , sole external window face bank airconditioner unit allow natural light room . complain ask move , place & quot ; wait list & quot ; eventually shift next day suite 12th floor . one light nauseatingly thick smell stale cigarette smoke . complain , informed hotel non - smoking room bottom two floor effectively choice either sleep darkened cave first offer ashtray 12th floor . buy room deodorant opt latter . mind , nightmare not long shoot : soon discover upper floor chronic problem water pressure . shower , water would fluctuate without warn freeze cold scald hot , several occasion , leave without water entirely period several minute . add mouldy shower - curtain ( surprising bathroom form ventilation ) ; heating system two setting : blazingly hot ; hotel elevator take forever small accommodate luggage single trip ... well , get picture . travel NYC several time stay hotel vary quality one without doubt bad experience . indeed , ' ve stay well hotel travel so - call & quot ; third world & quot ; location . plenty budget hotel NY Milford Plaza provide much well value money , give Wolcott wide berth ... 
 Dec 17 2003 	 Nasty ... 	 cheap , yes , hindsight would rather save pay bit extra , believe little money could got much well hotel . location great , room nasty ; small , airless , dingy , unpleasant . yes , know go NYC be city need place sleep , still , frankly depress come back place every night . add unfriendly staff slow lift world good place . avoid cost look elsewhere . 
 Dec 15 2003 	 get little pay 	 worried would dud price pleasantly surprised . front desk staff super friendly , rather surly . like & quot ; check & quot ; front desk time come answer & quot ; skill - testing & quot ; question ie.e 's check date , many room ( three ) , be room number . feel rather rude . however , jr . suite stay nice size , 2 tv , plenty towel . bathroom okay , little dingy - could really use another light fixture . view two window except look people 's room , enjoy sort thing we ) . bad part room noisy radiator . unbelievable ! like STOMP , Riverdance Huck Finn doin ' thing time . price .... 
 Dec 7 2003 	 Great Value ! 
 Dec 2 2003 	 Decent budget hotel 
 Nov 28 2003 	 Great Stay 
 Nov 18 2003 	 ok ... 
 oct 9 2003 	 would visit ! 
 Sep 26 2003 	 step back time 
 Sep 18 2003 	 love 
 Sep 3 2003 	 Nasty hotel 
 Jul 28 2003 	 ! 
 Oct 23 2002 	 's OK 
 Nov 26 2009 	 Soyez rassurés ! nous avon été comblé ! 
 Nov 20 2009 	 très bon emplacement 
 Nov 18 2009 	 Ottimo rapporto qualita ' prezzo 
 Nov 15 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 10 2009 	 buen hotel relacion calidad precio 
 Nov 8 2009 	 optimal für Sightseeing 
 Oct 28 2009 	 Económico bien situado 
 Oct 27 2009 	 Non eccezionale ok ... 
 oct 22 2009 	 ottimo qualita ' prezzo posizione 
 Oct 20 2009 	 posizione strategica ! ! 
 Sep 15 2009 	 Sencillo pero limpio situacion inmejorable 
 Aug 25 2009 	 Een ruime voldoende ! 
 Aug 22 2009 	 Super Lage- gerne wieder ! 
 Aug 20 2009 	 perfetto ed economico 
 Aug 15 2009 	 central et pas cher 
 Aug 12 2009 	 Non male 
 Jul 29 2009 	 Correcto . Bien situado . 
 Jul 9 2009 	 veramente carino 
 Jun 23 2009 	 Gerne wieder 
 May 9 2009 	 stanze spaziose bagno pulito personale un pò scostante 
 May 8 2009 	 Fantastica posizione 
 May 5 2009 	 Un hotel económico muy bien situado 
 Apr 3 2009 	 Pasable 
 Mar 12 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 19 2009 	 repetiría sin dudarlo ! 
 Feb 17 2009 	 Al centro della grande mela ... 
 Jan 30 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Jan 21 2009 	 Buona posizione elegante accessibile 
 Nov 15 2008 	 Reichlich düster 
 Oct 31 2008 	 ? ? ? ? ? ? ? 
 Jul 6 2008 	 Top Lage große Zimmer kleiner Preis 
 May 17 2008 	 tre bon hotel 
 Apr 29 2008 	 excelente relacion pre cio - calidad - situacion 
 Mar 28 2008 	 Guter Deal 
 Dec 30 2007 	 Absolut zu empfehlen ! Jederzeit wieder - der top Tipp ! ! ! 
 Dec 11 2007 	 Economico e Centrale 
 Oct 17 2007 	 Bien situado 
 Jun 18 2007 	 Sehr nett Hotel 
