really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 May 6 2008 	 great experience stay . pre construction ! 	 stay Embassy Suites year ago September great visit . Condo building completely block view . amazing view River . problem noise room next door time construction front hear . comment happy hour go free breakfast nice prepare crowd . hot meal cold continental breakfast NY free breakfast one less meal pay . please note Embassy Suites near mid town theatre main sight . low manhattan near World Trade Center sight . financial district quiet night . actually like change . usually stay mid town . Chevy 's restaurant , movie theatre DSW shoe store ES complex . world financial center directly across street lot restaurant store . starbuck . love restaurant Southwest NY world financial center . view great restaurant . would definitely stay Embassy Suites ! 
 May 4 2008 	 Good Hotel like lot . 	 arrive embassy suit tortureous shuttle ride JFK . relief see clean modern hotel . reception staff friendly useful explain everything need know we . give ample amount voucher breakfast manager drink reception 5.30 7.30 . request high floor , accomodate give we fifteenth floor ( quiet ) .the room big enough 2 . massive king bed television bedroom living room area . bathroom nice modern enough . breakfast good enough , much variety stay hotel NYC breakfast privilege hotel , take advantage . breakfast bacon , sausage , scrambled egg , potato , bagel , muffin bread . could ask omelette make order host add ingredient . good breakfast certainly fill day . only go manager reception , though see old face attend free drink night . preferred see NYC much could go free drink . nice offer though . Maid service good , come back day clean room . change bedsheet every 3 day . so complaint , NYC twice good hotel far . however , walk difficulty , walk subway 10 minute . times wish hotel midtown location nice enough , little way evening stuff . however , want find nice pub evening , plenty close . also close Tribeca Soho , far go bite eat either . also , world financial center lot offer road , get hotel nibble stuff . microwave room want buy something eat in . so great hotel , little bit away NYC mania , good thing . need , taxi $ 20 midtown . 
 May 3 2008 	 love hotel 	 love hotel , fantastic location . service outstanding room clean . we back ! 
 Apr 30 2008 	 Great Location okay experience 	 stay two night tribeca Film Festival , hotel fantastic location . walk distance tribeca , Soho , maybe Village , right next World Financial Center . interior modern well room . wall quite thin however , could hear people 's conversation middle night . breakfast nice well amenity . would stay , would not first choice Lower Manhattan . think lot nice boutique even chain hotel area . proximity Festival , good stay Soho Tribeca , since location hotel quite far south . 
 Apr 30 2008 	 want like ultimately noisy ! 	 other indicate staff friendly room update / quite nice . however , can not make negative experience . wall thin - could hear conversation next door . would tolerable loud construction crack dawn ( Ground Zero construction ) . huge steel beam pound ground directly across street . pound continue on / off throughout day . tolerate construction noise unbearable . gf feel well stay room go office . call later let know able get ticket show jump shower / get ready go . arrive back hotel find unable shower shower knob strip . end wash hair sink . fortunately maintenance people able fix problem gone not change room . next morning awoke loud pound crack dawn . could hear neighbor swear noise leave room . not sleep well able sleep move entry room hideabe closed bedroom door . get sleep quite uncomfortable . checkout little surprised staff not inquire stay . anticipate response would not positive ? politely ask talk manager let know not appreciate construction noise would appreciate warn advance booking . manager play dumb noise initially , specifically mention loud pound inform we everywhere NYC would & quot ; noisy & quot ; claim advance warning post go across street . really doubt noise loud would think would need special permit . suppose 's thehotel 's fault construction noise , pain suffering endure manager offer & quot ; pass & quot ; comment , leave we disappointed . 
 Apr 29 2008 	 maybe 's ... 	 stay quick weekend trip - way beat path go theatre ( ) not able book Doubletree originally hope . nice enough hotel room seem small Doubletree . probably due window living room area plus extra person we well . location would great traveler look site area current construction go rebuild make little bit inconvenience exist later . not get wrong - decent hotel - room clean . breakfast crowd food not great - cold egg surprise give busy place . happy hour fine , long line busy expect . snack pretzel mix tortilla chip salsa . overall , satisfied impressed - would stay . 
 Apr 24 2008 	 Super comfort family friendly location 	 soft comfy bed sofa rarely experience ! lovely suite bedroom , bathroom lounge . coffee maker microwave take - out & quot ; doggie - bag & quot ; . plenty restauarnt take - out nearby . two free drink evening bar , large measure , free nibble go along . breakfast morning good buffet affair counter cook - on - the - spot omelette pancake . formal dining room hotel , plenty fun eatery around perimeter . area safe family - friendly . many shop , good discount shoe store , DSW behind hotel along cinema . beautiful linear park stretch way south Battery Park tip Lower Manhattan view view Statue Liberty & amp ; Ellis Island . lovely tree flower , bird squirrel . plenty seat , playground , charming sculpture amuse child . boat marinas river trip . everything superbly maintain salubrious . 
 Apr 24 2008 	 nice time 	 let start say love website really rely people 's comment whenever go away . really read take advice fellow traveler . say , let add two cent - go another family , request adjoining room get . spacious , clean . breakfast great quite honest . gourmet . thank advice people website learn get early avoid line . cook order egg , coffee juice , bagel bread , buffet egg , bacon sausage ( let face , ever great egg buffet ? ) plus fresh fruit . really fill - work we . manager reception another nice touch - get two drink pass per day per register guest ( 10 us total - 6 non drinker ) Needless say four us fun . kid get free soda juice , also chip salsa , pretzle mix , popcorn etc . location great we really feel safe rather quiet . look time square type action hotel . able walk everything use subway time . get good map plan advance want see . also , call two occasion extra towel additional blanket - request fill right away . sum - look nightlife romantic getaway probably not . family like we take train Penn Station ( $ 12.00 taxi ) want tourist thing like feel good value . 
 Apr 21 2008 	 comfortable nice location worth money 	 tire noisy cheap ( though ultra expensive ) atmosphere hotel touristy area NY , totally pleased stay Embassy Suites . harborview amazing , lucky like get sunny day walk harbour . area nice , noisy , plenty small coffee shop nice restaurant around . room spacious , well design , great quality linen , furniture , everything . staff really friendly arquitecture hotel great . nice breakfast . would stay again . frequent NY Visitor , NJ 
 Apr 21 2008 	 Perfect view 	 stay embassy suite return New York fly home . previously stay Double Tree Guest Suites spend lot time decide two location . location good . there s much see can not go wrong . visit Ground Zero , financial district , Broolkyn Bridge course Centuary 21 . area around part Manhattan much slow pace long promenade along Hudson people walk jog . many good resturant bring place alive night . stay suite 2 night . go harbour view worth extra . night leave curtain open enjoy light side . our accomodation okay furniture see well day . breakfast bit like chimp tea party shortage clear table . People hog table other hot food leave wander search space eat . breakfast usual Embassy standard less choice other stay . still great value manager reception 5.30 - 7.30 offer complimentary drink snack . I also not like interior hotel feel chair dining area poor quality . remind school canteen could decorate bit give bit atmosphere . say would go back - bet , will get early breakfast . 
 Apr 20 2008 	 great family stay NY 	 stay 3 night stop - over / sightseeing weekend en route London Turks Caicos . 2 young kid ( age 4 7 ) find hotel perfect trip . suite spacious 2 double bed bedroom sofa bed living room . sink / microwave area useful fridge store milk etc . kid would useful one silly fully stock minibar . oh , kettle rather coffee maker we English tea drinker ! inclusive breakfast great , lot choice free drink nibble evening bonus NY hotel . great meal one restaurant hotel complex one evening ( Applebees ) . hotel clean staff desk concierge helpful . like quieter position ( weekend ) hotel despite comment website can not understand folk problem walk . know Americans know drive everywhere 5 year old manage walk subway quite easily . two kid even walk way Liberty / Ellis Island ferry first morning ( 25 min ) , lovely walk along River bank . we would defintely stay visit ny . 
