seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Oct 8 2009 	 's favourite .... say ! 	 enjoy 3rd trip Harrah 's Las Vegas . 5 night stay 26th Sept 1st October . check 1st time ever dismal . 3 agent work Saturday afternoon , almost inexcusable ..... however , 45min wait , serve one Harrah 's friendly staff .... forgive . I give room Mardi Gras tower . Standard un renovate room ..... fine . 3 star hotel know expect , disappointment surprise . room around 350sq / ft ..... solo traveller ample . furnishing sound quality bed comfortable . linen scratchy towel fluffy clean . the bathroom though small spotlessly clean . television old crt type station limit . the thing love stay Harrah 's .... reason choose Caesars Paris , even compe stay , staff ! fantastic . I love staff willing help friendly . poker room staff brilliant run top quality show . tournament fun , new deep stack tourney incredible value money . cocktail waitress Harrah be honestly apreciative tip , remember drink 's always service smile . Harrah 's location pretty hard beat , slap bang middle action . Carnival Court blast slowly kick lunch party weeeee hour morning . restaurant reasonably price , atmosphere fun , staff friendly , customer seem repeat stayer , buffet yummy , room comfortable , Starbucks , location unbeatable .... many thing like Harrah 's .... ever bad day .... be pretty easy forgive .... like check in . would stay Harrah 's ? ... bet ! would recommend friend , family fellow traveller ? ... yes , look brilliant location reasonable price friendly staff . be luxury hotel ... , not pretend . Harrah 's middle road place , middle road type people like good value money nice comfortable , flashy place rest head.cheersshirl ' 
 Oct 7 2009 	 pleased ! 	 stay 10/3/09 - 10/6/09 . hotel convenience . great location strip . plenty food option hotel surround outside affordable . easy walk property hotel ; also total Rewards point . travel seven other feel much one bad experience . group stay Mardi Gras Carvanal Towers . room clean , bed comfortable , alarm clock work . stay standard room decor slightly modernize need tv upgrade , etc . housekeeping staff friendly , knock door 9:00 want clean nice job . bartender cool talkactive drink reasonable . Carnival Court constant action , bartender put show . different band play throughout day , dancefloor , $ 3- $ 5 drink special . want drink room , hotel two mini convenience store could get alchohol , mixer , beer , cigarette gift . look good , solid hotel basically accomodate type Las Vegas traveler wallet , stay Harrah 's . value motel , also posh resort . look standout , upscale experience , would like Harrah 's . real complaint pay $ 10 use gym , free wi fi like talk Reservation agent ( hotel - phone ) . not friendly , sound annoyed ask simple question . book reservation Expedia need make special request room really would not work . reservation file , not state Expedia reservation . expedia call get thing correct , twice . book part trip pain . outside , hotel completely suit need enjoy stay . would choose would book direct , seem helpful . 
 Oct 6 2009 	 Harrah 's ` ` ok '' 	 first stay Harrah ' 10 year ago group guy would go college Vegas weekend . Harrah ' cheap good location . plus , college guy , care room look service be . well , 10 year later much really change hotel . stay part wedding say matter . going stay pretty much know expect previous experience , read review , look picture . one situation expectation hotel experience go . admit expectation little low experience bonus . pro : - renovate room , point . new color scheme linen update bathroom look.- great location strip- good Starbucks locations- friendly dealer valet bellmen- super sized Wheel Fortune wheel- crap table sportsbook ( $ 5 ) con : - outdate tv ' room- unfriendly front desk - loud door close loud thud- could keep water shower save life- uncomfortable pillows- strong smell smoke- many good view - ridiculous sized speed bumpsOverall , place would choose stay would overly disappoint end situation choice . 
 Oct 6 2009 	 great stay Harrah 's 	 Booked Harrah 's several day begin September 28 , 2009 . problem check personnel friendly . free room upgrade one new renovate room ( coffee pot ) 15th floor overlook strip . everyone seem friendly , helpful never feel unsafe go back forth room . make fourth time stay centrally locate strip . Casino seem full time . return . 
 Oct 3 2009 	 would definately stay ! ! ! ! Great Service ! ! ! ! 	 stay harrahs 4 night sept 28th oct 2nd . excellent place stay . 9th visit vegas , harrahs beat place stay service far ! ! Marie housekeeper . great , room always spotless even leave little note wish we luck fun . front desk friendly efficient , despite review say . Felt safe , issue security etc . although really be not fond playing casino , luck , go casino play , nice atmosphere drinks always flow server friendly . location good anyone want adventure far , everything could possible want right close , smack dab middle strip . go different buffet everyday , find well Harrahs flavour buffet far well good selection different food dessert great ! go carnival court around lunch time recieve another $ 5 bill coupon hand out . entertainment plenty Harrahs . duel piano bar entertain , outside carnival court concert venue happen thetime , go see legend show well Harrahs . wow ! ! ! ! ! ! one good show see . definately recommend must see there . dont take bad review heart . experience see Harrahs let , definately back ! ! 
 oct 2 2009 	 Harrahs ok . 	 stay Harrahs 9 - 27 10 - 01 , Room locate Mardi - Gras tower # 745 , view so - ever overlook roof side hotel . AC unit room warm , maid service good , hotel staff good , hotel could use major make - over , hotel like gorgeous one Atlantic City , hotel real prime spot strip . opinion , Harrahs ok . room compe buddy overlook many small thing wife would happy . 
 oct 2 2009 	 try will love 	 read review little leary booking . line front desk move quickly , room 20 minuet . noon , early . ask mini fridge 15 minuet , also someone lock safe housekeeping right , 5 minuet . room 15th floor end hall , ask .. quiet week . housekeeping service great every day , rest hotel staff friendly attentive . dealer fun well , eat meal cafe happy well . not know gripe , great stay come back second one sure . not make money , not loose shirt . thank ! ! ! Harrahs , great stay . 
 oct 2 2009 	 Great Gambling - Great table service 	 stay Harrah 's - Mirage , however spend many hour gamble Harrah 's . great table survice particularly CAROL serve rapid roulette table - good ! friendly feel overall casino . big thank Carol , keep we table many hour drink great . can management Harrah 's forward thank reward outstanding performance . thank four brit p * ss ! 
 Oct 1 2009 	 casino great service awful 	 multiple trip ( harrah twice ) , love casino , dealer exceptionally pleasant ball . server ( ) rude ever experience . try get change one ( give tip ) tell problem . old bartender sportsbook make drink wrong bring back , say GET HINT . plan another march trip sure 
 Sep 30 2009 	 Harrahs always great stay 	 stay harrah , Las Vegas 6 day sep. great time . compe day get premier room , coffee pot ( yeah ) . housekeep great , room exceptionally clean , great pillowtop bed . also tv bathroom , ( never watch ) . room comfortable , plenty room . small win , mostly fun play mostly penny slot . harrah right strip , close many big casino , ( Flamingo , Ceasars , Mirage , etc . also small fun place , ( Bills , Oshea 's , etc . ) always feel safe , matter time wander around , use shuttle ( get right harrah ) one day go Rio , everyone front desk , cocktail server casino , housekeeping , security great helpful . stay Harrahs several time past never bad experience . 
 Sep 29 2009 	 good stay great location '' 	 stay Harrah 's 9/23 thru 9/28 . location excellent . staff friendly . room small , 2 flatscreen tv 's clean . hear noise come Carnaval Court , not bother much . Mardi Gras tower , ask tower avoid band playing night . the casino smokier , not win lot . 's call gambling . Harrah 's good value great location . 's Venetian , be try . give thumb - up . 
 Sep 29 2009 	 avoid room face Carnaval Court 	 return annual trip Vegas decide stay Harrah 's first time since always end much fun . definitely one & quot ; happening & quot ; casino - lot go time . location well - walk almost anywhere want go lot choice food restaurant fast food . 2 Starbucks hotel love . one newly remodel room Mardi Gras tower - room pretty nice , bed wonderful - like sleep big marshmallow . drawback room face Carnaval Court party never seem stop . hear loud voice music 4 morning every night . drunk enough pass okay - otherwise not plan peace quiet . hallway also loud - pretty big gap door way around light come . maybe helps contribute loud noise level . mention clerk check love room not like noise pretty much say room compe quit complain . whatever - doubt stay . 
 Sep 28 2009 	 good location nice room 	 stay Harrah 's many time always satisfied room . yes , color sceme could grade LCD tv 'S . always clean . enjoy coffee pot room , great plus expensive hotel get go downstair pay fortune cup coffee . always check - in personnel nice . ' m fortunate always comp room quite frequently automatically upgrade mini king suite . can not compare amenity mid price hotel expensive hotel . great mix slot machine great location strip monorail . 
 Sep 28 2009 	 terrible experience 	 stay . staff terribly rude , room small ugly , pool small . door room room next door fix not lock . tub would drain take shower , never get fix . charge we $ 5.00 opening frigerator , find later Wife nothing even . coffee pot room free Wi - Fi . opinon bad hotel strip stay four far . staff alone reason enough stay . actually manager not even acknowledge information desk old lady information desk rude seem even care issue . believe experience hotel . 
 Sep 27 2009 	 Harrahs Las Vegas FUN ! 	 husband stay Harrahs Las Vegas 4 nts convention . stay new update Mardi Gra tower . room nice . bed comfortable . sleep like baby . usually hotel night uncomfortable ... . although ask might choose room low floor overlook pool like ... little loud band playing . also , low floor ( 4th ) make feel pool look . floor SPA . massage , facial manicure . great experience . many spa . technician service top notch . unfortunately relaxation area hot tub could update . 
 Sep 24 2009 	 Weekend Harrah 's 	 fly back Ausin Seattle cruise Alaska , decide stop Las Vegas . ( Sep. 18 - 21 ) easy change plan SW Airlines . Harrah be compe we Deluxe Room Mardi Gras Tower . check 6 pm . friday check 11 am monday . take 10 minute time . wow ! fourth floor ( non smoking ) view roof a / c . ms m406 room . thing wrong . bed comfortable , 2 plasma tv , motion detector a / c work fine , room look like redone , bathroom nice . impressed room . maid Marsella take good care we . Harrah be also good location stay . McDonalds , Dennys , Sub Way , Burger King , etc . close quick meal - great meal buffet casino . also gamble Paris , Bally 's O'Shays , Flamingo , Imperial Palace ( Harrah 's property close ) . really enjoy weekend Harrah 's . sure beat South Tower ( last trip/1 night ) Bally 's , move North Tower . thank Harrah 's . back ! 
