agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Jun 3 2009 	 Great Location 	 Doubletree Metropolitan ideally locate sightseeing . walk almost everywhere feel safe time . cookie receieve arrival delicious ! hotel lobby bar modern lot staff available help require . complaint room bathroom issue noise . central hotel Manhattan , represent value money . 
 may 27 2009 	 service soundproof look turn away 	 stay hotel six night new year girlfriend birthday . limousine book airport hotel birthday ballon everything inside . perfect start suppose romantic getaway . all end walk door hotel . check pay cash get excellent exchange rate . front desk staff welcome we , grab money we take extra $ 300 us security deposit . ask could not use credit card , would answer . mean money Phantom Opera Broadway . throw cookies desk break . bad thing experience ruin suprise girlfriend room ( strawberry chocolate sauce ) room big large comfortable bed 14th floor . location hotel great . beside subway stop . first day ring extra blanket . not arrive next day way hotel go sightseeing mention one staff front desk ( Jacinta ) helpful quite rude . take aback attitude . shout walk away . come back complain supervisor apologetic say would sort everything . never happenedthoroughly disatisfie , rang General Manager holiday , great ! spend three day try reach manager last night Miguel rang room ask trouble . understand apologetic staff deal , one actually care experience hotel . apologise person girlfriend ruin surprise come generous arrangement we . this hotel great get around city shopping sight seeing . room good clean nice polite . Front Desk staff let hotel badly stay . P.S . happen kid , hope lucky enough get room beside couple smoke like stay late loud manner . able hear everything .... last detail . 
 May 18 2009 	 Good Location- easy acess subway nothing special 	 seem busy place time smile friendly welcome . often case Honors member confusion check & quot ; available & quot ; room upgrade- check tell upgrade . see small allocate room speak another girl front desk advise place wrong room ( upgrade book ) , give wrong breakfast voucher etc . changeover ( large room ) apologetic graceful bungle nevertheless -my overall experience upgrade Hilton query everthing ! high floor rear face another building quiet comfortable . voucher full breakfast restaurant standard Doubletree fare . also see Honors floor continental breakfast- basic , disposable plates- design fast run experience . location good- get around subway lot non touristy place eat walk 2nd Avenue . nice flat screen television , update room decor . free wireless lobby 
 May 15 2009 	 Value money excellently situate . 	 recently stay hotel well situate subway plenty attraction within walking distance . read review expect worst , instead hotel pleasantly decorate , clean area staff helpful . find bar area comfortable staff attentive cheerful . complaint inconsiderate people noisy , clash bedroom door early hour morning . room second floor upgrade queen size bed king . situate along side road mean do not hear traffic noise . experience big difference temperature stay 16c arrival peek 30c third day get say heating / air con work extremely well . eat hotel can not comment food . comfortable hotel would expect 3 * hotel , bed comfortable 
 May 11 2009 	 great location ... awesome bed ! 	 start , go Tribeca Hilton Garden Inn ... come back hotel prefer . excellent staff , get breakfast option return find two great breakfast place 3rd ... Morning Star another door . room quiet , bed comfortable , subway right , one room big bath , complaint ! oh , coffee room would nice get day go . internet free lobby seem silly 
 May 11 2009 	 NYC trip - Stayed Doubletree Metropolitan Hotel New York City 	 everything good except tht room refregirator keep beer chill : - ) 
 May 5 2009 	 first visit New york - good base work 	 overall , experience doubletree satisfactory . nothing special acceptable . the room small & amp ; clean queen bed . see New york room facility ok early back late . 5th floor side hotel face sky scraper look & quot ; straight & quot ; see sunny cloudy . the hotel well place get . situated uptown Manhattan hotel right next Metro 2 - 3 block away 5th & amp ; Maddison Ave . edge central park 10 minute walk . prepare walk . comfortable shoe must . do not breakfast hotel . right next door main entrance diner ( can not place name ) serve breakfast , lunch & amp ; dinner . good fresh food decent price even $ 1.45 pound . New york fantastic . New York Jan cold queue attraction small . generally people street friendly ask direction assistance . find staff diner , bar & amp ; restaurant chatty & amp ; helpful & amp ; give good service find shop assistant shop go motion . bad staff metro port authority bus station . - public employee . they either asleep prentende reading magazine paper . try get help like pull tooth . guy need retrain 
 Apr 22 2009 	 Perfect location big room 	 stay hotel 4 night 4th time NY good room money rate encounter far . location perfect see Rock short trip Times Square Central Park . subway line directly hand make fast easy travel within Manhattan . check fast friendly concierge helpful matter . place hotel stand room . kingsize bed room spacious , quiet perfectly clean . especially size come bit positive surprise . easily recommend hotel eople want nice stay manhatten costly . eat hotel , around corner amini market lot offering genrally NY full nice place eat hardly eat hotel . 
 Apr 21 2009 	 average hotel good location 	 hotel fine look basic accomadation near subway . someone live city , room would expect nyc .. small , little street noise view apartment roof . room clean , bed comfortable , nice flat screen tv good bath product . pay $ 125.00 priceline happy hotel . look special hotel vacation , may disapointe need place sleep explore great city get good price fine . my complaint would maids knock try enter clean early morning .. make sure use door chain . 
 Apr 18 2009 	 Great Location 	 stay 4 night end March 2009 . get excellent rate hotel hotelpath book . read reviews hotel decide prepare bad . short wait check front desk staff 4 people . give room key warm cookie . get room , open door another guest already . say check shortly we rang front desk get little satisfaction return reception wait line someone help we . 7 hour flight could do without . finally approach girl reception tell predicament expect reaction apologetic . seem not guest problem . get new room key get room check bed bug mention previous Trip Advisor review glad see sign ! room clean . bed comfortable . bathroom small clean great shower supply nice toiletry . hotel excellent location 10 min walk Times Square . subway next hotel use one everything walk distance . luggage storage facility $ 2 per bag . 
 Apr 15 2009 	 good TIMES 	 read reveiw go not expect much Doubletree not spend much time hotel NY anyway . please get . checked tell have grade give cookie 7 hour flight 20min taxi ride good . room big , not think get Manhattan clean comfy king size bed , 40 & quot ; HD tv , side tea / coffee making facility . staff helpfull need not often , query minibar bill , not use iteam bill , pointed staff take bill question ask . the location good , especially fly JFK metro 53rd run 2 block hotel , also metro 51st outside hotel get Manhattan . say alot attraction walk distance . I would stay 's Plaza want nice room , comfy bed good location Doubletree good chocie ( money ) 
