vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Mar 14 2009 	 awful ! 	 oh , Plaza much potential ! 's shame . room large 's good location fun architecture . the Plaza could ultra cool 60 's Rat Packy yet , instead , be filthy . try , , vacuum clean sheet make stained carpet , peel walpaper , nasty tile , mildew come paint , plumbing leak upstairs room , pervasive stink dirt hall absolute reek old cigarette smoke supposedly nonsmoke room . 2 6 elevator work side ( North Tower ) . plus charge parking even register guest . get 5 dollar ( daily ! ) refund casino sure many people not be extra trouble . book tell renovated room pay extra . flat lie front desk refuse refund money . one night check walk across street charming cheap Golden Gate . not care would refund night not stay worth escape Plaza ! 
 Mar 14 2009 	 get old 	 price room , can not go wrong . especially not worried room . not enough care , need place sleep work we . caution traveler . 2 6 elevator work , also mean service employee use guest elevator limit 1 elevator . hear one person say wait almost half hour elevator . room fairly large , old . shower hard control . one point could get cold scorch hot water . carpet hallway 10th floor curl bunch , make look lot old . little thing , overlook go ahead stay bit picky would caution . would recommend friend other depend friend . 
 Mar 9 2009 	 dump 	 avoid cost , room dirty , poorly maintain , lift work room allocation seem base bad room first , reserve , hotel buffet really rubbish despite people say good , book expedia , never , hotel suggest poor quality room due fact expedia make money reservation hence rubbish room.avoid cost . 
 Mar 4 2009 	 dirty - maintenance anything 	 second year Plaza Nascar Weekend . first room give vacuum , overlook roof full old garbage include toilet paper fece attach . chair tear also . move room 7th floor well . good view shred curtain , stain carpet window dirty inside could hardly see thru . 2 6 elevator North Tower work . 17 - 20 min . wait time . never stay . 
 Feb 27 2009 	 Low price friendly 	 wife spend 4 night Plaza . go Las Vegas celebrate birthday . Hotel seem little run initial check think head one Hotels downtown , glad not . Plaza fancy place downtown , room clean staff courteous friendly . buffet good inexpensive . visit people ATV tour , stay stip listen Plaza keep get well well . wewent bed noise light keep we cleaning staff keep room clean . furnishing date shower faucet hard time keep consistent temperature . recommend Plaza , rom big , clean , comfortable inexpensive . big pain 2 elevator work could wait peak time . 
 Feb 26 2009 	 great except adjoining door - so could hear noise next room 	 ' ve read review Trip Advisor hotel & amp ; other stay California . frankly , think people fussy ( maybe staff hotel make comment - hate suggest , ' ve read , totally disagree comment hotel ) Plaza Hotel - walk room , absolutely ' gobsmacked ' view , & amp ; not get tired whole 6 night . room large , & amp ; 2 double bed , bathroom fine , room clean , & amp ; check - in easy . hotel cheap - 15 - 20 min bus ride expensive / fancy hotel Las Vegas , look ' Fremont St ' great - get see ' Fremont experience ' often , back main hotel area . go 11 pm memory , every hour . when come back bus walk Fremont St , & amp ; apart ' light show ' 's heap shopping & amp ; special there . the complaint adjoining door inbetween every room , & amp ; hear noise next room - tv - even talk . fix problem 2nd night put quilt cover bottom door - , problem . speak management , & amp ; say - sorry , 's way hotel - even tho say maybe could ' block ' door - - will not happen . apart , hotel fabulous , amazing view , clean , large room - staff helpfull - would reccommend hotel anyone , PUT QUILT COVER floor NEXT ADJOINGING DOOR , unless neighbour go bed early . not go bed till 11 - 12 pm , noise pretty much night ! ! ! think people Trip Advisor critical , read review hotel stay California , & amp ; reading say hotel , write review - unfair . e.g . say wait elevator - & amp ; heap time , & amp ; never wait . maybe be cos April , June / July / August ? plenty elevator , & amp ; can not imagine wait long one - whenever . anyway , hope help future guest - really wonderful hotel price & amp ; location . Julia & amp ; Keiji - Sydney Australia 
 Feb 24 2009 	 beautiful 	 think Plaza hotel good , stay 28 day time last two year , problem , keep loose Faxes send hotel , two last year three year , service desk staff helpful , casino staff good , room service good clean , . long stay north tower . stay third floor room # 323 , room price good Vegas , downtown fun strip , Plaza get cheap buffett Vegas/ $ 7.77 , preety good money , greyhound bus right next door , big group teenager come part usa game , boy really mess hotel , dirty filthy people , , blame hotel owner type problem , come back month , go back Plaza June month , belive , go wrong money charge , go direct Plaza hotel website book room well advance , , use travel agent , charge twice much room , LA Vegas , use southwest airline , cheap , book line , uneless fly direct , good luck , enjoy Las Vegas , always . 
 Feb 18 2009 	 Great Location hotel need rehab 	 could not ask well location - right begin Fremont Street . suite room # 712 ( $ 119 per night ) quite large look right Fremont Street . fun watch action light show time go sleep outside noise bit problem ( stuff ear toilet paper ) . hotel really need rehab . plug bedside lamp streach cord way across room . bath room bit plaster rust stain wall . ask non - smoking room tell room smoke nonsmoking . mean people could smoke room nonsmoking room request & quot ; Ozoned & quot ; room . even though inform room get & quot ; ozone & quot ; treatment could still smeel smoke room . upside mini - fridge coffee maker room . 
 Feb 17 2009 	 bad particularly good either . 	 thankfully cheap . this first visit Vegas . not look anything lavish , expect little Downtown Vegas hotel . the room big expect clean , good . bed make nicely , floor clean bathroom fixture clean plenty towel . the bed comfortable . small tv probably 15 year old picture green . cold water turn certain pressure , pipe wall make annoying sound . the elevator serious fault . North Tower stay 6 elevator , 2 reserve hotel service , leave 4 small , slow elevator guest tower . time need elevator , painfully long wait small elevator nearly always pack full 10 - 12 people time . bit go downstairs time within hour . time get elevator , one , make think one run , busy Saturday night less . hear complaint probably 10 guest elevator ridiculously slow . be go somewhere certain time pass Plaza elevator , sure give extra 20 minute case . the Plaza 's Lucky 7 Buffet ( $ 7.77 ) horrible well . find 2 item edible . rest slop serve would not feed stray dog . Main Street Station 1 block north Plaza excellent buffet $ 7.99.for price , not bad , major spot Vegas , expect . next time go Vegas will budget little room stay one nice hotel Strip . 
 Jan 13 2009 	 Great Value 	 Plaza Hotel palace , even close . be look luxurious experience , go somewhere else . want basic , clean room downtown Las Vegas sleep , place you . I ' ve stay maybe 10 time last 15 year . will not say ' ve never room problem , 's exception rather rule . room medium size large ( suite ) . basic clean bed good . bathroom small everything work ( usually ) . 1 2 time room major issue like run sink window would not close , move well room ( 1000 room ) .there 2 tower . South Tower cheap one , room $ 35 / night . pay little stay North Tower . ' ve stay 's much difference . the buffet $ 7.77 run day . 's good one Vegas 's worth $ 7.77 get fill . bar , beer $ 2 many mixed drink . sport bar overlook Fremont Street rock bottom drink price . think casino 's pretty good . ' ve come away winner once . I not turn small tv not go Vegas watch tv , go gamble party . if be picky person someone want make impression group , stay somewhere else . want clean basic room great low price , go Plaza . love . 
 Jan 2 2009 	 downtown .... 	 begin , let get straight . fremont street downtown las vegas start . , say course go old . plaza good place friendly staff . yes , room old fine , especially place sleep take shower . rate really low . get 4 night $ 18 night . downfall elevator situation north tower . two work sometimes long line time could get right . little frusturating . , price good deal . old fine . 
 Dec 29 2008 	 awful experience 	 start long wait line check , busy 2 people work . room give we make , go switch room , second room make either , go switch room ! ! ! tv 's room poor reception remote final room actually work . hot water entire stay , good luke warm cold shower . second night return room find key card would work , make another trip front desk new key card . end cut trip short 2 day could stand spend another night horrible hotel . 
 Dec 24 2008 	 basic room interesting location 	 go vegas walk around alot see thing . never stay downtown neat experience . use room sleep watch tv get tired walking . like read , bring light bulb like hotel put dim compact flouresent bulb light socket . early Dec dead time vegas crowd experience may typical . easy check hotwire reservation , extra fee . Fremont Street experience really fun . like tribute rock / n / roll every hour . old Omaha louge go along filipino family entertainer . towards front casino much large entertainment area . kind motown platter type group BJ pit supposably & quot ; beauty & quot ; deal . & quot ; beauty & quot ; lot mile , part charm downtown . free parking ramp . clean basic room . stay south tower nice view strip distance . room old renovate large hotel room . nice choice stay downtown inexpensively . 
 Dec 17 2008 	 nice anyway excellent price . 	 room north tower look Freemont light . 9th floor offer great view . high might limit view . parking garage south tower walk casino . room large clean . smell . bug . bathroom little small ok . water hot high pressure water volumn stand tub little showering . staff friendly accomadating . buffet well try . dealer helpful fun . ' m total novice feel comfortable . downfall 2 3 elevator work always little wait time . overall , think 's great place money . excellent location walk downtown attraction . visit Rio fancy buffet twice cost bland food waitress unfriendly . hound time share salesperson . walk country mile get everybody seem unhappy . hope help . thank 
 Nov 12 2008 	 adequate fine normal 	 big clean room around $ 30 $ 40 good enough . place might stay friend someone try impress . television A / C unit look really really old , work fine . people check desk polite also . rather nice view Strip window . 
 Nov 11 2008 	 Disgusting Gross 	 hotel really disgusting ! ! read reviews property book , also think room nice time share property family member Plaza great cancellation policy . ( 3 pm day arrival ) stay weekend November 7th & amp ; 8th . the moment walk property - stunk ! ! ! ! ! offensive smell something dead body fece rot food stale smoke ? ! ? ! ? ! ? ! ? ? ? ? 4 6 elevator , 2 work - BARELY ! ! ! every single wait elevator least 10 minute really mean least . the room supposedly & quot ; Deluxe & quot ; . yeah , right . shower small stinky bathroom hole ceiling , tile around faucet dirty break . raggedy , dirty & quot ; closet & quot ; , rickety rusty bar hold clothe , really bathroom . room dark dingy honestly afraid touch anything . this seriously gross place . know , know , people keep say get pay , think maybe place even dirty may stink Greyhound Bus Station adjacent hotel . ( attract interesting people ... ) never stay . spend extra buck ( please ! deserve ) go somewhere , anywhere else ! ! ! ! ! ! 
 Nov 10 2008 	 expect ! ! 	 originally go stay Vegas 3 day , however 5 hour drive decide go day early get good night sleep . decide book Plaza Hotel 's stay family since infant . stay basically expect . room much need cleaning updating . take toilet almost half second flush . get mini suite get $ 55 . get pay . would not pay much though . downtown great experience since 's congested Fremont Street experience great ! well , think will let picture tell story . 
