nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Jul 30 2009 	 convenient place stay SF Marathon 	 choose stay hotel due proximity start / finish line 2009 SF Marathon . not cheap well worth price since event across street . parking , hand , catch we surprise . use Hotel Valet park car add another $ 57 bill go one block pay $ 32 self - parking . valet understand probably seem excessive people appropriately inform us option / price leaving car . front desk check - in process efficient , cordial lack personal touch . not bad probably would do hotel credit make guest feel bit welcome . room well expect . comfortable bed . LCD TV . standard 2nd floor room face market street , bedroom somewhat separate bath entry foyer . although Bay view room expensive usually prefer high floor , 2nd floor overlook main street nice . although not balcony , slide door open nicely allow fresh air city atmosphere enter room . overall , pleasant stay serve purpose nicely . 
 Jul 28 2009 	 Great Location near Ferry Building lot amenity reasonable price 	 stay 2 night @ Hyatt Regency SF wish could stayed long . hotel lovely . location convenient . right across street Muni ( local train ) BART ( regional train ) especially fly SFO airport . get BART arrive across street Hyatt Regency 30 minute . California cable car originate front Hyatt . Ferry Building one block away . get tram bus . perfect location plan use public transportation system take ever want go . Fisherman 's Warf short ride away . room spacious clean . bed comfortable . lot pillow , towel etc . bathroom large clean nice amenity . mini bar ( cost ) flat screen tv . hotel lot amenity include valet parking Budget rental car location sight convenient we . staff efficient helpful , concierge knowledgable check quick . price reasonable . pay around $ 140 night plus tax Orbitz . would pay much less hotel location . would love stay come San Francisco . 
 Jul 25 2009 	 okay . Nice Hotel small bathroom EXPENSIVE parking 	 hotel look nice . spacious modern decor lobby area . upon check - in , seem shortage room , wait awhile -- long . the hotel parking sooooo expensive ! make sure budget book . $ 57.00 per night . kid luggage , really not want walk block cheap parking building way $ 32.00 per day . we two adult two child . , keep mind bed double bed queen . little cramp we . bathroom area way , way small . literally squeeze toilet / shower area close door . , bathtub towel floor -- forget . move way first . the location good , think would try another hotel first . like say , price extreme , room small , parking price insane . 
 Jul 21 2009 	 change Good - ' Wicked Weekend ' 	 weekend trip City see ' Wicked ' enhance terrific stay Hyatt Regency . room clean comfortable ( great bed ! ) , registration smooth helpful , view - Spectacular . use public transit . Oakland Airport BART stop 50 ' entrance hotel . Access Fisherman 's Wharf , Orpheum , shopping , . . . single ' ride ' away . complaint ? ' m stumped . 
 Jul 18 2009 	 Great Hotel Money ! 	 wine country tour stay 2 night SF . find Priceline.com $ 100 / night taxis / fee ( name price ) . hotel great location , historic trolley stop right next , port across street . lobby huge 60 foot tall artwork , expose hallway stack , look lobby . also bar resturant lobby , late night burger good . room spacious clean , little skimpy towel . separate sink setup toilet / tub 's room . nice get ready . tv remote not work , replace quickly . valet parking $ 55 night , park garage around corner $ 35 / night , leave car 2 day . one thing frustrating 1 elevator bank , opposite send hall room be . Priceline rate 4 star ...... would say like 3 3.5 . Hyatt , get expect nice clean , quiet room , standard service make stay pleasant . would stay $ 150 / night . 
 Jul 18 2009 	 Nice Hotel problem 	 actually Hyatt employee stay hotel room lot impressive property work ( can not disclose ) . would avoid $ $ expensive $ $ in - house dining , even 50 % discount , breakfast still come something like $ 25 tip , etc . 's lot place eat around city , check . course location good , LCD tv plus , will not even complain lack - of - free WiFi , not surprise . also really like place convenient cable car BART . would recommend anyone willing spend extra $ $ $ . 
 Jul 14 2009 	 great location easy distance everything . 	 Hyatt right heart financial district . sit right next BART station easy access SFO point BART serve . also close Muni line cable car . track busy time , public transportation San Fran . Fisherman 's Wharf 10 minute cable . Union Square 5 . five minute & amp ; Park Giants game . actually bid price Priceline hotel pay $ 75 night . rank 3 1/2 star hotel book . would say accurate . lobby impressive atrium . hotel look like recently refurbish . & quot ; old hotel & quot ; feel , even though . room & quot ; city view & quot ; side , even though offer & quot ; bay view & quot ; side extra $ 40 night . would say exact view . save 40 buck , sit directly bay anyway . city noisy morning financial district start . noticeable , overwhelming . crazy homeless guy yell one morning 5 2 hour drive we nuts , 5th floor . assume someone tell shut , kill , suddenly stop . good thing financial district calm considerably business hour . room spacious king size bed comfortable hotel bed . desk computer plug . ( pricey internet , bring modem ) . would like see small fridge room computerize mini bar . one bring per day fee . gim room day feel . well microwave . cheap nowadays , could utilize snack restaurant leftover . bathroom amply size , important ; clean tile . ( pet peeve mine ; ) .. ) another thing hotel lack swim pool/ hot tub . swim soak would perfect end day spend walk ride public transportation . staff attentive request . friendly professional . would say perfect hotel Priceline price , rate get -over 120 buck ; definitely $ 200 . would however , stay . 
 Jul 12 2009 	 need facelift ! 	 great hotel staff ! hotel need facelift . bathroom outdate carpet old . if drive , night self parking $ 32 $ 80 valid parking . I stay somewhere else next time . 
 Jul 8 2009 	 great location ! 	 stay one week February enjoy stay immensely although somewhat pricey side . location prime . enjoy walk place perfect able see fabulous part city foot . fitness center also top notch . service also excellent . bad not pool . definitely stay . 
 Jul 2 2009 	 Loved Regency Club building 	 recently spend 5 night Hyatt Regency San Francisco would recommend hotel anyone want stay city centre use public transport . we arrive Amtrak , shuttle bus Emeryville drop we Ferry Building . head road , luggage tow , difficulty find entrance hotel . several door visible Ferry Building side hotel ' exit ' . walk right around side hotel , entrance Drumm Street . but good start , greet well reception . request degree water view ( despite able book city view ) room pre - allocate apparently city end hotel . however , gentleman check we kindly move we room view water . room Regency Club King 17th floor , angle view Bay Bridge . room decent size ( although odd , angle shape ) , well appoint comfortable , fairly newly renovate would guess , thing seem design design 's sake not quite work practical point view . not much storage space – much floor space closet take safe leave little space store luggage . enclose part bathroom toilet large walk - in shower , nowhere hang towel except shower enclosure door . tv set bathroom mirror interesting gimmick , really novelty . toiletry provide ' white ginger ' , not find pleasant – smell remind public toilet , not particularly attractive perfume ! miss lavender - citrus product Hyatt use provide . I find chaise longue comfortable , husband appreciate large flat screen tv could angle wherever want sit . greatly enjoy view , able watch ship bay historic streetcar run along Market Street around onto Embarcadero . the Regency Club excellent make use have think would . surprised , however , find close 9 pm . give card check - in show time , variously , breakfast , snack , drink dessert available . say dessert 8pm-9pm , not realise Club would close 9 pm . breakfast good selection fruit , couple different danish muffin day , cereal , bread bagel toast . snack day apple / orange cookie , plus 2 3 kind trail mix mixed nut . evening different hot item , eg chicken wing . dessert 2 different kind cake , varied , plus small chocolate brownie . coffee machine juice machine ( orange , apple cranberry , think ) always available , fridge stock can soda bottle water ) , help time club open . ' m sure honor bar system work – husband enjoy beer evening duly complete slip say would put box . although often see people take alcoholic drink drink table , never see anyone else complete honor bar slip . think honor bar price pretty good , certainly cheap mini - bar room . there 2 pc available find useful , although often guest ignore sign ask people limit use 30 minute allow other access . at desk always form ask people sign Club , people seem . Access Club well control . never member staff desk , replenish food time available . although supposedly access certain elevator , authorise room key , several time see people find way look around , conversation appear RC guest . hear member staff challenge group enter ask leave . another time someone ask member staff much food drink cost , turn RC guest , group ask leave . the hotel handy public transport , excellent city . 's BART station right outside hotel , Market Street , terminus California Street cable car . stop streetcar trolley also close . near place buy multi - day muni passport Ferry Building . other report , parking charge hotel daylight robbery ! $ 57.00 per day , include tax . however , know book . aside cost , find use valet parking inconvenient little restrictive . we enjoy look architecture hotel , inside . certainly interesting building . ' ve see movie ' Towering Inferno ' , elevator may look familiar – except be actually inside , outside movie . find staff friendly helpful ( well , except lady Budget car rental desk singularly unhelpful , hotel employee ) .We glad choose stay Hyatt , like location particularly enjoy Regency Club . however , visit San Francisco think will stay little not pay parking immediate access car . 
