work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Aug 26 2009 	 Hot Sweaty Claustrophobic Nice area great location 	 2 room 4 night London watch Red Bull Xfighters . hubby 9 year old room we . mattress sofa bed like sleep bag . fold sofa back sleep that . window open 6 inch bottom . fresh air whatsoever ! ! fan provide circulate stale air around . bathroom fine room layout teenager poky wee hole air bathroom lay bad door would not open properly . the sound level tv low call engineer try fix book movie two room . set level . could hear tv movie channel mute . Told could turn . ( fee movie bill even though ask remove ) breakfast cheap bacon , cheap sausage , cheap bean etc eat two morning skip 2 morning . breakfast room mob although staff helpful . leave baggage charge £ 2 per item . we charge £ 16 hold bag 1 hour . concierge helpful Doorman delight , especially nice kid . tip hat every time daughter pass chuff every time . even buy hat could tip back . area / Location superb ... pity add air con refurbish . even add unit would go long way open window , Health safety go mad . celebrate 's 100th anniversary year advertising refurb do . air con ? ? ice machine 1st floor . drink machine every floor . well use we . I would like stay room 30 min shower without need another shower . ( fat , sweaty bird ) would say stay location fabby ... wear bikini take plenty can cool stuff . 
 Aug 22 2009 	 brilliant location comfortable friendly service 	 could not well place term location ! ! king club room spacious , clean comfortable . room face road lot well one face concrete courtyard , especially warm weather . however , willing give ventilation order peace quiet , interior room well . love sound city night , well ventilation , room air conditioning . however , not really miss , little fan provide room perfectly adequate . breakfast quite good service excellent throughout stay . would definitely stay Strand Palace Hotel next visit , highly recommend ! hope keep standard future . 
 Aug 22 2009 	 pleasant hotel would recommend anyone 	 hotel pleasant , room modest end day really use hotel sleep , bed comfy ! ! sleep however quite poor room incredibly hot ( althought stay London 's hot day year ! ) lack air conditioning disappointment , however , fan room provide mild relief . picky thing annoy , like lack ice machine would nice bake hot day ! corridor quite maze like ! hotel ideal theatre show Lion King , Oliver etc ... short walk Covent Garden . small Tesco Express across road handy buy alot bottle water price alot cheap buying drink tourist attraction local newsagent stall . Strand road alot well know restaurant / cafe , e.g . Pizza Express , ZiZi 's . starbuck etc .. well place eat . brief 10 - 15minute walk hotel London South Bank London Eye / Big Ben etc ... like hotel alot , staff pleasant , breakfast lovely wide variety cook cereal pasty , also soya milk surprise able cup tea breakfast , although tea questionabe grey coloured ! taste fine ! 
 Aug 21 2009 	 decent hotel great location 	 stay see Oliver ! Drury Lane . say , can not beat location- less five minute walk Trafalgar Square , Covent Garden , Horseguard 's Parade river Thames . hotel good- clean . nice meal / breakfast aswell trouble staff apart language barriers- many could speak good English- friendly welcoming . 
 Aug 21 2009 	 reasonably good hotel ideally situate center 	 Comfort hotel good , relation price central location London . remark heat ( air conditioning room ) noise room front . otherwise , situation ideal discover London . 200 Charing Cross Covent Garden station , 10 ' reach Piccadilly Circus China Town , Soho ..... not take breakfast ( +15 £ ! ) find happiness surround small cafe's . the indication give information desk helpfull 
 Aug 18 2009 	 Lacking Service 	 ' ve stay hotel number occasion satisfy last visit . quality service go even though hotel refurbish ans nice comfortable . we arrive Saturday want check - in 2:30pm ( announce check - in time 2 pm ) . receptionist tell we room ready wait till almost 4 pm get room . even apologize delay find acceptable . meantime , however , guest line seem problem room . book Club King room , ' count club reception desk – it close weekend . also , never get complementary bathrobe even though ask twice . mention free access gym across street , like swim morning miss that . in general location hotel excellent ; however mixed feeling service would think twice booking room . not know change past month 's definitely well . plenty hotel London price could probably find well one . 
 Aug 12 2009 	 Great Location 	 can not beat Strand Palace Hotel 's location . simple . room modest clean . staff terrific . , breakfast buffet downstairs wonderful . would stay . 
 Aug 12 2009 	 invade Bed Bugs 	 bite bed bug last week 's stay . colleague issue , however another mate mine stay month ago also bite bed bug , unfortunately tell anyone . write management full refund get response yet . 
 Aug 11 2009 	 well place London Marathon 	 fifth time stay marathon . large fairly small room one still charge less single room well place marathon train ( Charing Cross ) finish . 
 Aug 9 2009 	 good location London ! accessible everything ! 	 3rd stay Strand Palace Hotel 2 year . centrally locate close everything - transport ( opposite Charing Cross , 2 step bus stop , 2 block Trafalgar Square ) , tourist site , Covent Garden , shopping , ton pub & amp ; restaurant ! not get well term location . book far ahead save room rate . first stay , room small , basic comfortable . 2nd stay get corner room 5th floor - newly refurbish room extremely spacious ! recent stay , ask room King bed get queen . also ask room give small room high floor . unusually hot summary year air - conditioning , room unbearably stuffy feel like sauna . get little sleep small fan window barely open crack . toilet sandwich 2 wall enough room maneuver within - rather bizarre ... feel like linen cupboard plumbing closet refurbish . still , location , rate daily large buffet breakfast spread worth price ( though perhaps aggravation ) . check - in staff could abit pleasant least be competent knowledgable . will stay Strand everytime visit London , may think twice be another scorch summer like year . 
