Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 Aug 3 2005 	 W WOW WONDERFUL WICKED 	 like everyone say , get upgrade upon arrival . soon enter hotel stunningly beautiful modern . usually would think someplace like , could possibly pretentious staff , complete opposite , welcome polite smile conversation , make feel comfortable . feel safe good security , swipe impressed elevator hallway ( psychedelic star trek type light wall lol ) even get room ; stay top quality Hotels , Miami New York . get room wow , amazing , exactly like picture well , funny sometimes Hotels nice picture get nice , well room BETTER ! person . Loved sexy see blue glass shower ( thumb ) : ) : ) clean , comfortable , modern . even kool carpet stylish lol . neat extra be like Oxygen wine ready room . 's bar downstairs , super kool design ( 5 star ) bar staff . basically deserve thank boss , be good . intentive guest kind . place blast Sunday night . amazing DJ , play everything Chemical Brothers White Stripes , crowd rock fun party . great drink , great service . mean run ciggarettes , bar tender give we pack say many like , save one . really really nice people . let us put way , bad room w well good other . ' ve stay Suite Ritz Carleton Montreal din area huge high ceiling room , nice bathroom , incredible , would still pick W one . ' ve stay Queen Elizabeth suite Montreal like three room connect , little front hall , annnnd would still go w next time again . you can not go wrong W . 
 Jul 30 2005 	 Loved W 	 Stayed W Montreal 4 night . outstanding service , great design dreamy bed . would love stat . 
 Jul 29 2005 	 fantastic hotel ever 	 stay W hotel 5 day fantastic , room bed resteraunt OTTO breakfast make holiday fantastic staff amazing - thank ! 
 Jul 14 2005 	 fantastic room 	 family 4 ( 2 child age 9 11 ) . W propose spectacular ( be name room ) 2 queensize bed park view ( side depressing , face another building meter away ) . huge room , great design , stunning bed , surprising little niche three window overlook life city reading , fantastic couch . special experience reasonable price . honestly , one good room ever stay design hotel many worldwide . staff friendly professional . comment point improve : enough water pressure beautiful shower , cascade feeling fade away / toilet paper thin make laugh / AC room make click every 30 second , annoying fall asleep / staff entrance hotel bouncer like night club hotel ( still friendly smile ) / inexiste sheet turndown towel change service/ strong noise open water evacuation bathtub/ bit light beautiful lobby would arm . as recently open hotel , small detail , ' m sure , correct . to summarize : GO W MONTREAL ENJOY stay . 
 Jul 12 2005 	 Hotel W Rocks ! 	 leave trip early anticipate arrive Montreal quite late ( 3 a.m. ) w staff allow we check early extra charge , end well room well view ! friendly courteous staff hour ; accommodate . good bar restaurant hotel , hoppin ' night . a+++++++++++++++++ 
 Jul 11 2005 	 Great Service - Great Value 	 recently stay W Montreal vacation getaway . service outstanding . get room reasonable price upgrade check . although would think W chain family orient , great stay two small child . entire staff friendly sensitive children need . one child get sick visit concierge great job find we doctor make appointment we . entire staff front door housekeep outstanding job location good , right edge old Montreal metro stop front Victoria Square . this new hotel establish value rate probably decrease become build clientele . if look quaint Vieux Montreal botique hotel , . , W follow W modern format . however , look great hotel , provide different experience standard high end hotel , support business vacation trip Montreal , highly recommend W Montreal . our entire visit positive . 
 Jul 10 2005 	 Excellent ! ! 	 hotel ! welcome friendly staff continue exceed expectation stay . room large open concept bathroom separate iridescent blue curtain , bed truly heavenly ! critique room need light , wife find difficult apply makeup . Otto site restaurant great , italian fusion flavor . return Montreal W home . 
 may 18 2005 	 Save money stay elsewhere ! 	 look forward give 2005 fresh start ( since 04 personally bad one ) . , click way think New Year 's Eve & quot ; bargain & quot ; W cash point additional one - night ' stay . even compensate night , find w- Montreal extremely over - price , obnoxiously pretentious huge disappointment . yes , room new sleek , vibe entire place anything experience last time spend New Year 's Montreal ( LeGermain ) .There placard room champion whatever / wherever . not tell cost dearly . continental breakfast even set - up room make coffee ( standard W 's ) .The killer self - proclaim New Years Eve party . $ 55 plus tax , stated advertising would food champagne . staff place hype non - event epicenter hip revelry 2005 . go trouble segregate people armband ( $ 55 payee would mingle Wunderbar payee ) hire lot beefy bouncer " crowd control " . instead , get balloon along miniscule bites raw shellfish distribute hour , one glass cheap sparkle wine ! hotel staff " party " patron . miserable . in fact , un - enjoy stay W much shy away future stay W . 
 May 3 2005 	 great choice trendiest taste . 	 stay W Montreal 5 night , ' m W Hotels regular , tell W great , staff extreme friendly , young beautiful people give great effort pamper you . my room standard room , big organize , feather bed , Tv DVD mention see whe whole shower bed , watch girlfriend time . the location middle , 4 block st . catherine almost distance Old Montreal barely 5 minute walk convention center . if lack taste young trendy not stay here . the WUNDERBAR one hot spot Montreal . 
 Apr 26 2005 	 exceed high expectation 	 business traveller often stay many W property . currently stay W Union Square past 4 month . say W Montreal probably favorite . exceptional room accent overall fantastic room . highly recommend W Montreal , especially look exceptional boutique hotel . 
 Apr 21 2005 	 Awesome hotel young crowd ! ! 
 Mar 24 2005 	 wonderful Stay 
 Mar 23 2005 	 W Big Disappointment 
 Mar 15 2005 	 enjoy W 
 Feb 9 2005 	 W montreal - worth price 
 Jan 23 2005 	 local leave place tourist 
 Jan 15 2005 	 one Best Hotels Montreal 
 Dec 27 2004 	 W Hotels listen 
 Nov 9 2004 	 Excelent 
 Oct 23 2004 	 wow ! ! ! ! amazing ! ! ! ! 
 Oct 19 2009 	 Impressionnant 
 Sep 30 2009 	 W Hotel impeccable comme toujour 
 Sep 16 2009 	 wow trop cool 
 Aug 21 2009 	 Attraente 
 Jul 21 2009 	 W Montreal L ' Éveil des sen 
 May 9 2009 	 Bof 
 Sep 22 2008 	 Génial 
 Sep 17 2008 	 ? ? ? ? ? ? 
 Aug 29 2008 	 W ... onderful ! 
 Dec 11 2007 	 Superbe hotel design 
