awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 May 15 2006 	 Fantastic Hote even well location 	 stay Rennaissance week March . never visit NYC little whelm first arrive . check room 4 o'clock bt pain arrive 10 morning hey , lot see wait room ! strike arrive location , could get central hotel rennaissance , right Times Square within walk distance Empire State , Rockefellor Centre , Fifth Avenue plenty good restaurant . room really good size ( understand hotel room NYC often small ) , huge bed plenty room shopping ! concierge helpful - know great restaurant check booking show hit shop voucher give discount . go show , put queue ticket booth Times Square , move really fast queue day want see show ticket 50 % regular box office price ! ! shopper would definately recommend bus trip Woodbury shopping outlet , $ 35 1 hour city shop fantastic . 200 desgner shop amazing price . People obviously take wheelie suitcase purchase ! ! return trip airport one guy reception mention car airport run ( taxi arrive ) , lot difference price add taxis bagage charge taxi fare get travel hotel Lincoln chauffeur ! ! ! ! would recommend rennaissance fantastic location , excellent room fanastic service . 
 Apr 30 2006 	 Great Location 	 spend 3 night April 20 - 23 . could ask well location . walk 2 show , movie , shopping restaurant . convenient Rockefeller Center , Fifth Ave . theater . consierge helpful although overwhelmed time . bed comfy pillow . disappoint restaurant- ( Foleys ) . 1 dinner 1 breakfast . meal mediocre expensive . lot good restaurant within walk distaance skip hotel food enjoy convenience location 
 Apr 5 2006 	 Perfect Location 	 Renaissance perfect location visit brilliant sight New York . 's appearance inside upon first impression smart , little dark . taxi driver bring we Newark Airport find relative ease even tho not familiar hotel address . get invite warm welcome staff desk ( Eric lady whose name not catch ) attentive young son ( age 5 ) arrive tired excited ! ! ! book internet , guarantee would get room request i.e two double bed non smoking room high floor . arrive around 2.00pm advise want check straight away two double bed smoking room available 16th floor . opt premise could change mind think linger smoke odour . room fine could not detect smell smoke anything else unpleasant ! ! view look entrance hotel although could not see full view Times Square , still busy , bustling view . 
 Mar 31 2006 	 great Stay . great Room 	 check - in check - out great hotel . staff service excellent room . recommendation local eatery staff spot - on . if make complain , thing detract stay one morning one elevator run . minor inconvenience fix go back upstairs . 
 Mar 23 2006 	 Wonderful Hotel / Location / Staff 	 return 4 night stay Renaissance Hotel Times Sqaure give good comment . we arrive abt 2 pm Thursday afternoon check , request King Sized Bed Times Swaure side hotel note get fabulous room 16th floor great view hugest bed ever see . room clean , spacious great shower , spotless everyday return again . one good feature hotel location - main site Midtown / Theatre district within 10mins walk subway station right outside hotel door . noise issue - hectic day sightsee big comfy bed need . the good thing though hotel concierge , Christine , Erik , Davina helpful knowledgable Omar fantastic - nice / friendliest man ever meet , spend much time talk we , share knowledge New York really help we get day - whatever , stay go talk Omar , anything talk he . the hotel also accomodate regard check - late night flight hotel allow we keep room 2 pm free charge good bonus . all , hotel tick every box - would recommend everyone certainly stay . 
 Mar 23 2006 	 Wonderful Hotel can not wait go back 	 thinking take trip New York stay best , LOCATION BEATEN hotel wonderful ! ! ! ! hotel take breath away pull outside , literally middle Times square . upon arrival meet friendly welcome staff door inside hotel take lift floor reception super staff ( struggle find nice hotel staff one hotel ) .The room big room say New York really average size ( 4 adult room alot luggage mean 8 suitcase ) plenty room .The bed small comfortable bathroom beautiful clean bath huge amazing power shower .The location well ever central ever want go guy reception downstair door would direct we problem . 
 Mar 22 2006 	 Loved Rennaisance 	 stay Rennaisance 4th 9th March 2006 . location great within walking distance ' must be ' New York . room clean , great view Times Square , bathroom spacious bed comfortable ever sleep hotel ! eat restaurant , Foleys , twice breakfast , food good , service great , attentive view time square outstanding , would think would fabulous night never make back dinner . order room service one night fast efficient , food good . concierge helpful , bar staff little glum . check easy , would definately stay next time go back New York . 
 Mar 16 2006 	 Exceptional Staff ... Great Hotel ! 	 spend four night hotel really enjoy stay . time check , check , staff go beyond make stay pleasant . concierge helpful . housekeeper superb job cleaning room day . Everytime enter hotel feel like come home receive warm & quot ; welcome back & quot ; greet staff . location hotel superb . room nice bed extremely comfortable . first visit NYC absolutely complaint . Renaissance make stay vacation remember . thank ! ! 
 Mar 16 2006 	 great hotel ! 	 return recently 7 night Renaissance Times Square hotel ... stay lovely hotel ny , someone go lot theater , place ! fabulous location , wonderful service ( concierge BEST ) , room spacious enough storage space .. restaurant try breakfast , absolutely lovely , overlooks Times Square ... highly recommend hotel .. absolutely stay .. 
 Mar 15 2006 	 Excellent Lodging Heart Midtown 	 Renaissance New York Hotel Times Square exceed expectation . room clean comfortable , spacious ( manhatten standard ) . 25th floor room quiet , staff friendly , accomodating , helpful . concierge spend good 10 minute help we plan evening Greenwich Village . would definately stay . minor downside , room not view Times Square proper , lobby floor restaurant ( Foley 's ) bar . 
 Mar 15 2006 	 everything perfect 	 really love stay 2 night . my flight 18 hour , smile friendly gave room 8 . safe working replace quick efficient . location absolutely fabulous . I ask later check grant smile . the room clean , marble bathroom , coffee machine thick duvet . this choice future . 
 Mar 10 2006 	 good hotel . 	 ' m sure writer 4 review back problem , not seem like town , let alone hotel . start service first rate , check staff excellent , maid wonderful - my wife allergy , ask several change hotel , do promptly fuss - the room clean least twice size Algonquins room . miss Matilda cat ( Algonquin major plus ! ) hotel far nice respect . yes , not 200 year old rococo , great hotel . restaraunt open hour post fabulous , good fish NYC , well , outside Carmines Fulton Fish Market , anyway . truly nice stay . 
 Mar 8 2006 	 jaw - dropping exciting nice hotel fab location ! 	 hotel conveniently locate right 49th station N R W subway line ) .We normal room - get good rate ( read normal website rate ... not think worth money rate ) . anyway since get bit early , horror scenario inward face room view air - con vent ! thankfully fear unfounded although get room look onto Times Square , face Broadway Hershey 's building instead . room ok size wise everything work except wer not central control light ( = several trip bed turn room light ) . bathroom acceptable ... bath linen nice . complaint find ( push ) air room seem dry arid ; sure effect heating ( effective ) although heat short period . concierge ( Omar Davina ) helpful would highly recommend use sound board enhance trip Big Apple ! overall though , happy room pay . 
