ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Mar 2 2008 	 Good Hotel Good location 	 nice , clean trendy look . brilliant location visit London want see sight . just round corner Waterloo station , 3 min walk London Eye 5 min Big Ben . ......... book weekend trip London include rail travel ( North West England ) , tour British Museum ( terracota army exhibit ) Dome ( Tutankhamun exhibit ) . £ 130 per person not expect much hotel price . definitely decent 4 star , must give travel company big discount whilst build reputation . hotel open couple month . we upgrade Suite , nice room , separate living sleeping area . modern , good kitchenet fridge , microwave , fancy coffee maker , kettle , sink , plate , cup saucer etc . have oblique view river , nice view London skyline 11th floor . a great room . since know centre London ( business trip ) mainly eat out . Breakfast standard buffet type , one conference room rather main restaurant . cook breakfast warm rather hot , staff give good service . one lift stop work delay get / room . staff helpful real complaint . great stay happy return . 
 Mar 2 2008 	 good new hotel London 	 stay saturday night early March . Hotel newly open seem quite busy . well locate Waterloo Station , County Hall , London Eye , South Bank etc . modern clean . stay studio double bed area enter room flat screen tv , wardobe etc . central kitchenette area nice marble bathroom lounge area beyond double sofa bed , desk large flat screen tv wall floor window . room 5th floor view Waterloo Station south London - fabulous view interesting different see home . kitchenette area lot cupboard space , minibar small fridge , microwave oven , sink , kettle crockery / cutlery . room come supply complimentary coffee sachet tea bag . stock milk , croissant , fruit sald etc . Marks & amp ; Spencer Waterloo Station saturday lazy breakfast bed sunday . bathroom nice walk shower rain head plus separate bath plenty storage space . not eat hotel can not comment bar restaurant seem nice atmosphere . staff friendly helpful . lift suffer teethe trouble soon fix apart minor niggle complaint . use express check - out leave think reception might busy seem work OK . would return think welcome addition London 's reasonably ( mid ) price hotel . 
 Feb 25 2008 	 Potential Park Plaza County Hall 
 Feb 20 2008 	 poor value 
 Feb 17 2008 	 Great Anniversary Stay 
 Feb 16 2008 	 teethe problem .... 
 Feb 11 2008 	 think ' teethe ' problem 
 Feb 11 2008 	 Excellent Hotel 
 Feb 6 2008 	 lovely hotel shame waterworks ! ! ! 
 Jan 17 2008 	 Booking confirm - hotel open ! 
 Jan 17 2008 	 tutto ok ! 
 Nov 21 2009 	 buena relacion calidad precio en londre 
 Nov 15 2009 	 Casi perfecto 
 Nov 14 2009 	 muy buena opcion retirado del centro . 
 Nov 2 2009 	 un peu déçue 
 Oct 14 2009 	 una sorpresa 
 Oct 9 2009 	 Vacanza Londra 
 Sep 28 2009 	 Bello con uno spiacevole retrogusto da catena di montaggio ... 
 Sep 12 2009 	 Excelente todo ... menos el sofá - cama 
 Aug 19 2009 	 Muy bien 
 Aug 5 2009 	 Ubicación perfecta lo recomiendo 
 Jul 2 2009 	 molto molto bello ! 
 Jun 5 2009 	 Ottima struttura ed eccellente posizione 
 May 24 2009 	 muy buena ubicación 
 May 13 2009 	 Ne vale la pena ! 
 May 7 2009 	 Excelente como para repetir 
 Apr 18 2009 	 Perfecto 
 Mar 19 2009 	 superhotel buena ubicacion top con niños ! ! 
 Feb 28 2009 	 Muy bien situado 
 Feb 26 2009 	 agua friaruido buen desayuno 
 Jan 18 2009 	 Super hôtel 
 Jan 7 2009 	 Fantástica ubicación e instalacione estrenar 
 Jan 2 2009 	 Excellent point chute de qualité 
 Dec 29 2008 	 à la hauteur de nos espérance 
 Sep 15 2008 	 Mit Kindern eher billig . 
 Sep 10 2008 	 vista al london eye 
 Sep 5 2008 	 Schlecht geplant 
 Sep 2 2008 	 Ottima scelta per famiglie 
 Jul 29 2008 	 Un muy buen hotel 
 Apr 20 2008 	 Un magnífico hotel nuevo bien situado 
 Mar 30 2008 	 Fué una verdadera ganga 
 Mar 6 2008 	 uno splendido albergo per una splendida vacanza 
 Feb 29 2008 	 Magnífico hotel aunque con algunas deficiencias 
