disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 oct 8 2009 	 Management Attitude Compalints - ` ` be way - deal ! '' 	 Tour Bus Driver , ' ve misfortune stay twice , within last month . room okay , two four elevator serve floor 2 - 9 working , South Tower , lead long line frustrate guest . as experience , need load 42 suitcase morning prior depature 300 mile drive LAX Airport . unfortunately , area outside Hotel 1st Street construction zone , dusty dry muddy wet . fully paved area street . however , permit park whilst loading luggage , lead shoe cover mud , along bottom trouser . complain Doorman , reply ...... & quot ; 's way - deal & quot ; Tour Manager complain & quot ; Duty Manager & quot ; get exact response . seem though attitude run rife Company.20 oz Pop $ 2.50 , bag potato chip $ 1.50 . breakfast consist hasbrown , egg , sausage coffee $ 17 + gratuity . get picture ! 
 Oct 7 2009 	 great time 48 hrs enough ! ! 	 downtown strip good bad point .... downtown choice GN place ... great food ... great time ... good play ... pool think would ... see fremont street 4 hrs ... stay 48 hrs ... enough time ... ' m probably get nasty old man can not vegas survive without & quot ; family rug rat run around & quot ; part landscape .. ? .. 's enough theme park choke horse little darling ... vegas ..... ? ... choose gold club room offer see advantage ... get line long vip checkin promise ( later find go vip lounge ) ... would nice know ... room would not cool 68 ... tv reception fair ... security ... anyone could gotten elevator go right floor we ... walk thur lobby get pool ... get old pestered time share people ... oh well .... would reccomend GN not waste money supposedly high end room ... p.s.pay money take taxi airport ... will shuttle hr downtown last stop ... 12 hrs airport / flytime ... 60 min seem like 6 day give attitude right start .... 2 day downtown 3 day strip ... great combination ..... 
 Oct 6 2009 	 Typical Las Vegas Hotel -- - Average Stay 	 wife stay 2 night part tour . give standard room South Tower -- expect massive hotel 2 tower North & amp ; South . tour group give South Tower room non - refurbished room far restaurant hotel except Starbuck Coffee ground floor st open 06:00 - 22:00 -- - NT Starbuck open 24 hour . room ok -- - small , dirty , date duvet thin blanket , air - condition noisy filthy -- - bathroom small clean . not see refurbish room NT maybe much well decide stay make sure book North Tower . location good prefer stay near Fremont Street like Vegas feel well stay strip . restaurant hotel try Buffet breakfast dinner disappointing quality food -- - cost buffet sound value money say poor quality mention Vic & amp ; Anthony 's Steakhouse hotel absolutely perfect food , service , ambiance try one will not disappoint -- - must book advance restaurant always busy . opinion hotel far big pleasure holiday guest -- swim pool always crowd can not relax -- -- smoking problem us guest smoke inside lobby smell far much we . overall average stay will not come back Las Vegas we . 
 oct 2 2009 	 wow ! love pool slide ! 	 GN absolutely good downtown casino hotel ' ve stay ! staff come across friendly helpful gal Starbucks Andrew waiter Carson St Cafe . daughter South Tower room great ! like dress table light mirror . Gordy Brown hilarious ! time share folk ; however , smile say & quot ; interested & quot ; be take . love pool slide - go 2X will 65 y.o . next month . GN responsible folk bring kid ; ' m also avid cruiser fact parent careless child . 's case . definitely return GN real soon . 
 Oct 1 2009 	 tank not worth 	 husband stay past weekend . travel another couple time reservation ( online ) make note travel together would like stay near . check different time , however , since fly different city , request must much nowhere near ( tower , different elevator -- 6th floor versus 14th floor ) . however , big deal not mention staff . the room comfortable good sized . residual hallway noise nothing keep we . however , appear wrestle match occur floor 3am last couple hour occupant , presumably , throw . not complain staff though since problem sleep husband not typically complain thing matter resolve . view attractive , though could see portion pool Fremont Street Experience . bathroom nice complimentary lotion , etc . nice . the hotel nice . feel new clean , date old . take get room outdoors , definitely long hotel Strip . probably 5 - 10 minute ( versus 20 + Strip ) . timeshare sale staff station outside South Tower elevator not bother we . wish like . dine Cafe , H2O bar , Lillie 's Noodle House . good food good service . H2O bar , perhaps expectedly , pretty expensive , though ( $ 17 2 tequila sunrise , $ 20 five Bud Lights ) .The tank awesome reason choose stay Golden Nugget . little small , pool seating area , especially crowd , find seat every day enjoy immensely . slide not get crowded able ride whenever want . although pool nice , hotel nice , would not stay . downtown area different vibe Strip , & quot ; & quot ; & quot ; Happens Vegas , & quot ; probably due downtown area primarily frequent local rather tourist . plus , cheap easy way get Strip ( one way bus fare $ 3 , $ 7 24 hour pass ) , enough entertain oneself full weekend , would make sense stay Strip visit downtown area vice versa . 
 oct 1 2009 	 bad place ever stay . never stay hotel . 	 hotel horrible . happen fun Vegas ? many kid run rampid fun . casino & amp ; course parent drop kids pool gamble . pull two year old water mother busy drunking & amp ; talk watch . TIP : & quot ; take KIDS SIN CITY ! Us grow up go reason , fun bother kid . Disney Land . never get drink , never see staff member smile & amp ; never win money . harrase everytime come elevator come front door buy time share . joke . want win & amp ; get good service & amp ; drink go hotel Fremont . need food heat one restaurant & amp ; refuse stick microwave . small bed south tower . 
 oct 1 2009 	 single disappointment 	 enjoy hotel Fremont Street moment walk onto . hotel staff nothing polite helpful . room old one ( South Tower ) clean maintain . one small problem . bathroom sink not drain first time use , husband call front desk time come back later afternoon fix not another problem . feel get money 's worth . doubt stay Golden Nugget . 
 Sep 25 2009 	 still nice ! 	 G.N . iscertainly class downtown hotel . always feel comfortable Nugget seem take care costomer . cafe still tasty meal room nice . stay every time stay downtown ! 
 Sep 23 2009 	 definitely good choice downtown . 	 friend stay three night bachelor party Vegas good time . pro : large , clean , recently renovate room . ( make sure get one renovated one . charge $ 10 extra worth . ) everyone staff talk nice . great water slide pool . group 30s - early 40 adult love water slide shark tank . pool not large enough room number people . hot Vegas fact hotel shade pool much day fine . con : downtown dump . be really gambler part town mostly depressing . sure find $ 2 shot margarita hotel . also find cheap alcohol home . want head strip show decent restaurant cab fare $ 25 way . I pleasantly surprise hotel . probably will not stay next time visit Vegas . 
 Sep 23 2009 	 Favorite Hotel Vegas ! 	 often travel LV business possible , always book room @ Golden Nugget follow reason : * Best Location quick freeway access * excellent food , fun , include Fremont Experience * really nice room great bed * starbuck next door ( must ) * upgrade exclusive 17th foor gold club experience birthday * great parking ( free ) * tank ! ( really cool pool ) excellent seat nice towel * service , service , service 
 Sep 23 2009 	 dissapointe ! 	 hotel Fremont street Fremont street experience little bit exaggerated . besides giant screen Fremont street average band play music night , nothing else see . H2O tank inside hotel pretty nice always full people kid . I stay Strip . disappointed way hotel manage . book king - size bed room 3 night . call confirm couple hour arrive arrive tell king size bed room take ( point reservation confirm anyway ) take double queen bed room . promise king - size bed room tomorrow give priority card ( whatever ) told come back 12 4 pm tomorrow . come back 1 : 00 next day wait long line , tell room ready tell come back later . I come back later night tell do not king room ( ! ) , spouse mad almost check . end sleep double queen size bed room again . we finally get king size bed next day also last night . go back hotel . 
 Sep 21 2009 	 Golden Nugget impressive 	 huge fan stay downtown Las Vegas first stay Golden Nugget . hotel casino clean staff nice ! Grotto 's restaurant fabulous ..... highly recommend pizza ! pool awesome well go bit early grab good chair . dealer nice helpful table . would stay ! 
 Sep 13 2009 	 Vintage Vegas -- excellent value money fab pool ! 	 let preface say ' ve stay Bellagio Palazzo ( gorgeous room ) hesitant stay . decide take risk ' m glad . stay 22nd floor South Tower room supposedly remodel 2009 pay $ 49 first night ( Thursday ) $ 159 second night ( Friday ) . good : excellent value money , esp . $ 49 rate . night $ 159 , would stayed get rate Bellagio want save buck spend great dinner . room large clean furniture looked date little scuffed . bathroom tiny door open inward make even crowd . sink ridiculously small . however , be serviceable . amenity provide , flat screen tv , blow dryer , lotion , shampoo , iron board , etc . replenish day . surprised see robe hang closet . luxury hotel amenity find $ 49 room pretty amazing . pool fantastic ! kid , can not think well way spend day waterfall hurtle water slide cut shark tank . yes , live shark swimming shark tank gaze peer glass . water slide lie lounge heart 's content never spend dime unless want buy beer food , always good idea . weekday crowd seem work - class family , weekend crowd seem trend young lot L.A. O.C . visitor . steakhouse hotel pretty good review separately yelp.com . lot slot machine ( not use ) gaming table kind . play texas hold - em low limit table ( $ 2/ $ 4 ) dealer helpful friendly player nice . bad : staff not look particularly happy not particularly pleasant . end getting upgrade 22nd floor check - in waiver $ 12.99/24hr . internet fee next day easy . none worker seem smile much . maybe not get pay well 's hotel good value money ? hmmm . convenient Strip not car , will take City Bus taxi want get action . trouble drive also enjoy explore Fremont Street . be budget , thing seem little less expensive end town anyway . side note : prance hotel lobby robe get pool . guess place feel strange . lot shiny gold mirror around . doubt high style back day be look uber - chic Zen decor , place not . casino particular seem poorly light , ' m sure . sum , put vintage clothe vintage attitude , let go expectation , kick back good time . not forget swim shark ! 
 Sep 12 2009 	 Loved Freemont Street sure Golden Nugget 	 first stay old Vegas , love entire Freemont St . Exp . , ' think ' ever stay Strip ! planning group trip Feb. , sure return Golden Nugget . hotel ' accommodate guest . Expedia Itinerary state " 1 Deluxe King Room , South Tower . " king room available upon arrival , put double , tell could move king next day , check 2 - 3 see room ready , ask compensation inconvenience , tell " " , book online travel , run - of - house room guarantee . give choice time booking ? hold luggage last day , South Tower desk close 3 p.m. , choice take North Tower wait 10 - 15 min . get ready leave . automatically move North Tower ! disappoint lack security elevator room . none ! knock door 1 a.m. , female visitor look " Fun " . show room key get pool area guest room , make sense ! Spoke hotel management / security , tell security ' available 24/7 , call . lucky ' someone overpower , could burst room , ' time get phone . follow ? lame answer ! pool great idea . crowded 90 % shaded time . seem concerned build Cabanas . 
