Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Jun 24 2009 	 Benjamin like home away home . 	 staff friendly courteous , could not polite . love lovely sit area upstairs lobby . good wonderful night sleep every evening right heart Manhattan .... 
 Jun 23 2009 	 highly recommend ! 	 recently 3 - night stay Benjamin hotel would definitely go back next trip New York . state front get good discount travel site sale sway try hotel . first , well situate mid - town Manhattan right around corner public transit station diner next door heck breakfast business . main reason want return outstanding service experience . begin courteous receptionist greet big smile room attendant also smile bade good day friendly doorman concierge . one occasion , ride elevator hotel staff person ask enjoy stay . reply enjoy much smile say & quot ; be great ! love hear guest say ! & quot ; also appreciate fact hotel staff often anticipate need offer assistance even ask . attitude hotel personnel leave quite impression . room comfortable plenty closet drawer space . sleep well comfortable bed hotel offer & quot ; pillow menu & quot ; dozen type pillow request suit particular sleep need . hotel feature nice fitness center take advantage twice . top notch service good night 's sleep part agenda , give Benjamin try . 
 Jun 19 2009 	 Slipping 	 ' ve stay Benjamin numerous occasion , last year slip . well average hotel seems slip average category . recent stay reserve Deluxe studio turn small room easy chair heating / air conditioning unit right next head bed . way could sleep night run . morning request paper deliver . small deal , part & quot ; slippage & quot ; . smart take Beyond Breakfast deal provide full breakfast two $ 10- $ 15 tax gratuity include . good deal give price restaurant two would $ 60 . problem service restaurant poor ( almost surly ) despite restaurant almost empty seat party four close we almost sit lap . ridiculous . I ' ve always like Benjamin time move find another hotel Benjamin . 
 Jun 11 2009 	 nice room -- otherwise feel like Hampton Inn 	 Service great , fact verge rude ... lobby pretty small , yet beautiful . room well put together . would say great hotel 50 - 75 + set consider design . look like kind hotel middle aged old adult would enjoy . room comfortable , yet feel bit pretentious maybe geriatric way . hotel feel like hampton inn limited service hotel b / c not seem much beyond room would make 4 star hotel . let alone 5 star ( priceline ! ) . location superb hotel pretty comfy , especially old travel set . room service food EXCELLENT , way . would say major benefit hotel ! 
 Jun 9 2009 	 terrible service 	 staff Benjamin unhelpful , even snooty case , location good , kimberly almost next door much well . 
 May 27 2009 	 great location great service room little outdate 	 stay last 10 year ago remember Benjamin stylish hotel great location ( 50th lex . ) . since stay elsewhere NYC , get great price room ( $ 215 per night ) look forward come back . well not move great location convenient Grand Central Station , Park Ave . mid - town . staff still friendly , maybe even so . the room fine . average size NYC hotel , big cumbersome desk 1990 's vintage fax machine take much room . th in - room fridge take low half closet hang suite . even worse , fridge hard - wire 56 degree ( F ) keep drink degree ambient temperature . bother ? Benjamin still good value , could use in - room update . bad price NYC ! 
 may 25 2009 	 nice stay Benjamin 	 arrive late night hotel quick check - in take room 23rd floor . stay one bedroom suite . room small suite well divide everything need make cosy . stay sleep well disturbed street noise . bed wonderful plenty pillow choose Pillow Menu . the reception area quite small not lot sit space staff always friendly willing help . the mini bar water bed expensive . bottle water bed price whop $ 7 plus tax ... breakfast also expensive . if leave hotel turn leave find nice place serve breakfast day long . price reasonable food good . continue walk street turn leave left ( go around block ) find big market place get drink nice pretzel ... hotel locate close subway station , well worth get Metro Card buy machine inside station . 
 may 17 2009 	 mediocre 	 stay 1 week . upon arrival front desk offer upgrade $ 4 . set stage & quot ; cheap & quot ; experience . room small much bulky furniture useless kitchen . food pretty poor quality , yet expensive . elevator always work . small bathroom small tub , replace big shower . good 3 start . 
 May 7 2009 	 make book error hotel look we well 	 book hotel Priceline buddy , realise not twin room . initially concerned pay extra large room fit pull bed . however arrival hotel , give upgrade 1 bedroom suite sofa bed lounge . room excellent ... extremely spacious clean . pillow menu welcome novelty . picky , would recommend room away elevator noisy occasion . also , street noise New York something else , even 12th floor . however , ear plugs good night sleep . all , staff welcome pleasant , hotel great location excellent stay . one little thing though , think hotel reduce price minibar item ( $ 8 bottle water crazy ) . way , people would inclined buy . 
 Apr 22 2009 	 excellent location comfortable room Midtown . 	 book room Priceline $ 110 / night -- great deal ! feel like got & quot ; bad & quot ; room Priceline , like reviewer . 15th floor , back hotel . * * small room , typical NYC . nice queen size bed , work table , armoire flat screen tv , closet safe , full length mirror . also small fridge , microwave coffee maker . bathroom small , BIG mirror marble tile shower . conveniently locate near Grand Central ( 5 - 10 minute walk ) block e , v , 4 , 5,6 train . walk distance Times Square , theatre district . do problem elevator -- never wait minut two . find room quiet , usual traffic noise ( mostly siren ) . order two pillow happy . night return clean room , turn service classical music play Bose radio . be advise product mini - bar EXPENSIVE . use bottled water cost $ 7.50 ( list $ 7 , tax add ... ) . also , wireless $ 14 24 / hr period . staff pleasant . really interact check ask late checkout ( accomodate 2 pm , later ... ) . Doorman store retrieve luggage quickly cab wait we ( middle rain . ) use room service , spa , bar / lounge / restaurant . 
 Apr 13 2009 	 Nice Business Hotel 	 Elegant classy hotel heart Midtown Business District . room good selection business amenity : fax machine , Flat Screen LCD screen , wireless wire internet available fee . one highlight selection 12 custom pillow deliver room night , well overnight complimentary shoe shine . many good restaurant within 5 block walk . nightlife lacking , bar close night cap . hotel room clean , furnishing expect hotel class . room & quot ; Manhattan - sized & quot ; , bit date , still clean . 
 Apr 9 2009 	 really good hotel great service 	 service hotel really good . room little small nice clean . pillow menu really fun , bathroom nice . minibar high service charge ( room service ) , aware look price list . 
 Apr 8 2009 	 fabulous hotel great location . 	 husband find deal third party flight / hotel package , read review , decide try Benjamin . ever impressed . courteous check - in , completely accomodate room change request , nice room great location . certainly much pleasant anticipate . ' ve stay hotel ny equal rating not please . staff even take note fact , first night fan ( drown husband 's snore ) , second night , without request turn service , come room , turn bed , turn fan . kind personal attention really make feel pampered . would definitely stay . 
 Apr 1 2009 	 love Benjamin ! ! 	 extreme pleasure stay Benjamin . service second none . give room door paint . ask move fume . gladly move we , upgrade we ! hotel beautiful , clean classy ..... crystal glass container bathroom even ribbon around extra roll toilet paper . robe soft luxurious . say enough comfortable bed ! ! ! ! location amazing , close Times Square , Grand Central Station , shopping , restaurant , theatre , etc . , etc . say enough experience Benjamin . bid stay [ -- ] . price terrific - $ 150 night . shame leave . 
 Apr 1 2009 	 beyond Perfect ! ! ! 	 snap cheap deal ebooker back November , begin read review TA . feel stay Benjamin , need say review american friend bite harsh say least . fact would disregard . ' m strange luxury accommodation , overawe prestige etc . the hotel clean , spotless fact . room , one bed suite 10th floor spacious , kitchen work space . bed huge comfortable , pillow menu nice touch . LG flat screen tv 30 odd channel well demand movie excellent . bathroom good size bright clean . kitchen area well stock fridge , microwave necessary cutlery . the previously mention problem number elevator issue . nor street noise , not even typical New York noise level , quiet . the air con noise level not even bad either . the real plus Benjamin staff . really really go extra bit make feel special . moment check take time learn name make every effort look need . case surprise we bottle champagne chocolate get engage . I really recommend hotel enough . yes expensive modern hotel New York think be look value , location luxury , look Benjamin ! 
