perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 May 10 2009 	 Cozy 	 book discount rate website totally worth price pay ( ~ $ 140 / night Fri Sat ) . familiar NYC stay hotel know expect . Hotel Mela exceed expectation ! staff excellent . People friendly helpful . concierge recommend great little restaurant exactly look . location fantastic ; 2 block Times Square major theater within 4 block . plenty restaurant shop nearby . make sure visit bistro next door pre - show drink . whole place clean include room . stay room 1 bed little small expect large room Manhattan visit NYC , not plan spend lot time room anyways . overall , great place . definitly consider go back . 
 May 10 2009 	 fabulous location stunning hotel 	 Excellent location , right Times Square . staff friendly helpful . upgrade we big room fantastic except smoker 's room . 's ATM second floor mini gym , let us honest - 's go gym 's whole city see ! Decor modern king bed extremely comfortable . definitely make time go Magnolia bakery Bleecker Str cupcake Plaza glass bubbly rainy day 
 May 8 2009 	 Hotel Mela - Fabulous Find Timesquare ! ! 	 back whirlwind , girl weekend NYC . really research hotel , decide Hotel Mela . wonderful hotel live expectation , exceed ! book directly hotel get good price . upgrade executive room plenty space 3 adult . bed incredibly comfortable king size roll away bed comfortable well . room face back hotel , room 1103 therefore quiet dark night make great sleeping ! room spotlessly clean , great bathroom huge shower , fresh towel ( twice day need ) think big plus staff ! desk staff , concierge , Jonathon take care luggage , cleaning staff everyone meet go way ensure fabulous stay ! ! lot smile & quot ; day & quot ; & quot ; plan today ? & quot ; & quot ; need help make plan ? & quot ; become member & quot ; Desires Club & quot ; , submit plan want online give late check , plus goody room ( ask low fat chip diet Cokes - a nice treat come home ! ) well personalize recommendation tour , restuarant show . I highly recommend hotel anyone look stay heart Manhatten Timesquare - step away Broadway , 5th Avenue , tour , bus , subway , plenty choice restuarant store . 's real gem would absolutely hesitate stay ........... ! ! 
 May 6 2009 	 Clean Classy courteous - service smile : ) 	 location great ! right action . clean , Classy , courteous . modern motif . clean , comfortable accomodation . something absolutely priceless ... amazing service . manager Nick staff ( include hotess mostest - Pamela ) , thank great experience ! 
 Apr 30 2009 	 good New york 	 small room need renovation location superb price high season . 
 Apr 29 2009 	 good value money helpful staff . 	 hotel clean modern style . room picture hotel website . although room small enough space clothe comfortable bed . bathroom fine clean towel everyday want complimentary toiletry . front desk staff always welcome helpful . Grand Central Area tour run Fridays . free . Meet Sculture Court opposite Grand Central 12.30pm . interesting get building would see . Carnegie Hall tour excellent . Times Deli along hotel good choice breakfast . McCormick Schmick dinner also good . try Maze lunch , nice . 
 Apr 28 2009 	 great start finish . 	 stay 6 night Mela April hand nothing praise . location wonderful . 1 minute Times Square . right middle everything . hotel welcoming , clean , staff helpful , room great quiet . really glad come . room large New York bed excellent . Slept like top ! get great price come NYC Mela top list . check out . Sean / MaryDublin Ireland 
 Apr 27 2009 	 Perfection 	 friend return NYC girl ' weekend . lucky enough get gem hotel Hotwire Rate , pay less half regular rate . call hotel ask upgrade 2 bed room , accomadate discount also . even though Mela decorate contemporary furniture hotel small Boutique feel hint european grace . room bright spacious NYC , tile bath spotless . bed comfortable ! easy walk subway , Times Square , Broadway theatre , etc . find staff bright friendly easy access . Phillip checkin desk helpful early checkin quiet room location 8th floor . we like french restaurant ( Saju Bistro ) much wind eat 3 time . service friendly accomodating . maitre have buy we drink bar beacuse reservation table not ready 15 minute . New York ? go , stay , enjoy ! 
 Apr 27 2009 	 Spot ! 	 guest hotel seven night , say great hotel . location perfect , room small clean , comfortable quiet , although view , staff friendly helpful . time explore whole hotel , satisfied saw . for next stay ny , hotel likely choice . 
 Apr 21 2009 	 great location clean room ! 	 Hotel Mela great location - right heart city . room small , clean nice looking . 
 Apr 20 2009 	 positive thing hotel proximity Time Square 	 Hotwire property rate 4 star . think 3 star generous . thing consider.- Rooms really small , even ny standard . stay several property NY far smallest.- bathroom small really average cleanliness.- really small elevator ( know something small exist ) - small lobby / reception area . likely miss look closely.- Staff quite friendly willing help.- A / c loud cool welloverall would prefer stay elsewhere . four star not . if must stay ask room middle hotel quieter oppose one elsewhere . overall 
 Apr 19 2009 	 Great Location 	 locate right Times Square , location perfect Broadway theme vacation . hotel room small . small . closet type small . New York , pay space , value , can not argue . clean conseirge helpful trip . might stay , not bad experience . like little space . 
 Apr 15 2009 	 Small Wonder 	 although room small , hotel nice great location . even able find parking street right front hotel ! 
 Apr 15 2009 	 great modern small hotel heart ' the Big Apple ' ! 	 husband stay 4 night . small hotel , modern clean . superb position second walk Times Square . little worried would noisy close hustle bustle not . room quite small lovey decorate well . tea coffee make facility 's side . hotel staff friendly helpful ESPECIALLY concierce , John - Paul Thyrone ( sure be correct spelling ) . excellent tell we go , eat , good night life help we get reservation lovely rsetaurant . guy load experience use knowledge ask give tip idea . thank memorable holiday ! ! 
 Apr 14 2009 	 Brilliant location 	 january partner , hotel Times square well locate sightseeing . Staff friendly un upgrade week , room clean bathroom spotless . reception staff brilliant big thank benny chris helpful also Desires staff get transport kind point right direction sight want go see . breakfast next door get good breakfast anywhere about . there well equip gym plenty water fruit bathroom . just outside gym internet station check line leave flight home . this chic boutique hotel find comfortable clean friendly . next door friendly local bar call Jimmys blink miss Beer cheap put bowl chip snack on . a little cheap frindly deli take food , try Mcdonalds times square must nothing like big bright buzz burger much big . you must go top Rock brilliant view platform way get story rock start way back interesting also load shop ice rink , also Ice rink Byrant Park Central Park , go part way Brooklyn bridge fantastic view , take Statton island ferry free way get good view statue liberty side run round get back on . my tip make plan go ny everything foot get everything need see do week , shopping would see everything 
 Apr 13 2009 	 's nice feel like welcome ... ..... 	 go Hotel Mela via promo travelzoo.com . location perfect , right center Time Square . bit concern first traffic & amp ; construction noise read critic TripAdvisor , ask management quiet room . give we room side building , amazed quiet . could hear single thing 4th floor , kudo . room impeccably clean . hand , mention management polite particularly friendly we often feel like something else take care first answer question demand . complimentary continental breakfast package forgot give we voucher . ( not care breakfast elsewere ( btw brunch Norma 's Parker Meridien , amazing ) come back second day , key not work anymore go lobby get activate . staff polite unapologetic , like happen time . want watch tv , move huge basket full goody want sell sit right front tv , remote signal ( mention screen ) block . big deal , annoy nonetheless . as anyone else say , elevator small , be bad . the hotel 's restaurant & quot ; Saju Bistro & quot ; excellent , amazing , friendly service . the food good decently pricedoverall , good experience , would send friend , much , well friendly customer service elsewhere around price New - York city . 
 Apr 9 2009 	 expect 	 happy hotel . staff wonderful , every person help we upbeat , happy , gracious , courteous , want sure enjoy stay . work together well , speak nicely one another . give feeling really like job . upgrade large room would accomodate roll away daughter . linen , bedding , pillow soft , fluffy comfortable , even roll away . impressed roll away remade morning , even though fold could room . view not good , brick wall . , hard see day store . quick trip lobby street tell we need know . appreciate free internet breakfast . french bistro next door sweet , excellent food service . decide add night , not able stay hotel , choose hotel directly across street . really like location . stay across street not even compare . room large , well bathroom , nice view 47th floor . , service less adequate . would trade view service . 
 Apr 6 2009 	 clean nice room ! small contruction right outside window ! 	 stay one night Hotel Mela ( March2009 ) love . pick hotel many other Times Square decent price great review read TripAdvisor . ' m glad ! room small ( fit double bed , 3 foot room either side ) extremely clean pretty . bed comfortable bathroom sparkle clean modern . laugh head open curtain look window first time construction worker work building next we meter away ( wave wave back ! ! haha ) . noisy ! noise around 5 pm , not big deal . besides , 's New York City centre Times Square . be always busy noisy ! 's NYC about . check immediate everyone friendly polite . lobby always smell like pineapple something pleasant tropical . would definitely recommend Hotel Mela anyone look go stay centre thing , want nice , modern , clean , comfortable stay not want break bank either . 
 Apr 5 2009 	 everything small construction next door 	 hotel nice - quite 4 - star note Hotwire . check , give we small room ' ve ever see U.S. could even hang coat small wooden box closet . outside worker could glare room build next door . ask move , . construction noise still start early morning could hear front hotel . hotel good value close Times Square . be everything small . small room , closet , bathroom , elevator fit 4 people small door 14 inch wide . 
