never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Jul 17 2009 	 Basic Room Premium Price 	 attend course Holburn place usually stay available could find area Travelodge Covent Garden , Drury Lane astonish £ 115 night , breakfast extra . , ' ve Travelodge Sheffield £ 60 ' ve great room . I almost go Travelodge High Holborn two literally metre apart . beware may look silly . my room , number 714 , pokey dark . double bed shoe horn room narrow & quot ; corridor & quot ; take past bathroom sole window see London Eye . light window barely penetrate room light time . try watch tv uncomfortable , sit dining chair squeeze bed wall . tv minimal channel ( terrestrial , BBC News 24 , Film4 , 4music , CBeebies radio station ) .The bed poorly make , bottom sheet tuck round top matttress . & quot ; Spongy & quot ; might call sleep night . the good thing bathroom good shower . towel roughand toilet paper thin . sink one swivel plug , side , normal plug loose chain . ? fill kettle art form , mixer tap low dificiult get kettle sink . it difficult partake all - you - can - eat breakfast not tray put everything . keep drop toast ! cereal hide around corner . if pay £ 60 - 70 inc breakfast , might happy . local course feel cost excessive , even London . not bother ! ! 
 Jul 14 2009 	 make sure go Newer Travelodge Hotel Two Covent Garden 	 Hi , stay previously great experience , time different though ! initially check Drury Lane Hotel , old building leave room totally unacceptable . previous time stay new building book second time . avoid old building cost room horrible ! would recommend new Travelodge hotel old one ! one large towel double room two people old room ! phone room contact reception bring towel annoying . proceed shower regulator regulate hot cold water work , either hot scald water ice cold . every time try mix two bath would start fill water . silicone seal bath wear moldy look terrible . room tiny hole roof light cover wall mount light bad burn mark . also , room tiny . we move new hotel building across road refuse stay minute old building room much large , clean shower work properly . , one large towel phone room either call reception . on positive note staff new hotel friendly helpful . staff old hotel could polite argue want change room . location wise new hotel perfect , perfectly locate heart London . theater Leicester Square mis walk tube station close . 
 Jul 7 2009 	 Fantastic Location earplug recommend 	 girl theatre / weekend break away & amp ; choose stay Travelodge due location & amp ; cheapness . stay two family room ( 3 adult per room ) new building . staff friendly & amp ; helpful . room overlook rather old run building , noisy street & amp ; two nightclub we . use room base fortunately 10 am till 1 am ( ish ) weekend , nightclub go 4.30am morning ! room really basic , bedding & amp ; towel clean & amp ; change request . corridor however smell strong cat urine ! ! ! ! location brilliant theatre & amp ; Covent Garden . use base & amp ; sleep anything value money . 
 Jul 6 2009 	 Location Location Location 	 lot review point hotel ugly tower block , room basic , clean adequate , . location great central London base , walk tube 5mins ( Holborn near ) Theatres Covent Garden 5 minute walk away . not eat hotel many interesting place food nearby . 
 Jul 5 2009 	 good location basic service 	 good location theatre good value mean good ! staff service poor quality . take one hour check apology . reserve family room middle floor surround large stag party amaze ask room available not want ruin stag partiy celebration moan fun . find another room room large enough . pull sofa bed badly stain , dirty bathroom toilet roll . breakfast shamble , staff busy chat mobile , unclean sticky table , food dreadful .. could wait check . 
 Jul 2 2009 	 clean basic noisy 	 convenient location reasonable price reason decide stay hotel . check time 3 p.m. arrive couple hour early . room ready charge 10 pound extra early check - in . hotel clean facility room minimal . one towel , one face cloth half roll toilet paper room ( 3 us room ) practically beg front desk clerk . phone room seem strange . room hot . air conditioning alternative leave window open try maintain comfortable temperature . area noisy even though 11th floor could practically hear people 's conversation street level . lot yell shout emergency siren night long . even try shut window not make much difference noise make room unbearably hot . needless say not sleep much . pay bit stay somewhere quieter next time stay London . 
 Jun 30 2009 	 frill excellent location Covent Garden 	 stay one night find Travelodge perfect . good value money , frill accommodation clean friendly reception staff respond request another loo roll immediately without hesitation . generally , realise budget accommodation central London , pay position rather fancy toiletry lot extra - take ! thing miss hairdryer ......... Holborn building , slightly new Drury Lane site , , accept middle London traffic noise - expect spoil stay , rather , make we feel right action be . lot vend machine corridor - Ben & amp ; Jerry 's ice cream welcome return theatre hot evening room menu pizza deliver door £ 6 . plenty restaurant within walking distance would certainly stay , without hesitation . 
 Jun 26 2009 	 need TLC 	 basic ok , bed , tv bathroom work . check single get small single room . AC unit break look like not produce cold air year dirty . ceiling stain leak room need makeover . bathroom spotless , clean modern . £ 105 night would go back - . would try somewhere else despite great location . London Underground fast enough get anywhere around area within 15mins 
 Jun 25 2009 	 excellent position need refurb . 	 rate affordable ( £ 110 two night ) , position excellent - Drury Lane , 400 m Covent Garden Tube , reason would dismiss hotel altogether , however shabby , need full refurb . look previously belong high price chain abandon well premese . bed soggy bathroom look grubby , although fairness probably wear rather actual dirt . 
 Jun 21 2009 	 great accommodation family 	 two sister hotel within sight eachother . stay one family room ( big travel lodge ' ve stay ) . imo , be actually Covent Garden junction High Holborn Museum Street . 's much easy find straight main road Holborn Station , . great location . less five minute walk take Shaftesbury Theatre , British Museum Tottenham Court Road . minute take way Drury Lane well Covent Garden . great public transport link . easy access Euston , St Pancras king Cross . NCP adjacent . price vary lot . website quote £ 45.50 Friday £ 99 Saturday . however , try book two night stay charge high rate night . easy way around make two book part transaction get room key revalidate mid - day second night . problem bit naughty trick part . breakfast buffet £ 7.50 kid eat free ( cereal , fruit salad , fruit juice , hot drink , cook breakfast , cake , croissant , etc ) . already plan next trip . 
 Jun 19 2009 	 get pay .... 	 find hotel central London , never mind Covent Garden , price pretty amazing know be go get luxury . travelodge travelodge long know 's no - frill good place camp night . sure 's bit shabby worn edge want pristine perfect need pay elsewhere . would recommend & quot ; bed night & quot ; sort place holiday hotel - stay rather someone else , chance will not like . 
 Jun 18 2009 	 Perfect Location visit London 	 two Travelodge hotel location , one double room one family room stay family hotel High Holborn . Holborn Covent Garden tube station tube line Paddington station useful arrive train . staff really friendly room basic clean expect reasonable size bath shower . Sainsburys Marks Spencers grocery store within minute walk . less five minute walk Covent Garden , Shaftesbury Theatre , Royal Opera House British Museum . ten minute walk Oxford Street little Piccadilly . also within walking distance Harrods although take forty minute interesting route pass Fortnum Mason , Hatchards ( lovely book shop ) Buckingham Palace etc . 
 Jun 16 2009 	 Compromise quality location 	 hotel cheap- £ 101 per room per night , 2 night stay . look grotty outside , although reception area modern . overall satisfied suited need , give underground strike- hotel walking distance main attraction , include west end . walk 5 minuted Aldwych theatre . payphone . phone room . hairdryer room- borrow one 2 hour expect hand back- , come get room ! apparently wifi room , although use . room kind clean although surface ( dress table ) sticky carpet grubby . give clean towel day bathroom clean . Tips- Book early really cheap deal , low expectation , take hairdryer flip flop carpet ! 
 Jun 11 2009 	 would not stay .. dirty 	 well book 2 star accomodation intend sleep want good location . yes , get great location , . request room quieter section get one 1st floor open onto courtyard . seem fine early morning departure start . really , main problem rudeness staff lack cleanliness . lot gum stick carpet . sink leak onto floor need use floor towel mop . bathroom stank public toilet , need bleach would say . rusty bin sit puddle sink drip . proceed make kid sofa bed go theatre ready get back , find dirty mattress cover ( YUK ) leave one mattress ( be split level bed ) . pull threw corner . discover one set bed clothe twin sofa . leave theatre ask bed clothe pillow . reception girl look ask something outrageous go back check - in detail many room .... check desk etc think want take home ask .... say would wait pillow would duvet hour ! do rudely must say . lucky go ! tv not work either .. ... 's , know 's basic , pay 116 pound expect level cleanliness reception staff friendly courteous , regardless many star facility work . 
 Jun 8 2009 	 Bad Staff Service 	 stay show O2 good location start . staff hotel Useless . room disgust horrible stain carpet & amp ; wall room hot window open lead restless sleep loud road . also wall thin hear bang night people return night . would reccomend hotel . bad hotel ever stay . 
 Jun 4 2009 	 Ideal one night stay 	 Booked hotel £ 19 offer , really can not complain . queue check , quite people work , move quickly . location . location spot . right heart London , 5 minute busy covent garden , ideal nightlife - bar , resturant theatre , far enough away quiet . RoomRoom lovely . read review people not impressed , room good size , clean , nice view , really could not ask much . overall happy stay , stay . 
 Jun 2 2009 	 take ear plug 	 clean room , good location . room size could afford additional furnishing desk , chair , etc . air conditioning window open noise terrible , especially friday night hear yelling / scream 5am . take washcloth not . staff kind understaffed . three day stay young man attempt work front desk reception , bar cafe . 
