ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Jan 17 2008 	 Experience Drake Hotel Chicago . 	 4 week tour USA December / January 2007 , 3 old child ( girl , 22 , boy , 19 boy , 18 ) , go San Francisco [ Omni Hotel ] , Miami ( South Beach ) [ Beacon Hotel ] , Orlando ( Disneyworld , Pop Century Resort ) , Chicago [ Drake Hotel ] , New York ( Christmas ) [ Beacon Hotel ] , Boston [ Omni Hotel ] , New York ( ) [ Roosevelt Hotel ] ( include New Year ' Eve Renaissance Hotel overlook Times Square ) , day trip Niagara Falls . sometimes cosy - sometimes downright stressful - kid . anyway , accommodation review . ' mention side trip tour . sometimes accommodation arrange travel agent , couple occasion organise direct . choose Drake purely reputation , history , celeb status , etc . expect cheap budget stay ( disappoint ! ) , try cost - save measure Drake happy accommodate ( see ) . put simply , want stay famous Drake Hotel Chicago , regardless cost . I could not seem get travel agent could organise , end contact hotel . try email website several time early 2007 ( December stay ) , receive response . really want try hotel , end phone Brisbane , make booking way . girl speak helpful room option , despite promise would receive email confirmation , none come . may & quot ; Strein & quot ; accent . however , seek confirmation November email , get favourable response promptly email , arrive hotel 3 night , order . one thing note - could not pre - arrange transfer Chicago O'Hare airport city ( place many country city not able ) , simple enough arrange return transfer door - to - door transport desk near luggage collection airport , phone booking return journey . the Drake old impressive building , view Lake Michigan . great foyer . would hope regard . well locate - close shop ( include Macy 's ) restaurant ( great reasonably price irish pub - eat twice close - by Dublin Pub good - also close great pancake place - Original Pancake House - breakfast every morning ) . good meal Chicago . drake also virtually next door enormous John Hancock Centre ( view Drake top ) . convenient location . we Junior Suite two bathroom , would superb less people . 2 comfortable queen sized bed , couch chair , desk chair , tv unit drawer , closet , room safe , minibar , ethernet , two enormous bathroom ( would say good bathroom trip ) . 5 we , also take 2 trundle bed ( cost - cut measure ) cost ( ' m aware ) . staff helpful regard . mean everyone separate bed , cosy , two extra bed ( stand upright day ) take lot floor space night . window low good view . room quite austere - Hilton - nothing complain about . reception / check - in fine , check , staff helpful map , etc . we city tour ex - Chicago cop bus driver / tour guide , entertaining . later change bus go John Hancock Centre ( last stop tour ) . driver happy stop bus open door let take photo . afterwards , suppose return hotel ( remember - around corner John Hancock Centre ) , bus driver kind enough take we way Sears Tower , even though obligation . us 5 big coach - earn tip ! Sears Tower , bus driver ( suggestion ) get bus , lie back sidewalk take photo we 5 Sears Tower tower we . friendly folk Chicago . one girl pass street offer we help find Dublin Pub without ask , simply would hear we mention .Lake Michigan awesome sight winter . I recommend free zoo Lincoln Park . Chicago great , though expensive , ' m pleased stay Drake . 
 Dec 17 2007 	 Adored Drake Hotel 	 stay hotel around globe honestly say far Drake Hotel Chicago favorite . vary clean well keep . several restaurant bar . food fine . staff Ben black doorman preacher general manager beautiful pamper everything need comfortable stay cosmetic Gilchrest Solmes London Fresh news paper . do not loiter lobby may offerd coffie copy Chicago Tribune . do not miss beat . mall arcade basement many great store even art Gallary . adore restaurant do not remenber names restaurant straight walk lobby palm court fine view lake chicago . stay hotels chicago hotel well view . drake Chose location 1918 place build way other . pick good spot chicago ! back Wicker park farm Scandinavians retreat . matter fact Drake Hotel Movie Wicker Park . purely grand classic wooden elivator cushy couch fresh fruit every stop shoe shine lavatory . hotel grand lobby decorate fine italian furnature everything always spotless perfect shape . compare Buckingham palace . classic ! promise love ! Chicago happen visit grand hotel drink dinner learn well . stay many time love every minute , 
 Dec 15 2007 	 beautiful hotel ... low class accomadation 	 wife stay Drake June . hotel old beautiful well care . complaint gift shop sell hardcore pornography magazine .... right eye level , cover . think tacky & quot ; classy & quot ; hotel suppose family friendly . , travel kid , would not recommend stay , not take gift shop unless want serious explaining . 
 Dec 14 2007 	 Glamour 	 Location , Location , Loction . lake end & quot ; magnificent mile & quot ; could not get well spot shopping trip . large room , clean large bathroom , excellant staff reception bar restaurant stunning entry way hotel decorate beautifully Christmas ! cheap hotel , worth money . I will back 
 Dec 8 2007 	 Drake Lucky 	 expensive hotel , Drake pretty cheap , cut lot corner . , properly , four star hotel spite tradition . policy charge unused final night reservation understandable , since many thing make want leave early . but first stay , large ensemble child violin student convention serenaded lobby , memory bring back . this time , wife approach dark cold Chicago , expect storm , hour - late California Zephyr , get Drake concierge name Andrea cell phone . arrange car meet we . extra inspire confidence arrangement would make , convey friendly reassurance we snowy Colorado desert . & quot ; see tomorrow , & quot ; sign off . the Drake lucky . ' m sure would play odd . 
 Dec 7 2007 	 Wonderful Hotel 	 husband & amp ; stay Drake hotel anniversary get away past weekend . book pay king room two week arrival . receive free upgrade executive suite upon checkin . room ( number 625 , Churchill Suite ) enormous great view lake city . room clean & amp ; bed comfortable . bathroom spacious ok bathtub & amp ; nice seperate shower . complaint room & amp ; would highly recommend spend extra $ $ get suite hotel . hotel beautiful . hotel staff courteous & amp ; helpful check check . Valet prompt upon check little unorganized check . thing definitly hotel : Sunday brunch Drake Bros. restaurant . Pricey well worth $ $ . Entertainment Palm Court Saturday evening . jazz group night stay & amp ; good . check shop low level hotel head Michigan Ave . thing skip : not like tight crowded space ... skip dining Cape Cod restaurant . the Saturday night line long wait hotel staff get cab . take 1 minute walk end block & amp ; cab much quick wait front hotel . access Executive Lounge not bother . thing dissapointe . exact view suite . small bar bartender friendly bartender part hotel . free breakfast lounge opt room service experience evening . 
 Dec 6 2007 	 never 	 stay Drake hotel Thanksgiving like . smelly room ( smell - room deodorant ? ? ? make we sick ) room rate ( $ 430 ) standard room first floor view outrageous compare hotel category stay . breakfast pay extra ! ! ! thank , never . 
 Nov 30 2007 	 think twice 	 get great rate Hotwire $ 139.00 hotel old city landmark far end mag mile . lobby ornate fabulous holiday decoration . bar old school live music dancing . request room 2 bed travel child . room small - bed large twin small full . ask large room tell 2 bed room . roll away bed available . room hot window open . shut heat continue cycle night long . shower head tub fix angle toward wall make impossible tall person shower . would definitely never stay needed room one bed comfortable temperature . complaint management initally meet arogance eventually find someone willing compensate we horrible night sleep gift certificate one hotel 's restaurant . 
 Nov 19 2007 		 book Priceline $ 122 per night , absolute bargain Michigan Avenue weekend Magnificent Mile Lights Festival . drake old prefer new hotel price could not beat . room acceptable , hotel location fabulous staff great . even able extend checkout time one hour without issue . would highly recommend Drake be budget want stay Michigan Ave . prefer new hotel consider something else . $ 122 night book priceline would definitely stay ! place charm character will not find cookie - cutter hotel . 
 Nov 19 2007 	 old style Chicago 	 Great hotel , pay $ 270 / night top end spectrum . room large , clean well decorate , perhaps importantly good location . stay 5 night find checkin staff helpful - check 1 pm wait - straight room . lobby fantastic reflect throughout rest hotel . one area would say could imprve style room good look date scheme choose . 
 Nov 18 2007 	 urban myth true ! 	 Drake everything urban myth say - absolutely loved ! hotel old - school luxury - sumptuous velvet , amazing service small ornate bench elevator case get tired ride ! review read negative comment - personally , could fault Drake way . room spotless comfortable easy chair ample room . location , breakfast , Palm Court Lounge - fabulous sorry hand room card . special mention must go John Dowd , head concierge , guide Chicago . service extend across Atlantic Ocean super - efficient make sure good time Chicago . I loyal fan Drake recommend everyone . stay Drake perfect treat perfect city . 
