Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Mar 22 2005 	 W Hotel - Times Square 	 difficult review write . hotel 's wonderful . bed comfortable , room bit small nice , tremendous view room 54th floor . problem staff actual hotel , friendly accomodating . we encounter one problem . blame make much noise hotel representative came room actually quite rude . well , not room , asleep , next room , one make call ! bring attention , even give apology staff 's behavior attitude . the problem support lack starwood group telephone customer service people . terrible , rude , never address problem allocation starwood point couple issue . problem bad company cancel account . beware ! summary : hotel nice , good location comfortable . staff good , support nonexistent . 
 Mar 17 2005 	 Superb location 	 W - Hotel Times Square fantastic location first time visitor NY hotel offer we complete ny experience . the hotel definitely lean towards late twenty / thirty age group lively bar hotel lobby . greet reception help receive room service superb concierge extremely helpful even call 20 irish pub try locate place watch Ireland v England rugby match 10 am morning ! room good sized bed fantastic . my downside bar hotel . girl serve table actually complain give $ 4 tip two drink ! explain planning spending evening bar would probably order 6 7 drink throughout evening expect we tip $ 4 - 5 time mad ! realise nobody NY anything politeness everyone expect tip ! really take shine otherwise superb stay 
 Mar 17 2005 	 good hotel not mind noise . 	 stay W 4 night Christmas 04 . go stay Plazza read review hotel could change short notice . overall not bad , average sized corner room look onto Times Square , real complaint room wall paper thin , someone cali say & quot ; good soundproof room & quot ; will guarantee hotel thing , hear every single word speak within 10 ft room , supply ear plugs , be obviously young / vibrant location , would make room far restfull . the staff ok , ' m starting see trend usless check procedure , email rang ahead visit confirm would arrive early UK would like early check , tell would fine . arrive 11:30 room not ready unitl 4 pm , would never happen hotel value customer . concierge unhelpful , bar quite good , however keep reserve seat area every evening look like friend security / bar staff . above location fantastic , taxi be always outside Blue Fin restaraunt nice , price , ( even NY ) .I will not stay unless 's good price take ear plug , feel 's well hotel ny price range . 
 Mar 13 2005 	 pretty good 	 get back 6 night stay . Got upgrade corner room 47th floor . great view river skyline one side . side another hotel . Bathroom seem little worn shower tend splash little ( though floor mat solve problem ) .Room alright size . bed little short reason , though really comfortable ! check staff helpful though concierge seem little strange stand - offish time . Bell hop door man practically ignore people . overall , great hotel single / couple buzz lounge superb location . really enjoy stay would definitely stay . redeem factor view , without would not know chuff would hotel . 
 Mar 8 2005 	 Loved W 	 love place . decor great though room small , 's modern spectacular lobby . course , location fabulous . 
 Mar 6 2005 	 Poor Service Depressing Techno Rave Hotel 	 son reservation 4 night & quot ; W & quot ; & quot ; spectacular & quot ; room . arrive 11:30 ask place priority check since know might able check early inform 5:30 dinner reservation . ( check 3:00 pm ) . reserve non smoking room 2 double bed 2 month . check clerk say & quot ; room ready around 2:00pm . king size bed & quot ; smoking & quot ; room . inform ask 2 double bed non smoking room . said & quot ; confirmation show proof ask non - smoking room 2 double bed ? & quot ; produce copy & quot ; W & quot ; 's email state smoke non - smoking . say well & quot ; & quot ; reserve non - smoking room would say . say move non smoking room tomorrow stay smoking room tonite . never desk clerk & quot ; question & quot ; integrity insinutate try deceive ! ! ! customer service ? spend next 30 minute try locate luggage check , since do not check desk . approach one person see man luggage cart issue claim ticket say , & quot ; I m sorry wait return & quot ; . return 20 minute later mob people wait lobby ! take almost hour check bag ? lfinally check bag go city lunch return hotel 3:00 pm find room ready . lobby fill 70 -80 guest & quot ; waiting & quot ; room also . techno -new wave music blast 24 - 7 lobby elevator much difficult even hear check clerk concierge . lobby one small dark loud bar . 4:15 pm room still ready ask speak manager . ( seem hate ask . ) desk clerk disappear 10 minute return reservation cheap room reserve . take . say non smoke 2 double bed $ 289 . 4:30 pm finally able check get dress 5:30 pm dinner reservation . one offer show we room easy find give corridor wall ceiling paint black making hard see go room number . weekend smell cigarette smoke come adjacent room door bathroom exhaust . closet 2 foot wide ( include ironing bd ) room equally small dimly light open suit case except floor . wall door poor construction . hear everything say adjacent room hallway . bed great good can not sleep due noise smell cigarette smoke ? check , charge $ 309 room instead $ 289 write check card . bad property ever stay never stay W hotel anywhere . indicative Starwood Properties avoid . much well cheap place New York real & quot ; cool & quot ; appeal . try Chambers Hotel true cool appeal incredible restful sleep excellent service . 
 Mar 3 2005 	 delightful buzzy Hotel 	 return three night break New York stay W Hotel Times Square . fabulous hotel - buzzy especially night bar 7th floor . hotel brilliant staff could helpful . room delight - 33rd floor view part Times Square neon light . love everything holiday although leg ache walk . would definitely recommend hotel anyone want centre Times Square within walk distance lot attraction . 
 Feb 27 2005 	 Great Location 	 husband stay one night W Hotel Times Square . area ( husband work Manhattan ) , simple night away home we rather & quot ; big trip Big Apple . & quot ; room clean staff friendly . particularly like Bliss bath body product , complimentary cotton bathrobe , comfy comforter . be town , great location , be certainly hubbub . excellent access major tourist attraction . would recommend hotel mostly young folk ( 50 ) , bite trendy chic , dark hallway low lighting area . however , major issue . 
 Feb 21 2005 	 Awesome ! 	 one good hotel experience ' ve ever New York - ' ve stay around . welcome entrance minute leave , everything great . room nice location perfect . people friendly without top everytime see someone would say hello ask . hotel clean overall pleasure stay . 
 Feb 20 2005 	 wonderful hotel perfect location 	 stay W December 19 - 22 , 2005 , LOVED . experience wonderful time step front door . decor unlike ever see hotel before - very modern relaxing . room number 3404 . picky hotel , feel like room clean well maintain . mirror headboard go way ceiling . bathroom shower ( tub ) clear glass door . everything decorate shade gray , silver , black . dark , bad way . really love room . problem view . request room view Broadway , could barely see bottom corner window . view room hotel next door . window open 3 inch , can not lean head see well . would recommend request room number end 01 3401 , would good view Times Square . staff helpful friendly entire time , location wonderful . check different website find rate low site offer match price plus 10 % . save we quite bit quite expensive . would highly recommend hotel . 
 Feb 7 2005 	 FABULOUS ! ! ! 	 stay last week - whole experience start finish pretty flawless ! room big Manhattan standard beautifully furnish - guarantee good night sleep life huge marshmallow bed ! staff friendly helpful . hotel right mix fashionable stylish without pretentious . breakfast adjoin Blue Fin restaurant must . want easy night people watch great food , drink service , start cocktail 7th floor lobby bar follow dinner 400 seat Blue Fin restaurant . 
 Feb 5 2005 	 great hotel 	 ' ve stay W Times Square twice - July , 2004 , second time January , 2005 . happy time , get great government rate . front desk staff professional friendly . room large NYC go , sample Bliss product , fun . room clean , housekeeping staff vigilant polite . concierge quite helpful . subway stop around hotel , quite easily quickly get anywhere might wish go . 24 - hour hot deli right next door , great ! ( try breakfast sandwich - wonderful ) . agree poster say hotel probably good selection child - great hotel single adult . bar hop ! fitness room bit small , treadmill elliptical trainer tv ( although work ) , nice diversion . also , become Starwood Preferred Member ( be free - sign front desk ) , get airline mile , use . happily stay . 
