knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Apr 16 2009 	 Excellent Staff 	 staff Knickerbocker excellent . check , around 10:30 morning , front desk find room collegue coud nap ; early flight . later day check gentleman check see room satisfactory bring slipper come door without shoe . nice ! ! general staff , lady clean room , front desk , bar tender , maintenance , concierage exceedingly friendly helpful . always pleasant cheery & quot ; good morning & quot ; & quot ; good day . & quot ; enjoyable would recommend other . location also great . 
 Apr 12 2009 	 would expect 	 spend two night Millenium Knickerbocker . broadly speak get pay . location great Magnificent mile corner great shopping street . hotel pleasant entrance hall pianist bar area friendly staff restaurant . room relatively standard category hotel clean modern . plasma screen tv reall big size room . downside , manage open window , maybe be quite high building . good value money overall . 
 Apr 3 2009 	 Beautifully restore 	 greet staff excellent customer service skill . room pleasant surprise , flat screen tv , full size shower rain showerhead & amp ; hand hold shower wand , wall attach toilet flush option ( wall ) , comfortable bed , lovely lighting option , etc .. size room snug , comfortable , would , historic hotel . also quiet , know hotel sell . sister room next door . hear tv . also love walk less block , shopping restaurant North Michigan Avenue . 
 Mar 31 2009 	 good value money 	 great little hotel one . situate quiet ( chicago ) avenue Magnificent Mile , well locate city . friendly , ( amazingly ) staff , room great . look like newly renovate , big flat screen tv , lovely comfy bed stylish bathroom . minor quibble . whoever design toilet must ' ve NBA player , sit could get toe onto floor , ' m 5 11 & quot ; . God know short lady would get . shower need degree MIT work use , anyone use good ol ' power shower disappoint . also check , tired flight 1 pm tell room would not ready till 4 , annoying say least . however minor quibble really , overall would give 8/10.ps not use hotel bar , $ 20 2 glass beer , warm flat . avoid . 
 Mar 29 2009 	 Great Location Heart Chicago 	 daughter stay Knickerbocker two night look Loyola . location great shopping dining , ample opportunity within easy walk distance . , however , 30 minute Loyola 's north campus . Valet parking easily accessible , front desk staff helpful pleasant . room fifth floor spacious equip nice flat panel television , mini bar , clock radio iPod docking station , desk area extra chair addition two full size bed . bathroom nice size , canister q - tip cotton ball nice accessory . unfortunately , room sound proof need consider next door neighbor child jump bed yell 12:30 morning . hotel responsible poor parenting however . not eat restaurant can not comment food . negative comment would ' m surprised pay $ 9.95 per day internet service , take nearly 30 minute retrieve car follow check - out . could due fact nearly blizzard morning however . 
 Mar 16 2009 	 Millenium Knickerbocker back ! 	 stay MK 6nights feb / mar 09 superior room absolutely could fault hotel , super comfy bed , beautiful bathroomd esp rain shower - need day travel , great furnishing . location hotel extremely convenient bus top road take wherever need go ( travel pass extremely good value ) . hotel staff extremely helpful friendly nothing ever seem problem . hotel within walk distance good restaurant would thoroughly recomme Original Pancake House ( bellvue place ) cheesecake factory Hancock centre . also bloomingdale macy within walk distance well walgreen . the location extremely quiet still extremely central make relaxing break . airport transfer use go Airport Express much cheap taxi excellent service . thank great holiday Millenium Knickerbocker - back ! 
 Mar 11 2009 	 one nice hotel 	 husband stay Knickerbocker hotel March 6 - 8,09 . really enjoy time . conference Westin Riverfront not want pay high $ 212 night go Priceline get Knickerbocker $ 75 night . worried first not know hotel , go trip advisor see good review know pick winner . remodle hotel last year 2008 . really show room . classy . maybe huge room stay room 24/7 Chicago ? confrence opposite end Mag mile even cab fair price still great Chicago . know stay . staff friendly nice . willing anything we . never eat restaurant hear good . hotel 2 block mag mile 3 block rush street ton entertainment restaurant . think vallet parking bit steep $ 49 night , tell later self parking garage $ 30 across street . room locate front building could see lake window . bathroom stylish granite type counter counter mount sink . shower rain shower head center ceiling . also handheld shower get direct hard pressure wash . huge shower bath tub liking . room refrigerator coffee maker . frig stock sure pricey cost . bed comfy . martini bar lobby quaint comfy . many stuff chair couch sit piano bar well . know Drake hotel locate directly across street . like block beat path comfy romantic classy hotel place stay ! 
 Feb 28 2009 	 favorite place stay downtown Chi town 	 can not believe get stay Knickerbocker ! typically stay large hotel chain visit Chicago sweet surprise . first parking always absurd downtown . several traveler we Suburban less parking attendant gracious get we traffic amount time load , unload , gather group together next restaurant shopping jaunt . though park pricey hotel , free move vehicle throughout stay . hotel staff inside . location check counter bit tricky , yet someone always available direct way help luggage . concierge quite accommodate direct we last minute dinner plan Friday night . wait , 's hotel . wow , architectural beauty . lobby quite invite conference room gorgeous . love hotel room modern amenity yet homey comfy lighting decor . truly love bed sleep great ! bathroom carefully think , old hotel tend lack room space make location . though shower take minute figure , complaint . enjoy lunch restaurant downstairs . wait staff attentive , go way meet need . good food good value . great coffee , . sure request table away entrance lot traffic come 's cold outside . bit chilly lobby busy . lastly must say everything within walking distance not heel . several nice restaurant close , shopping desire , Hancock building right next door . town conference , plenty time do/ see want . first place check availability ' m head Chi town . 
 Feb 24 2009 	 room recently renovate 	 Location could not well mag mile . renovate room cool . highly recommend . 
 Feb 20 2009 	 can not beat hotel 	 return Millennium Knickerbocker Hotel againand ! ! stay everytime Chicago . staff goout way make everything perfect . hotel perfectlylocate shopping , dining , siteseeing , etc . can not go wrong withthis hotel ! 
 Feb 19 2009 	 great value beautiful room 	 stay historic hotel birthday . room recently rehabbe beautiful ! modern ammenitie provide . luxurious great value Chicago ! ! would definitely stay recommend other . 
 Feb 16 2009 	 Best Deal N. Michigan Ave . 	 wife stay downtown event attend Drake Hotel . stay Drake nice , bit stuffy little outdated price . opt walk across street stay Millenium instead . I know property go many renovation past year say do great job . place use hotel would crash come Chicago college roadtrip ( ) . case more . this property directly across Drake Hotel 1/2 price get great location new ( albeit small ) room every ammenity would expect 4 * hotel . the room tastefully decorate ( asian influence w / flat screen tv ) bed comfortable . bath small ( tub ) , clean shower great . go spend bunch time room viste Chicago , room 's size big deal . ( work well couple , family four may bit cramp . ) service attentive friendly location can not beat . I would definitely stay , next time would leave car home ( $ 49 / night parking bit steep ) . 
 Feb 12 2009 	 wonderful stay Knickerbocker 	 stay Knickerbocker year ago not overly impressed , read recent review think give another try , since love area can not beat location . find decent rate online call hotel directly agent really helpful give we good tip . everything work really well , love new room , great shower huge flat - screen tv , everyone friendly , especially concierge bartender . read parking , thankfully leave car home , parking rate downtown really ridiculous , cab bus work fine . really nice stay , definitely back . 
