stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Aug 7 2009 	 wonderful place 	 son stay recent trip SF . little bit reluctant stay noisy touristic place Fisherman 's Wharf turn hotel , enter calm quiet place . employee friendly extra helpful small request . room beautiful , large , beautiful light little detail make feel comfortable beyond regular need . we diner Blue Mermaid restaurant turn one good dinner . food delicious , expensive service great . valet parking expensive absolutely worth . be travel teenager great place stay . 
 Aug 7 2009 	 enjoy everything ! 	 spend first two night California anniversary trip Argonaut great kickoff ! hotel convenient location within walk distance many sight . afternoon wine social lobby add bonus . would highly recommend hotel . 
 Aug 4 2009 	 enjoyable stay 	 stay 5 night Argonaut really enjoy stay . hotel conveniently locate within walk distance Fisherman 's Wharf activity well public transportation . room little small clean comfortable enjoy nautical decor . staff helpful accomodating . check 10 pm catch late night flight , fully expect pay night kindly waive fee day . restaurant good although breakfast selection somewhat limited . evening wine taste fun obvious Wii game big hit . would hesitate stay . 
 Aug 3 2009 	 exellent around hotel restaurant assistance 	 personal service . Wii kid wine hour 5 - 6p daily . Grandson love goldfish room ; name Popeye . would definitely stay again . Got upgrade room view Golden Gate bridge minimum fee . 
 Aug 2 2009 	 cute hotel midst Wharf tourist craziness 	 come hotel week vacation explore San Fran first time . enjoy hotel . great location -- right Fisherman 's Wharf -- well , least far end . easy get taxi 's & amp ; one block uphill cable car turn around . enjoy breakfast ( expensive ) nearly every morning . good service . we king size room -- spacious , include small couch face tv area . bed comfy ... staff attentive -- ask extra luggage holder early & amp ; wait less 5 minute . bathroom decent - sized 2 -- shower work well & amp ; enough space around sink . we look Cannery & amp ; sometimes mid -- afternoon , music . annoying first day want nap flight enjoy it . have free wine hour every night -- make ( due tour around , etc ) nice -- free Wii kid . maritime museum lobby & amp ; weekend free walk tour great . learn lot -- course , like kind thing vacation . many family stay well many european traveler . fairly crowd lobby area , outside get car , etc . staff nice & amp ; include desk worker make we dinner reservation concierge busy demand family . one note : Alcatraz , go night ! good tour ever . Book online far advance . well , worth last boat Rock . another note : wharf crazy weekend -- tourist 5 deep sidewalk -- take Beach street one block avoid crowd . 
 Aug 1 2009 	 love location people 	 location perfect family . son get sick stay staff able get see doctor within hour . room nice size view Alcatrez . everyone encounter hotel nice daughter love Donovon ( bellman ) high five . pleasure stay already recommend hotel . try Norman 's icecream courtyard San Francisco Fire truck tour leave back courtyard . hotel manager , Rich , helpful initial planning perfect room wait we . rent car week honestly time take cab public transportation mention walk , really need car stay central location . 
 Aug 1 2009 	 sure grow . 	 try five star establishment two star location manage . the hotel generally good find room claustrophobic exascerbate soft furnishing give headache look star stripe wallpaper carpet . good restaurant breakfast dinner nothing special . dump doormen pith helmet settle something modern style . 
 Jul 31 2009 	 nice 	 different run mill . unexpected nice . comfortable amenity require business trip . 
 Jul 28 2009 	 expect hotel 	 hotel stay nice room comfortable bed . almost miss prepaid guide city tour due hotel . short , light phone room indicate message wait . unfortunately voice message system work . call front desk assure we voice mail disregard lamp . early next morning cell phone rang . tour operator advise we change pick place time leave four message we . . . tv remote control internet access also take extra effort get run . to we seem front desk concierge function seem understaffed unmotivated attend issue important we . good assistance bell captain still work we . room nice , comfortable clean . 
 Jul 25 2009 	 great place 	 great location , extremely friendly helpful staff . lovely hotel . room clean . 
 Jul 24 2009 	 one great stay travel 	 arrive Hotel recommend still please great staff really pleasant welcome . deal reservation internet pick busy time Hotel , still receive personal attention reception staff particular willing take time get know we . we love drink noon friend country meet keep touch with . I recommend hotel couple decerne friend live rap give . think go back busy season Australia go else 
 Jul 23 2009 	 Excellent Hotel every respect 	 stay week July , honestly say one top hotel stay in . everyone work eager help whenever can . from Bell hop front door , maid room clean , everybody exceptional job . wine taste evening lovely touch concierge always hand help book tour assist travel arrangement . pay extra go room overlook Cannery Piers / beach . you fault hotel . 
 Jul 22 2009 	 Wonderful Hotel Perfect Location ! 	 first trip San Francisco want find hotel Fisherman 's Wharf . look number hotel almost settle Holiday Inn Express wife read review Argonaut want stay . let tell , fabulous stay would not stay anywhere else next time be San Francisco . pros:1 . hotel perfect location , end touristy wharf area right next beautiful park , Ghiradelli Square , start trolley line . starbuck connected hotel top hill . pay extra water view perfect view Alcatraz ( Room # 347 ) . well worth extra money view . bed comfy ( although pillow much soft ) , room clean . bathroom decent size , clean.2 . find staff extremely friendly . particular , bellman Steve happy give we restaurant recommendation SF well Napa . bring bag room also one loaded car end stay pleasure time see . genuine.3 . package include parking ( cost $ 45 / day ) , full breakfast morning , 3 - day pass public transportation . recommend check special website see special ongoing.4 . free wine / sangria 5 - 6 day . , nice touch enjoy converse couples.5 . Mermaid Cafe great breakfast ! even though always busy food come fast delicious ( recommend scramble egg cheese , bacon , avocado ) . one morning hostess little rush later meal actually come apologize we ... need apologize show employee work great . next day even call name impressive.6 . gym clean modern . 's big need ( cardio machine , selection dumbbell , nautilus equipment ) .Cons:1 . concierge need beefed . although friendly assist we greatly 's tough job 's one people line , phone , etc . recommend beef staff SF place much , people always question . thank concierge get we Alcatraz ticket ! summary : really enjoy write review San Fran beautiful city hotel well . stay B & amp ; B Napa end trip B & amp ; B awful wish could go back Argonaut . take , hotel incredible ! 
 Jul 22 2009 	 Good Location ! 	 husband stay part honeymoon trip 2007 . already spend 3 night Las Vegas 7 night maui . stay 4 night quite content hotel . location great . not romantic hotel mainly sleep comfortably enjoy sight San Francisco . room decorate weird deco blue cream star etc - sort hollywood fame deco ! clean comfy bed . USA never offer breakfast room eat morning . sour dough bread lovely hot butter . be lot place eat around hotel include irish pub ! hotel within walk distance place locate Fisherman 's Wharf . tram run around corner hop get downtown Union Square . pier 39 must definitely visit Alcatraz . pre - book trip Alcatraz popular ferry mostly book . hotel booking make sure ask soon arrive aviod disappointment . staff hotel helpful . could see Golden Gate Bridge hotel ask one bloke reception long would take walk . say 20 minute . walked - - - take nearly 2 hour ! ! ! tired stop time photo etc . worth . take taxi enjoy walk . defintitely people hate hilly walk . also walk side bridge near Sosalito lovely . sunny unlike side downtown - cloudy . visit old harbour accross hotel experience old boat 20th century early . seafood abundance San Francisco enjoy whilst . Crabs clam chowder common cheap buy along Fisherman 's Wharf . make sure visit Boudin sourdough bakery along road Fisherman 's Wharf ! make fantastic shape size bread 's worth look . visit Ghirardelli Square close hotel eat MCCORMICK KULETO 'S restaurant . be get perfect view bay area food exceptional . never much seafood one plate . husband seafood pasta dish many large prawn etc unlike would get country . you likely need sweater San Francisco quite chilly even summer month - cloud stay quite low day make cold . buy San Francisco sweater shop cheap not worry forget pack something warm . day trip wine country ( Napa & amp ; Sonoma Valley ) wine taste . 's great day see vineyard winery California . buy lot cheap wine small bottle . weather outside San Francisco lovely hot . notice difference almost immediately . would stay Argonaut visit San Francisco . clean meet need city break . location also good sight - see shopping . 
