disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Jul 20 2009 	 Hidden Gem ! 	 stay 2 night would recommend hotel . clean hotel , friendly staff , great breakfast ( ! ) super location . bar offer good drink . bar WORKS till 3 . could hear music , room right bar . bother we , tolerate , ask room high floor ( 4 - 10 ) . will definitely go back ! 
 Jul 19 2009 	 perdfect ` ` young '' people 	 ex+ serviceclean room , soft queen size bed , large bathroom , good breakfast free entry steam room , sauna swimming pool ! little bit noisy air recycling ... nothing compare Times Square soundtrack ! super central position 
 Jul 19 2009 	 cool young vibe 	 usually stay upscale hotel everywhere go . time look boutique hotel , cool vibe economical rate . Grace Hotel fulfil expectation . would not necessarily stay business trip want meeting hotel . however room common area clean design well lively . service frill - room service , mini - bar room , desk staff helpful attentive . 
 Jul 15 2009 	 Cool 	 choose Grace location ( fabulous see endless Broadway show ) pool ( recover walk around hot street NY ) delight choice . admittedly , offer upgrade arrival unexpected bonus service , space , free breakfast hip nature place add great experience . 
 Jul 9 2009 	 good location good room terrible breakfast layout somewhat noisy 	 stay room mate hotel Europe general good experience term service , quality , location , etc . Room Mate Grace exception except contrast room mate hotel breakfast area terrible layout . crowded people bump . annoying . also , hotel tend pool party night open public . fine relatively open minded may annoy people young child . hotel take account guest may put party . 
 Jul 8 2009 	 great trendy friendly hotel ! 	 stay 4 night would recommend hotel friend . clean pleasant room , friendly staff , great breakfast super location . go back sure ! 
 Jul 7 2009 	 Loved ! ! 	 boyfriend first time NY hotel everything . trendy , room small course cute n cozy . location great maby 30 second time squere . ( get late night hot dog well ! ) would deffinitly stay hotel . complaint would shower , water pressure enough , thing would deffinitly family hotel . shower toilet door slide door ( kinda wierd ok ) wanna - be show curtain , stay someone usually dosent see naked might bit uncomfertable . also glad mini fridge emty stock stuff buy turn great little liquer bottle usually take room way , get cheap water snack time squere walgreen : - ) still love great experiance ! 
 Jul 4 2009 	 Best Service EverProfesionalsFrindlinesscleanloation 	 staff profesional , informative , gentelman front desk Super Nice . 
 Jul 3 2009 	 much fun ! 	 hotel good pool party ever ! would recommend everyone . make sure make reservation pool party / club fill fast . celebrate birthday , rent room friend come meet pool party . great , much fun ! bring bathing suit ! ! ! ! ! room expensive location atmosphere worth . would : ) 
 Jul 2 2009 	 good location young - party - time hotel 	 good service , clean , room bit run quite small , tv service low quality , good ventilation toilet ! ! rather small place young people high price . breakfast limit boring spend 2 night . will come back ? price come really want party hard lobby - bar - pool ! ! 
 Jul 2 2009 	 stylish small hotel 	 clean , stylishbut pool place much small look website lot gay people ... right next time square easy night 
 Jul 1 2009 	 comfortable practical central 	 Room Mate Grace sit half block Times Square consider central many people 's purpose Manhattan . rethink traditional room layout refreshing certainly feel small cramp one person couple ; cosy plenty room everything . everything nice clean . not get time pool bar look modern attractive . people like big standard room New York see hotel , find foisty , frumpy disrepair . Hotels RMG hopefully example old capital rely heavily sight NYC , London , Paris etc hotel reaslise much well quality fresher image customer experience elsewhere , Barcelona , Buenos Aires , Scandinavia ... 
 Jun 29 2009 	 Superb stay Grace 	 really nice hotel , always clean . drain shower block first day , repair fast . staff always please help nice we . the pool great , often private partys evening lot people pool . want relax pool 's well morning late afternoon , also join party pool ; ) breakfast really good . so close Time Square ! really convenient . would definitively go back ! 
 Jun 29 2009 	 great value location 	 conveniently locate Times Square incredible breakfast every morning ( really cool coffee maker ) . staff friendly helpful . pool interesting feature swim bar . steam dry heat room nice touch . room smallish side comfortable - like walk shower . real complaint facility wireless internet access spotty good . would definitely stay recommend other . 
 Jun 27 2009 	 great quick stay city 	 hotel great & amp ; sister quick NYC visit ... town shopping & amp ; yoga Times Square summer solstice . locate right Times Square perfect we & amp ; 12 block walk Penn Station . subway locate block away . room small clean retro decor . Staff seem friendly & amp ; breakfast small good selection coffee , fruit , cereal & amp ; fantastic bagel . highly recommend . 
 Jun 26 2009 	 excellent location small room extremely scarce shelf space excellent service 	 husband come back NY . want stay near Times Square Room Mate Grace Hotel perfect location requiremente . 45th street , 6th 7th Ave , half block Times Square area . hotel cool / hip modern , draw different type crowd ( mostly couple family ) . night time , party pool seem draw single . we enjoy stay Room Mate Grace , however , think redesign room ! besides quite small , common ny , shelf space provide ridiculous ! you´re planning stay three day ( stay week ) bring whole lot clothe : beware you´ll need use suitcase closet . on hand , must know fitness room , small two bicicle use . well think go jog walk . in case , find staff quite helpful accomodating . Breakfast include must say quite good : fresh fruit , fresh bread , etc . overall think good hotel you´re planning stay Midtown , excellent choice . 
 Jun 25 2009 	 wonderful holiday 	 nice hotel . small clean , near Time Square heart Manhattan . room great , always clean comfortable . pool nice staff kind attentive guest . recommend hotel 
 Jun 19 2009 	 let us say ' interesting ' choice accommodation 	 ' ve literally return New York City 5 day trip stay Room Mate , Grace . literally right heart Times Square , nestle 2 Irish Pubs busy bustle street . great location thick hive activity Times Square Broadway . firstly ' ve got say , forget picture website room reality perhaps ' plush ' impression give see picture . initially book standard room , give upgrade ! upgrade room ' cosy ' , i.e . small , would love see size ' standard ' originally book . double bed , sort height , '' vve get climb . open bathroom , i.e . door . large good shower toilet , clean towel . fine . bath . open closet hang clothe . tv . be basically . iron hairdryer . tea / coffee , minibar ( drink reception , expensive ! ! ) room clean , fine us day every day . noisy air condition noisy open window . hotel 70 's retro style . pool / bar area lively , hold party every we d night . want quite make sure ask room high , stay 9th floor could not hear thing , perfect . brekkie include price ( rare ) - croissant , pastry , cereal , bagel , toast , fruit , yoghurt , hard boil egg juice . fine start day . internet access available $ 5 30 min . just let know - least 5 amount tax add bill , occupancy tax , unit tax , state tax ......... standard . drink expensive ! class 3.5 star , ' m sure . 's great location , clean , staff fine . would recommend New York , go spend huge amount time hotel . 
 Jun 17 2009 	 great deal - lot amenity 	 stay Room Mate Grace , NYC midtown 5 - 31 - 09 6 - 6 - 09 . complaint . pay $ 1460 RT flight San Francisco ( SFO ) JFK plus seven night RMG . great location -- near Times Square / theatre district . great free breakfast buffet -- yogurt , cereal , hard - boil egg , bagel , mini - croissant , raspberry , blueberry , apple , orange , coffee great latte self - serve latte machine . take bagel fruit lunch , make free breakfast lunch . host / hotel employee nice accommodate . service receive directly get help bag room 10th floor , give tip , $ 2.00 . pool sauna wonderful , not party night . pool open non - guest 5 pm organize party ( non - guest ) fee . big problem except want close sauna one night . arrive party , start 10 pm , able swim . steam room slippery floor would exercise caution use . music pool area much loud party , lower otherwise , prefer . the decor strange . hotel 's wallpaper strike bright orange floral pattern . light throughout RMG dim / low . 's hard see button elevator due low lighting . room also design trendy way . wallpaper similarly strange 's hilarious double - teardrop light fixture will see believe . another strange thing ' bench board ' surround bed , not like , get use . thing trendy design makeover every two year . rmg due . one irritation ' like mention television . small non - hd flat screen , attach wall foot bed attach wall low . put bunch pillow behind back view lie bed . tv need high wall make comfortable lay bed view . also , swivel hinge bed , mention ridiculous remote / channel finding system on - screen . room two set double - pan window , actually open 5 & quot ; side . fresh air nice . otherwise , AC work well , though fan bit noisy . use WiFi comment . small lobby ATM computer / internet rental , go main library check email -- free -- week . do get unlimited Metro pass . mine $ 25 one week . be extremely convenient great deal . take one cab town . metro -- subway bus line -- fabulous ! highly recommend RMG Hotel base trip . 
 Jun 16 2009 	 home away home 	 possibly good hotel experience * ever * . room quiet , bed bedding incredibly comfortable . location prime -- block away subway station number broadway theater . staff friendly , helpful courteous . good part complimentary breakfast -- fresh raspberry blueberry , plain yogurt , variety cereal bake good , espresso machine ! make civilized pleasant way start day . hope not change thing ! Roommate Grace would first choice next time come New York ! 
 Jun 15 2009 	 great location value ! 	 would highly recommend hotel ! pay $ 210 / night petite room , lucky get upgrade suite . room nice ( be small NYC , cool ) ; hotel general hip . 's new hotel totally redone . breakfast good , include , free WiFi room ( charge use computer lobby ) . hotel little , nice ( open 24 hour ) hotel pool swim bar , steam room , sauna , etc . look like real party scene night . hotel staff super nice . excellent location Times Square area ( Midtown Manhattan ) . cool irish pub nearby . one complaint . great experience . 
