absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Aug 22 2009 	 wonderful - make wife 's birthday special 	 hotel gem . book room wife , 5 year old daughter celebrate wife 's birthday take daughter see Lion King . booking , make point ask special occasion , arrive , go way make stay extra bit special , lovely personal touch help we celebrate . can not praise staff highly enough - totally professional , treat daughter like princess start ( go well , course ) . room delightful , clean comfortable , view seclude private garden rear . eat lunch terrace overlook garden , must say food excellent , service . , wife particularly impressed waitress treat daughter grown - up . return afternoon , personal note congratulation manager , accompany chocolate . concierge go way try find baby - sitter , even though not book , wife able enjoy evening together . altogether , enjoyable stay , look book another stay Christmas period . 
 Aug 21 2009 	 look forward return 	 stay two day -one night- London son 's birthday . regret book hotel special occasion . go way make pancakes son breakfast . satisfied , parent ! 
 Aug 20 2009 	 truly remarkable hotel 	 problem stay Montague Gardens luxurious diluted impact cruise follow . cruise Cunard budget one sense quite deluxe , Montague spoil we completely three perfect day London . we make reservation many month advance scour Tripadvisor hotel real british charm style . warm welcome upon arrival increase complimentary upgrade suite two level . family member couple we , upgrade well noise issue room . thus , opt originally Bloomsbury king deluxe package include 3 breakfast one dinner , end almost unbelievably plush surrounding . much say site exceptional service hotel absolutely true . young staff superbly train . the public room small charming spotless , guest room . favorite spot outdoor porch overlook neighboring garden . eat five meal three day hotel , excellent . our suite beautiful one large bathroom ' ve ever hotel . weather perfect choice air conditioning open large window . evening , strawberry dip chocolate greet we room return home , big fuss make husband 's birthday . if , like we , look hotel really reflect home country rather multi - national chain , delighted choice . 
 Aug 20 2009 	 welcome friendly comfortable 	 right moment walk make welcome . female travel business much appreciate courteous personal attention show staff exemplary , nothing much trouble . table lay dinner clear instantly enable enjoy quiet pot tea terrace evening sunshine , long meeting . room charming , room service breakfast excellent . outdoor space central London hotel real plus summer . , staff make hotel special . 
 Aug 19 2009 	 thank much ! ! ! ! 	 courteous efficient welcome arrive conversation Reception departure Staff wonderful hotel hotel proud ! ! ! ! peaceful part Central London ideally place get Theatre ( purpose visit ) , Soho China Town literally London museum doorstep hotel hotel choice future visit capital ! ! 
 Aug 19 2009 	 Royal Treatment 's Finest 	 trip London contestant Wheel Fortune . 8 day London ! lodge provide Montague Gardens . talk gorgeous place stay ..... everything hotel impressive grandeur . staff go beyond every need , usually anticipate . first day , atm card lock bank since country , not cash . mention front desk , hand cash say would charge credit card . brilliant ! save day . not stop . overly helpful sightseeing venture . remember name . genuinely nice happy people . location perfect . 4 minute tube , man , love tube ! see london , use whole time . buy oyster card get around area ! hotel concierge explain . also awesome pub right across street British Museum call Museum Bar . really good , great staff . hotel great location . room service awesome . 24 hour menu actually pretty impressive . chicken & amp ; rice noodle soup die . think order 5 time ! love hotel , sad leave . mention waterfall shower ? amazingly comfy bed ? place make feel like royal origin . would highly recommend hotel ! 
 Aug 18 2009 	 Indulgent . 	 stay three day sheer enjoyment , without worry need plan thing . staff meet expectation exceed . tough decision whether sleep long comfortable bed surround relax ambience room , get enjoy buffet breakfast . luxury detail ; bed turn every night without fail rain shower room mixture relax invigorate one go , even butter arrive table right temperature rock hard fridge ! simple thing do wellthe Montague dispense conventional ' hotel ' approach apppearance replace modern beautique layout unmistakable , luxurious warm . staff helpful , friendly professional . next visit London include repeat visit Montague . 
 Aug 15 2009 	 truly phenomenal staff 	 beyond convenient locale , well appoint victorian room , charming neighborhood , lie one genuinely caring accomadating staff . 
 Aug 13 2009 	 strongly recommend London sightseeing . 	 frendly staff , excellent service facility . centrally locate . Ideal London sightseeing . 
 Aug 11 2009 	 hide gem London 	 moment arrival departure greet address name , warm indeed . complimentary upgrade seasonal discount pay 33 % suppose pay . room quite large also split - level duplex room . bed comfortable enormous bathroom . location hotel excellent proximity Holborn Russell Square tube station , well right next British Museum . we definitely stay hotel chain . 
 Aug 8 2009 	 Excellent Choice 	 Montague wonderful , small hotel , excellent location Central London . across street British Museum , hotel walk distance much theatre district , Leiscester Square , Covent Garden , London Eye ( bit long walk ) , Oxford St. , two tube station short walk . street enough beat track quiet night , aspect many hotel Central London not . room small decorate appeal traditional british style . bathroom fine . two different room in - between travel area outside London . room type exercise machine . window could open easily fresh air . even clock ( rarity Europe ) , typical hotel stay Europe disappointing selection tv station . go tv ? importantly , staff extremely helpful nice . also solo traveler , feel safe . daily English breakfast good , service great . 
 Aug 7 2009 	 Wonderful Hotel Heart London 	 wife make decision mid - may take holiday London . contact friend ask good location stay recommnede Bloomsbury neighborhood . information search . discover wonderful hotel . ideal location near tube station . staff start help plan trip email arrive continue daily direction . the concierge staff terrific . assist acquire Oyster Card us mapping daily adventure . reception team always greate we smile . dining room staff friendly helpful . generally , eat hotel restaurant breakfast dinner Blue Door Bistro two occasion . room , stay Junior Suite , well appoint comfortable . fortunate enough return London stay Montague great find . 
 Aug 7 2009 	 amazing concierge 	 stay three night Montague , absolutely wonderful time . excellent Bloomsbury location , quiet , comfortable jr . suite , delicious breakfast , many amenity . especially like huge marble bathroom chocolate - dip strawberry . highlight staff , many reviewer say . especially grateful Mustapha , concierge , make time London memorable . short notice , get we theater ticket marvelous Shakespeare play , restaurant reservation wonderful place . 
