Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 Aug 1 2009 	 Great Location Small Clean Rooms 	 begin , value perspective , would not pay $ 200 night , due small size amenity offer ; time fortunate find sale $ 149 night , cheaper many no - name hotel neighborhood . not go NYC spend day hotel room -- basic expectation exceed Hilton . stay basic queen king bed room , expect little space anything sleep . NYC dynamic , though , hotel location considerable really need offer four thing : comfort , cleanliness , quiet , proximity . Hilton acceptable front , would return future . hotel extremely close central park , museum row , times square , subway . 's top - notch food within walking distance , Museum Modern Art literally next door . couple qualm : television break , front desk pretty unfriendly ( border bitter ) , midtown shut 9 pm will take subway Village pay $ 12 cocktail hotel bar nearby , ' conference ' hotel place literally teem day night . never wake , though , sleep comfortably . also note business center $ 50 per HOUR , wifi room $ 20 per hour . , recommend , especially couple really want hit park museum without get public transportation . 
 Jul 30 2009 	 second time Hilton . still favorite NYC 	 going stay another hotel get great rate . however , trip change suddenly end get even well rate Hilton 9 night . also Hilton Honors member . take breakfast room rate get two connect room 13th floor . big family ask room - 2 double bed one room king sofa $ 249 really good NYC . room big housekeeper really nice clean . location Hilton can not beat . personally would stay Times Square child 's busy . around Hilton alot restaurant sit without struggle crowd 's close Central Park nice store 5th Avenue . also walk times Square every day broadway show see near Times Square . take laundry wash fold everyday block hotel . breakfast buffet great pancakes / french toast , egg , fresh fruit , Japanese , smoke salmon cheese , bagel cream cheese , mushroom , sausage . also order room service many time . one big advantage Hilton cover area taxi come pick . stormed rain whole week cover valet help alot . will probably always stay Hilton come New York . 
 Jul 29 2009 	 Great Location Nothing special 	 partner stay Hilton New York two night . check relatively easy . little disappointed room small expect , not like bathroom since lack sufficient counter space . room basically run - of - the mill hotel room . expect little modern flat screen tv , etc . , however , like location short walk Times Square Central Park . lobby lounge rather comfortable . overall , good value convenient location , regular hotel room -- nothing special . would stay get good rate ( $ 200 ) . 
 Jul 27 2009 	 great location quiet clean room 	 hear bad review check - in process , room , price overall pretty happy get . problem take quite sometime check - in ( everyone except Diamond Club ) . micro mini bar . room decent size - be expect something really small happy bed comfortable clean . view expect area many gigantic building . happy proximity Times Square . love open market front hotel sunday morning . husband love street food corner - cheap , tasty . 
 Jul 24 2009 	 nice enough 	 big hotel enormous lobby . decent room , corporate .... pretty good location though . would think could give free access internet . 
 Jul 22 2009 	 great location . tiny room . 	 stay hotel weekend . find location perfect . within walking distance 5th Ave , Central Park , Broadway etc . lobby nice service reasonable . stay standard room find small decor somewhat date although clean well maintain . noise level room wasimpressive even New York standard large crowd gather vend truck across street well past 5 morning . would strongly suggest stay high floor stay north side building . 
 Jul 20 2009 	 good location decent room ( standard room ) 	 hotel quite busy . stayed 1 night ( Thursday ) . wait line check well check . express check - in / check - out machine , want make sure got 2 double bed not bother go route . lobby area pretty nice looking . different elevator go different level look . room renovate one decent , far away elevator nice less people pass room . ice machine quite way away though . notice black grout shower though . toilet seem fairly new ( flush well ) . give shampoo , conditioner , lotion , body wash ( shower cap include , ) . bar look pretty hip & amp ; happen pass walk times square / broadway late night . baggage hold $ 3.50 per bag . one thing notice could close curtain ( outer one ) . open / close thin white sheer one . hotel close time square / broadway , MOMA ( museum modern art ) , central park , rockefeller center . be travel subway airport , take blue & quot ; E & quot ; line get 7th Ave ( 53rd St ) . hotel block away . free internet course , even lobby . not touch minifridge bar not know use in - room safe . got great deal though hotel priceline . 
 Jul 18 2009 	 Perfect Location Standard Room Disappointing 	 two week road young kid , Friday night getaway wife order . NYC not disappoint , hotel . Hilton Honors Gold member , think upgrade would likely , major midtown hotel pretty much packed couple convention . plan spend much time room , standard design , outdated furnishing / bath , old tv let - down find contemporary design LCD tv Hampton Inns , Homewood Suites , HGI along East coast elsewhere recent month . would think Hilton would upgrade every room flagship destination , especially category 6 status . fortunately not wait long elevator since express car high floor . aside , location terrific . 
 Jul 10 2009 	 sure shot 	 great location next Gardens . room big , well furnish tastefully decorate . glass shower neat . could hear elevator room , might want ask away might bother . Valet parking 's steep 48 $ /day . good service overall , maid especially courteous . 
 Jul 9 2009 	 Great Location Good Value -- Manhattan 	 Hilton Honors member often default Hilton Hotels whenever travel plan call short stay major city . New York Hilton disappoint . midtown Manhattan location perfect sight seeing , especially couple day , room above - average standardized Hilton room would expect , ( get free upgrade ) , amenity could require . be inexpensive , good value New York City standard . word warn , however . Watch & quot ; extras , & quot ; ( not even think bring rental car unless absolutely necessary -- turn sucker take cab subway , parking 's pain pricey ) , avoid on - site New York Marketplace restaurant cost -- unless want pay $ 65 breakfast two , ( Starbuck be across street much well bet ) , $ 100 lunch , trust , will not remember except price . on - site & quot ; Italian & quot ; restaurant not much well . let us face . New York full nice restaurant be go spend money might well memorable meal . would stay ? bet . location alone reason enough . Hilton usually know be go get . 
