ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Jun 25 2007 	 Location Location Location ! 	 stay hotel Sept 05 surprised location ! arrive Victoria Station , walked not know go get cab find & quot ; bit short walk & quot ; station ! staff go beyond help we anything want need ! keep luggage arrive could walk around also keep we go Scotland night never expect anything ! room large , clean comfortable , feel like home ! would recommend hotel anyone ! walk London hotel problem . 
 Jun 24 2007 	 money well spend 	 good quality hotel . the room food public area first class . book executive room use lounge provtde free drink nibble day alcholic drink 1800hrs 2000hrs . location good 50 mtrs Apollo Victoria theatre . would recommend hotel . 
 Jun 13 2007 	 good location 	 hotel beautiful , modern extremely clean . bed comfy bed ever hotel . sink right cuddle wonderful duvet . big , modern marble bathroom . bar bartendar great , yummy pastry shop ( start drool walk ) . location well . right across street busy train station ( Gatwick Express arrive ) , plenty tube line . couple block walk Buckingham Palace , Westminster Abbey , Green Park , St. James Park ( pretty ) , Horseguard Palace Churchill 's Museum Cabinet War Rooms . take walk direction regular neighborhood non - touristy restaurant . plenty dining option around . stay hotel twice intend stay every time go London . 
 Jun 11 2007 	 Beautiful Modern Hotel Great Service 	 Park Plaza everything tourist could want accomodation . clean , modern well organize room . staff make every attempt accomodate need . probably good reason book within walk distance Victoria Station theatre . restaurant rather pricey , food excellent well - present . 
 Jun 5 2007 	 great location 	 American London first time ( though ' ve 10 foreign country ) , please hotel . great location -- step Victoria Station , can not underestimate red - eye flight . 's heart tourist spot fairly price London standard . one advice ask high floor street traffic loud day . honestly , people not like hotel , be picky . be clean , close cost effective be go room much anyway . 
 Jun 4 2007 	 Awesome Place 	 one good hotel ever stay . room great , large London clean . free breakfast great way start every day . many time roll danish right oven . think location good part , though , easy get around Victoria Station couple minute away . oh , forget mention SERVICE . exceptional . good place fish chip right street call Sea Fresh . get fish every morning could not fresher . portion large fry right . also , right across street Sea Fresh large grocery store also hot food . can not go wrong stay Victoria Park Plaza . love . 
 Jun 4 2007 	 Great Weekend 	 book special deal executive room breakfast include . agree reviewer executive package really not worth extra . venture lounge Friday evening like waiting room airport . the bar downstairs much pleasant spend hour relax see show evening . room theback hotel overlook room great itwa quiet . room bathroom spacious , clean amenity would expect . air conditioning room fantastic much appreciated weather warm . breakfast morning excellent meal restaurant one evening . find staff friendly , helpful experience not wait . find staff one highlight hotel . the hotel perfect visiting see Wicked ( fantastic ) . travel Gatwick Express Hotel ideal five minute walk station without haul luggage stair ! feel safe walk area night . go back London probably would stay Hotel would problem recommend anyone . 
 Jun 4 2007 	 Excellent ! 	 Booked hotel Secret Hotel option Lastminute.com - find ! book superior room , however , arrival give executive package include full english breakfast , bathrobe , slipper , welcome tray water , chocolate , coffee hot chocolate well full use executive lounge free refreshment day include wine , beer canape 6 pm - 8 pm . unbelieveable ! stay numourous hotel around London although room may plush Hilton service excellent . close Victoria - tube station also fabulous new plaza good price chain bar cafe . would definately stay would also book web agency rather directly amazing value money . 
 May 27 2007 	 bit disappointed 	 read review little disappointed ' executive ' stay hotel . book executive room clean v averagely furnish . appear executive label mean get robe , slipper & amp ; free water think rather large nice room . the staff friendly & amp ; helpful v plentiful often wait occur reception conciege even acknowledge ! access ' executive ' lounge , soul less room table chair , tv tea / coffee machine - exactly executive ! nice breakfast & amp ; friendly & amp ; attentive service there . overall average stay ' m glad have get last minute deal pay full price ! ! 
 May 10 2007 	 Absoulutelly superb service staff 	 stay hotel time whilst business londonand always greet name favorite requirement arealway fulfil . besides fact come know staffquite well , Luke Francois ( Guest Relations Manager ) , helpful even computer break , always make sure need take care . woman traveller , especially find safe curteous walk room , late night usually arrive . executive package something would definately reccomend . remember one visit power go use executive lounge work , Luke handle ths situation incredibly well , maintain team staff re - assure everyone situation deal . busy hotel , middle london next Victoria station , always feel sense calm get rest superb bed ! hotel industry , wish staff like Victoria Park Plaza . aditionally conference facilite great gym well equip even spa ! particullarily like lobby area quite funky decor quite conversation piece ! usually book hotels.com call central resrevaion usually close on - line rate . also quite handy property reccomend fully book . a stunning place great place enjoy sime time ! next time go London , even coffee sure check hotel ! lucky Luke one staff may able give tour really understand mean ! 
