nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Sep 9 2009 	 Four season Las Vegas Worth ? every penny . 	 partner decide celebrate anniversery Las Vegas long Labor Day weekend . read great review decided spend extra buck go FS . experience could turn well . moment walked greet & quot ; Happy Anniversery & quot ; know would special stay . room strip view suite 38th floor . light glitz Vegas spread distance - truly great sight . room simple yet well decorate - feel classy without resort dark color funky lighting . bathroom spacious powder room huge . scent hotel lobby elevator room set stage . every facet FS service top notch . pool show chair greet & quot ; Happy Anniversery & quot ; give name . pool staff friendly always make sure keep happy . one hotel manager come we say champagne anniversery choose . housekeep professional attentive , twice daily cleae turndown service . sheet towel perfect condition ( great tell class hotel ) . go ... perfect ? perfect hotel ' ve . friend stay thehotel suite could see envy eye . thing would change ? well , one : double ply toilet paper would suggestion . from , travel Vegas , know will stay . 
 Sep 9 2009 	 Best Worlds 	 never stay Four Seasons hotel , prepare incredible level customer service receive stay . almost overwhelming , good way . staff member always available help whatever need . every morning , someone group another story four Season 's staff manage surprise incredible customer service . I stay four season 4 night primarily business . amazing secluded peaceful hotel , even hustle bustle Las Vegas . however , easily access Mandalay Bay want casino action . love able escape quiet oasis Four Season 's work sleep , also option nightlife , restaurant , club moment away Mandalay Bay . need strip one place ? would also like mention spa service Four Seasons stay ( Balinese Massage ) wonderful . spa atmosphere extremely relax serene masseuse also wonderful . also appreciate 20 % spa service coupon receive upon check - in . encourage utilize spa would definitely recommend spa service anyone visit four season . overall , wonderful stay Four Seasons hope return . experience level customer service never experience anywhere else . 
 Sep 8 2009 	 sure would return 	 although item control Four Seasons excellent , surprised number small child pool noise parent could generate . spend $ 300- $ 400 night room , would expect problem . I complain pool staff lady say subtle way addressing problem , constant problem weekend . one middle Eastern couple two young boy , must think own place . kid terror either pool Veranda meal . otherwise everything fine . check room 9:00am early flight Nashville . spa spotless clean . room perfect . really like see people dog hallway . Hampton Inn allow dog , four season ? maybe become old grouchy 56 , use time luxury mean something use Holiday Inn pool . 
 Sep 7 2009 	 Great Trip Las Vegas 	 finally ... place stay Las Vegas relax entirely peaceful environment yet door away typical hubbub activity high - end casino , short drive main part Strip . my husband Four season 4 night Labor Day weekend . arrive Thursday night relax light ( late ) dinner Verandah excellent food service . spent day pool excellent pool service ( sure staff guest ratio high enough feel really well look - after . ) first arrive choose lounge chair receive full pitcher ice water refill throughout day along nice treat throughout day ( popsicle , bit frozen banana , iced towel - scent eucalyptus one day , evian water spritz , frozen melon ball ) really nice . pool service attentive genuinely friendly . pool area huge Strip hotel completely adequate number guest . lounge chair all - day sun exposure whereas other all - day shade partial sun / partial shade depend time day ( good thing Las Vegas summer ! ) room nice clean . bed comfy ( soft firm ! ) twice - daily housekeeping service really nice . fs two restaurant : Verandah breakfast , lunch , dinner ( excellent ) Charlie Palmer dinner - really wonderful food especially wonderful service . logistically , Four Seasons occupy top 5 floor Mandalay Bay Hotel . ground level facility ( lobby , restaurant , pool , spa , exercise room , etc ) completely separate MB . elevator take lobby straight 35th-39th floor . never take small side door & quot ; C & quot ; level ( casino ) mb would never know next door . separate mb allow FS remain completely without bit cigarette smoke case important you . if go MB find easily walk Luxor ( without go outside outdoor weather ) thereby almost hotel Excalibur , MGM Grand New York ... rest Strip far . want go much far MGM Grand / New York New York take cab make sure driver take freeway 1 2 exit north ( depend go ) rather Las Vegas Blvd traffic giant mess . cab fare central strip area ( Wynn , Mirage , Venetian ) $ 15.00- $ 16.00 without tip . speak tip : make sure tip good service ! always say & quot ; feel good tip & quot ; mean someone do something make life easy pleasant ... return favor ! see waaay many people forget tip ... especially go stay somewhere nice Four Seasons ... tip ! doorman , person check , bag attendant delivering bag , pool attendant set chaise lounge , housekeeper ... not forget ! ( especially young one ... get habit ! ) ( sorry preachy ... ) , , like Las Vegas fun option would prefer calm quiet place stay ( especially noise Las Vegas get ... ) stay Four Seasons . fun return & quot ; oasis serenity & quot ; pass door . great time ! ! 
 Sep 7 2009 	 Disappointed 	 Four Seasons Las Vegas suppose nice treat we recent trip Las Vegas . disappoint . stay hotels strip , recently Mandalay Bay Hotel . would recommend stay either hotel Four season . the Four Seasons room much like regular Mandalay Bay room . lobby nice , way far rest mandalay . Valet parking $ 18 . every hotel free valet Four Seasons require pay , make sense . park Mandalay never see point pay fee . the alure Four Seasons service . however , find service lacking . front desk nicely offer walk we elevator honestly turn elaborate sale pitch spa . never even tell we anything else . walk front desk tell need know spa , get pool , fitness , even elevator . fact , leave we front spa ask get elevator . also ask paper would like , none ever deliver . the true test trip come Saturday night . wife 30 minute leave meeting friend show panic hair dryer room work . think , problem , hotel know service new hair dryer less 5 minute . call tell problem need hair dryer hurry . save long story 30 minute , 4 phone call , 1 trip front desk later leave ..... walk new hair dryer finally show . big deal ? really , going run upper end property simple guest request , fail ! summary , review rave Four Seasons . nice , would recommend go eslewhere .... certainly . 
 Sep 6 2009 	 wonderful stay - highly recommend 	 well , start ? stay one night Planet Hollywood decide move FS one night . brilliant time decide extent stay FS one night ( make two - night stay ) . room wonderful - overlook swimming pool . spacious bathroom bedroom . fs pool excellent , quiet much quieter main mandalay pool ( FS guest also access free charge see Wailers perform live gig - stage pool area - Saturday night ) . bar service FS pool area great , staff friendly responsive . lounge chair always available never problem find one . lunch dinner FS Verandah restaurant - great food service - highly recommend . location excellent - centrally locate hotel Strip everything within walking distance . ever go back Vegas definitely stay FS . 
 Sep 5 2009 	 wonderful experience would definitely return 	 Four Seasons exceptional hotel , be crack . four Seasons River - love ! walk closet huge , like private dressing room ! room large cozy great view strip Luxor go way Paris . think one large room nice suite . anniversary love welcome chocolate cake little extra - pool staff wonderful , make feel pampered special . eucalyptus steam room great amenity go . definitely return , can not imagine stay anywhere else ! 
 Sep 2 2009 	 Nice hotel excellent service . 	 four Seasons 5 top floor Mandalay Bay . entrance private key access Mandalay directly four Seasons . pool Four Seasons private , however private access Mandalay pool area . room beautiful large bathroom . never see unhappy guest . also tremendous amount meeting space nice wedding reception setup . 
 Aug 30 2009 	 one good hotel experience ' ve ever 	 wife want go Vegas quick weekend getaway anniversary . read reviews tripadvisor tough time decide Wynn Four Seasons . choose Four Seasons , boy glad ! stay fair share luxury hotel - Ritz Carlton , Mandarin Oriental , Four Seasons , say , without exaggeration experience Four season LV good ' ve ever have . the hotel austentasious like Vegas property . be subdued , beautiful . when check , upgrade suite anniversary . lovely chocolate anniversary cake wait we well . suite great ! plasma television , comfortable bed large , beautiful bathroom ( Bulgari toiletrie nice touch ) .since one night , catch early morning flight SFO . hotel 10 am check - in not 3 pm . problem , front desk give we access beautiful spa change . hold bag lounge pool . noon , get call room ready bag take . 's service ! concierge get great dinner show ticket , wife get great massage , maid wish we happy anniversary show turn - down service . the brunch one huge Vegas chow - down session . be small , quality make it . and even though check 11 am , hotel hold bag sit pool . use spa shower change airport late afternoon flight . if think go Vegas can not decide luxury property stay - favor pick four season . 
 Aug 25 2009 	 Four Seasons . 	 far good place stay Las Vegas . very quiet seem far away chaos Vegas .. yet want .. right next door . the concierge get we ticket Lion King show always fabulous job . I agree reviewer four season pool pool side service great ! pool clear hurry somebody 's little 2 - 3 year old decide pull little swimmer pee pool ! try Mandalay bay pool .. crowd .. oh well ! 's tip .. four season house car drop middle strip . if around , could use instead wait cab . 
 Aug 25 2009 	 top notch 	 four season Las Vegas beautiful hotel extremely impressive service friendly staff . previously stay Bellagio hotel Four Seasons far surpass term luxury comfort . arrival check - in amazing , bag efficiently whisk , two people open door , personally escort friendly doorman queueless check - in desk introduce name . receptionist ( Cara ) exceptional genuinely warm welcoming instantly feel like value guest . lucky enough give great upgrade beautiful suite , recieve several genuine apology would delay get ready we ( delay grand total 4 minute 10 second ! ) . incredible ! standard service hotel continue exemplary remainder stay . concierge service excellent always go extra mile . suite , needless say , beautiful enormous . bed easily comfortable ever sleep , amazing sheet softest pillow . turn excellent every night , water bed , slipper robe lay , towel bathroom replace . housekeeping always exemplary . furnising room clearly high quality decoration tasteful . two huge hdtv room , dvd player . pool area lovely , guest escort choose sunlounger make soft white towel . ice - water always promptly deliver . two jacuzzi lovely always quiet . excellent pool service previously describe . go Mandalay Bay pool , busy fun place great kid party - people . definitely glad four Seasons pool come back though ! location probably bad thing stay hotel - however really not think bad other make definitely would put we stay . walk midstrip completely manageable actually fun ( though prob kid ) . also use posh hotel car provide excellent free service . Taxi Bellagio cost $ 12 . lift Four Seasons stop Mandalay Bay casino , lovely one top 3 strip . easy find door back Four Seasons , signpost everywhere , contrary reviewer post . love immediate calm hush pass come back room . all fantastic hotel true 5 * service . would recommend anybody . 
