fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 Jun 9 2005 	 Great Location ! 	 husband stay hotel 8 night . could not ask well location ! two block away Westminster Abbey Big Ben . as room , big ! get huge King size bed extra twin size bed corner . bathroom small adequate . minor complaint toilet seat keep slip ! : ) continental breakfast include perfect we not want huge english breakfast offer . breakfast offer two fresh loaf bread ( although , get early go fast not replenish ! ) , small bread roll , variety homemade jam ( delicious ! ) , cereal , fruit , pastry , cold cut , cheese slice , can fruit . waitress waiter come around coffee tea . although , flag sometimes forget come table . : ) staff friendly ! enjoy italian atmosphere feel like Italy . : ) ask direction restaurant want try right away guy front desk look us internet print direction . price food restaurant expensive ! unless afford , eat hotel . cafe around corner since 's work area , everything close weekend . pub close go 3 - 4 time call Fuller 's Ale Pie . 's part hotel . delicious fish & amp ; chip bangers & amp ; mash . overall , great hotel highly recommend ! 
 May 28 2005 	 Quiet comfortable 	 stay 7 night . many previous comment review point , good bad . part town really clear night , good want quiet area bad want access theater , nightlife , etc . say , hotel quite close Tube also , importantly , several nice park start St. James Park - nice like walk run , . room well shape fear comment read depart . small comfortable pretty good shape ; bathroom nice water pressure fine . hotel old , however , show age ( e.g . drape bit moth eat room , be tape one bannister stair , etc . ) , price right . staff universally nice helpful , although true speak well english other . one minor annoyance could get wireless internet work laptop - inconvenience . in sum - want stay part London , business quieter place stay , not mind old hotel , place . 
 Apr 24 2005 	 overall good Value every time 	 stay third time part business trip . agree comment previous visitor , need lick paint clean get load character , candle light bar lounge open fire place give cozy feel . little complimentary ' snack ' bar nice touch . staff always curteous helpful . background italian chatter give real continental feel . room particularly spacious good standard . Breakfast be not cheap mean reasonable quality serve grand surounding . plus point quiet location , 2 minute walk St James tube station 5 Minute walk Westminster Abbey , Houses Parliament QE2 Conference Centre . look forward stay . 
 Feb 6 2005 	 ' ' location 	 World 's tiny elavator ... let mom take , take stair . room small , adequate . feel price high get hotel offer . show wear tear . room face entrance court bit noisy . around corner tube , easy walk St. James Park Westiminster Abbey . post office across street . Blewcoat School tiny block - historic building house nice gift shop British Trust . safe neighborhood Scotland Yard end block . bobby post 24 hour day ... trip 1996 bobby ... time / the world change ( neighborhood ) ... armed bobby body armour notice trip Nov 2004 . 
 Dec 7 2004 	 great … a bit disappoint … 	 husband spend 4 night Jolly St. Ermin ' November 11 – 15 , 2004 . read review book , comment : room - room assign small compare north american standard , still enough room desk , large chair ottoman ( put suitcase ) . also enough room put rack ( one fold open put suitcase ) . bathroom clean nice , although water pressure almost non - existent , water come trickle take shower wash hand take forever . tv build alarm clock neat , room look like see well day . wallpaper rip wall carpet look old , overall fine . notice " old " section hotel , base carpet hallway , , ask room new section . room lousy view look like air - conditioning factory , build behind hotel construction guy outside 3rd floor window literally feet away we . hotel – lobby gorgeous , ballroom ( serve huge hot cold buffet breakfast ) beautiful . breakfast okay , expensive – 16 pound translate $ 35 cdn . strange room plain almost ancient looking , comparison beautiful ornate grand staircase lobby , beautiful ceiling crown molding ballroom . as another reviewer note , elevator tiny , room 3 people MAX stand single file . hotel staff – okay , overly nice , even friendly . ' go way make feel welcome . location – excellent . right around corner St. James Park , walk distance Houses Parliament / Big Ben , Westminster Abbey , Buckingham Palace . hotel across street Scotland Yard , cool , little strange see police man stand outside machine gun hand . a short walk 5 - 10 minute Victoria street ' sainsbury grocery store pick snack day . ' really go get dinner , willing walk 15 - 20 minute Victoria Station , pub / restaurant , Duke York , Garfunkel ' , Spaghetti house . hotel quiet section London , ' interested night life , ideal . get good price , great hotel - small clean room bathroom . book St. Ermin ' part Expedia package , nutshell – ordinary room grand shell . 
 Nov 20 2004 	 Nice Hotel 	 wife stay 4 night November . nice place , formal , kind pricey ( $ 24 breakfast ) . westminster , close St. James ' Metro station . walkable Big Ben , Westminster Abbey , Buckingham Palace , Victoria Metro Station . staff friendly we , see get angry french people . room decent , double bed , round table / chair , tv , trouser press , nice shower . find difficult find dinner around . Albert great pub nearby . 
 Nov 9 2004 	 Awful Place 	 stay Hotel Sunday 24th October 2004 . awful room , toilet seat keep fall ! ! room hardly natural light . tv not work properly , rip carpet outside room cover masking tape . breakfast poor ask 3 time cup tea ! ! would never go ever ! ! ! ! good thing hotel park outside small charge . 
 Nov 4 2004 	 Perfect stay 	 hotel one favorite anywhere . beautiful charming old building tuck away quiet part Westminster . long day late night walk town arrive peaceful oasis right middle . people live rural area may noisy describe we city dweller perfectly tranquil . the lobby lovely , great lobby balcony late night drink talk take town , bar nice , pub , store tube stop step away staff really friendly . room stay big non - suite room ever stay hotel , expecially across Atlantic . great experience feel like second home day . I love London , Hotel St. Ermins make stay perfect ! 
 Oct 27 2004 	 Great Hotel ! ! 	 come back first trip London stay Jolly Hotel St Ermins . would definitely stay . staff courteous polite , also helpful advice direction . flight arrival early , show hotel 11:30 . even though check around 3:00 , desk clerk let we go ahead take room early , plus provide free upgrade . room bathroom nice sized clean . little chocolate night nice touch . location within easy walk Buckingham Palace Westminster Abbey / Big Ben / Parliament , plus close tube station . love ! 
 Oct 16 2004 	 nice hotel character excellent location 	 hotel old hotel lot character nice area within easy walk distance Houses Parliament many London attraction . room stayed recently refurbish high standard one comfortable bed sleep . hotel good combination old - world charm modern , clean room -- unique hotel character say least .. 
 Sep 20 2004 	 little bit Italy London 	 enjoy stay July 2004 . hotel excellently locate near St. James tube station , Buckingham Palace etc . without quirk . other mention , elevator tiny , room small overall , hotel show wear . however , find hotel good value expensive London room everything need , despite tiny . we feel breakfast buffet wonderful way start day . young , all - italian wait staff make interesting morning conversation , give we interesting insight London italian point view . note travel often converse staff much possible , obtain inside perspective city visit . case Jolly Hotel staff , find friendly helpful . 
 Sep 19 2004 	 overall okay time update 	 stay Jolly St Ermins London , since use tripadvisor plan trip , think would leave review . overall hotel okay . nice lobby . nice area , feel safe , especially since right next New Scotland Yard , get pretty quiet night . pub nearby St James Park tube station right next door . walk Westminster Abbey 5 min . two thing go St Ermins hotel . one , like say , get pretty quiet night cab tube happen area get dinner ( try Picadilly area like nightlife ) . look hotel quiet area , may okay . big mark hotel room . room okay size , need update . bathroom door come hinge , bathroom tiny , 2 people could not fit . almost step tub close door access toilet . bed large , matress completely break need replacement . however great pillow comforter . wall paper marred , furniture looked weather . view anything . like say , overall okay , think hotel need serious updating . hope help . 
 Sep 1 2004 	 positive quirky thing hotel . 	 Jolly Hotel St. Ermin 's italian chain usually least one english speaker front deskand everyone accomodate , shower handle break hand , remote battery need replace , etc . bed way soft us husband 's back bother . expect room small clean , elevator Lilliputian size ( claim 6 adult capacity really 3 - 4 top unless anorexic include , two normal sized people luggage . ) location good , near tube stop bus line several breakfast type place ( hotel breakfast $ 30 pp . pass ) . 
 Aug 23 2004 	 jolly charming elegant hotel 	 Jolly Hotel meet expectation . beautiful hotel room pleasent comfortable . make every day turn service provide night . nice amenity provide marble bathroom . room also provide tea coffee make facility enjoy . every effort make staff make stay pleasent possible . communication problem despite fact hotel Italian own operate . St. James tube station right around corner within easy walk distance many sight . american without Starbucks luck , be one right around corner . Jolly definitely place stay visit London . Mike Rosemary Wecker , Temecula , CA 
 Aug 17 2004 	 pleased . 	 stay last night London . Wish book hotel first 2 night London ; pleased ! room good size , clean modern . really like hotel . as far location , think good ; guess depend want close to . we really like hotel , well staff & amp ; decor . go London , would certainly stay . fact , plan trip Italy ( someday ... ) , sure check Jolly chain . 
 Jul 21 2004 	 Loved ! 	 husband return London stay Jolly Hotel night . find wonderful hotel . deluxe queen room room size okay . be big would America need . bathroom wonderful also . staff helpful . able check 9 a.m. morning arrive hold luggage well checkout time day leave . 
 Jul 10 2004 	 great hotel history modern touch 	 wife stay Jolly June 17 - 20 pleased service quality room . give deluxe room face away street modern quiet . bed comfortable bathroom perfectly suitable . lobby hotel ornate quite nice two portico ground first floor lobby make enjoyable lounging . arrive early ( 10 am ) could not check 1 pm , give we time stretch leg long flight . concierge helpful . top great stay , wife forget pair shoe hotel return week later travel Spain , return shoe promptly . , thumb Jolly will stay . 's location quiet ( stay room back side hotel ) near Tube stop Buckingham Palace . nice indeed . 
 Jun 27 2004 	 Great Hotel ! 	 Jolly serve wife well short three day trip London May 2004 . room clean charming staff helpful dining room arrange tour . business climate refreshing touristy hotel . walk block see lot sight , well catch Tube . would stay . - Eric , San Diego CA 
 Jun 14 2004 	 Jolly good ! 	 hotel great location ( block 2 Kensington Palace ) great english charm feel . would definitely stay . 
 Jun 14 2004 	 First Anniversary Treat 	 first anniversary treat , husband decide return back London long weekend vacation . read reviews hotel TripAdvisor , bit nervous choice hotel . picture hotel stunning , seem everyone something concerned . perhaps everything timing , worried ! hotel comfortable personable , great service great staff ! location great want get away tourist crowd like convenience close tube station . could not pleased definitely back ! 
 Apr 1 2004 	 impression 	 impressed room . service , user - friendly nature amenity , ( in - room_safe etc . ) wake - up call time request . Nice Pub . arrive early ( 6 hrs . ) prtoblem , leave luggage concierge tsken care of . have nothing bad say . 
 Mar 31 2004 	 language barrier 	 stay week mom , difficulty stair . unfortunately , way ( breakfast ) involve several step . lift accomodate 3 people . hotel Italian own , staff difficulty English . ( foreign language channel predominate . ) enjoy bar ( appetizer large fireplace - no smoking hide side fireplace ) observe several overcharge , wrong ( little ) change , act petty dishonesty . checkout , charge US Dollars ( exhorbitant conversion rate ) . room decent sized budget London hotel , fall apart - carpet hold together duct tape room hall . bright side - afternoon tea unexpectedly wonderful . location also great - walk distance Buckingham Palace , Big Ben , etc.-or walk around block behind hotel St. James tube station . 
 Mar 27 2004 	 favourite ..... 	 excellent hotel return 6 - night stay ( 15 - 20 March 2004 ) . review hotel influential decision . feel safe hotel London Scotland Yard 1/2 block away . also St James 's underground 2minutes . room outstanding - large ' traditional ' London size two twin bed . outstanding amenity bathroom . large choice tv channel thet seem try satisfy requirement number ' foreign ' language station . continental breakfast excellent . problem adjust air conditioning . master fine comfortable never could understand thermostat least 10 ' stand chair make adjustment . service bar lounge good food good . 30th visit London stay many hotel really believe one well - overall . 
 Mar 27 2004 	 great staff ! 	 concierge extremely helpful , service wonderful . room large typical european hotel room , clean ! location excellent well ... would definitely stay . 
 Feb 4 2004 	 Charming 	 stay mid January . we satisfy . room clean , staff pleasant atmosphere charming . 
 Jan 25 2004 	 great location sightsee small room 	 stay one night find stay ok . often come London business around Westminster area hotel handy . certainly handy tourist wish see Houses Parliament , Westminster short cab ride Buckingham Palace etc .. room small comfortable clean . breakfast excellent friendly staff . get noisy smoky type clientale stay January . would stay business would use family vacation- room small ambiance place suit business adult . 
 Jan 5 2004 	 Great Location quirk 	 recently stay Jolly Hotel St. Ermin 's six night -- December 27 New Year 's Holiday . whole , visit positive . simply beat location -- quick two - minute walk St. James 's Park tube station ( Circle District line ) , 10 - minute stroll Victoria Station easy access Buckingham Palace Westminster Abbey . multiple sandwich shop find immediate neighborhood well Sainsbury 's Victoria Street . not miss National Trust Gift shop Caxton Street -- lovely item take home . also , hotel directly across street New Scotland Yard ( policeman post front round - the - clock ) make we feel like safe location provide real & quot ; cool & quot ; factor 9 year - old son . quirky thing hotel . . . lift maximum capacity 5 people frequently queue -- particularly breakfast crush follow fire alarm ( yes , evening fire alarm stay ) . desk staff may try slot continental breakfast even though clearly book full breakfast . vigilant stand ground -- polite desk staff make necessary amend . first check room , not unpack make sure heat work properly -- not , request another room . heat work reliably ( discover everything unpacked ) suffer chilly night fix . note reviewer , italian chain . staff good job communicate English -- prepare work well . pleasant , friendly fair . also aware print material room italian six television channel English . , be London enjoy sight not worry television -- get BBC 1 2 well Sky - TV . 's really need . Jolly St. Ermin 's lovely place stay hope visit soon . 
 Jan 4 2004 	 love Jolly 	 family ( 9 we ) recently return trip London . stay Jolly Hotel St. Ermins 5 night . nice hotel ' ve ever stay London . lobby breathtaking . room bite small side , be typical London . bed comfortable , bathroom marble vanity nice , hot shower . loved extras- robe . hair dryer , basket tea hot water decanter , build converter USA appliance . housekeeping excellent . room make get back morning breakfast . continental breakfast include room rate- , full continental breakfast include pastry , croissant , bread kind , meat , cheese , fruit . dining room serve lovely . service outstanding . everyone staff professional courteous . italian chain bit language problem time , minor inconvenience . lobby smoky , no - smoking area lounge . hotel conveniently locate St. James Park , Buckingham Palace , Big Ben Parliament tourist area . Loved Jolly ! definitely stay next trip London . 
 Dec 24 2003 	 Great Location however 's language obstacle 	 hotel , former monestary , date back 1887 . clean comfortable room , undergone modernization . location near Buckingham Palace , Westminister Abby Houses Parliament . easily walk theater district , take Underground . accross street New Scotland Yard quiet neighborhood . food dinner afternoon tea well prepare . 's housekeeping staff make every effort please . however TRAVELER BEWARE ! ! ! 's language problem . 2001 hotel purchase Jolly Hotels Italy . Jolly also own Madison Towers Hotel New York City . unless speak Italian fluently , definitely encounter communication problem leave frustrated . two registration desk staff approach speak English degree fluency . hotel large number english american guest . example : purchse coffee mug hotel available sale . pair women ' slipper also add bill . first request remove charge slipper ignore . ready check , slipper charge still bill front desk clerk encounter consult supervisor whose English subpar . constantly explain would dispute charge credit card company ten pound charge slipper revove . fire alarm sound 6:30 Saturday . December 13 . firefighter respond give & quot ; clear & quot ; hotel employee lobby start speak Italian . say & quot ; English , English . & quot ; Breakfast come room . morning December 12 organge juice mostly water . neither another guest live Great Britain could find dining room employee understand find orange juice water . pair pant need dry clean get muddy . first call reception reach front desk clerk whose knowledge English limit . relieve get one housekeeping supervisor five minute 9am deadline pickup Saturday December 13 understand laundry dry cleaning tp do . Mark G. Rodin 3528 Abercromby Dr Durham , NC 27713 - 1472 
 Dec 6 2003 	 could ' ve well 
 Nov 25 2003 	 great location service attitude boot 
 Nov 23 2003 	 nice ! 
 Nov 11 2003 	 Jolly St Ermins be not Jolly 
 Oct 21 2003 	 issue Jolly St. Ermines 
 Sep 23 2003 	 Outstanding ! 
 Sep 6 2003 	 love th St. Ermins 1st . class 
 Jul 20 2003 	 highlight trip 
 Jul 9 2003 	 Great Value London ( Westminster ) 
 Jun 20 2003 	 Great Location ! 
 Nov 14 2009 	 Mi primera decepción con NH . 
 Oct 27 2009 	 Ein toll Hotel 
 Oct 3 2009 	 Ottima posizione splendida struttura colazione fantastica . 
 Sep 28 2009 	 Un 4 étoile ! Jamais de la vie ! 
 Sep 28 2009 	 Charme et visite 
 Sep 25 2009 	 ottima posizione 
 Sep 9 2009 	 ottimo hotel centrale e di ottimo livello ! raccomandato 
 Aug 23 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 18 2009 	 Décevant ! ! ! ! ! ! 
 Jul 27 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 29 2009 	 hotel ricavato da vecchio convento 
 Jun 26 2009 	 Perfekt für London 
 Jun 9 2009 	 déception 
 Apr 23 2009 	 consigliato ! 
 Apr 18 2009 	 Ottima base di partenza per visitare Londra 
 Apr 13 2009 	 Angestaubtes Hotel mit Warteschlange beim Frühstück 
 Apr 7 2009 	 posizione fantastica 
 Mar 9 2009 	 Bien Situado Al Lado Del Big Ben 
 Mar 2 2009 	 Non è un 4 stelle lusso .... 
 Mar 1 2009 	 ottimo solo per la posizione centrale ....................... 
 Feb 6 2009 	 Posizione fantastica ! 
 Jan 28 2009 	 Pourrait faire mieux ... 
 Jan 26 2009 	 Della catena NH ha poco e niente .... 
 Jan 16 2009 	 super Jolly s.ermin 
 Dec 15 2008 	 can ne vaut pas un 4 * 
 Nov 4 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 25 2008 	 Nella norma 
 Aug 23 2008 	 Mit Einschränkungen empfehlenswert 
 Jun 17 2008 	 Para volver 
 Jun 3 2008 	 posizione centrale comoda 
 May 28 2008 	 Juwel das ein bisschen Politur braucht 
 May 12 2008 	 posizione OTTIMA 
 Apr 5 2008 	 Nel complesso un buon hotel 
 Jan 16 2008 	 Bel hotel ` ` bristish '' tre bien situe 
 Dec 13 2007 	 caratteristico 
 Nov 21 2007 	 L'albergo più sicuro di tutta Londra 
 Nov 9 2007 	 Buena ubicación para unas vacacione tranquilas 
 Nov 29 2006 	 véritable hôtel LONDONIEN par excellence 
