great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Mar 24 2005 	 Pros Cons 	 stay 3 night base , large part , review read , moderately disappointed . gush , hope sky high , 's real deal , witness someone travel least year . your stay go depend largely room get . see room quite good size , even nicely decorate . room comparison dark , overlook alley , look like do 40 year ago . sort stain bed , enormously big deal . huge plus side , safe , quiet street . be great little brownstone , Chelsea can not beat awesome diner . staff super , despite come room ' do Disturb ' sign ( rectify clean , efficient manner right away ) . shower room neat idea , get water temperature right tricky . share bathroom big deal , spotless . the price can not beat , would easily stay ! 
 Mar 8 2005 	 yup ! another satisfied customer 	 take garden suite complaint whatsoever . great location - first time NY get feel like local . will back . 
 Feb 21 2005 	 nothing could well budget 	 New York vacation spot wife dream . want spend money enjoy city hotel room . hotel fit modest budget . room small clean comfortable even two . upgrade room double bed private bath . the hotel decorate fun , eclectic style enjoy . old photograh odd piece hung lobby . the location perfect we take subway alot close two main line , one take we directly Times Square Battery Park . what really make stay Chelsea Lodge nice personable staff . thank guy . con : budget hotel ; safe , clean , friendly comfortable do not expect Ritz Plaza . 
 Feb 15 2005 	 clean .. 	 stay streetside suite . the place clean , entry hall look like decorate remnant two different store coordination . the towel military grade . there wifi , tout site . furnishing fairly spartan uninspired . stakk see nice location good . 
 Feb 11 2005 	 Convenient 	 Chelsea Lodge last january 2005 great experience . would definitely book try choose second third floor room , view street . good point : convenient cute location ( next everything , lovely street ) , atmosphere ( helpful receptionist , quiet , lovely decoration , cosy , clean ) . agree positive review . ... good point : small - tiny room ( suitable long stay large baggage ) , good restoration ( although building restore , bed might affect floor horizontal , detail , annoy one . try two room situation ) , noisy heating ( lowfloor room , change another one ) , elevator ( stay bottomfloor room might get noise people comme stair ) . 
 Feb 2 2005 	 great money pay 	 stay New York several day December . overall really please hotel , staff friendly helpful , even condidere arrive 1 morning ! room small sufficient never much . road noise back room , however room pressure valve , make odd noise night , wake partner odd occasion . overall , hotel brilliant money pay , fact way could afford stay centrally attraction . 
 Jan 30 2005 	 Good Value 	 stay Chelsea Lodge 's suite build middle part January . price $ 195 per night without tax . room big kitchenette . & quot ; Upper Garden & quot ; suite . floor ceiling window one side room one window french door lead backyard . really feel like back live NYC ! really nice place great location subway taxi . chelsea good eating nearby . will like urbanite . Kansas stay Times Square , will like well . 
 Jan 6 2005 	 reasonable worth praise 	 location fine , one attractive brownstone street Chelsea - otherwise rather dull area Greenwich mid - town . welcome not warmest ' ve New York first impression ' suite ' good . clean enough especially well equip little tired . sofa bed living room look like come ark incredibly uncomfortable . street noise noticeable front house - want sleep NYC ? overall reasonable price visit ny stay somewhere else . 
 Jan 5 2005 	 clean accessible friendly staff 	 spend week Dec 22nd enjoy experience tremendously . would definitely stay . 
 Dec 22 2004 	 will not believe Great Place 	 budget price , get 1 ) great service / friendly staff , 2 ) Great Location , 3 ) clean room , 4 ) key front door 24/7 . , place like pamper -- be clean , safe , lovely little brownstone necessity . DEFINITELY book Chelsea Lodge next time go NYC . 
 Dec 20 2004 	 Clean Affordable Perfect ! 	 stay everytime ' m NYC , country feel middle city , freindly staff great location , highly reccomend ! 
 Dec 19 2004 	 Great Place Stay 	 recently stay Chelsea Lodge . initially , wary idea share toilet , could not beat rate NYC . arrive , surprised place . unlike hotel ' ve ever . staff friendly native New Yorkers , knowledgable neighborhood , eat , shop , fun . would highly recommend stay Chelsea Lodge . 
 Nov 15 2004 	 mmmmmmm 	 take look around New York see else offer $ 80 - 110 price range , appreciate Chelsea Lodge book fairly fast . for price ( $ 105 + tax ) double room , be bargain ... ambience hotel pleasant , sort rustic country decor . room pretty small , ' ve come New York have pretty dull spend much time anyway . shower cubicle basin job fine , communal toilet clean outside room . however 's location really clinch . Located Chelsea district , traditional brownstone flat front terrace perfect position explore city offer . subway ( 23rd 14th st station ) close hand , be easy walk everywhere will not often need . Times Square , Macy 's , Empire State building rest midtown NY 20 minute walk , bar restaurant Greenwich Village SoHo similar distance away . Chelsea excellen range bar restuarant whatever budget taste . among other , Nooch Thai / japanese noodle bar , Market Cafe Empire Diner - trendy diner - Cafeteria ( bar / restaurant ) pretty tasty . 
 Nov 14 2004 	 centrally locate charm 	 's deal : be go stay heart city ... midtown block away ... walk low east side ... train within three block ... shopping ... restaurant ... actually park rental car right front , sort faustian experience anywhere else . staff knowledgable willing help . , tell want stay anywhere else . 
 Nov 9 2004 	 place perfect 	 anyone look new york , whether budget check place . find look site - stay five night clean good value money . would read horror story get bed bug even expensive hotel . tho ! ! ! ! get show basin room , comfy double bed clean towel maid service every day . staff really friendly feel like appartment ! tacky neon light .. great area chelsea . load great bar , restaurant , club handy subway . wholeheartedly recommend place , u must book ! 
 Nov 3 2004 	 feel like native New Yorker ! 	 stay Chelsea Lodge bitterly cold weekend Dec 03 , warmth room welcome , albeit little stuffy night . staff friendly lodge cute word fly duck wall ' new england ' type decor room . shower room great - small adequate plenty hot water . toilet across hall never queue . when Big Apple Greeter ( New Yorker 20 year ) call lodge could not believe not hear place say would recommend town guest future ! although travel alone , feel safe , warm happy staying would not hesitate stay - much well huge anonymous travel ' inn ' place . 
 Oct 31 2004 	 two thumb 	 would 100 % recommend Chelsea Lodge anyone look well price , clean , cute , friendly place stay nyc.small room - problem , $ 95/ night great NYC . although be not totally keen idea share toilet first ( need share shower cute little one room ) absolutely problem always spotless never wait . the staff great - helpful friendly . location mid way central park , Times Square etc attraction SoHo , Greenwich scene . definately walk distance traveller like walk , tired NYC subway great also close stop Lodge . also close by- look fabulous palce eat , try Grammercy Tavern ( also west 20th , near intersection Broadway ) quick , tasty healthy bite , Better Burger 8th 23rd . this place deserve consistently great reveiw . would definately stay . 
 Oct 28 2004 	 would definitely stay ... 	 boyfriend stay suite October 8 October 10.i thought suite fabulous . kitchen garden , place spacious clean . welcome long day walk sightseeing - seem like come home studio apartment ! location great ... Chelsea low Manhattan , close place want go . subway three block away Chelsea Lodge , convenient . neighborhood quiet lot restaurant shop nearby . I would definitely recommend Chelsea Lodge due nice staff ( allow we leave luggage check give we time city ) , location , cleanliness . 
 Oct 24 2004 	 everything could ask budget hotel 	 husband stay last three night ny stay absolutely love . room spacious think everything well think -- welcome Hershey 's kiss pillow bus / subway map place room convenience . the room come tiny shower ( bonus ) enough toilet share among room . everything well maintain clean . a big shout Jose desk absolute dear , even help we luggage stair . the neighbourhood charming load cafe , little bookshop art gallery . 's also close Times Square ( walk home one night surprised could ) .very nice . Chelsea Lodge make New York experience extra special . 
 sep 14 2004 	 big problem 
 Jul 27 2004 	 Great experience 
 Jul 16 2004 	 love price 
 May 12 2004 	 Favourite NY Hotel 
 Apr 26 2004 	 small clean 
 Apr 21 2004 	 feel like New Yorker 
 Mar 28 2004 	 somewhat disappoint 
 Feb 10 2004 	 like apartment 
 Oct 14 2003 	 wonderfully small 
 May 6 2003 	 New York Gem 
 Nov 13 2009 	 Trés bon rapport qualité - prix ! ! ! 
 Oct 30 2009 	 un hotel trés agreable 
 Oct 23 2009 	 bon rapport qualité prix - emplacement 
 Oct 7 2009 	 Super Preis - Leistungsverhältnis 
 Jul 28 2009 	 Pequeño caro 
 May 10 2009 	 très bon rapport qualité emplacement idéal ! 
 May 10 2009 	 Excellent rapport Qualité / Localisation / Prix 
 Oct 25 2008 	 Herrliches kleine Hotel I m schönsten Stadtteil von New York ! 
 Aug 30 2008 	 Unschlagbarer Preistipp ! 
 Apr 7 2008 	 Económico limpio buena situación 
 Mar 24 2008 	 Excelente Hotel 
 Nov 16 2007 	 super choix ! ! ! 
 Oct 24 2007 	 Ottobre al Chelsea Lodge 
 Dec 31 2006 	 Sehr gut Preis - Leistungsverhältnis 
