great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Aug 19 2004 	 typical Holiday Inn quality 	 travel NY business frequently think would try another Holiday Inn property close need go . big mistake . first , property privately own part intercontinental property . show . check ( 2 am , delay flight ! ) , proceed designate Priority Club check . stand wait one two employee wait , another family come desk regular line take care first . give smoking room ( non - smoking reserved ) , room though large NY city standard extremely date , bathroom floor dirty bed sag . awake next morning bang pounding find two room next mine completely remodel ! furniture move corridor someone instal carpet . 7:30am ! night upon return hotel , ask change room . return room gather belonging , find magazine leave night table go . report front desk manager , little say would call security housekeeping . upon check , one know whereabouts magazine . surprisingly insist reimburse , credit bill magazine . would recommend stay property . much well ny . neighborhood may ' convenient ' , not worth . 
 Jul 27 2004 	 great trip 4 	 come June 2003 3 girlfriend short shopping trip NYC . one cheap hotel could find expedia ( 160.00 ) room 4 close everything . room standard , clean , regular size . lobby really nice . check luggage front desk early morning shopping come back later check . Everythng go fine except check - in take forever ! avoid pay extra people two people go check one bring we room key two go ( show security guard room key let elevator , make feel little safe ) . never NY great location , subway enterance right next across street . could see street less desirable area stay broadway right near empire state building , Manhattan mall right across street , H & amp ; , Macy 's , Madison Square Garden . Central Park , Times Square , 9/11 Memorial within 1 - 2 subway stop away take 5 min get . complaint friend complain matresse super uncomfortable spring back , sleep fine , must get good side bed : ) . would come stay short time friend , pay 160.00 . can not beat $ 40 / night / person NY ! 
 Jul 23 2004 	 Great Hotel 	 read negative review post hotel , apprehensive stay . , nothing worry . everything hotel great include low rate find online ! permit check early order make family wedding . room large , clean comfortable bathroom huge ! everyone front desk staff , bellhop , doormen maid extremely friendly helpful . hotel surprisingly quiet centrally locate everything ... shopping , Empire State Building , subway . stay Martinique could not well ! 
 Jul 22 2004 	 stop whine place great ! 	 stay hotel 30th July one night prior sail NY Queen Mary 2 . staff nice room , posh , incredibly clean , well maintain , comfortable good , feel safe . 's convienient Macy 's , Penn Station , ESB , 15 minute walk Times Square . drive city decide drop family hotel take back rental car . arrive , ask bell hop know get National Rental Car location offer go inside , call , ride along drop car walk back . tell worry , offer sign great service . later night , ask certain restaurant go inside come back discount coupon ; hey , save $ 20 ! thru year ' ve learn , treat someone respect though beneath , will get return . can not imagine anyone problem anyone work hotel . I would recommend place anyone . 
 Jul 3 2004 	 lock belonging 	 stay May year item take suitcase report security tell nothing could could prove item take stay . arrive NY tell item suitcase upon check . also check , early tell would check we would hold case room ready stay hotel bar ready . although central great base stay NY stanford next door seem nice . would recommend hotel anybody . 
 Jun 30 2004 	 caution go elsewhere Manhattan 	 great location one block Empire State building . check fine everything first trip ok . return one day Canada find totally different experience . check take 15 . return 22.00 smoking room leave . payment make advance take account say room give first come first serve despite ask . place pen house ! actually be top floor attic room . can not stand bath come shower would hit head . staff rude surly , expect everywhere Manhattan . good money . much well quality find price , shop around . 
 Jun 29 2004 	 PERFECT visit family vacation 	 five night stay 21 June 26 June 2004 . family three . 12th floor Rm . 1218 title review say ! walk Penn Station hotel bag problem . lobby clean staff courteous professional . font desk check , room 5 minute . room slightly small Holiday Inns expect . plenty room family . entire room extremely clean well maintain . restraunt menu limit enjoy dinner breakfast buffet . Housekeeper 12th floor ( Aurora ) make stay extra special little touch , leave daughter 's stuff animal bed face door greet we upon return touring . always greet we hallway every morning , smile hearty & quot ; top morning & quot ; . location perfect find everything need within 5 minute walk , i.e . restrauant , subway , shopping . bottom line : recommend hotel anyone wish visit NYC , stay , visit NYC future . 
 Jun 19 2004 	 check disaster 	 would recommend hotel anyone unless desperate . its busy central area pleasant . public room small , bar double breakfast area . barman can not make cocktail . breakfast poor limited selection . staff friendly interested . room clean small . we arrive 14:00hrs tell room available tell come back 16:00hrs . 16:00hrs give two room , one ok turn occupy another guest . give we key card room ! ! ! much security . next give room 18th floor business suite totally unacceptable . dirty , smoky dark . finally apply pressure duty manager give twin room two daughter be almost 4 hour wait . need long flight ? would stay , much well around . stay peril , not give . Push ask . Geoff Crisp UK 
 Jun 17 2004 	 Great Stay 	 read review fom other decide take chance . room clean , service friendly location sensational . try use internet connection use internet cafe right street hotel . especially pleased security doorman check key enter lobby . would stay ! 
 Jun 8 2004 	 Memorial Day Weekend Remember 	 also read negative comment hotel ready anything get weekend ... surprised . despite mix - up w/ room ( hotels.com fault ) ... stay part , , nice vacation . location could not well ... be close everything ! staff member friendly helpful .... one even take friend site - seeing around city get work ... much helpful friendly ? ! ! ! thank Anthony new friend tour - guide ... can not wait next NYC vacation .... know exactly stay ! ; ) 
