RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Mar 31 2009 	 great location slightly shabby attract lot ( noisy ) school group 	 get Travelodge deal grab super strength earplug go . hike stair room rather wait 30 plus italian school kid sort lift area . find floor - mean teenager slam door , run hallway , bang door mistake .. etc ; whole & quot ; teenager school trip & quot ; ugliness . the room third floor less shabby Farringdon Travelodge ( have stay previous month ) , seem quieter ( regard street noise ) shower work , plus double bed double two twin jam together . king cross Royal Scot much large attract group attendant noise problem group . 
 Mar 25 2009 	 get pay ! 	 stay many Travelodge Hotels . one busy , large hotel , struggle cope large group arrive ' en mass' . the Royal Scot clean comfortable room . lot noise car park area , surprisingly quiet inside hotel , even Saturday night . a bit grubby around reception area , dirty window example , still perfectly acceptable . easy stroll king Cross Station . fascinating cosmopolitan area ! definitely stay - give value money . as Travelodge & quot ; say tin ! & quot ; . 
 Mar 23 2009 	 cheap adequate 	 arrive 11 pm Friday night one night stay . entrance lobby swarm young adult smoker outside obstruct front entrance . front desk clerk ask name ( identification require ) assign room number . I expect worst , however room third floor rear hotel actually quite quiet comfortable . quibble piece embed chew gum floor sticky stain desk . apart bed bathroom clean water pressure temperature shower fabulous . this hotel would first choice Travelodge London ( mostly location ) good value money . 
 Mar 20 2009 	 really good Price 	 bad hotel , good location able walk Regents Park , London Zoo , Picadilly Oxford Street . room clean fresh bedding next day . bit noisy expect hotel near main road . busy hotel lot bus tour teenager bother we , young ( still ) . room 382 quite big . book early check late check B & amp ; b option , know would early morning . shop across road , sell almost everything , need anything like razor , toothpaste ask . staff really helpful . tube king Cross road close 8 pm come back via king Cross , 10 - 15 minute stroll . walk around back hotel little area sit really quite nice walk bit small park kid useful . 
 Mar 11 2009 	 cheap chip shabby noisy 	 swear never use Travelodge ( since stay one young daughter find want charge £ 10 hold bag ( arrive 45 min early , need head back ) , find , return evening policy make bed .... ! ! ) anyway , need cheap sleep advance Eurostar train St Pancras , book family room £ 30.the location ok , close St Pancras , long walk . place however shabby , dirty look like hostel arrive . full tourist party razzle , thankfully manager put we say would quiet room . mean room describe basement ! room cold , shabby , although bed make . pretty grim experience though 
 Mar 8 2009 	 basic cheap accomodation - get right deal 	 wife stay 2 night see sight watch show . book well advance pay £ 29 per night , London bargain . hotel not 5 star price expect ? room basic truth could lick paint clean everthing need short stay staff friendly helpful . not breakfast hotel highly recommend & quot ; Cafe Express & quot ; across road , lot choice freshly cook . would suggest not read much negative comment people post , prepare basic hotel not disappoint . 
 Mar 5 2009 	 £ 9 ok 	 ... would not happy pay run tip . triple bedded room not enough space chair bedside table ; sink drain properly someone presumably steal kettle . bring replacement half hour . ( phone room go reception ask ) ' ve stay twice - £ 9 night time - first time evacuate due fire alarm 2 morning . place tatty dire need lick refurbishment . Newer travelodge seem much high standard . use place last resort get £ 9 want cheap stay London . oh , not deceive & quot ; Royal Scot & quot ; hotel name - 's quite walk king cross station street not particularly pleasant night . 
 Mar 1 2009 	 Nice Hotel stay London 	 come London several time , time choose stay somewhat large Hotel not regret . arrive early could allready check . room fifth floor view nearby square . like time stay London , use room sleep , watch tv shower . room large , get twin room single use , could use one bed place put suitcase shopping . bathroom ok , bad also use shower . I problem heading room ( hot cold ) .breakfast groundfloor english style , also croissant continental stuff . will also recommend eat hotel , nice choose snack , Pizza get BBQ rib great . also serve Stella Artois good price London . 
 Feb 28 2009 	 ok get cheap deal 	 wife go 2 young kid grandparent week London . get good deal room rate stay Travelodges happy enough book here . it be 5 - 10 minute walk king cross station use Tube get round city . felt safe enough walk back hotel night . have couple room 5th floor - family triple . certainly 5th floor could revamp - plenty chip door , peal wallpaper . room decent size soft double bed convertable sofa bed . secondary glaze close properly , coffee supply room , kettle , small tv , basic wall mount heater trail electrical cable . bathroom small , although clean , could see black mildew tile , bath not plug . one day not get towel room . it ok base , pretty basic , seem attract crowd young people could hear corridor late night . fortunately kid young see anything adventure , cheap price probably decent value London . however would begrudge pay full rate , definitely ' tired ' standard Travelodges stay . 
 Feb 28 2009 	 basic comfortble 	 come usual high standard UK Travelodges . we get room advance £ 45 cheap London . the room small , sofa always previously Travelodge stay . bathroom adequate tiny shower good jet plenty hot water . the room need good refurbishment . arrive towels bed linen appear dirty stained , norm company . reception man foreign staff , rude , waste time complain bed linen . breakfast plentyful good range hot drink . staff rude keep try clear plate finish eat lack English make difficult compain . food quality adequate tased look like value range much taste keep we go evening . it good 10 min walk nearest underground area safe plenty place eat buy convenience food from . if stay make sure homework first public transport etc reception staff helpful not know anything , even get West end show , rather surprising . all would stay would use travelodge think one bad experience . 
 Feb 18 2009 	 terrible dirty tear wall paper expose electric 	 book late would not normally use TL , convenient visit . wallpaper tear , light wonky show wiring , dirty rad , other hair bath ! ! ! Disgusting . it quiet , well situated sleep ok . the auto main door TL would not close , breakfast coat cold . Wont back TL ! 
 Feb 17 2009 	 Nice Travelodge 	 stay 14 feb please it . about 10 min walk king cross underground . we room 675 , lovely big room ! clean modern furniture , nice carpet , heater , tea coffee facility & amp ; tv . bed linen immaculately clean press . nice bathroom bath shower new towel . we sleep like baby obviously traffic noise bad . we complimentary continental breakfast cafe nice . cereal , toast croissant jam , marmalade tea coffee juice . if want buy cook breakfast be really hungry ! basically can not praise travelodge enough ! would definately stay hopefully rm 675 ! 
 Feb 9 2009 	 bad ... anybody could enter room ! 	 spend 2 night , cheap lucky find offer ( 39 £ per night triple room ) bad thing anybody could ask room without identification . not leave room valuable object . short holiday .. good ! 
 Jan 30 2009 	 Fair 	 wife stay 3 night find negative comment site inaccurate . enjoy good service clean tidy check - in find room neat tidy . everything work fine 3 quiet nights- bad 5 min King 's Cross ! breakfast , though imaginative well - present plentiful- could eat fact cook continental style . above - average Travelodge experience stay quite . 
 Jan 15 2009 	 Disappointed 	 return 3 night stay Royal Scot , rate varied from£29-£59 per night . experience Travelodge accommodation disappoint dismal soulless atmosphere . room small , bathroom even small room overlook close quarter bedroom blind window mean curtain draw privacy even day . stay TL careful choice location standard . excellent breakfast / snack / meal coffee try Cafe Express situate across road main entrance Royal Scot . ( right near traffic light ! ! ! ) 
 Jan 14 2009 	 Hidden gem 	 honestly not understand negative comment property . be ridiculously cheap , be clean , comfortable centrally locate . one ask ? ' ve stay twice would hesitation go back , especially get Advance Purchase Saver rate absolute steal . Normal London hotel charge 5 time much not necessarily 5 time well . ' ve London around dozen time , stay manner hotel include Hiltons Thistles would still recommend Travelodge unreservedly . it be budget accommodation , get head around good stay problem . front desk staff quite helpful , room clean be less 5mins away McD 's , Starbucks abundance shop restaurant , mention king Cross Rail Station jump tube wherever go . great , great value . 
