LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Jul 1 2009 	 Perfect budget travel hotel 	 wish know hotel hundred time would stay place NYC . ridiculously short amount time be hotel city , pay $ 100 ridiculous -- save money go something ! pod super clean , super modern , tacky , expect : like hybrid designerly dorm room train car bunk . ( bunk bed room -- would suggest anyone tend bring much ny . extra storage ! ) come partner , though , would go queen bed room . I opt save money use share bathroom , glad ; twice size bathroom home . forget sandal hallway , though , wish robe make way across hall . never wait bathroom , though , find basically clean leave mine home . note : be shampoo soap , conditioner . fab location french bar underneath not get use , next time -- surely come back , work play ! 
 Jun 28 2009 	 great LITTLE place -- -tiny room big value ! 	 stay Pod 3 night treat partner weekend NYC birthday . always consider stay , thank $ 139 night rate offer quikbook , take chance . location great .. easy 6 train East 51st lot restaurant nightlife around hotel . nice walk 5th Ave Times Square . hotel well keep ... fun mod design . room -- expect small get small . travel alone , would perfect ( choose double room -- opt queen ) .. still ... nicely do tiny in - room shower / bath cute . shower excellent ! ! also , free INTERNET ACCESS .. BIG plus ! minor quibble place : 1 . elevator system poor . past weekend one work ( think reserve one staff third elevator hear move , never see open three day ) . 2 . bed really comfortable ... rather firm liking . 3 . sink room small , splash every time turn . like baby sink ! like junior baby sink . try brushing tooth ! try . but , minor issue . certainly come back Pod . well do ! 
 Jun 21 2009 	 Pod - will feel like ure Pea ! 	 value Manhattan pretty close subway . hotel roack theme . bell boy help luggage . checkin quick . room real real real small . make feel like space capsule sort . good till stay . would look accomodation next time NYC . 
 Jun 17 2009 	 Cool Place 	 NYC weekend . since go go , want place sleep . arrive 9:30 a.m. bellman help we luggage able check ! June 12 first day open cafe , able get scone , bagle , coffee , tea head . perfect . staff helpful & amp ; polite . room private bath , small clean & amp ; comfortable . flat screen tv wall , drawer bed base , build closet plenty hanger . shower stall size telephone booth , offer shampoo , shower gel , 2 set towel . luckily second floor always take step . 2 work elevator take f r e v e r. 3rd service . several restaurant street dinner . subway uptown & amp ; downtown 5 - 7 min walk . 
 Jun 17 2009 	 lovely hotel small room perfect be budget 	 stay 4 night POD hotel , think great . room small , hotel room suppose use base ! double room private bathroom . lot storage space small room quite handy sink not bathroom partner could get ready time . service good desk , book we three night email confirm 4 , rectify upon arrival problem . room clean everyday towel replace . also separate person deal shuttle airport useful . price location cleanliness hotel , pleased would definately go back . 
 Jun 12 2009 	 Pod Hotel perfect ! ! ! 	 feel like do research booking overnight stay NYC . stay really expensive chic hotel , stay one not great . read lot review pod make reservation , little nervous see like opinion . read review make seem like good place ever . also read one make sound terrible . not think picky - I would say right middle , anything ' m easygoing flexible side . go 100 % open mind . arrive ( hour early check ) rainy Thursday , ask soon check . thank goodness not ! man front desk friendly , give key single room . , live college campus , single room size bathtub , not think could bad . plesantly surprised open door room . immaculate . smell clean . look wonderful . size absolutely perfect one person . anything would waste space - I not need ! want check & quot ; share bathroom & quot ; ... picture , , like college ... 5 shower row .. privacy . completely wrong . basically go room . toilet , sink , shower . . yes , people use .. call & quot ; shared & quot ; bathroom , think something else . bathroom extremely clean . like .. clean bathroom probably . absolutely impressed . also , 4 bathroom floor , wonder wait bathroom would ever issue . not . light door bedroom let know bathroom occupy . never see 2 light light point time . talk lot people Thursday Friday ( stay ) , one talk to - I rave hotel . cleanliness , location ( really nice neighborhood ) , room , staff , whole experience absolutely terrific . can not wait next trip NYC , know DEFINITELY stay Pod Hotel ! ! ! ! ! 
 Jun 9 2009 	 number one hotel NYC 	 gween size bed great room ! ! ! location fabulous want go back asap ! ! ! safe lot bar restaurant negative hotel ice ! ! 
 Jun 4 2009 	 good value money - come stay 	 stay Pod two night friend absolutely love . stay room bunk bed even though bathroom , bathroom hallway clean enough . consider location fact 's ny , Pod bargain . staff polite helpful . will definitely stay . 
 Jun 4 2009 	 fantastic perfect stay ny 	 spending long time search hotel , finally settle Pod . unlike lot cheap hotel central NY , look perfect . one hotel actually look exactly photo ! room spotless modern , make good use minimal space . even manage fit 2 massive suitcase empty space still enough room walk around . yes room may small , not come NY spend whole week hotel room . even , spend time room , not cramp uncomfortable . bed lovely comfortable , drawer underneath great store everything iPod alarm clock great bonus . can not comment communal bathroom private bathroom , adequate need - love shower . due small size room though , may well go somebody be comfortable ! private bathroom may little close comfort case . staff absolutely fantastic , friendly even guest nice . pod perfect location . subway station end block 15 minute walk away Times Square / Rockafeller Center etc . could not ask well location cheap price . good , would not recommend stay anywhere else go back New York , would not dream stay anywhere Pod . 
 Jun 3 2009 	 Great Place 	 great location right 51st subway station . room really small NYC . everywhere small be never room anyway . clean , friendly service close everything . thing bed pretty short would not stay be really tall . 
 Jun 3 2009 	 Holy ! place great ! 	 stay Pod Hotel May . let say place great . check easy , staff nice hotel great . wonderful location midtown . walk everywhere want except Times Square time headed foot could go another block ! Grand Central Station close airport easy ride away . bell captain even arrange private car take LaGuardia $ 30 van shuttle $ 17 ! cheap cab ride . room small , pod . perfect sleep sightseeing . get room private bathroom , share bathroom clean ( peek ) one use . save extra 10 buck get share bathroom ! hotel comfy new cafe open soon . plus head roof anytime great view NYC . sit area everything . next time go NYC , ' m stay POD ! ! 
 Jun 1 2009 	 Clean Modern 	 hesitation hotel - think room would size pod , nice stay ny ! lobby really nice - bright trendy ; hallway upstairs soft music piping . stay double room ( double bed , private bath ) - small , New York , not surprised . room clean , modern , perfectly comfortable 2.I also check share bathroom , curious - 's like gym bathroom ( i.e . locker room , etc ) - floor least 2 private bathroom , shower ( incl . shower gel , shampoo hand soap ) , toilet . retrospect , would gladly share bathroom low rate - think would perfect be ny 1 night .The hotel 2 block subway , take 10 minute get hotel LES ( low east side -- Astor Place ) . street really nice fairly quiet - would gladly recommend hotel - would actually prefer hotel boring chain hotel city . 
 Jun 1 2009 	 good place stay plan spending time hotel . 	 good place stay . cheap hotel NYC . gripe A / c room work minimum capacity lobby air condition , end MAY . elevator ridiculously slow . towel rough smell clean , find bloody tissue lodge one , housekeeping bring we new set . set clean , still smell clean . rooftop terrace nothing write home , outdoor garden / patio close . , place clean , bed comfortable . location great , right near subway terrific restaurant . staff great super helpful . great city world three night great time , hotel perfect ? place crash 's matter . 
 may 26 2009 	 Fantastic Value expensive city 	 stay Pod recently think fantastic value money . do lot search accomodation reasonable price NY avail find Pod . extremely cautious upon make reservation share bathroom ( single pod ) however pleasantly surprised feel comfortable use . room although small clean , new decor , window open fresh air really big enough amount time spend room ny - much see hardly room ! fault anything , aircon room little noisy . staff ( front desk , concierge bell desk ) extremely friendly helpful . location great , safe neighbourhood type feel plenty restaurant / eatery / pub nearby well 2 supermarket fantastic bakery great cupcake around corner . 15 min walk Times Square , 5 min nearest subway . would highly recommend property ! 
