Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Feb 19 2008 	 great stay Luna Simone 	 husband stay Luna Simone 15th 17th February . greet warm welcome . throughout stay nothing much trouble staff . arrive early check still able drop case get sight seeing . the room small , perfect need ( even extra pillow wardrobe ) . everything spotless well maintain . shower superb ! also nice clean towel every day . overall great value money , especially good breakfast price . location great two tube station , Victoria station famous attraction . would hesiate recommend hotel anybody stay London . area nice local place eat drink well close two theatre course tube train station . thank Luna Simone , nice get good value money London ! 
 Feb 17 2008 	 great value money 	 return 3 night stay London friend USA stay Luna Simone hotel . money pay would recommend hotel anyone . although room tiny spotlessly clean comfortable . room hairdryer , tea & amp ; coffee make facility safe , include cost room . bed really comfortable bed also spotless new looking . bathroom fabulous ..... looked newly refurbish beautifully tile . mould mildew anywhere plenty hot water water pressure good . breakfast include price room whilst extensive menu ever appetising , fill tasty ! staff wonderful , friendly helpful . forget phone charger manage provide one not go buy one also able lend friend american adaptor convertor . location hotel great , 5 minute walk Victoria station within walk distance Westminster Abbey . one moan would wall room thin hear go next door ( snorer hell next we ! ) say everyone considerate keep noise down . I would definitely stay whilst Ritz excellent value money . 
 Feb 13 2008 	 superb ! ! ! ! ! 	 friend return short London Trip , choice hotel reading review ' Trip Advisor ' . disappointed . main priority cleanliness value money - hotel excel area . we three twin room ; ' spotless ' ! fresh towel day , comfortable bed nice clean linen decent pillow . staff welcome friendly - special thank Tony sort room direction superb local indian enjoyable meal ; - ) breakfast hot , good honest food , pass ' spotless ' kitchen ( door - not find often ) see food cook . fantastic hotel , great location , without doubt would first choice accommodation future visit . 
 Feb 12 2008 	 great value great location great everything 	 extensive research affordable hotel London , come conclusion good value city , book accordingly . stay full week , receive 6 night price 5 , apparently common practice London know ask it . the hotel definitely & quot ; frill , & quot ; affordable , clean , convenient . free breakfast good filling , serve little early morning schedule . night bus stop right front property , make easy get back even long night . within walking distance two tube stop , include Victoria Station . also long do - able walk away Buckingham Palace . anyone stay aware towel provide , guest must provide soap shampoo . also , like many european hotel , elevator . 
 Feb 12 2008 	 really nice pleasantly surprised ! ! ! 	 really like hotel . be far away Victoria mainline / tube station handy getting in / out London due Victoria Coach Station near . hotel really Pimlico end Vicoria not pose problem anyone everything really close . room really clean , bathroom / shower really clean can not really ask - even window spotless ! ! would definitely return , staff pleasant , friendly helpful ( however , feel like not say , keep little gem hide ! ) 
 Feb 10 2008 	 affordable clean friendly central . 	 girlfriend spend 3 night Luna & amp ; Simone early Feb ' 08 hotel perfect need . we budget find well - think hotel price ( £ 75 per night double room ) location real bonus . hotel perfect . situated halfway Belgrave Road , Victoria Pimlico underground stop , perfect base explore London . our double room decent size include tv dozen channel . also tea - make facility mini - bar . bathroom clean look rather new , shower always hot . room clean every morning fresh sheet towel supply . the tasty filling breakfast stop serve 08:30 , tad early least ensure not sleep - in , much see City could not afford to . the hotel ten minute walk Tate Britain , another 5 Westminster , London Eye , Westminster Abbey , short skip Tate Modern , MOMI etc etc . underground close , expansive frequent Luna Simone really great place visit afield attraction . I would definately recommend hotel anyone look cheap stay London 
 Feb 8 2008 	 Nice hotel great location 	 nice basic hotel great spot sight seeing . friendly staff , clean small room , nice breakfast . 
 Jan 24 2008 	 great spot ! 	 great spot ! n24 bus pick directly front hotel take Victoria , make easy get around London . room small tidy . staff friendly give several great nearby place eat drink . great free breakfast get early . have careful problem stair , 's elevator hike heavy luggage fifth floor . well worth money . highly recommend ! 
 Jan 21 2008 	 return hotel 	 stay June 2005 . plan return Spring . love hotel . room clean staff friendly . double bed room glass walk shower . would stay shower alone . be great neighborhood , close transportation great pub around corner . oh , breakfast great ! 
 Jan 20 2008 	 good rating would suggest 	 despite title review let say one thing first , outstanding value . 10 minute walk Victoria station one direction 10 minute walk Thames direction . pay £ 65 ( $ 130 ) stay Monday night book link Tripadvisor . the hotel locate City Westminster nothing & quot ; rough & quot ; area . front facade remind row Embassies Consulates . now main problem encounter . partner disabled although ambulant . indicate booked room previous week . arrival allocate double room third floor ( US 4th ) . two flight stair floor . partner ask lift available room low floor - unfortunately neither . however , think young gentleman reception take pity we see difficulty walking swap we triple room first floor ( US 1st ) offer carry bag stair . outstanding bit customer service one part also nearly 10 pm probably unlikely large room would need one night stay . the room well describe compact . double bed single bed . clean tidy wall mark appear plastic scuff shoe , bag case . storage sufficient usual hairdryer , kettle , television telephone . wireless internet available £ 5 ( $ 10 ) 24 hour period . the bathroom compact . wc , sink shower - way get shower enter bathroom , turn around , shut door walk shower . plenty good quality towel . two criticism bathroom probably need & quot ; deep & quot ; clean nothing aid disabled guest need help balance , couple grab rail would help . breakfast next morning fine - partner want couple well cook egg toast instead bacon egg bean two brother hotel happy oblige . extra toast tea / coffee offer although need . on balance , be disable 's nice little place . however can not manage stair particularly heavy bag may struggle stair . counter maximum rate £ 130 ( $ 260 ) room sleep 4 get breakfast throw . 
