great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 Jun 28 2009 	 ` ` PLEASANT surprise '' 	 Come reader let get real , book break Super Break Deal , pay two night B & amp ; b hotel return fare North England anything travel Guards van sleep two man tent back garden hotel go bonus . must admit last week look review hotel start get bit concerned . need , Great Rail Travel , Smart Clean Hotel , agree room little small side clean adequate we . would rather small clean room large dirty one . shock reading review good breakfast . complaint rebooke pre Christmas shopping break Hotel . might add picky regard cleanliness decent food , everything fine . probably good £ £ bargain long time . cost , Taxi Kings Cross Hotel , pay £ 15.00 include tip . get day Tube Ticket £ 5 - 20 restrict time £ 7 - 40 time go . Lancaster Gate Station 2 min away , well worth . .Good luck please not put review , go open mind enjoy . & amp ; J ( Harrogate ) 
 Jun 27 2009 	 Great Hotel ! ! 	 get back today one night stay Corus Hyde Park attend Killers gig Hard Rock Calling . I really choose hotel due location Hyde Park , see though fairly high rating think I d go ... good move .... lovely hotel , across main road Hyde Park , also Lancaster Gate tube station two minute walk away . staff reception welcoming , check , even though little early make change hotel ! ! book single room , although fairly small , fine .. clean , tidy great shower .. even air - con ... can not comment bar restraunt not use , look popular think that s good sign . all quite perfect .. great location lovely hotel , ask ? oh , usual Killers superb ! ! ! ! 
 Jun 22 2009 	 price much well ! 	 generally research hotel book . guess busy put little effort . book standard room upgrade availability . would hate see standard room ! room small date . toilet like cupboard give little privacy . thankfully , stay short . keep awake late night guy pack van woken 6 next morning bin go . mention house keep 8:00 . not bother breakfast , be worth , end eat . bed something like might expect granny 's . 's really soft bumpy . be also first time toe tip end bed , ' m 5 ft 1 . really bother go check not even ask enjoy stay ! age economical chaos , 's time hotel step mark . not rip people , charge price reflect quality service provide . 
 Jun 21 2009 	 basic four - star book 	 room tiny cramp , , basic , minimum amenity room . would expect four star hotel . barely function television , terribly clean bathroom , generally , place tired need bit makeover . toiletry bathroom clearly open leave previous occupant , pleasant . stay much cheap place level furnish etc . also , advertise free internet access , apply communal area . on positive note , staff lovely friendly , helpful . 's shame hotel not match quality staff . 
 Jun 16 2009 	 good location nice 	 room book tiny bed less fill . pay upgrade slightly big tired looking room tell £ 40 per night , later turn £ 40 per person per night . pay excess £ 400 two night . the hotel opinion 4 star noisy night morning . be not location would go elsewhere despite pay advance ! 
 Jun 15 2009 	 get pay 	 get good deal hotel Hotel.com definitely would consider hotel 4 star travel London time business . room ( # 510 ) size closet bed would even fit width - wise . shower short could not stand take shower kneeling . electric outlet bathroom ruin electric shaver , even though plug US shaver . short long work . want WiFi , ready fork $ 20 , go breakfast . tv work second night . wall thin could hear every noise connect room . think think get amazing deal 4 star hotel . 
 Jun 11 2009 	 Nice Hotel Good Location short visit 	 second time stay Corus great location minute Lancaster gate tube close Hyde park like walk . meal first night however really poor . plate chip food certainly cook chef . room ok short visit would recommend anything 5 day would get confine small space . morning leave toilet block wait fix check . advise receptionist seem bother . recommend hotel location cleanliness however would advise eat . wow nearly forget fire alarm 7 due someone smoke non smoking room hotel ; evacuate . 
 Jun 8 2009 	 Perfect location 	 hotel perfect location , quite less minute walk Lancaster Gate tube station . bedroom clean tidy , however small side . stay standard double room bed tiny uncomfortable , partner well 6 ft difficult time sleep . bath room also small tall find difficult get bath / shower high side . staff extremely friendly helpful , do not think would stay . 
 Jun 5 2009 	 good 	 hotel great concierge service could handier sightseeing.opposite hyde park Lancaster Gate great walk many venue good position Hop hop bus . if find time guide tour Royal Albert Hall worth . 
 Jun 3 2009 	 Hotel nice ; staff disorganise ; food 	 check offer MUCH big room £ 20 night upgrade , birthday trip bro respective partner , think ok . ask room floor . room great , reasonably sized obviously standard much small room . ask could room next side corridor tell take anyway . tell would not pay upgrade . staff think room next door anyway actually door opposite side . finally speak shift manager say would change we one next door ! ! ! even tho ' tell staff rush get theatre take 30 - 40minutes subsequently get theatre late . find bug bed bro find stain ! ! next day go breakfast wait 15minute tell help coffee ( upstairs continental breakfat room could not tell ) call breakfast downstairs wait another 5mins seat half empty room . food station upstairs downstairs messy poorly stock , food nice , morning croissant taste like night . go ask staff toast instead offer . first day bro room service breakfast , come cutlery milk two large mug instead jug . bar evening table clutter sticky no - one around clearing . executive room mini bar empty fridge . either major absence hotel bad hr skill . standard room first give tiny portable tv rubbish picture . build 4star rest servicing food etc certainly . location however fantastic ! ! ! 
