beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Sep 30 2009 	 Noisy West Tower 	 attend conference , pay full price standard room west tower ( $ 300per nite ) . lucky get room $ 70 . night . room nice view , look river toward Navy Pier 6th floor . Decor change since last time stay 10 year ago . Control heating / cool lack . room always warm , matter setting . room noisy . could hear water flow sewer pipe . also could hear bathroom use side room well conversation . bring attention front tell common problem . inform west tower slate update . offer cup coffee lobby restaurant compensation noise front desk . location great . Michigan Avenue , look river . close many attraction , restaurant , etcif get room $ 70 priceline take . pay full price , check hotel area . parking $ 48 per night . do know east tower avoid west tower . 
 Sep 29 2009 	 great location view 	 book room Priceline $ 75 later read might ' ve get $ 60 . anyway happy room great view river , water taxi , Hancock Center , part Wrigley Building , 23rd floor -- bed pillow comfortable , AC work quite well . restaurant over - price -- go nearby Corner Bakery Cafe breakfast . great location want use Water Taxis catch architectural boat tour , depart right front hotel . tell hotel soon undergo complete remodel . room nice toilet bit stain sometimes not flush well . could hear thumps bump room plus loud people hall one night . 
 Sep 28 2009 	 watch hide fee 	 stay Hyatt great hotel wonderful . busy hotel tend lot people lobby area . wonderful stay thank review advise careful mini bar . open great sign say anything get move mini bar could cause charge account . also discover place local call $ 1.00 connection fee tell make call . careful use phone . also , aware two level valet parking . wait main lobby car tell wait downstairs . valet eventually bring we . also , valet pricing $ 48.00 night carful city parking recommend two block away . well worth $ 48.00 night . great hotel stay use phone . 
 Sep 28 2009 	 good location view busy noisy 	 hotel offer offer Regency Club room price standard room . decide take option end room 34th floor ( Room 3420 ) great view river Navy Pier . the room exactly picture website portray nice comfortable bed . safe room mean could safely stow away valuable big enough hold camera well cash etc . the criticism hotel extremely busy noisy , hear describe railway station ring true . also West Tower try get lift floor take long time extremely busy . we make use Regency Club lounge promotion offer hotel extremely busy evening nowhere sit guest finish . spend time adjoining business centre pc kill bit time . it quieter morning fairly early ' get good night ' sleep guest return room hour night – quiet . 
 Sep 28 2009 	 Hotel ` ` Nice '' ? 	 guess hotel & quot ; fancy & quot ; complimentary breakfast ( one be $ 22 per person ) , free wireless Internet ( $ 13 day ) , free parking ( $ 48 night pay guest ) . water pressure mediocre room temperature always little warm . be really pay location , good , five restaurant attach hotel . experience walk lobby spectacular ; however , get experience free without stay . overprice ; would stay . 
 Sep 24 2009 	 Good Location Fine Service Comfy Room 	 hotel well locate downtown Chicago . close Navy Pier Millennium Park . several bus stop across street hotel , El ( subway ) 3 block away . street several architecturally significant building ! in - hotel Starbucks , restaurant , large bar . breakfast buffet ( one block away ) Houlihan 's Pub great value ! room adequate king bed flat screen tv . internet provide fee . beware mini bar .... open chill bottle water bring wound remove charge hotel bill ! 
 Sep 23 2009 	 great location 	 great central location Loop , walk distance shop Michigan Ave . north Art Institute south . little difficult get train , though be theoretically possible ; end take cab block . only stay one night can not give much detail complaint . basic nice . defintely worth list price around $ 300 get room $ 100 hotwire satisfied . 
 Sep 15 2009 	 Great Location ! 	 old nice hotel . open mini bar , move anything automatically add bill ( ie ; $ 5 snicker bar $ 25 bottle mini wine ) . hotel amenity , except pool . nice gym hotel , several different type aerobic weight machine . ' eat restaurant many great place town look good outside . terrific view river room . first motel seem overstaffed turn extremely helpful attentive , even bellman tell we could park free – bargain valet $ 48 / night ! avoid car Chicago would well . ' metro plenty taxi , lot downtown within walking distance . 
 Sep 15 2009 	 Great Location ! 	 stay two night one day explore Chicago . hotel perfectly locate see everything downtown . right river across mag . mile- love take riverwalk lake . room nice enough , get $ 70 / night priceline well worth . view lake river cost , view downtown not bad room bright big window make one wall . smell little stale , clean otherwise . 
 sep 10 2009 	 great stay 	 visit Chicago , choose Hyatt due location downtown , within walk distance major attraction , Sears Tower , Magnificent Mile , Grant / Millenium Parks , etc . Subway & amp ; bus stop close travel location city . overall hotel nice , clean , great location . safe area . go beautiful Wrigley Field Soldier Field see team play . love Chicago would defenitely stay ! 
 Sep 9 2009 	 Massive Hotel everything great location 	 big hotel Chicago , 2 30 + floor tower , amenity one could wish . well locate , south bank Chicago River , 2 minute walk Michegan Avenue magnificent mile , Millenium Park Chicago 's Navy Pier within walking distance . room modern , bed comfortable , view generally spectacular . room mini - bar large flat screen TV- well light : bedside lamp , standard lamp desk top reading light struggle lift gloominess lack central ceiling light . the serious negative find house food price . two egg , cook style -15 US dollar . unless lay golden Goose poor value- breakfast take Corner Bakery ( open 7 ) junction East Wacker Drive Michegan avenue- one quarter price . 
 Sep 7 2009 	 Shopping Trip ! 	 get great deal Trip Advisor site link Hotels.com , less £ 200 2 night . room huge , view towards Soldier Field tea coffee maker room ( rare day outside UK ) replace morning . tv massive , shame UK channel though . adequate bath shower toiletry replace daily even need ! business hotel 2 pc 's dedicated online check print boarding pass easily . ok , yeh vast little impersonal Saturday night teem people come wedding reception etc eat . despite efficient , need help get ( albeit bit wait sometimes ) check online use stand alone machine . stay West Tower bit recommend . would definitely recommend . get offer snatch hand off . location isnit way state previously . 5 min Giordanos deep dish pizza outlet ( must one ! ) 5 min Wrigley Building start Mag Mile . overlooks river get front view also another 10 min Loop . cover basis opinion . 
 Sep 6 2009 	 great hotel great location sight seeing 	 get place steal priceline ( $ 70 night ) . centrally locate loop close shop , restaurant river . large hotel obviously accommodate Chicago tourist . cub home game lobby fill cub fan . facility clean , staff super nice room clean ( bed temperpedic ) . side anything extra need hotel ( wifi , food , business center ) expensive . would well suited stop Walgreens 7 - 11 block away get food and\or drink . internet $ 7 15mins . , however , free plane check computer . all , one favorite place stay ( travel Chicago every year visit family ) . 
 Sep 5 2009 	 great place stay price . close everything 	 may fancy hotel you ll ever stay . well keep good service . bed nice . bathroom nothing special , everything clean nice . triple member get room like 127 night free parking ! fantastic . would definately stay go back chicago . 
 Sep 4 2009 	 fabulous experience exceptional river view . 	 move neighboring Fairmont gain internet access . expect downgrade term personalize service due size hotel . . front desk staff address name second trip lobby register . Business Center staff extemely courteous accommodating . fax machine need ink cartridge replacement stay could not receive incoming final invoice Fairmont go back personally . the unsightly lobby fill check luggage wasa negative . offer conceal storage area late checkout / early check in avoid accumulation , many car park front entrance , detract appearance . 
 Sep 2 2009 	 expect 4 - 5 star .... look elsewhere 	 stay Hyatt long weekend . travel frequently Chicago stay many different hotel . one far , least favorite . room need update . bathroom old school poor quality towel , crack sink tile fan ! customer service far bad part . line check front desk long entire time . concierge phone line keep ring go ask question ... prepare another long line . luggage store also inadequate . room store luggage full overflow area rope middle hotel . although attendant , luggage personal belonging open everyone see . wall thin door closing loud prepared hear hour . location close millenium park theater district far end Michigan Ave . get great deal thru Hotwire even low rate , would want stay . recommend Affinia James . world apart huge hotel customer service nice ammentie lack .... number . 
 Sep 2 2009 	 Decent huge hotel ideal city visit 	 get great deal Priceline place - 100 % say stay . overall nice place tourist want see city , bit way . also huge lot section . construction west tower ( think ) . be really 4 star hotel . service decent . stop atrium breakfast around $ 15 pancake $ 22 buffet - thank . the room really nice large . 
 Sep 1 2009 	 Hotel overbooke - confirm - reservation room available - no refund 	 arrive late evening prepaid room tell hotel overbooke . drag luggage 2 block another hotel . tell refund would make - no refund yet - they not even respond . need room sure , business meeting whatever - book somewhere else . people problem . hotel warn rundown . 
 Sep 1 2009 	 big complaint 	 stay single night Saturday , August 29th . room $ 70 , include tax , Priceline think good value . check breeze receive free upgrade standard double standard King . room work fine although agree early comment bathroom need fan . find bit odd major chain hotel . the facility massive make seem rather impersonal first floor bar jam pack late Saturday night . rather use valet parking , use Millenium Garage block south hotel . $ 25 day park . I would stay price . 
 Aug 31 2009 	 Upmarket barrack 	 accommodation factory . efficient , impersonal , cost - control . individual staff fine , place attraction . good example notice mini - bar . put anything cool , charge $ 25 violation clean throw anyway . nice . the room fine comfortable , look like refurbish fairly recently . conference room dungeon , far ground get cell signal . on hand , 's central location . 
