great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Jul 18 2009 	 Excellent Location Great Service Great Hotel 	 friend recommend hotel we plan first trip Beijing , read positive review , decide stay hotel 6 day . hotel right around corner subway station within walk distance major attraction ( wangfuje , Tianamen Square .. etc ) . hotel staff provide great service stay . room clean spacious . breakfast buffet good great selection . highly recommend hotel stay . 
 Jul 15 2009 	 Love stay ! 	 ( four we include two kid age 6 & amp ; 8 ) wonderful stay ( 6 night ) hotel . tuck right behind big street Jingbao St . oasis full day tour sun Beijing . location - within 10 min walk wangfuje main street location . first , not sure close hotel main concern . end , location work perfectly . walk wangfuje eat ( type meal available ) , souvenir ; hotel also near small inconvenient store get water popsicle / ice cream . walked take cab Tianamen Square hotel . depend walker be - heat . like reviewer , need address English Chinese ( print hotel website ) take cab cab driver seem know name alone . hotel also right behind subway . last day , finally good sense city start take subway ( $ 2rmb anywhere go ) . also take Summer Palace per suggestion another person stay hotel . room - upgrade suite club level privilege . give we access Club Room Happy Hour breakfast ( good spread breakfast , appetizer drink include alcoholic beverage ) . breakfast extensive one restaurant enjoy lot . hotel room come breakfast 2 everyday . family take turn go restaurant breakfast 2 go club level . club level also two desk top computer . service attentive . great coffee club level . suite comfortable four we . clean . good view Hutong . sofa living sleeper . service - staff show we three room arrive . decide choose suite . since be stay 6 night , promotion give we great deal . staff not speak English well ; speak good enough . great value , attentive service . value - great value room type , location service . never eat hotel except complimentary breakfast many option outside hotel great pricing . definitely go back hotel return Beijing . 
 Jul 14 2009 	 good four star hotel 	 hotel great location previous reviewer already state 10 minute walk shopping street , Wangfujing . find food good standard service excellent . staff acknowledge enter . get chance use subway use taxi , find reliable cheap . come holiday would choose hotel . 
 Jul 12 2009 	 pleasant convenient sight 	 Business hotel modern , clean , comfortable . english speak staff helpful . breakfast buffet vary , fill , delicious . subway stop second walk hotel take sight . subway sign English easy navigate . use subway instead taxis traffic bad . hotel also 10 minute walk shopping street , Wangfujing . starbuck right hotel door across plaza . dinner menu somewhat limit many restaurant within walking distance . 
 Jul 10 2009 	 Excellent Hotel 	 room ( bathroom ) clean spacious , English - speak staff , free internet , 5 - 10 minute walk get wangfuje street , delicious buffet breakfast plus 's subway station outside hotel . : ) highly recommend ! 
 Jul 8 2009 	 excellent value ! 	 come Toronto , Canada . travel quite lot year . hotel recommend brother . see good rating site , decide stay hotel 5 day stay Beijing . hotel clean ; staff friendly helpful ; service excellent ; buffet breakfast well many variety delicious food provide ; subway around corner travel many attraction use subway . one thing mention arrange tour service good . tour Mutianyu section Great Wall visit Ming tomb way . driver drive carefully english speak guide good . family enjoy tour much . 
 Jul 5 2009 	 great hotel gear toward business people 	 room nice , orient toward business traveler . hotel locate ' Rodeo Drive ' Beijing , little area night . staff excellent , particularly Bloo Dining Restaurant , great place westerner eat ( eat every night 3 night addition breakfast buffet ) . club level nice serve almost nice breakfast downstair restaurant . good business center , limited gym . 
 Jun 29 2009 	 Excellent .... 	 great service , great room incl internet connection , good location ( subway station 5 min away ) ; close wangfijing shop . door staff always give direction taxi never get lose . use hotel card show direction chinese taxi get work / site address Chinese enable taxi understand . most likely stay 
 Jun 20 2009 	 excellent value money ; impressive hospitality 	 impressive ... impressive ... impressive ... ! ! ! business trip China , stay Park Plaza Wangfujing Beijing book travel agent . moment one get cab gate hotel , one greet smile courteous staff Park Plaza . spend 4 night hotel , one get know DNA Park plaza staff . right staff reception bell boy laundry boy housekeeping boy , would greet cheerfully . also , roam around Beijing 4 day , realise one centrally locate hotel popular tourist place . excellent concierge service , absolutely problem get wherever want . one also get impress english speaking staff ( ) . come money pay room ... would say good value money one get part globe ... ! ! ! , would look forward another hotel part world would offer come close Park Plaza Beijing . Cheers hotel .. 
 Jun 17 2009 	 great stay centrally locate hotel 	 stay Park Plaza Beijing , deluxe room , 7 night May 2009 . choose hotel base high rank tripadvisor , location , price . hotel website , find discount rate 2 night minimum stay . disappointed quality value . location great – Dengshikou subway stop ( one stop north Dongdan ) . ' short subway ride Tiananmen square / Forbidden City , Lama Temple , Temple Heaven , Pearl Market . room perfect – spacious , clean , modern . bed firm comfortable . bath large pretty . air conditioning work well room quiet . hotel provide 2 complimentary bottle water day . service ( front desk , bell hop , clean ) friendly timely . Bell hop hail cab give instruction driver Chinese . concierge super friendly eager please . also speak English well . book ticket we Shoalin Monks Red Theater , Acrobatics Chaoyang theater , Opera Huguang Guildhall , hutong tour pedicab . ask brochure " sunny vacation " outline activity concierge book . recommend Hutong tour pedicab interesting include Bell Tower . suggest skip Opera Huguang Guildhall ( exciting evening may Opera Chang ' Grand Theater ) . concierge also book we car driver day take we Great Wall . choose go Mutainyu ( take two hour rush hour get hotel ) . tourist weekday ; wonderful view . inquire advance allow booking . concierge bell hop recommend restaurant . enjoy recommendation South Beauty ( Sichuan ) oriental Plaza , local place directly across Peninsula Hotel ( street number may 3 - 3 ) . purchase daily breakfast hotel , opt instead Pheonix Bakery opposite side Dong Si Nan Dajie hotel . eat hotel restaurant – Oodles – one night . good . hotel short walk wangfuje pedestrian street , restaurant Peninsula Hotel , oriental Plaza . take business card hotel name use taxi cab . hotel see Jinbao Street , , taxi unsure hotel ' location , ask take Peninsula Legendale hotel nearby . first arrive Beijing , take airport train connect subway . cost nearly taxi ride hotel back airport upon departure . overall , great place stay . would stay . 
 Jun 17 2009 	 harrassed hotel staff 	 agree positive review hotel . return 6 night stay three negative issue . hotel room Jinbao St. side morning 5:30 awoken noise street . apparently construction truck use street transfer material one truck another truck quite disruptive . also , call least twice day staff see feeling . seem obsessed idea ( obvious reason ) may swine flu . one day went accidently leave & quot ; Disturb & quot ; light day . three staff member come knock door ( light still return ) start grill health . reason feel particularly harrasse single travel two colleague never call . also go Shanghai Nanjing none staff ever question hotel . lastly , fitness center air condition extremely hot outside hard work . would complain one desk fitness center . 
