Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Apr 8 2009 	 Great Location - ok service 	 stay Conrad Chicago 6 night March 2009 standard room . arrived upgrade & quot ; city view & quot ; room meaning get room look roof Nordstrom department store - wondering would look & quot ; upgrade & quot ; . room large king size bed , large bathroom , small ( adequate ) desk chair footrest . room overall nice . absolutely big enough 2 nice , luxurious feeling . 40 & quot ; 42 & quot ; flatscreen - quite big ( good way ) close bed . unfortunately HBO channel work couple night . the location Conrad Chicago superb ! right Michigan Avenue Nordstrom department store plenty good restaurant within 5 - 10 minute walk . breakfast hotel ambivalent experience . buffet - instead everything la carte impression service different day day . quality food excellent ! day take 10 minute waiter make way we small restaurant . although native english speaker , claim English far superior waiter . Central South America speak spanish well English quite poorly . result misunderstanding irritate stay 5 - star hotel . - quality food exceptional ! special thanks concierge assist we arrange limo pick we galla attend . Peter concierge attentive , quick call afternoon confirm limo reservation night tell exactly driver would wait pick we up . I would recomme Conrad change service breakfast buffet . despite food excellent , take one hour breakfast day borderline annoying . apart hotel great would love stay Conrad next time Chicago . 
 Apr 6 2009 	 Excellent someone never care Hong Kong 	 spend 2 night Conrad Chicago business impress . place really nice thing want need hotel . even umbrella closet prove useful . hh member offer free breakfast little disappointing ; choice , pastry plate french toast plate . day choose pastry good , would preferred choice , however , free complaining . tv excellent lot channel HBO . internet also free , nice . room large , clean bed comfortable . bathroom great tub shower really nice toiletry . location also great , next door mall many restaurant . hotel staff professional accommodating . surely return . 
 Mar 23 2009 	 excellent someone never conrad bad Conrad Hong Kong 	 give stay Conrad Hong Kong two month ago , understand Conrad like Hilton , case , particular Conrad property sharp contrast other . for someone Hilton Gold Diamond , property definately worth extra cost stay , get basic treatment compare Conrad Hong Kong . exec . lounge first side , plus get continental breakfest coupon . know fact even Conrad Hong Kong exec . floor room available upgrade , still get buffet breakfest restaurant , apply Conrad Chicago . however still manage & quot ; upgrade & quot ; city view room . city View room much city view , basically view look north rush street , view block next door Marriott , much tall Conrad , get view leave side residential commercial building , landmark like Sears Tower Water Tower . would strongly suggest pay extra $ 40 city view room , worth all . I find room much different nice Hilton , exception large flat screen hdtv , come Bose surround sound . bathroom like conrad , separate tub shower , plus another door separate toilet . find odd deep tub , narrow , would problem slightly big person take bath . bath towel really thin . also tv watch take bath like Conrad Hong Kong . turn service available miss little touch , slipper put next bed , chocolate , fold one corner comforter invite bed . however , extra two bottle water put night stand . important thing , miss signature conrad toy ! go downstairs ask front desk , cow Conrad Chicago , available request , also plastic duck next bath tub like Conrad Hong Kong . basically upside Conrad even cheap room , still get upscale ACCA KAPPA bath amenity instead Conrad Hong Kong , unless stay exec.floor room , get unknown conrad brand bath product . the continental breakfest consist croissant two danish , cold cut . even though suppose come juice tea coffee . ask OJ , one ever come back want tea coffer later . 
 Mar 12 2009 	 good bet Mag Mile 	 stay Conrad Chicago two night business trip March . hotel convenient location North Bridge shopping complex , close Michigan Ave . loop . it be hard find bad thing hotel 's accommodation , nit - pick towel bit rough ! staff friendly helpful , room clean quiet , bed comfortable bathroom clean plenty hot water . I try hotel bar restaurant , internet access ( use wireless broadband instead ) , can not comment value ; be simply look base operation business trip , hotel safe bet ! 
 Feb 28 2009 	 Impressed 	 take fiance Conrad romantic weekend totally blow away level service . first Christmas decoration lobby beautiful , worth hang lobby star christmas tree . Conceige make reservation we Brazass Steakhouse ( $ $ $ $ ) meatlover dream . room nice , large LCD tv , bose stereo hug soak tube . not get order bath / pillow menu hear good . fitness center date , clean . recommend hotel anyone want true luxury getaway . 
 Feb 20 2009 	 good expect 	 fortunate get affordable rate must one Chicago 's good hotel . property beautiful , well decorate & amp ; appoint . executive King room city view . view look north Michigan Avenue . room quiet could tell difference open window bit- street noise window open . far housekeep goes- impeccable . one minor complaint- towel thin scratchy . otherwise , luxurious quiet have recommend anyone . 
 Feb 2 2009 	 Great Concierge Service Conrad Chicago ! 	 enjoy city Chicago many reason , ' always difficult time find place stay city . ' try variety suppose " luxury hotel " area year , vary result range mildly annoying wildly disappointing . the Conrad Chicago embody quite opposite phenomenon . hotel pile roof courteous staff , luxurious room service , lovely away - from - home amenity make welcome ( welcoming ) destination . I fortunate stay Conrad Chicago hotel last fall , " girl weekend , & quot ; find entirely refreshing change run mill luxury hotel experience ' elsewhere . regardless size , Conrad Chicago much like boutique hotel- every request cater thoroughly efficiently . never would associate Hilton name extraordinary luxury , base previous experience chain , stay Conrad Chicago . the member staff deserve high praise , though , Peter concierge desk . travel work , deal , literally , dozen different concierge wide array setting never encounter anyone gracious , attentive , thorough , courteous , professional accommodating be . make mistake- differentiator making stay extraordinary one Peter . key joy experience Chicago- help we source event ticket , make recommendation give advice city Chicago , surround area even destination continue ! assistance prove invaluable stay ( beyond ! ) make Chicago experience one never , ever forget ! certainly guarantee next time ' Chicago , stay Conrad Chicago . 
 Jan 29 2009 	 shall Return ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 stay one night Conrad AHR Expo . like conrad stay , Hong Kong Tokyo , Chicago Conrad plush sleek get . get show rate , probably still other pay via several web site . location superb , within easy walk distance many restaurant heart Chicago 's River District Magnificent Mile behind . 's prime real estate much within 5 minute walk . room sleek , modern comfortable . bed Serta , wish remembered model , plush pillow , soft sheet warm comforter . sleep soundly , important aspect room . room vast , 42 in . Philips LCD TV , Bose sound system , iPod clock radio , thoughtful work desk , nice touch robe , slipper , , , - free one day internet ! ! ! hotel web site picture spot - on accurate . the bathroom marvelous . excellent toiletry , towel , hot water nice countertop accessory . 's chic luxury without overprice rate . the hotel service use concierge . eight colleague , wantend dine popular steak restaurant . Ken , concierge , suggest might crowd suggest another . call first choice anyway , put hold 5 minute , agree try suggestion . call get we table . walk two block meet man wait we . Ken Man make night ! 
 Jan 25 2009 	 Nice even Twice price 	 hotel assign we $ 95 night ( $ 115 taxis ) 4.5 star option Hotwire . would willing pay twice much room . we arrive 10 Olga front desk allow we check 6 hour early . get room surprise large . bathroom even large ( especially Chicago hotel room . ) book non - smoking king leave plenty room move around . the linen plush , tv radio nice . overall little extra one expect 4 + star hotel .... except in - room coffee maker . the staff probably make stay little well expect . already mention , Olga front desk helpful check - in charge min - bar item use . the bell - man parking attendent extremely helpful , friendly , always willing go extra step direction eat suggestion . the location hotel one block Michigan next Marriott . easy walk attraction Michigan Ave . less $ 5 cab ride Millenium Station . highly recommend stay get chance . 
 Jan 20 2009 	 Excellent Hotel 	 Fabulous Hotel . stay lot . husband business shop Spa . ! ! room roomy , extremely clean , calmly decorate pillow menu big bonus . room rate bite average well worth it . the staff attentive room service quick . central location excellent . great little shop reception area never fail let we item forget take you . the hotel connect side large Mall Nordstrom . Nordstrom spa separate department store Mall Spa top 5 service treatment . service treatment minimal still good . on last stay hurt back slip sidewalk Michigan Ave staff excellent helping get bag upstairs , run bath call every hour see need anything . excellent , excellent . if like New York ' cope dirty street crowd . Chicago ' need second choice . rate city . load locally everyone old people young family child . 
