Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Apr 3 2005 	 great location contempory comfort 	 Booked weekend break Easter bank holiday ( special offer via De Vere reservation line ) .The hotel almost perfect location , Green Park Piccadilly Circus . hotel locate Jermyn street , far enough away hustle bustle ensure peaceful night sleep . entrance discrete , almost walk past . hotel facilities ideal need . prefer modern , clean comfortable room - Cavendish offer . cd player room unusual touch . heating / AirCon quiet efficient . bed comfortable bed sleep UK ( anything match ' heavenly bed ' USA ? ) restaurant bar fine . eat restaurant first night staff accommodate request speedy meal theatre seat get . overall , hotel perfect need - shall return June . 
 Mar 29 2005 	 Location Location Location 	 perfect place hotel , not cost arm leg . Booked BA Holidays dissappointe . hotel arrange several lunch / dinner reservation top notch restaurant without problem along car service ( expensive 50 GBP easy mercede ) . room modern particularly large , downtown London couple block Ritz . minibar one remove something make room bottle buy local store , automatically charge - leave note say refill fridge could store pop buy TESCO grocery end Jermyn Street . thing slightly bothersome semi - frosted glass bathroom door , give angle bed , provide much privacy wc . , would stay convenience price . 
 Mar 24 2005 	 great location Awful Uniforms 	 find hotel Trip Advisor disappoint . location great , room stylish , staff friendly ( although usual London young inexperienced . someone ask Royal Academy neither person reception idea . huge prominent building 50 metre away ! ) . would certainly recommend hotel . one minor downside , attempt trendy dispense usual suit tie . like staff smart prefer traditional look people want something new 's fine dressing staff look like white jogging bottom look absolutely terrible give unprofessional image . shame . 
 Mar 14 2005 	 stylish 	 Stayed weekend Sat . 12 March Sun . 13 March , 2005 . must admit hotel stylish bed extremely comfy . fact room CD player definitely plus . definitely recommend anybody stay , since hotel 's location close good shop , restaurant , theatre London happening . plus Jermyn street quiet evening , 's main road Piccadilly Circus . , good experience highly recommend . 
 Feb 1 2005 	 use phone - $ 250.00 lesson 	 recently stay think hotel great . complaint mattress need replace could feel coil spring . use phone . there information telephone charge room ask front desk much cost make local call . tell 50 penny per minute . call friend couple time pay phone cost 30 pence time hotel 's mark seem appropriate . friend talk awhile , need worry less hour maximum cost go 30 pound . charge one call show 135 pound . enquire , tell number call mobile ( cell phone ) therefore charge rate 2.70 pound per minute . I check british Telecom website charge call number dial 8.4 penny per minute hotel 's cost less five pound . disappointed hotel mark 130 pound 5 pound phone call truly outrageous make bad fact try prevent happen ask front desk beforehand . sadly way know question ask specific manner . hotel manager explain mark cover cost switchboard operator , $ 300.00 per hour , would think pay sex . well , suppose way hotel leave feeling , kinda like . 
 Jan 25 2005 	 WOW ! 	 spend hour finesse hotel come Cavendish Victoria Park Plaza . choose cavendish great location next good shopping , restaurant theater , location beat believe , often stay Knightsbridge South Kensington trip bus tube aand taxi use make back hotel ! cavendish modern makeover 3 year ago comfortable round , style towards minimalist way pose stark , shower stall room ( cool ? ) bed comfy lot nice pillow , mute tone fake fur rug across low part bed foot , good closet easy operate elctronic safe , nice bathrobe , hairdryer , a / c lot heat ( good trip last week ! ) staff universally pleasant interested help guest , do not click finger like group Boston order sandwich lounge , people serious $ $ $ do not ! breakfast fine service good , yes know USA do not spoil other . round find comparable price ghastly hotel area , good hotel 21 year visit London twice every year . unless permanent malcontent book , use BAholidays ( USA ) pricesetter , ps hotel 90 % occupancy rate last week somebody like ( January ! ) 
 Jan 7 2005 	 amazing location 	 stay Cavendish New Years , extremely pleased hotel . location absolutely fabulous , could walk everywhere central London . room chic ( faux mink throw bed , minimalist furnishing ) , waitstaff look like Abercombie & amp ; fitch add . check see full english breakfast include rate , fill . tesco grocery store two block away , several coffee / sandwich place nearby block . minor complaint staff member young , quite inexperienced . would definitely stay , would recommend . 
 Jan 7 2005 	 icing cake great New Year 's Eve 	 perhaps ' m naturally bias treat wife executive suite hotel New Year 's Eve , even picky , could not think anything menial criticise hotel . choose stay tripadvisor 's positive review , car park close go celebrate . on arrival , someone valet park car another employee willing take tiny suitcase we ( although say not necessary ) . Got check ok . room wonderfully big massive bathroom . give make New Year 's Eve , not enthusiastic guest leave check - out time 12 pm . rang reception problem extend check - out hour free . if downside , fact nearly trod someone 's puke pavement outside hotel go night . luckily remove way back . can not control drunk inability hold drink guess . 
 Jan 5 2005 	 Great Hotel Great Location Super Concierges 	 hotel upscale , clean , modern , friendly , center everything , yet quiet street . concierge , though , really make stay memorable suggestion , reservation , ticket obtain we . would stay minute ! 
 Dec 17 2004 	 Great Comfortable Hotel 	 choose stay De Vere Cavendish glow review site , disappointed . really love hotel . everyone else mention , location ideal . walk distance almost everything . not feel like walk , two tube stop ( Piccadilly Green Park ) short walk away . hotel sleek , contemporary design clean . check couple minute concierge helpful . could ' ve use little help luggage though . the room small expect , nice neat really comfortable . amenity could wish . little storage space luggage would ' ve nice . bathroom cool . anyway , hotel great . totally recommend . would definitely stay . London fingertip ! ! ! 
 Nov 29 2004 	 hide british Gem ! 	 ( solo traveler explore London ) stay cavendish 4 night November 2004 . hotel exceed expectation ! arrive , concierge assist ( via email ) arrange airport transfer . lobby contemporary queen / double room sleek design : tv , minibar , cd player , safe , iron , blow - dryer excellent Gilchrist & amp ; Soames bath product . room public space keep clean surprisingly quiet -- room 2nd floor . thing miss shelf room ... hotel across street brilliant espresso / coffee house : Caffe Nero . ( also London ) . also close - by Tesco supermarket . mention could save money ! location , other mention perfect . walk Picadilly Circus ( 2 block ) , TKTS ( 1/2 price theatre ticket ) booth ( 10 minute ) , Theatre District ( 15 minute ) , Convent Garden ( 20 minute ) , Harrod 's ( 25 minute ) ... tube appx . 2 block away near Ritz . hotel nestle right next door pink across street Fortnum & amp ; Mason ( not get breakfast regretfully .. next time ! ) .The hotel staff extremely helpful - assist taxi give direction . look subtly hip hotel great location , recommend one ! know will go back ! enjoy ! 
