quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Dec 2 2006 	 Good Hotel Money 	 stay 4 night find good hotel money . think would fact hard beat money . hotel close Marble Arch tube stop would first choice London relatively close theatre , Harrod ' Chelsea London come time . also Marble Arch restaurant alittle cheap area time eat area nice . the hotel nice parlor sitting room computer free internet . computer print document nearby front desk printer charge . sit room also sofa several chair guide book London . right street level face street see people walk car enjoy . also gas fireplace sit room make pleasant . tea biscuit serve we night sit room nominal fee nice . we king bed ( large ) room face street . everything room quite nice…….comfy bed , decent pillow , clean flat screen tv . tv odd spot , wall right bed , make watch bit strain . chair room terribly comfortable . would take exception previous reviewer comment 2 item mini bar actually mini bar . rather refrigerator guest use provide one flat one fizzy water believe charge . diagonally across street grocery store , always seem open , buy whatever want , decent price , put refrigerator . gym however two Marriot ' nearby use facility fee ( old one Marble Arch well facility redone ) although hotel ' charge I … … it seem trouble staff worth . I agree wall thin room would major criticism . could hear guest next door use toilet somewhat annoyance . loud guest room next door hear . would recommend hotel young people might want stay late go club sleep next day….you ' disturb people come late night think might difficult sleep although sleep 11am 5pm one day jet lag much trouble . a full breakfast price nice addition . well hotel breakfast also bad money think breakfast quite nice … … egg , meat , cheese , cereal , juice , coffee , tea , cumber slice , scone , muffin . friendly staff guest make quite nice stay . moment call hotel Los Angeles help find good indian Restaurant town would enjoy ( top food friendly service relatively informal ) knew make right choice . restaurant Chutney Mary ' way really enjoy . I would probably return hotel continue offer good rate . lot say small boutique hotel book , friendly staff nice communal room . however rate rise fair amount would tempt check choice Covent Garden Kensington area . 
 Nov 29 2006 	 good experience 	 sumner less expect , good thing . hotel clean , decently locate ( close Marble Arch tube ) , relatively spacious ( far London go ) great staff . price good well . the outright negative too - thin wall / ceiling , make hard sleep ( be choice ) . not big fan breakfast , other seem enjoy . wireless internet could work little well room , fact free entirely make . 
 Nov 29 2006 	 new favorite hotel London 	 book hotel online expect nice place , sumner fantastic new find . room comfortable stylishly decorate , bathroom modern , bed extremely comfortable , breakfast tasty location great . would stay definitely totally recommend . would say can not get well money boutique hotel London right . 
 Nov 28 2006 	 comfortable stay 	 lovely five night stay sumner . Prompt service , nice breakfast , good sized room , contemporary furnishing , everything clean , tasteful . sedate boutique hotel nice detailing . easy walk tube stop , Hyde Park shopping Marylebone village . one watchout ... partner first room basement level . room huge ( even nonworking fireplace ) somewhat underfurnished . however , bed right first floor drawing room computer table , lot walk chair move overhead late night . next morning , hotel gladly move we top floor room . little small , quieter still comfortable . would definetely stay sumner . 
 Nov 28 2006 	 great boutique hotel 	 agree recent review . hotel gorgoue London ! room everything need . modern , comfortable , spotlessly clean staff incredibly helpful . breakfast room sweet . comment would twin room king bed split two , two double thought would be . the pub two door away fantastic great able quick beer dinner genuine London pub 30 second hotel front door . highly recommend hotel . 
 Nov 20 2006 	 nice perfect 	 stay one night , experience limit . Positiv ; Location good al touristy place Hyde Park great anyway . decor quite nice cool . big bed ! quite ok bathroom . free internet . helpfull nice concierge ... negative : minibar content 2 bottle water , 's ! think mistake call consierge conferme normal . big thing , want coke ... internet work slow ( wifi ) . bed big , good . bathroom small price . all like place , especially ¨live room¨ . read amazing review little dissapointe . 
 Nov 17 2006 	 pleasant discovery London jungle 	 stay Hotel Sumner four night business travel . find decent expensive accommodation central London easy job . read reviews Trip Advisor choose try Sumner thank location , two minute ' walk Marble Arch tube station . regret choice . hotel cozy , familiar atmosphere since step . enjoy sit room give street . 's really pleasant . my room ( Queen Double Room single use ) clean , well equip , LCD screen , surprisingly silent . bathroom clean functional . receptionist friendly ready help information ( also list suggest restaurant desk ) , well lady serve breakfast situate groundfloor . Breakfast English may expect totally enough ( especially italian ) , cereal , pastry , toast scramble egg . pastry fresh . nobody perfect . recommend Sumner Hotel short long stay crazy fascinating city 
 Nov 9 2006 	 sumner excellent ! 	 get back trip London , love Sumner . staff extremely efficient courteous ( make good restaurant reccommendation ) , hotel pretty much brand new everything could ask 99 pound night . room bathroom decent size - everything sparkle . bed extremely comfortable -which maybe be not good thing - since make hard actually get ! ha . ha . room plasma tv digital cable also make hard leave room tv UK quite addicting . shower nice size great water pressure - yes , Gilchrist Soames soap shampoo cute little basket room ! breakfast room modern adorable , english breakfast include definitely enough fill up . the lounge comfortable , computer use , almost every London guidebook .... location , can not beat Marble Arch - sumner literally 3 minute walk Marble Arch tube station ... Hyde Park ! would definitely reccommend stay sumner , would gladly stay - almost sad leave ! really perfect little hotel . 
 Nov 8 2006 	 modern cozy comfortable hotel 	 great hotel , short walk Marble Arch station , make easy get around . quiet neighborhood , feel like stay friend house . really enjoy lounge area fireplace . great way relax read book plan next day 's adventure . tastefully decorate , modern , clean , comfortable inviting . would return . 
 Nov 7 2006 	 Unbeatable London Hotel 	 Rick Steves ' & quot ; London 2006 & quot ; guidebook note 13 - room five Sumner Place Hotel South Kensington receive several & quot ; Best Small Hotel London & quot ; award last decade . Sandra Gustafson 's & quot ; Great Sleeps London & quot ; describe hotel & quot ; turn genteel coziness art form & quot ; & quot ; understate air well - run country home & quot ; . much chagrin , learn close go book room trip fall 2006 . turn , luck we , brand new , reincarnation place Sumner Hotel near Marble arch northeast corner Hyde Park prove one good hotel ' ve stay 35 year travel worthy kudo owner receive South Kensington hotel . the sumner quiet oasis bustle London , short cab ride Paddington Station ( Heathrow Express Train airport arrive depart ) , within hop , skip jump London 's & quot ; Tube & quot ; system , short walk Hyde Park , Oxford Street shopping , several restaurant . our king - sized room well appoint , nicely decorate , spotlessly clean . able retrieve send e - mail Palm PDA use hotel 's wireless internet access ( computer available lounge guest leave laptop 's wireless electronic device home ) . staff absolutely accommodate every way . we pay 115 Pounds / night ( plus tax ) two night stay begin trip , 110 Pounds / night long , six night stay return London three half week continent . rate seem favorable quote , less desirable sound hotel . 
 Nov 7 2006 	 polish hotel 	 good service quality nice helpfull stuff - young polish people . 
 Oct 30 2006 	 Exceptional Service -- Great Location 	 first phone call , young staff Sumner smart , helpful curtious . locate nice neighborhood hotel five minute walk Marble Arch Tube Station , Sumner completely remodel ( think open May , 2006 ) everything still & quot ; new & quot ; look . room , clean keep way throughout four day stay . Peter able book theater ticket , make afternoon tea reservation , keep WLAN go time . breakfast staff always smile ready tray go surprise wife coffee one morning . management clearly do ( previous location South Hyde Park Kensington area ) predict next year reservation book early . small nit : 1 . ) towel set always complete -- miss bath mat one day , wash cloth next . soap replace day.2 . ) not mind elevator tell floor , also insist tell door open closing start open closing . get annoying first day , maybe ' m easily annoy ... 3 . ) WLAN still effective 4th . ( top ) floor , work great lobby4 . ) tv programming need work . channel & quot ; service & quot ; work , force flip boatload inoperable channel . really problem , since not watch much tv , kid want try , need make sure & quot ; safe & quot ; -- . 
 Oct 28 2006 	 great small hotel 
 Oct 27 2006 	 love stay sumner ! 
 Oct 25 2006 	 Love Sumner 
 Oct 24 2006 	 wonderful hotel 
 Oct 21 2006 	 Charming Hotel 
 Oct 2 2006 	 sumner Great ! 
 Sep 28 2006 	 Surprised Quality money ! 
 Sep 19 2006 	 Excellent value 
 Aug 15 2006 	 Lovely Hotel 
 Jul 3 2006 	 New / Nice / Convenient 
 Nov 16 2009 	 Hotel tre sympathique central 
 Sep 21 2009 	 AUCUNE INSONORISATION 
 Aug 23 2009 	 ? ? ? ? ? ? ? ? 
 Jul 19 2009 	 ? ? ? ? ? ? ? 
 Mar 16 2009 	 Excellent accueil 
 Feb 22 2009 	 ? ? ? ? ? ? ? ? 
 Feb 5 2009 	 ? ? ? ? ? ? ? ? ? 
 Jan 29 2009 	 encanto 
 Jan 29 2009 	 Muy acogedor 
 Dec 25 2008 	 ottimo piccolo hotel 
 Jul 5 2008 	 Ottima scelta ! 
 Mar 4 2008 	 Super alternative für London ` ` TOP '' 
 Dec 11 2007 	 Proprio come casa 
 Sep 16 2007 	 Un peu décu par la chambre deluxe 
