luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Oct 22 2008 	 Claustrophobe 's nightmare well noisy 	 teeny , tiny room 10th floor wide double bed two small nightstand . lamp one nightstand work lamp work intermittently . one side bed shelf clothing rod . remove hanger prevent bumping get bed . open drape see brick wall . towel rod shower room wide enough . shower head actually aerator sink , reduce water flow point impossible get hair wet let alone wash shampoo . easy wash sink , clean tub . sheet towel thin worn . room locate two fire door steady stream traffic ( let door slam ) 9 pm 3 am even though three room beyond fire door . everything cheap -- except price . breakfast provide . however , next door small restaurant adequate . leave luggage hotel go sightseeing . one bag clearly drop item inside damage . get practice russian staff seem mostly russian well guest . like little hidey hole room -- place . need breathe , look elsewhere . 
 Oct 20 2008 	 Perfect locate 	 decent hotel 32 street near Empie State -Penn Station -Madison Square Garden Macys - location litlle Korea exelent - nice Captains Cafe beside could breakfeast 3 - 5 dollar beneath hotel cosy place staff Cafe hotel helpfull always smile lip . room spacy although furnitore little bit old - recomend hotel one good budgethotel New Yorke 
 Oct 18 2008 	 New York - Grand Union 	 base , hotel great . room basic clean - tea coffee facility room would expect . 1 lift would problematic disability . staff helpful polite help . restraurant facility hotel , problem New York - eat capital world . the hotel 3 minute walk Empire State practically tour bus route , 12 - 15 minute walk 42nd Street , perfect want visit large store pig Hard Rock cafe . 
 Oct 2 2008 	 great hotel small efficent realy feel like know staff 	 9 we stay Grand Union hotel east 32nd st btw 6th 7th ave .... complain really hotel weigh scale reception not work beware u shoppers.the staff really accomodate good assist matter book taxi 's arrange extra night stay.situate near empire state macy 's , top tip get even number room ask u change odd number even number front street bit noisy early hour , apart problem all.the hotel offer free safe box reception book taxis limo 's suv be like we many case regular taxi take airport 
 Sep 28 2008 	 good experience overall 	 2nd time NYC previous hotel stayed book . like probably realise , aware hard find decent price hotel Manhattan clean & amp ; safe . we book 3 bed room room available stay September . price reasonable room like suite 2 people - family however , may bit little crowded . decide - attach pic it . anyway ... check fast efficient . pay credit card get key card straight away . House keep service good - normally do room 2 pm ish ( stay room NYC anyway ? ? ) fresh towel provide every day . bed make obviously . one thing like vacuum carpet room every day . 5th floor back hotel . view non existant , really care NYC ? use room sleep , period . hotel fully AC'ed think disadvantage light sleeper . consider pretty heavy sleeper ( sleep storm know anything happen ) AC unit pretty noisy ( turn night ) - rain ( rain ) - will hear rain pound top . not let put hotel though , request room towards front hotel high level floor sleep like try . fridge room - handy buying drink take back . way , tip , not buy small bottle shop , buy 1 - 2litres be price get value money . for say fridge noisy ... turn night like ! not rocket science people . the lift hotel little bit slow patience . need mark hotel cos . never wait 2 minute one time . location hotel GREAT ! walk block be empire state building , absolutely brilliant . Macy be within 3 block subway 33rd street excellent 6 ( green ) line . plenty breakfast place nearby , find nice one Madison Ave cereal toast usual . hotel offer plenty safety deposit box stash excess money passport away extra charge . 24/7 access . ' official ' free wifi hotel , lucky like , will find open network call ' Pennstate ' . leech entire 9 day stay never problem . beat pay , right ? : ) way , 5th floor , may problem be floor . hotel offer taxi service 3 airport take go Newark 5 am want guarentee . fare $ 68 , plus $ 8 toll , , go throught toll actually $ 1 . note . driver get we plenty time actually sociable , can not complain much . : ) , good experience hotel would say pretty lucky find consider review hotel . : ) would defo stay . question please let know , will happy respond . 
 Sep 25 2008 	 Ideal Location Midtown 	 come honeymoon ask hand room view empire state building duly acknowlege supply extra cost , 9023 think . ( see photo ) . room small ( standard NYC ) offer expect price , clean room double bed , tv , fridge importantly air conditioning . someone reception 24 hour make feel far secure location empire state building , local transport amazing value money great . People recommend restaurant next door food however eat stay always rush . move try Papaya Dog block along double egg roll $ 1 . overall would return Grand Union without search competitor price location . 
 Sep 22 2008 	 Brilliant - Hotel Grand Union NYC 	 previuosly stay New York expect much standard New York hotel seem far less stay anywhere else US . pleasantly suprise . the hotel great , great location , staff friendly room clean daily . the room basic clean . stay 9th floor view many room New York view . air conditioning room great temperature 83 degree ! would definitely recomend hotel would definitely stay another visit . Cafe seem adjoin hotel great expensive friendly staff . use restaurant / cafe Breakfast Saturday Sunday morning . Monday morning great place eat opposite . absolutuely huge great selection . Sushi make order , bacon & amp ; egg price ridculoulsy cheap . so great hotel great surround facility . 
 Aug 21 2008 	 location good price 	 spend 5 day Grand Union Hotel search lot . , take account expensive New York City . exactly get look for . pro : ) location : Close Empire State 5th . avenue . subway Station entrance block . must crazy city , b ) price : get clean room bathroom , around usd 220 , great deal , c ) Captain 's cafe Silo 's : two good option breakfast . recommend first one : expensive daily acid comment Toni & quot ; Turkish & quot ; ) kind friendly concierge & amp ; front deskcon : ) small room & amp ; bathroom 2 adult 2 kid , b ) Dark atmosphere c ) many other review , slow elevator . 
 Aug 13 2008 	 tiny room clean 	 small room mini - fridge , cable tv ac . comfortable bed bathroom clean . closet , wall shelf hanger . review indicate , location excellent , subway entrance block easy walking distance Macy 's ton shopping . also , plenty coffee shop restaurant within two block , include full block great korean restaurant . , good place crash long , humid August day walk city . 
 Aug 4 2008 	 good location 	 basic hotel room fantastic location . if plan spend much time room do not stay should not stay room ny.good value location . 
 Jul 31 2008 	 lucky find hotel 	 spend week week research good hotel New York , expensive compare city . eventually decide Hotel Grand Union , soooo pleased choice . the staff friendly helpful . luggage lock leave luggage need ( huge plus plane evening ) , even let we leave luggage weekend , fly Washington ( return stay hotel though ) .Our first room great . view look onto street ( get bit noisy rubbish collection do ... hey ... one expect big city ) . room clean quite airy . the second room give one night return Washington though patch first one . smell smoke ( believe not designate smoking room , real negative ) , see one night , accept it . the location hotel great . walk distance , else subway end block . great deli two block away delicious egg bacon roll every morning ! stay open late well , stop late night out . all ... really lucky find great little hotel , would recommend anyone . 
 Jul 21 2008 	 Good Choice 	 hotel well locate . step Park Avenue & amp ; handy Empire State Building & amp ; Grand Central Station . all member staff reception pleasant & amp ; helpful . airline lose luggage en route New York & amp ; hotel staff could take message , etc . the room huge adequate . comfy bed , fridge , clock / radio , hairdryer & amp ; tv . bathroom bath & amp ; shower . room beautifully clean . street noise , consider central hotel , bad . the room overlook sort well centre hotel view natural light . also , would like coffee make facility provide . I use & quot ; Captains Table & quot ; huge choice deli & amp ; cafe area . all good value & amp ; good location 
