third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Oct 14 2009 	 Plenty elbow room 	 stay 5 day 4 night . location strip great .. overly busy , like place right middle strip also far away either interesting place visit . this hotel plenty staff check there s alot wait around . 8th floor room , .. much view backside get partial glimpse pool ( ) . spacious room , low light thick heavy cover bed . good sized bathroom plenty towel toiletry . one drawback want charge WiFi service , believe ridiculous much cheap hotel across country place give service free anymore . also need install stationary ceiling fan room window open couple inch room stuffy morning . good bathroom plenty towel guest toiletry . housekeep good , even latter part day , find someone hallway need anything . casino nice wide open alot game . find , compare many casino Strip , one much open foot traffic plenty elbow room without feel overly crowd , nice . find waitresses slow bringing drink unless tip heavy hear complaint people well stay outside , casino well lay . McDonalds , Subway another fastfood business hotel adjacent casino quick bite . breakfast buffet actually pretty good price main selling point , make order omelette ... also great variety fruit fresh baked good go along typical breakfast buffet tho do not see toast biscuit . would not recommend lunch dinner buffet price , many buffet along strip offer variety price range that s personal observation . experience Diablos Cantina , pub belong hotel casino .. sit outside patio set enjoy cocktail , listen music people watch right corner Las Vegas Blvd Monte Carlo . chicken nachos fantastic house favorite prepare full .. waitress give we good tip recommend get one order serve size large , feed four easily .. try well maybe finish third sooo good . pool ( ) area quite popular Lazy River locate sound like .. rent floaty , grab cocktail poolside bar float around slow move river day want . depth three foot move . may want come early sunbathe lounge chair fill pretty fast high noon sun come around build shine pool area . overall hotel casino good point bad rank many lead place Las Vegas architecture amazing picture taking . good picture property online . the staff , hotel casino helpful super courteous everyone , answer question give advise need , whether guest visit . prepare spend alot small item might need vendor inside quite pricey unless hit jackpot money burn . find simple item will not break budget , walk couple hundred yard nearby property local CVS Walgreens store use saving casino whatever . 
 Oct 13 2009 	 bad experience ever 	 good thing hotel quiet room . leave ( fourth stay Monte Carlo ) noise unbearable . sound level boom boom boom beat music high could never relax . hard casino ( would expect loud music ) also pool area sound level restaurant . never way before . my husband never return . 
 Oct 12 2009 	 VEGAS 	 Monte Carlo alright price . room nice casino okay , much nice hotel Las Vegas though . 
 Oct 12 2009 	 Monte Carlo deliver 	 stay @ Monte Carlo four buddy last week . room cheap , king room . check - in breeze . staff pleasant attentive . breakfast buffet good . king room clean , bed look little worn , old tv 's . come Vegas watch tv . confortable bed . Maid service good job , appreciative tip . diablo 's excellent , food service . & quot ; Mohawk & quot ; waiter excellent job . casino good . & quot ; Rick & quot ; ( H / D owner ) dealer excellent ! ! ! great place stay guy 's trip . stay @ Polazzo travel wife . would recommend mid - level stay . 
 Oct 12 2009 	 Stampede 	 stay several friend Bachelor Party . got great rate room internet promo . couple day low bet table play get first two night take care well . casino small affordable easy navigate . although wish would $ 5 min table end trip , course luck . run dealer really bitter , not hold Casino . ( Cliff Blackjack table apparently hate life ) friend mention sport book leave little desire . overall though , blast table we make little $ $ . Monte Carlo centrally locate , get around pretty easy affordable cab fare . MGM across street catch Monorail want go route . pool pretty good , however buiding surround unfortunate stay shaded big portion day . room adequate clean , strip view not really room much look window . Brand Steakhouse great , exactly intimate dining experience ( open casino ) , steak amazing . ( 120 ounce ! ) food court also great need affordable dining option . & quot ; Pub & quot ; also really good . something like 50 beer tap , burger well worth 10 12 dollar . would stay , however different casino great rate , will continue hop around . can not wait till next trip ! 
 Oct 12 2009 	 great family except smoke pool area 	 lazy river wave pool attraction 6 year old 16 year old . thing wish would small non - smoking area near pool family child adult medical condition would prefer non - smoking area . hotel across street & amp ; store , arcade , roller coaster New York New York , perfect kid . try hotel agree non - smoking area please let know maybe change soon . relax day pool great enjoy Buffet Pasta Station Asian Food Station , especially 2 1 . 
 Oct 11 2009 	 BEST BANG BUCK 	 Wife spend 4 night Monte Carlo still believe hotel get bad review trip advisor . upon arrival concerned construction noise everyone complain site . we give beautiful room 24th floor overlook pool area hear sound . the next morning bathroom blow dryer conked replace 10 minute hotel staff . the rest week perfect staff pleasant cheerful , always available need they . the entire hotel spotless buffet good get price charge people . if go want quick bite eat , try fast food ( Sbarros , Subway etc ) locate casino near pool entrance . the pool area nice travel child check Lazy River . if want rent inner tube go next door CVS purchase $ 5.99 , rental run $ 14 day . we highly recomment Monte Carlo great place stay .... period ! ! ! ! ! 
 Oct 11 2009 	 nice really family friendly 	 wife three young kid stay three nite . nice clean . love lazy river , wavepool disappointing . last day ( friday ) pool turn spring break . Great not kid 15 year young . great location . 
 Oct 11 2009 	 nice room perfect location 	 decide take quick trip Vegas get great deal Monte Carlo . never Vegas although boyfriend stay way end strip . think location perfect ! right next New York , New York across & amp ; world , MGM grand far end like Mandalay Bay Luxor . alot construction go Mandarin oriental opening December besides great ! room typical hotel room , comfortable staff nice . hear clean staff knock door around 8:30/9:00 plan sleep later maybe put disturb sign door . slight problem bed first 2 hour without hesitation management move room compe we free dining buffet . not go pool could see room . lazy river , wave pool , two pool look clean nice saw . if go back Monte Carlo would def would stay . 
 Oct 11 2009 	 Great Value 	 arrive hotel 2pm Tuesday , give room key witha smile . good size , clean clhearful appearance . everything work , housekeeping staffwa friendly efficient . eat Andres restaurant , food good , staff friendly . I understand other problem , noise construction , wife enjoy spa , Lance Burton magic show excellent . perfect position strip.easy get anywhere . buy day pass public transportation strip , thestroll strip interesting . enjoy ! ! ! 
 Oct 11 2009 	 central easy navigate 	 Stayed Monte Carlo 4 night 2 week trip around US . first impression hotel nice everything doorstep , either within hotel outside . check staff incrediably slow , conceirge future visit miss room item helpful prompt . room spacious dark bathroom fine . find lack coffee maker bar fridge sign force stay room spend money . $ 4.99 fee atms downstair shock , think within casino region probably norm . cleaning leave bit desire , example clean could not reach corner bed put duvet flat left . may due huge volume room clean not time make finish touch . room service tray leave well 24hours floor , think unacceptable particularly guest leave half eat food uncover . Buffet hotel lovely friendly staff great value . casino staff fantastic endless patience . bar opposite not treat want we ( decide serve we ) . careful baggage storage bag keep together go back hotel airport realise put luggage taxi . 
 Oct 10 2009 	 good location stay 	 monte carlo good location strip . 's easy get location strip . 's lot nightlife monte carlo , casino aspect good . 's open air restaurant / bar front hotel . pool nice rowdy hotel pool 
 Oct 9 2009 	 go back 	 like Hotel . Maid service slow take forever fix problem . disgusting stain Sham bed . change ask . take theme three day . room clean . 
 oct 9 2009 	 Monte Carlo Las Vegas 	 expect little well big name hotel . fire alarm go 1:00 not help . 
