could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 May 30 2009 	 Great Room Superb Location Union Square 	 hotel superb location San Francisco . one two block Saks Fifth Avenue , Neiman - Marcus , Macy 's many designer store . couple block away Bloomingdale 's Nordstrom ( Westfield Shopping Centre ) . BART station ( Powell ) also walk distance , mode transportation SFO . room 16th floor clean comfortable . large Bathroom . might big deal , like hotel provide in - room coffeemaker , Hyatt provide ! lobby personnel friendly ! 
 May 29 2009 	 pretty good value 	 stay Gran Hyatt four night last week . upon arrive hotel , pleased check - in service . wait 15 minute wait , tell hold minute clerk answer phone . need clerk crowd . although clean simple lobby pretty boring . not anything check - in desk elevator . one upstairs , pleased room . room bathroom spacious , comfortable clean . good part view . 25th floor amazing view bay , Coit tower Alcatrez . could not ask well room . bar restaurant top floor offer amazing view . drink , could not afford anything eat ; - ) free internet room , business center . $ 5 15 min . hotel amazing location , right middle Union Square , shopping mecca ! name brand department store designer look right around corner . 
 May 28 2009 	 average hotel incredible location 	 first time Grand Hyatt hotel expect something luxury . room ok good big bed 's . make hotel good option San Francisco location , close Union Square store restaurant . 
 May 26 2009 	 fantastic location great view large room 	 book one night Hyatt quote rate $ 167 walk street - much cheap hotel area . room huge , brilliant view Union Square . ' m sure room reasonable floor upwards would good view regardless way 's face . the restaurant bar 36th floor great view city - worth going even drink bar - child - friendly . 
 May 26 2009 	 great room great location . close everything . 	 three we stay Grand Hyatt near Union Square San Francisco Memorial Day . reserve room Priceline name price offer . could not happy . the check - in process easy . arrive 11 front desk attendant happy check we early accomodate request 2 double bed . room nice . modern room , clean invite 17th floor room great view . room minor wear tear , expect . bathroom great , bed fantastic . the good part great location . one block cable car line 3 block Powell Street BART line . fly Oakland , BART great way we get hotel . Pier 's 15 minute cable car ride away . the concierge desk especially helpful . utilize twice . second occasion , wife want specific desert , concierge go beyond find we look for . the parking pricey , turn rental car ( spend part weekend Sacramento ) use public transit . would recommend rental car stay hotel . buy 1 day , 3 day , weekl long pass public transit get everywhere need go . for tourist look place sleep shower , hotel perfect . great . 
 May 23 2009 	 Great Hotel 	 Hotel clean , good location ( walk chinatown union square ) . cab waterfront probably need ( lot hill ) . block convention center walkable . hotel bar top floor great ( pricey ) one good view city . 
 May 23 2009 	 Good location get Little Long Tooth 	 last stay hotel 2004 time remember impressed location . well location change apparently neither anything else hotel . hotel clean , overall worn appearance need renovation . one reviewer note like three star hotel five star . carpet wear room , expect little Hyatt . fact want charge outrageous sum wifi access help . probably go elsewhere next time . 
 May 20 2009 	 Terrible Service Mediocre Hotel 	 book two room priceline.com get good rate hundred dollar . guest able arrive two day reservation speak Hyatt representative make sure room would cancel , understanding would still pay unused night . upon check confirm second room still hold late arrival . sure enough , arrive informed room cancel . staff acknowledge note reservation say make sure cancel , nonetheless say nothing could . front desk staff rude helpful . embarrassing , certainly hotel . this mediocre hotel , dump certainly , many comfortable hotel part town cheaper , undoubtedly treat well . needless say , never stay hotel , city liek San Francisco many civilized option . 
 May 14 2009 	 average hotel great location 	 hotel average . nothing special mention . get room Priceline.com , really not major complaint . deeply discount rate . clean , would rate 4 star . 's 3 star hotel 5 star location . staff friendly helpful . big concern parking . budget , charge $ 50 plus tax parking . say big rip , especially park across street Sutter / Stockton parking structure much less , depend enter leave . keep mind be in / out privilege . first night 's parking $ 17 second night 's $ 15 . big difference versus $ 50 night . save money park car . want in / out privilege , be another structure Sutter $ 35 24 hour period . look little extra , find hotel good . 
 May 5 2009 	 Location Location Location 	 hotel typically upmarket chain . efficient service friendly , comfortable luxury . however location brilliant , right heart city Union Sq well worth recomendation . million mile Powel St Bart station need get airport taxi travel light 
 Apr 20 2009 	 nice location beautiful hotel . 	 check easy , helpful front desk . nice , clean room beautiful view city . good size nice bathroom essential . check easy via telephone . ' m look forward stay , . 
 Apr 14 2009 	 Excellent Service Clean Rooms parking 	 first , aware hotel parking . fact , two choice : valet ( $ 45 / night ) public parking ( $ 35 / night ) . wish know booking . say , hotel clean , amenity feel new , staff superb ! moment arrive , staff super helpful cordial bell man restaurant staff . dinner Grandview Restaurant 36th floor , feel pamper service ( even though messy 10 - month - old we ) . next morning , let stop buffet pick pastry bring room ( reasonable price ) . staff even go way help baby stroller . the location excellent ... block away Macy 's center Union Square . ' m glad hotel kid - friendly . Downside - Wifi $ 9.99 , course lack parking . overall , feel like everything clean room , decent view ( 5th floor ) , not problem . 
 Apr 4 2009 	 great location loud click 	 little worried reading review . truth unbiased couple . location awesome . room fine . nice & quot ; outdated & quot ; anything else , although see worthy $ 200 price tag , pay regular price . $ 89 Priceline rate seem like really good deal . staff wonderful accomodating . everything great ... except click ! wow , light sleeper , drive nut . staff say happen wind blow worse high go . something hotel move earthquake safety . sure loud though . give view 10th floor move 4th . much well room much anyway . want view , head restaurant . 
 Mar 24 2009 	 Nice Return Visit 	 third stay Grand Hyatt , San Francisco , obviously please property . find overall location perfect , right Union Square , close BART , Westfield Mall , walk distance Embarcadero , North Beach Chinatown . end walk almost everywhere need go , except taxi ride Russian Hill area restaurant . our room expect , Gold Passport Floor pleasant upgrade allow we access Regency Lounge . nice lounge overlook city coffee morning , drink afternoon dessert evening . nice place relax read newspaper talk plan day . service front desk concierge pleasant efficient . opportunity stay new Intercontinental also nearby Fairmont visit , choose Grand Hyatt , mostly location ideal want comfortable level service amenity . 
 Mar 23 2009 	 Excellent a+++ 	 mom book Grand Hyatt centrally locate Union Square . awesome help conceige arrive ( transportation to / from SFO , around city , etc ) check - in breeze get . room look Union Square 31st floor . catch Culture Bus California Academy Sciences ( GG Park ) block away drop even close Grand Hyatt . would recommend anyone want hotel easy access everything . cable car block away Powell ( not ride trip , love ) . view Grandviews lounge 36th floor die ( catch afternoon rain night could see bridge ( GG Bay ) , Alactraz , Transamerica building ) 
