quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 May 18 2009 	 Desert cost ! 	 book Desert Rose 4 night 18 April 2009 base review , proximity strip , kitchen price . advise upon arrival 9.40pm ( email twice advance advise ) hotel major plumbing problem morning many room service would go Bluegreen resort ' around corner ' night . interestingly phone LA airport 6.30pm flight check someone would arrive one mention anything . suspecting rat , tired keep argue ( follow 21 hour flight day home 7 9 year old tow ) , hop taxi pay hotel drive drive drive . ask go taxi driver ( bless gorgeous man ) point far away light indicate hotel half hour walk strip past huge dangerous vacant lot . take we back Desert Rose . say happy shift another hotel equal well ( ie 2 young child strip proximity paramount ) . Nup , ' . denial request see room plumbing problem confirm suspect . hour arguing - pick wrong jetlagge woman wrong night ready set lobby hotel room put kid sleep couch – abracadabra suddenly room available . amazing . try low life trick hope story help . obviously look like total sucker – ie pay non - refundable rate advance busy weekend could well offer table ? even hand back $ 40 hooter voucher give feel sick look it . my advice hotel – lift game choice front desk manager – doubt guy working night 18 April hotel would want represent . far well . room nice , ' use kitchen ' figure grocery store ( ' car ) ' want go near front desk ask stay . Vegas great West Rim fabulous . 
 May 17 2009 	 good time ever ! ! 	 choice , stay hotel ! breakfast fanatasic , cocktail reception wonderful , staff friendly ! ! ! hardly spend money food - snack dinner . easy access hotel airport - Airport shuttle $ 6 way ( buy token - make much easy ) 's block away strip - MGM across street 's easy access monorail . ' m much gambler , casino hotel work great . do not worry smell like smoke time noise level low . 1 - bedroom suite spacious clean ! private balcony great ! full size kitchen appliance ( blender , toaster , full - size microwave , frig & amp ; stove ) . nice dinner table chaise lounge . bed comfortable big . bathroom little small , make deep tub . tell everyone since ' ve back - place stay ! never stay casino hotel . room much cheap well quality room ! complaint come Desert Rose Resort 
 May 16 2009 	 Quiet relaxing place stay close strip 	 boyfriend recently spend week . recommend book directly , might get good deal ( check travel site feel book well end pay almost half price room thank special ) . pool , free continental breakfast , free WiFi Mon - Fri little get together guest invite people come drink snack . find employee helpful , although help find place quick , 's good note place directly behind Hooters side street . we one bedroom fully equip kitchen . equip ? go store nearby , buy food make meal right room . 's dining area living room area . bedroom nice big comfy bed , bathroom nice . everything wellstocke , clean make we feel like home . would stay heartbeat next time take trip Las Vegas . and feel like gambling , shopping , eat , club , etc , may able be close enough strip need go 5 min get big casino resort . 
 May 15 2009 	 oasis amongst madness Vegas 	 want stay close Vegas Strip also want sanctuary away noise madness big casino hotel , Desert Rose real find . one block away New York New York 's quiet peaceful , large , clean apartment style suit pleasant outdoor swimming pool fitness room . friendly staff . god value money . restaurant ( room kitchen ) continental breakfast include . highly recommend . 
 may 15 2009 	 truly rise -- -- sea cactus 	 place problem recommend friend . need desire meet friendly staff wait please . 
 May 15 2009 	 Rose Desert 	 retune week long trip Las Vegas stay Desert Rose . owner SVC Barie , Canada , therefore exchnage week . arrive late night 11:30pm , room 11:45pm . Complimentary Bfast , Internet , happy hour evening pleasant surprise . room match svc property stay , well appoint . problem stay resort . stay go Las Vegas . perfect location close strip yet could peace quiet choose . 
 May 15 2009 	 great spot away glitz 	 lovely time Desert Rose Resort Vegas . fabulous family youngish child , like we . clean , room nice wow factor , handy Strip main attraction , lovely pool , good breakfast nibble night staff helpful ( except concierge - give we poor information ) . would recommend great place family want experience Vegas without amongst glitz hype . 
 May 13 2009 	 good value money 	 Ceck - in , check - out , service fast prompt . continental breakfast , manager 's snack evening , room service , cleanliness property pool side excellent . apartment fully equip kitchen . laundry service cheap good . though facility ' Strip ' convenience stay ' Strip ' . however atmosphere serene pleasant . 
 May 13 2009 	 great resort wonderful experience 	 Accommodations nice , complimentary breakfast cockail hour first class . complimentary internet access unusual treat well . location great , within walk distance Strip . 
 May 12 2009 	 quiet nice cheap friendly people centrally locate . want ! 	 not expect much hotel , since stay venetian start vacation . everything exceed expectation : room HUGE , kitchen , everything nice clean , everybody friendly , breakfast complementary , nice pool , quiet strip . pity one night fly back home ! 
 May 12 2009 	 Great Value 	 pick Desert Rose read review Trip Advisor not disappoint . staff friendly ; room clean , well equip plenty space ; location ideal - couple minute walk strip ; excellent value money . not feel miss gambling hotel - fact nice come back peace quiet . would definitely go back ! 
 May 11 2009 	 good value strip kitchen . 	 get room day stay travel site . know get . please everything , check . great space , strip . instead little room scream & quot ; go gamble & quot ; offer comfortable space kitchen living room comfortable . good value . will use . 
 may 10 2009 	 Excellent service stay 	 room allocate spotlessly clean put next carpark access gate slam constantly guest arrive back resort . a quick call front desk relocate within 15 minute . decent breakfast , large 2 bedroom unit clean well serviced staff . tip - ask room top floor avoid noise occupant . 
 May 10 2009 	 Quiet Comfortable 	 exactly want - something peaceful slightly strip . room really nice price reasonably . 
 May 10 2009 	 excellent value quiet oasis far Strip . 	 read review try Desert Rose disappoint . excellent value , courteous plentiful staff , quiet . want close action , place , within walk distance 4 corner Strip . avoid crowd breakfast , go early ( 6 am weekday , 7 am weekend ) . complaint , nice pool , generous poolside chair / table , etc , adequate continental breakfast , Starbuck 's coffee , nice excercise room , nice one bedroom condo , well equip , in - room wireless internet , & lt ; $ 50 per night ( use travel site w / discount code ) . pleased go back . thank Desert Rose . 
 May 9 2009 	 good room strip 	 Desert rise nice hotel w/ amenity home . full service kitchen nice ! price food restaurant outrageous would rather go grocery store & amp ; cook meal . room comfortable & amp ; spacious . not need anything . nice balcony great friend smoke . Desert Rose walk distance Casino & amp ; grocery tuck away behind Hooters 's nice , need pay parking . Quiet & amp ; relax ! 
 May 9 2009 	 even expect 	 find hotel use Tripadvisor , usually satisfied - although sometimes & quot ; good value & quot ; not & quot ; good & quot ; . case find . book 2 bedroom suite ( timeshare condo 's , actually ) one bedroom available night want . matter - $ 108 / night not break bank . travel several week Holiday Inns , Hiltons , etc expect nice standard box . however indeed complete 2 bedroom apartment , bedroom ensuite , full kitchen utensil , wine glass etc . unit must upgrade last couple year everything modern work well . review indicate plumbing problem perhaps unit special - 5 nozzle massage shower really nice , example . also , three tv 's seem bit much , not stop . breakfast reasonable extravagant . however free wine cheese ( veggie platter ) 5 pm certainly unexpected perk . really nice chance socialize around pool central courtyard guest . furthermore , misgiving security vehicle allay rather obvious 24 hour security guard lot . Vegas strip block half away , airport close still . one would expect lot noise , somehow whole resort seem quiet - float bubble silence . friendly desk staff concierge good answering question . go back Vegas would certainly recommend resort friend - much space suite wife rattle around . imagine would completely adequate 4 people without element crowd . 
 May 9 2009 	 Desert Rose Thomas Cook 	 travel direct Manchester Thomas Cook economy , dreadful outgoing flight people cross aisle extra leg room seat row 9 even ask four occassion cabin crew . gave end change seat return alot well . Desert Rose lovely resort next Hooters MGM Grand . short walk strip short cut car park . small problem quickly resolve Judy manager Thomas Cook rep . room space great comfortable , could live . breakfast bit mess , food good varied many place sit eat , good get early . know people bring tray bake tin room fill take back simply enough room sit . return without doubt near future . cocos restaurant right Duke Ellington , past motel 6 sign . 
 May 8 2009 	 great location staff 	 look many resort RCI visit Vegas . construction go , good location , bad review . first choice Desert Rose thrilled room open . stay great . staff welcome helpful . nice robe we use continental breakfast every morning . location perfect block strip near MGM Tropicana - walk everything . bathroom small , two us issue . would definitely stay . 
 May 8 2009 	 CA not think one bad thing 	 's often day age say absolutely nothing bad hotel ' ve leave , ! eight woman make Las Vegas adventure 3 night 4 day trip lifetime ! hotel big expense get away honestly say Desert Rose compare top - name hotel people family can not afford . feel comfortable , well take care , safe assured get heck deal money . hotel two city block away strip . continental breakfast free stay manage drag bed make sure not miss array cheese , egg , bread , juice fruit morning . even manage arrive Friday happy hour first buzz ! pool clean , ground clean , room clean neat . security see parking lot constantly meet employee offer smile - guy suit ( make sure everything do correctly ) room clean staff dedicate folk repetitious job . , be talk eight woman ... many place could satisfied we ? thank Desert Rose ... back ! 
 May 8 2009 	 Review bit late feel guilty sharing good resort ! ! 	 stay Desert Rose Nov 2008 , review late always intend give great review resort well late never ! ! Vegas get marry . arrive 4 day family arrive could not wait see place . staff amazingly friendly especially cleaner lady serve drink Manager 's Special night . room lovely spacious lucky enough view look garden . decide stay always ask one room ! ! room clean kitchen full everything need even dish washer . laundry facilities site great help well . day wedding staff good bring flower etc ... walk strip take minute , bet less time walk room entrance one big hotel , feel really safe even wander back 3 am ! comp breakfast welcome every morning . resort honestly enough guest welcome hope may always continue like . prob problem flush toilet ( sort within hour maintenance ) key card would not work couple time ( sort quickly ) . end thank staff Manager cleaner security guard reception staff make special time we fabulous , anyone consider resort go ahead book , fab ! ! ! 
 May 7 2009 	 well pleased feature resort ... bill 	 read 3 full page review make reservation . positive pretty much . probably strong rating give resort review . suit we perfectly . location great strip monorail . great atmosphere . nice little pool relax want . would recommend anyone stay hopefully . 
 may 7 2009 	 quiet little Gem good value money hand ! ! ! ! 	 family 4 stay desert rise May 1 - 6th 2009 . find Desert Rose excellent value price . love 5 min walk strip , locate quiet area . free continental breakfast FABULOUS , alot excellent choice eat ....... one less meal worry especially deal try feed hungry kid first thing morning . staff always friendly accomodating , eager help always take time say & quot ; hello & quot ; hotel remarkably well keep , spend alot time keep ground neat tidy . pool large , perfect kid cool . nice walk back hotel see slot machine walk strip see everywhere - great get back peace quiet Desert Rose . the downside , fault hotel ocasional waft odor street , quite moth fly around outside hall ....... time year ........ would stay moment , already plan next vacation . recommend hotel family friend - good value money , HANDS ! ! ! ! 
 May 7 2009 	 would definitly stay 	 spacious room , friendly staff , love social time afternoon , quiet , still close strip 
 May 7 2009 	 can not wait go back ! 	 stay last year convention , choose come back year without hesitation . renovation go last year pretty much complete ' ve do great job . use stay one large four star hotel strip , discover place . 's short safe walk monorail station quickly take right convention center , avoid overcrowded shuttle parking problem . be like come home comfy condo end day . wife join day , enjoy workout read private patio time pool day . walk strip evening get fill noise bright light , Vegas ! always say would great place bring 7 year old , always kid around , be happy keep little hideaway . be squeaky clean , comfortable everything need . unthinkably quiet , consider airport nearby huge casino hotel literally around corner . think competitive nightly rate free wifi parking realize great value . even simple breakfast late afternoon snack put . get back already plan return ! 
 May 6 2009 	 Great Place stay 	 way outdoor adventure , stay one night Desert Rose Hotel , recommend group meet . find hotel inviting , friendly front desk staff . quiet peaceful , slot machine - yeah ! ! . find room spacious comfortable . time contraint not chance visit invite pool Rec Room . upon return outdoor adventure , group stay another night hotel , we spend hour hotel rather wait airport . concierge help e - check print boarding pass . would definitely recomme Desert Rose Resort . 
 may 6 2009 	 brilliant place 	 great place stay strip . return 5 night stay desert rise . las vegas 7 time ( UK ) first stay . include full continental ( bit ) .There manager happy hour 5 - 7pm beer , wine soft drink nibble like spring roll chicken nugget stuff . available mon - fri . the pool good abit cold hot desert sunshine , nice refreshing . bed ( sun lounger ) towel provide free charge . the roon fantastic , separate bedroom en suite , lounge dining area well stock kitchen like cook . room side much see ( top tropicana hotel ) quiet . room nearer main road could bit noisy . the downside one would 15 -10 minute stroll strip near mandalay bay , begin strip . put we stay next year . suggestion would desert rise free shuttle strip hotels strip . highly recommend desert rise friend also repeat visit LV . 
 May 6 2009 	 HOME AWAY HOME 	 Desert Rose Resort make stay free easy like home . my spouse stay many time . deceide Desert Rose place stay Las Vegas . 
 May 5 2009 	 simple perfect need spacious comfortable . 	 need hotel 5 day vegas later end 2 week trip , not sure wanted pick something face theme , perfect . glad pick hotel , slot machine site , get nerve , nice escape . walk distance strip mono rail close airport . breakfast get busy day , find easy take plate get need take back room , ' ve get need room even toast bagel toast one side . nice touch put snack evening venture onto strip . spend one day pool , comfortable , love see young kid fun . fly Las Vegas would stay Desert Rose Resort 
 May 5 2009 	 stay else Vagas 	 really injoye room people Vagas . quite pleaseing get early room ready we . clean right next strip . 
 May 4 2009 	 Great Location - Great stay 	 great stay hotel . location great , strip . quiet , smoke free casino . look place . staff friendly , room great bed comfortable . kitchen really nice everything basic kitchen . pool hot tub nice , able take break mid day rejuvenate pool hit hot tub long day walk . breakfast extra bonus . not expect much basic . cereal , bagel , bread , fruit , coffee , tea juice . unusual hard boil egg ham . lot people bring pan kitchen fill eat room . to top room free safe free internet . bring laptop Itouch kind info finger tip . hotel everything want would definitely recommend would stay back Vegas 
 May 4 2009 	 nothing well Vegas 	 Las Vegas New Zealand large group 23 stay different casino resort strip . stay Desert Rose many friend family visit we Desert Rose extremely impressed venue , facility , fantastic breakfast size room . many express travel Vegas would stay Desert Rose . fiance stay total 11 night end extend stay enjoy much . room huge Vegas get full kitchen handy stay somewhere long . use room get ready wedding two bridesmaid , two hairdresser / makeup artist Dad still plenty seat room . would recommend hotel everyone consider anywhere else stay Vegas ! ! ! 
 May 4 2009 	 well keep secret Vegas 	 Desert Rose far away good value Las Vegas . one block strip , convenient area attraction . make great room staff . room terrifically appoint staff attentive every need . I visit Desert Rose next stay recommend colleague friend same . Terry BlackFairborn , Ohio 
 May 4 2009 	 wonderful quiet gem 	 visit family birthday 12 people 2 baby can not say enough good thing Desert Rose . one Vegas fan , perfect . unless want walk one block ' strip ' would never know heart Vegas hustle bustle . pool nice kid friendly family . continental breakfast weekday cocktail party nice . suite nicely appoint , although carpeting furniture need upgrading , minor . kitchen fully equip , nice private balcony . staff friendly helpful .... walter particular terrific need late checkout . would definitely stay . fabulous value . 
 May 2 2009 	 Awesome hotel ! 	 stay per trip Advisor rating , not disappointed . near enough Strip walk , far enough away ( 3 block ) 's much quieter . ask quiet room give we room 4305 ( build 4 , 3rd floor ) . could see pool balcony , not right . free high - speed wireless priceless still homework finish . cold breakfast morning nice . 's soda wine reception every evening , though never make . overall , one good stay ' ve Vegas . would definitely go back ! 
 may 2 2009 	 love Condo 's 	 first visit Las Vegas stay 5 nights- condo uber clean ( even patio door ) ! Maid service daily step . short walk & quot ; Strip & quot ; short walk MGM Grand catch monorail . car need . Breakfast Happy Hour Bonus . would definitely choose condo Desert Rose hotel room Strip ! 
 Apr 30 2009 	 Thank Trip Advisor 	 find little gem thank T.A . one night ( last night ) happy . booked one - bedroom suite two month ago $ 101 Expedia check couple day ago rebooke special $ 75 - deal ! suite great , pool jaccuzi great , free breakfast buffet good ( cold , nothing hot ) location great . flaw , be serious one opinion , load aggressive pigeon everywhere . resort definitely need import couple cat and/or spray bottle handy outdoor table . 's cold beer free 5 - 7 happy hour ( wine , good ) along couple appetizer . way , love mexican food , go & amp ; 's Luxor . Prettybar / restaurant ' ve never see mexican food ( delicious ' ve eat lot country ) present wonderfully . Comfy tool leather bar seat great lighting . 
 Apr 30 2009 	 clean quiet hotel . 	 fourth time stay Desert Rose Resort enjoy stay always . room clean service great . staff helpful help retrieve lose wallet . like room , quiet night without traffic noise , pool . breakfast OK . plan return . 
 Apr 29 2009 	 review - goof 1st review 	 one good stay Las Vegas many year . close strip hotel . room well decorate , frnishe equip . thye staff very7 friendly treat like royalty . go back next month . Lonewolf 
 Apr 29 2009 	 beautiful facility well locate close strip excellent value 	 great place , beautiful room ... love resort feel . have amenities- kitchen , living room , 2 bath . 
 Apr 27 2009 	 great stay 	 great hotel want quiet place stay walk Las Vegas Strip . great value money , clean room , excelent service perfect location . need place relax crash hotel exceed expectation . great 800 square foot suite 2 bedroom , 2 bathroom , kitchen , dining & amp ; live room . use master bedroom two we , use kitchen either everything need would like save buck food . 
 Apr 25 2009 	 Yep say ... 	 Desert Rose Resort pay attention detail . town conference need quiet place work relax . Desert Rose deliver . suite completely equip everthing need ; free internet huge bonus , fully equip kitchen ( dishwasher , oven , plate , silverware , even toaster ) , spacious suite allow we live work comfortably town . 's Ritz , be one strong value know LV . staff friendly efficient , make sure every detail take care . travel living resort stand . 
 Apr 24 2009 	 Desert Rose Good Value Money 	 return 8 day stay Desert Rose Resort . good location short walk strip monorail . nice look property , comfortable accomodation , price right . encounter problem .... flow toilet , jammed safe , malfunction air conditioner . problem correct acceptable time frame call front desk . free continental breakfast adequate . consist bread , cereal , bagel , hard boil egg , lunch meat turkey , beverage . enough seating day go . many guest bring pan & quot ; load & quot ; massive quantity food bring back room . favor skip breakfast . Coco 's Restaurant quick walk away . food absolutely delicious , service exceptional , free refill beverage great bfast menu . personally would definately skip continental bfast Desert Rose . ; look non casino property good value money . something keep mind book maid service every 3 day . call several time request clean towel quickly bring room , question ask , daily clean towel maid service would nice . would reccommend property anyone want non casino property close strip . 3 star accomodation ; alot frill ; clean basic . close mentioning last day Desert Rose find one cockroach kitchen . management apologize profusely tell we common desert property see roach . tell exterminator come weekly . ; -D 
 Apr 23 2009 	 great overall package / value / location 	 come convention Vegas time really try avoid stay Strip hotel ( ' m foot bill ) . ' ve stay Downtown off - Strip find good value , place great ambiance , safe 5 - 10 min . walk Strip , complimentary breakfast great . 3 people share 2br suite work great ! security staff conscientious ; get phone call 1:30am window car roll ; something overlook parking . sure , not like get take care , ' m glad job ! 
 Apr 22 2009 	 5 5 truely exceptional 	 pro - all really , truely excellent.-apartment style room fully equip kitchen lounge area , 2 tv , large bathroom.con - complementary breakfast like feed time zoo , hotel fault , give free food , come run . , day utilise . hotel fault possibly different approach breakfast could think . 
 Apr 21 2009 	 still great place 	 stay last year love . indeed oasis friendly people . clean quiet . love kitchen ability coffee toast get dress . we old people not drive lot traffic great place get find way around town without hit lot oftraffic . Monarail strip . even church close . 
 Apr 21 2009 	 great - clean non - smoking well - locate convenient economical 	 would hesitate recommend Desert Rose . excellent value . 
 Apr 20 2009 	 Perfect place non - party type stay L. V . 	 friend choose Desert Rose trip World Cup Grand Prix could not happy . quiet , comfortable 10 minute drive ( less ) Thomas Mack Center . also convenient strip walk dinner last night . two bedroom suite perfect two woman different sleep habit . friend nurse work night , therefore , accustomed stay late . , however , early bed type like fall asleep soothe drone tv news talk head . tv room , problem . because we ticket evening competition different night , not get manager reception thantwice , find friendly real plus resort . breakfast ok , opinion , especially since run yogurt almost every morning totally absent weekend . good side , however , quite easy keep refrigerator . the negative since family friendly resort , many family many small child pool bit unfriendly senior 's point view , be nit pick . , can not think place would rather stay LV.I would definitely stay next time visit LV 
 Apr 20 2009 	 great family good value 	 get back 2 night Desert Pearl . great value ! want fancy landscaping pool valet spray Evian , go somewhere else . stay Desert Peral want 1BR condo everything need . full kitchen , king size bed , adequate pool free pool towel , sofa - bed kid , free breakfast , evening reception gambling . fact 's next Hooters hotel -- 's kid friendly . review indicate furnishing old date look like room recently update . new utensil , new fridge , new easy - clean electric range dishwasher . even measure spoon 's well furnished . bed old not like old style sofa - bed , might want skip place . wall also thin someone shower flush , hear . condo step typical kitchenette room -- normally part Shell Vacations Club time - share nice touch . staff friendly left voice mail daily weather report . breakfast buffet hectic enough table / chair bring pan room bring food back eat . breakfast include cold - cut -- strange . assume provide we use pack picnic lunch . one compliant . landscaping seem like & quot ; natural & quot ; fertilizer use . smell last couple hour not bother we unless outside . 
 Apr 18 2009 	 beautiful little place right behind strip 	 pleasant surprise ! place right behind Tripicanna ( coincidentally ) good friend stay . easy access everything ! pretty one beadroom condo , great free breakfast happy hour . could not happy . 
