would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Sep 23 2009 	 Fantastic Stay NYC 	 husband & amp ; friend surprised & amp ; wife quick getaway NYC . Flew Buffalo early Thurs morning arrive back home late Sat night . I initially quite nervous hotel husband book we stay since tell right Mannhattan , know tight budget . well , pleasantly surprised see even outside hotel location arrive ! 's clean area city beautifully , simple , modern face . inside meet friendly doorman , front desk staff . since hot ( 32degree ) day , LOVED chill water orange peel offer complimentary lobby . friend ask nicely Chrysler view room available , could give we , since celebrate 10th anniversary . , kind , get room 32nd 33rd floor spectacular view city . room clean , modern & amp ; large , even kitchenette , nice , even though use dish fridge . we eat fantastic new little pan - asian restaurant 34th street , East Pacific . would definitely recommend Panag Curry -- absolutely amazing . boy pizza Pizza Mercato , also love . washroom also clean LOVED Aveda soap & amp ; shampoo . much , actually , leave note maid next day , couple dollar , ask refill & amp ; come back 15 bottle + soap ! ! generous . check easy . flight not leave 10 pm , whole day spend city . ask leave luggage & amp ; return later pick , problem . pick luggage even able use facility @ spa ( shower , bathroom , etc ) freshen head airport . Not- spa close @ 9 pm . awesome able feel good walk around day heat . all all- LOVED stay hotel would definitely LOVE stay return . 
 Sep 23 2009 	 excellent stay concierge rock ! 	 imagine : long exhausting day , enter chic , modern Dumont quiet place minute Empire State buidle , take elevator private , cosy 2 beedroom suite 31st floor , stand next window unwind look red sun touch Chrysler buildling . hotel fantastic much different . love every piece , panorama relax give feel freedom " space " city make feel small . staff great , absolutely well witty , british - accent speak concierge work Monday Wednesday , simply rock ! tip : * tkts ... " Rock Ages " " height " 
 Sep 21 2009 	 Excellent Choice Young Children 	 husband travel 18 - month - old son four - night stay choose Affinia Dumont location ( central sight loud crowded ) , glow review TA also find good package deal Affinia ' main website . hope room view instead back hotel , small view 3rd Avenue . could ask move decide ' matter . reserve one - bedroom suite son could sleep separate room we work perfectly . second television bedroom ensuite bathroom ' disrupt main living room . check - in , ask need crib respond yes , still arrive return dinner , metal crib bumpers linen bring promptly call front desk remind . staff member welcome , particularly doorman get big kick son practically treat like celebrity . the kitchen live room handy order refrigerate purchase drink snack ( small grocery store nearby ) , although toaster , microwave dishwasher , surprisingly coffee maker . real complaint , even , manage fine run first thing buy coffee pastry . numerous breakfast option close 34th Street alone : Starbucks Park , Guy & amp ; Gallard Madison Murray Hill Market Lexington . Affinia ' pillow menu fun idea . reservation , choose sound pillow ( plug iPod hear music softly speaker inside pillow ) swedish memory pillow , wait we make bed . also reserve walk " experience package " , include pedometer , iPod shuffle walk map . hotel locate residential neighbourhood many restaurant , shop amenity nearby . interested architecture , beautiful view Chrysler Building north Empire State Building west . family , Madison Square Park quick walk south well - equip playground , Bryant Park leisurely stroll northwest gorgeous vintage carousel ( son absolutely love ) . local dining tip blue Smoke 27th near Park , lively barbecue restaurant great kid menu . 
 Sep 21 2009 	 Disappointing 	 select Dumont overnight trip Big City base number factor : great review Tripadvisor ; relatively ( NYC ) inexpensive rate hotel class ; location ( walkable Midtown also Chelsea gallery plan visit ) ; fact room equip kitchenette , meaning could save time money bring breakfast eat room ; availability 24 - hour , no - fee guest fitness room within hotel . high hope hotel could become base future trip NYC , ' m sorry say disappointed . annoyance start immediately . direction hotel website guest come Connecticut come westbound side 34th St . hotel eastbound side busy , two - way street , 's driveway pull . order get car face right way front hotel valet park , need go around quite block , due turn restriction . valet parking cost $ 55 24 - hour period ; mistakenly trust $ 34 rate see Expedia . unexpected expense basically wipe saving able eat breakfast room , mean stay probably expensive would comparable property offer self - parking . room ok -- clean , decently sized , well - insulate outside noise despite 4th floor . bathtub drain not work properly ( ankle water time finish 5 - minute shower ) , hotel - provide hair dryer trip ground fault interrupter bathroom outlet repeatedly try use . eventually , GFI button would not even reset , try use hair dryer kitchenette outlet , thing happen . kitchenette fine , nearly full - size refrigerator , gas range microwave , although think 's kind cheesy charge coffee supply use in - room coffee maker , something ' ve never see even chain motel . fortunately 's Dunkin donut literally right outside front door hotel ( surround neighborhood offer bounty shop casual place pick something eat ) . fitness room clean well - equip . due issue room final cost stay , continue seek suitable property future trip NYC . 
 Sep 16 2009 	 Amazing 	 New York many time stay well ever . hotel location 5 * ( close subway , bus stop right outside ) . kitchen great , deli next door get grocery need ( plenty restaurant close not want cook ) . view room amazing ( 36th floor ) . staff wonderful , attentive , friendly & amp ; helpful . Room & amp ; hotel clean 
 Sep 13 2009 	 convenient great location ! 	 great place ! kitchen convenient . location 
 Sep 13 2009 	 great hotel great location great service ! 	 travel NY 4 friend holiday , first time ever , spend lot time search central well review hotel . look reasonable room rate , hotel central nice stay friend , couple lady like luxury ! IMPRESSED . two block Empire State Building , excellent reception concierge service could not enough help we , even recommend bar restaurant , spacious , comfortable well decorate room - really can not complain anything , fact would happily stay go leisure business . not make use hotel 's leisure dining facility , busy many good restaurant around hotel 's area . if , like , look hotel reasonable cost - wise , fairly central ( easy brief subway cab journey part New York ) , good quality room service , place choose ! one tip - room amazing view Manhattan - worth request check available extra charge ( one standard & quot ; 2 bed studio & quot ; room amazing view , look onto street , not mind ) . 
 Sep 10 2009 	 good location 	 stay affinia dumont 5 day , good location , subway & amp ; food store nearby , not far walk empire state building time square . staff friendly except 1 occassion ask concierge direction use subway get we open tennis , look friend disgust know get . corner room good view city , room clean every day , small kitchen ideal however kettle available make hot drink , use microwave heat water , bathroom bite small size adequate , use gym nearly every day.friend ask go christmas , would deffo stay hotel .... 
 Sep 9 2009 	 NYC place want stay . 	 first expect big let , hype TA bracing disapointment . as soon walk greet smell fresh flower . everyone super friendly helpful . we get 1 bedroom studio 333rd floor . the view Chrysler building night well glimpse Times square awsome . the room large bathroom large also . we take advantage kitchen . would eat large lunch bring leftover fridge . you block subway unlimited subway card bolt room really quick put food fridge . the housekeeping great good job clean junk kitchen . we would go Duane Reade stock Cokes . we would also buy bottle water freeze next day NYC would cold water cheap drink . I take small backpack I . if need snack Murry Market next door well salad sandwichs price . I back NYC stay Affinia Dumont 
 Sep 9 2009 	 Superior Service 	 not expect much ... not going spend much time room , need place sleep , would stay ! really impressed hotel . service superb ! doorman always ready open door hail cab we . concierge even ask bring shopping bag ! front desk helpful well . our room kitchenette , clean everyday dish ! bed super comfortable even pillow menu allow pick kind pillow want ! New York , room huge stay not pricey . 31st floor great view river . complaint room intense pressure showerhead not big deal . location great ! really close Empire State Building fantastic shopping ( Macy be especially ) . walk everything ! great market full fresh produce close hotel save money breakfast . hotel also spa not try . would recommend since price pretty . find something cheap elsewhere . 
