beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Nov 10 2008 	 lovely hotel / ignorant guest 	 stay 2 night 7/11/08 . blind lady learn difficulty . arrive hour early check see chance get early . room ready staff apologetic . go walk arrive back 1.50pm room still ready say problem say would seat till room ready . staff really nice relation manager come see we nice say room ready 10 min would come take we . back within 3 min take we room proceed show we work everything ask anything else could get we ? not still leave we direct number case anything think . go later dinner shopping return fruit basket bottle water compliment hotel trouble early . anytime go reception desk stay know name always go way speak client . lovely staff beautiful room gripe arrogant guest think could treat staff like [ -- -- ] . push past client not quick enough ! 
 Nov 7 2008 	 okay luxury 	 choose hotel look super website conveniently locate everything want weekend . it tuck away behind Piccadilly traffic noise thankfully muffle . parking bit problem do not car jockey hand , eventually find somewhere suitable . the reception area hotel glamorous website predict still pleasant room exactly expect , clean comfortable . shower room small functional . the staff polite except return Sat night 2300hrs . refuse entry bar , even resident , call last order . do not choose eat hotel plenty good restaurant cafe 's nearby . 
 Oct 18 2008 	 Lovely Hotel pity guest ! 	 stay hotel 1 night family . check speedy , large room 2 King Size bed , spacious hotel room ever see ! 2 bathroom , one bath shower also incorporate walk wardrobe shower . room fairly clean although marble area around bath shower could done good clean . we order room service rushing get ready event not time eat lunch , overprice standard quality probably expect London Hotel . room face side hotel look trendy London restaurant Nobu . lot paparazzi outside tell pake pic cast High School Musical eat Nobu . we settle comfy bed good night sleep awaken 3.15am drunk guest ( see 3 hour early hotel lobby ) think room persist ring door bell 10 minute answer . needless say happy , apology rude man not fault Hotel . go breakfast next morning ( include room price ) breakfast choice cold buffet hot cooked breakfast . go buffet , muffin , pastry , cereal , cold meat , cheese , toast available . breakfast lovely except table man sit behind we business meeting ask refrain use bad lanauge child table . , would stay know 3.15am visitor not premise ! 
 Oct 13 2008 	 quiet 5 star hotel 	 husband look forward romantic getaway weekend London 5 start hotel . check specifically ask quiet room view . take room 828 tell top floor hotel . the room look onto wall building next door . carpet wear stain tub bathroom . wonderful dinner James Street return hotel fall asleep around 11 pm . 2:30 peace quiet 8th floor shatter loud trance music come penthouse suite 9th floor . one point music become loud closet door rattle frame .. husband promptly call night manager say receive complaint way . music stop 10 minute start continue 7:15 sound like guest another room bang ceiling quite loudly . go back sleep ( night ) get late start day sightseeing . immediately upon enter lobby morning seek day manager explain horrible night . proceed ask night manager call check back we offer move we different room say never hear night manager . also state policy hotel quiet 11 pm guess apply guest penthouse . day manager call penthouse & quot ; fine room & quot ; . much everyone else peaceful enjoyment ! ! due lack sleep , return hotel 3 pm take much needed nap promptly disturb housekeeping supervisor ask room properly clean . proceed check every room hall - let door slam every room ! half hour later mini bar crew come room restock slam every door ! ! ! quiet request ? ? ? day manager provide we complementary fruit tray bottled water dinner two hotel restaurant - only demand compensate horrible experience . stay wonderful 4 star hotel London well experience . nice place , need ( need room 826 824 ) outweigh highroller penthouse . 
 Oct 8 2008 	 Amazing ... 	 book see Billy Elliot musical , think would nice indulge little London , hence May Fair . I say everything expect whole lot ... 
 Oct 7 2008 	 lousy service . five star hotel 	 lousy service front desk . five star hotel . change room put we quiet courtyard room reserve . hotel fully book compromise small room . hotel full noone really care . 
 Sep 5 2008 	 Great Location 	 stay Raddison Edwardian Mayfair hotel long weekend ( friday Monday ) celebrate wedding anniversary . I select hotel due 's Central Location . also close Green Park Tube station , 3 tube line , make really easy access rest London . although hotel classify 5 star , would describe good 4 star hotel base previous experience . not see negative , price pay via Lastminute.com ( £ 120 per night ) still cheap majority central 4 star hotel . the bedroom quite small , normal central London , not spend much time hotel room anyway . the design bathroom cause problem , try cram much small floor area . bathroom seperate Bath shower , result Toilet cram corner next sink , sit angle enough room leg directly front . may seem like minor thing , one home comfort care ! ' m sure room similar bathroom layout . all would reccommend hotel clean perfectly locate staff deal friendly helpful . 
 Aug 20 2008 	 Top Class Hotel 	 stay week never 1 complaint make . hotel pretty much full entire stay service excellent . may Ritz Four Seasons 5 * standard pay rate . modern 5 * hotel . stay Superior Room good size London standard , facility excellent , Bang & amp ; Olufsen tv , iPod Docking Station , Marble Bathroom , tv Bath , Table Stairs , ample wardrobe space . second floor overlook restaurant Nobu . celeb spot entire time , well spot fabulous car . breakfast worth £ 22.50 include package . buffet continental breakfast , order hot breakfast , full english , gammon & amp ; egg , kipper , etc . would return tomorrow go back London . location amazing , well ever . close everything . literally walk Oxford St / Bond St / Kensington / Covent Garden , etc , 15min . tips:1 . get tube airport Green park station less 1 min walk hotel.2 . book thru hotel website , good price tend give first preference . 
 Aug 13 2008 	 nice location 	 travel elderly parent . room balcony nice , careful bathroom . shower area slippery ... open type concept , handrail grab bar shower bath . bathroom suit elderly . , lovely location , excellent staff , great breakfast buffet . would stay , bring & quot ; flip - flop & quot ; wear bathroom traction . clean friendly . step underground , bus tour bus stop . 
 Aug 5 2008 	 Liked May Fair 	 May Fair good hotel fabulous neighbourhood handy tube connection . tube station Green Park 1 minute hotel . huge hotel service concierge , reception etc good . bedroom ( superior king ) small enough confortable . trouble TV however , rectify . quite noisy late night inside hotel people return room hotel full Sat night . Sunday night much quieter . Air Conditioning would go 19 degree like cold room , be really option . apart , location great , place clean extremely comfortable , service good . get good deal hotel 's website week advance even well . 
 Jul 16 2008 	 perfect location ! 	 hotel perfect location London . within walking distance Buckingham palace , Green Park , many wonderful restaurant . restaurant name Nobu across street hotel . two restaurant , also bar play great music , great drink , slow service . room nice clean . downside shower . curtain door , half glass door make huge mess water floor , careful fall get shower . also clock room , phone clock across room . 8th floor , big window can not open , time noise make sound window open . 
