suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Jul 8 2009 	 Good Great 	 first arrive greet front desk clerk not seem happy . ( never understand people Customer Service occupation could terrible attitude towards customer ) anyways , room clean , bathroom small , good price guess . disappointed get ask ... ask Non - smoking room specify special instruction section please make sure smoke smell . unfortunately , soon walk room smell like smoke ! mostly bathroom . overall good price , not think would go back smoky room . would recommend people not mind smoke need room sleep . 
 Jun 23 2009 	 need Strip everything close stay downtown ! 	 5 night stay 4 Queens GREAT . room not huge adequate Wife . room quiet , people beside we never hear noise . early sleeper , would suggest somewhere else Freemont experience plenty loud ' til around 12:30 a. M. would not recommend 4 Queens restaurant , waitress friendly staff not friendly . food , price fair 2 1 special . hotel easy commute airport Strip , honestly need Strip right outside door Freemont St. Great stay price 4 - 1/2 star overall package . 
 Jun 21 2009 	 great location - great price - favorite dealer ! 	 can not believe forgot review Four Queens stay last September . the wife travel LV wedding anniversary , know want stay downtown . search TripAdvisor , decide Golden Nugget , not room available full length stay . opt book Four Queens , ever glad do . we arrive get rental acr airport , valet take care bag park car . check breeze , get bit lose finding room . book room tower close Fremont Street , walk casino get elevator tower . path not mark well , manage run someone point way . find elevator first time , be easy find . we get room , place night lock opening hold door open valet . knock door minute later Security , wlke hallway see open door check make sure everything ok room . valet arrive minute later , also knock wait opne door come in . as other say , room huge , 's plenty not need spend lot time room . would like big chair sit , understand not one , could live without . bathroom could big , , work footprint old hotel building , make size bathroom . call ask extra towel pillow , arrive within ten minute without issue . room take care every day , sometimes within hour we leave room morning . we enjoy play many downtown hotel , El Cortez Four Queens two favorite . El Cortez Fremont Street Experience , find low table game limit . blast play four Queens . look casino classic , victorian - like decor . dealer teach play Pai Gow Poker , never understand , become addicted . also enjoy play Blackjack Roulette , play well . dealer name Junie pleasure . lose $ 100 table one night walk away laugh happy . seem want enjoy game , great personality . definitely look specifically return . we use rental car several day , decide get away downtown casino scene . visit Red Rock Canyon historic area , beautiful 13 mile scenic drive beatuiful scenery . next day go Valley Fire State Park , find not enough time see park . place absolutely amazing , arm 's length away 4000 year - old indian petroglyph . return Valley Fire Park , stunning . of course , can not forget Fremont Street Experience , free light show canopy cover six block Fremont Street . find watch watch leave gaming table go see light show . I highly recommend four Queens . go play , look Junie ... will blast ! 
 Jun 19 2009 	 get pay 	 employee grouchy look like somewhere well working . ' m sure nobody like work think friendliness part job . security look like President United States somewhere near , employee never look eye . maybe wrong week , ' m sure . stay Wynn Hotel October 08 employee treat royally . even Security guard post next elevator cordial day see . never stay Four Queens Hotel . many hotel Vegas choose , guess get pay for . Q 
 Jun 19 2009 	 4 queen poor choice 	 get good rate room small . enough room regular chair write table wood chair . room north tower bathroom small sit toilet shut door . carpet wear come unraveled bathroom 1/2 1 inch nothing except subfloor . the room bad wife would stay . know none we go room - play day can not stay place bad .... ask upgrade could go suite 4x much pay original room plus pay parking mention booking . I never book hotel . 
 Jun 16 2009 	 could good price - $ 29 per night 	 go sleep car one day friend drive awaken notice actually way Las Vegas . without plan reservation , decide find cheap possible room , hear $ 13 per night room Buffalo Bill 's . can not say would like stay far town , think something little close pricier would great . reach 411 see locate cheap room , transfer 866 - vegasnow ( 800 877 ? ) . operator give several choice well one Four Queens downtown . $ 29 per night , could not lose . room : bit dusty view . the casino : like other . the restaurant : like Dennys ! ( bad good , depend get ) bar : - not remember . bottom line : cheap reservation spot near downtown street renovate nighttime light show . spend $ 100 + per night , find deal strip . otherwise , go & quot ; fabulous Four Queens & quot ; ! 
 Jun 15 2009 	 everyone talk charge parking 	 check 4 Queens , tell front desk use parking garage , charge parking . they give & quot ; sign & quot ; put dash & amp ; go leave garage parking attendant see & quot ; sign & quot ; fill small piece paper . the use record & amp ; charge room parking . we stay almost 1 week . without exaggerate probably leave parking garage 20 - 30 time stay & amp ; never charge it . if stay hotel tell check parking car , $ 3 charge garage . 
 Jun 13 2009 	 good 	 get four QUENNS evry body nice romms nice cosy comftoble lot restaurant soy yo u play star ned leve hotel casino nothing 
 Jun 13 2009 	 great value location 	 stay Four Queens last time go Las Vegas love ! room comfortable clean love soft pillow , view room , flat screen TV 's . hotel perfect location downtown convenience downtown casino , shopping , dining . enjoy canopy keep heat we day . good luck 4q every time go ! really like try win keepsake coin & quot ; Silver Strike & quot ; slot machine . four Queens perfect anyone enjoy convenience downtown great value money . recommend four Queens anyone look comfortable , clean hotel great location ! 
 Jun 6 2009 	 great time - great value 	 4th time vegas ; 1st time stay downtown . regret stay downtown early . convenience nice .. elevator 10 stride be outside freemont street ! 5 casino within foot . stay $ 20/ night include taxis - book vegas.com . park $ 3/ day unlimited vallet . environment really relax earth . clean lady wonderful - take great care we . employee helpful/ courteous . use pool Binions Four Queens room key . elevator near Poker room 25th floor open til 7:30pm . great place relax ! watch scary people wander around freemont street 1AM , check - in people bite cranky . wait staff slow bring drink - even tip well . wifi $ 10/ 24 hour slow . 
 Jun 6 2009 	 Great Value Money 	 structure Old Vegas , room update upgrade comfortable , clean . Fremont Street location allow get walk casino / hotel , restaurant , gift shop , multi - screen theatre , etc . not want drive everywhere , plus . Strip eight minute away car . currently , Four Queens add small parking fee ( $ 3 per day ) , use parking garage . casino / hotels Fremont offer free parking , not mind small additional fee , since room comfortable . also hot water bathroom , something seem inconsistent among old hotel Fremont St. alone worth $ 3.We like well enough be book another four night , versus hotel slightly low daily rate . would recommend four Queens anyone , without hesitation reservation . 
 Jun 3 2009 	 Great Place stay 	 go Las Vegas couple time year since 1997 stay four Queens old Vegas . room clean , casino clean & amp ; fun , staff attentive remember we visit visit . everyone helpful question need anything . House keeping room make quickly day could hardly get breakfast back . great . food restaurant , really good & amp ; plentiful , reasonably price staff could ask well service . whole Freemont Street Experience something look forward time go . Nostalgia 's good . feel great past , much history . recommend friend family either go stay . 
 Jun 1 2009 	 Poor Front check - in Service 	 customer first impression front desk usually , besides valet perhaps . must say hotel poor job ! quite surprised since overall rating 4.2 ! first thing eld lady glass say , ' last name ' ? smile .. welcome feeling . ' m sure people train customer service , front desk provide well possibly time since first one interact customer . secondly , website , parking write everywhere free . think , drive / rent car , park $ 3 / night . want receipt indicate pay $ 3 / night parking , could give one . merely tell can not get parking lot without yellow pass permit could pay max rate . next time , would advise hotel inform everyone accuracy expect catch customer off - guard pay write everywhere be ' complimentary ' . 
 may 26 2009 	 great value close everything 	 great hotel price , stay 3 night , room first night bad thermostat ( think ) , cold night , change different room , smoking room odor . easy access casino , food , snake , fremont experience , etc . little far ( especially long weekend traffic terrible ) strip . kind surprise swimming pool hotel , goto Binion top floor use small swimming pool , little disappoint kid . wind blow roof make swimming pool extra cold walk street swimming gear & amp ; trunk make embarrassing . food cheap & amp ; good downtown , need take 10min find parking & amp ; walk 15min parking casino like big hotel strip . 
 May 21 2009 	 Nice Stay Four Queens 	 get home 4 night stay Four Queens Hotel Casino . first time stay downtown Las Vegas . hotel old show lot way , yet clean , housekeep good , always hot water shower , bed comfortable , coffeemaker room . room tenth floor Fremont street side build noisy evening last Fremont Street Experience show midnight , , still not bad . room not huge , adequate solo traveler . downtown lot different strip ( one thing , other note , none & quot ; porn - slapper & quot ; downtown ) . nice able walk short distance place , instead gird hike get anywhere downtown . person alone , set itinerary , problem get downtown strip use Sam 's Town shuttle . two stop downtown , go directly Sam 's Town . Sam 's Town go Harrah 's Riviera option mid strip north strip . shuttle never half full tourist like . prompt driver always friendly . would recommend downtown Las Vegas Four Queens anyone look less hectic ( less expensive ) alternative Strip . 
