lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Dec 21 2007 	 great value -- need deadbolt door 	 stay one night Gold Coast three night Mandalay Bay ( could not get flight ) . rate $ 28 rate can not complain . bed comfy 3 pillow King bed flat . lot hot water sink shower area tiny . complaint door dead bolt lock . hook thing push someone open door can not get way . feel secure . could hear noise hallway too . casino good . great watiress service pretty friendly dealer . check check breeze . also great ice cream place lobby good value . there also walkway Rio Palms across street . like say $ 28 night beat hang casino night wait early flight next morning . 
 Dec 18 2007 	 will back ! 	 stay Gold Coast Hotel Casino combination business / pleasure trip . 's thought -1 . Great Staff ! - straggle place midnight due cancel flight rebooking . front desk supervisor ( Jane Willey ? ? ) take look we without we ask , upgrade we suite four night stay ! thank ! ! ! 2 . room - okay ... needless say -the suite nice . lot room - clean - decent view city . two bedroom couple TV 's also nice ! 3 . gambling good . strip property notice lot people gamble strip hotel . low limit table game bit time find low denomination slot game give we lot action4 . food - Ping Pang Pong - Authentic Chinese . perhaps little authentic we immerse culture food . port call Buffet - Decent food - good price - else want ? Monterey Room - Good coffee shop with solid , middle road food good prices.5 . ConvenienceThe Palms Rio adjacent hotel easy enough walk . also free shuttle strip Orleans . find good gaming Orleans look like good property might worth stay at.6 . summaryhave never stay strip . Gold Coast 5 star property not pretend . however , look decent room good casino convenient connection - excellent choice . would definitely stay ! 
 Dec 10 2007 	 Great Value Hotel 	 hotel would hard beat value . love place . 's clean affordable really good funbook give check - in . exercise room good ' ve experience . casino well light , dark . drink service fast frequent table limit set afford . always rent car get strip surround area 's shuttle service available get strip well . be free run frequently . room always clean everything need . hotel locate across street Palms Rio hotel be alone fun simply walk across street . yes , fancy hotel strip cost lot stay play . ' ve stay room clean staff friendly . hotel not fail we yet . love great value perfect choice . 
 Dec 9 2007 	 Excellent buffet restaurant 	 allocate room hotel travel company organise tour . problem check difficulty find lift make way casino bar get room . the room good size two large bed , clean & amp ; comfortable & amp ; like separate washbasin & amp ; shower area . also like LCD tv . buffet restaurant well sign get well worth long walk casino - choice food huge & amp ; staff well organise & amp ; helpful . there free shuttle bus available get onto & amp ; back strip excellent service . we really enjoy stay hotel . 
 Dec 7 2007 	 decent clean good value yet plain 	 Gold Coast Hotel Casino W Tropicana Bl mile strip . be next Rio across street Palms . update room since stay ; decor could describe & quot ; early motel chic & quot ; . room clean , albeit date , mattress ready retire . however , $ 49 night week complain ? find daily housekeeping rather thorough complaint cleanliness room . bathroom ( separate vanity & quot ; closet & quot ; tub / shower - toilet room ) tiny ; be tall take shower go somewhat painful experience . underwhelme breakfast coffee shop ( soft - poach egg hard ) bar service excellent figure ' m generous tipper . Valet parking bargain tip extra couple buck insure will not wait 5 minute car . bellhop friendly pushy get luggage room fast . partook entertainment opportunity next door Rio , 5 minute walk Gold Coast . Front desk staff friendly efficient check - in check - out . much time spend room money well spend . ' m fan Vegas ( surprise friend birthday ) would stay needed . 
 Nov 27 2007 	 Value Money 	 stay hotel generally pleasant . housekeeper detailed room clean daily . bathroom small . heavy side , may want consider another hotel . food hotel good , italian Restaurant buffet also good . would recommend . stay next trip next year . 
 Nov 20 2007 	 room Awesome ! 	 wife love Gold Coast . plenty free parking ramp . rental shaded sun time . security patrol ramp . line check Friday afternoon , Nov 16th . upgrade King Suite top floor ( 10th floor ) check service personnel super friendly . room Awesome ! huge bedroom comfortable king size bed large armoir plasma tv , granite marble throughout kitchenette area bathroom , camelback sofa carve armchair living room also plasma tv . even small 15 & quot ; tv kitchenette . love little window shower . could see Rio Treasure Island open window shower . sure , casino smokey , take get use Minnesota pretty much outlawed smoke public place . drink service whole casino quick efficient . cocktail waitress circulate everywhere , include slot Keno lounge . eat Monterey Room twice . Graveyard special ( $ 2.55 complete breakfast midnight ) $ 10.95 t - bone special . receive excellent service time enjoy food . Fun Book receive registration several good coupon . gold Coast nice gift shop / liquor store reasonable price . definitely casino low roller , $ 1 chips/ $ 3 minimum roulette table $ 5 minimum black jack table . always full , Gold Coast popular local out - of - towner alike . stay strip last time go Vegas . stay off - strip well . nobody push escort service card face , one selling time share show ticket . take free shuttle strip Friday walk Paris Wynn stop casino east side strip . need . Saturday night take free shuttle Orleans . really enjoy Orleans . walk Rio breakfast Saturday morning check Palms across street Saturday night . Rio nice , palm little swanky taste . Gold Coast surprise check - out . express check - out bill $ 0.00 . 
 Nov 20 2007 	 good place stay 	 Gold Coast good choice stay strip , room clean spacious LCD tv want tv , quick check inand check polite staff , use port Breakfast good especially omellete . transport provide strip every 15 min thatfar walk especially breakfast would stay 
 Nov 18 2007 	 Loved Hotel 	 well folk Hotel fabulous , great friendly staff , clean , absolute lush room LCD Screen tv Set , great location far strip , FREE SHUTTLE BUS fro hotel strip back whatever time wish get back , hotel unique , opposite palm hotel playboy bunny , flamingo road , walk strip would take less 20 minute , shuttle less 5 , hotel room depend , could see Stratosphere tower , great gift shop , restaurent good , cheap aswell , slot good , seattle coffee shop , will not find well hotel strip .... 
 Nov 14 2007 	 Gold Coast meet need 	 spend two night Gold Coast . find serve need meet expectation $ 70 hotel Las Vegas . check staff , Gaming Staff , Room Staff Valet staff friendly accommodating . room clean not expect & quot ; view & quot ; . buffet good anything ever find strip . not believe find well hotel price anywhere Vegas . give hotel poor rating either hard please expect much Las Vegas . would call & quot ; blue collar & quot ; hotel . kind place . 
 Nov 9 2007 	 smell smoke ... 	 spend one night Gold coast Hotel , book double queen room week advance 84 $ ( plus tax ) , without breakfast . hotel easy find highway parking free premise . when check - in lot trouble , staff help solve : first , give room book three night instead one , charge correspondent amount ( four time high expect ) . , even reservation non - smoking room , staff give one strongly smell smoke : moreover , bathroom fitting burn , several ashtray . also , staff give alternative room complain it . in term cleanliness , room ok excellent . furniture little old , less suitable aim . corridor , however , clean surprisingly without control entrance : since gate casino area ( open external people ) seem good think term security . the casino area unappeale . chance , hotel offer free shuttle Central Strip Las Vegas , wait 45 minute instead 15 minute declare . 
