Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Oct 18 2008 	 practical clean 	 find hotel clean , efficient service , fun , earth type neibhbourhood . perfectly locate safe part town , kinda family orient much businesslike well . dry cleaner , grocery , subway , bus downtown bus crosstown right block hotel - helpful commute gorgeous City countless historical building museum . hotel practical people would enjoy fridge , coffeemaker microwave ( coffee delicious supply ) . hotel super clean , bathroom shine bed make time . 
 Oct 18 2008 	 excellent price 	 friend stay 3 night , room spotless ! bug ! friendly staff , quiet safe neighbourhood , foot 96th subway stop , bus run along broadway , close central park , close everything , restaurant , shopping , 24hour restaurant . would definitely stay , room little small sufficient purpose . 
 Sep 30 2008 	 great budget hotel 	 always search decent accommodation New York City price will not bankrupt , reserve twin room $ 200 night ( consider inexpensive New York standard ) . look tiny photo Website , review site good decide try . much delight , twin overbooke arrive get upgrade double room , normally cost $ 100 . double bed instead twin , even though small certainly large twin room , enough space move around without feel claustrophobic . room desk , microwave , fridge , flat - screen tv mount wall nice toiletry bathroom . mattress comfortable everything clean . staff friendly return hotel check leave luggage early day , bag bring room right away . since budget hotel , not typical amenity large place like on - site restaurant gift shop ; however , New York thing doorstep really not matter . two computer lobby pay use . ' m sure would not quite happy small room ( probably would not lucky enough get next time ) , would stay reasonable price clean accommodation . 
 Sep 28 2008 	 love room gang Newton 	 husband 's fourth stay Hotel Newton since 2002 . sister Gayleen husband come , third trip , love also ! Emilio book room always get room ask , never problem . husband love talk baseball . staff Newton well . friendly , helpful question . Alex , John Emilio one know behind desk , other great , sorry forget name . Humburto ( sp ) front door pleasure . always smile face come go . sure make we feel welcome . the hotel room spacious , affordable , always clean spick span . ( Tip maid , great job ! ) Plasma tv , coffee maker , great shower area , sit room another tv , AC work great . always get suite one two sister come along . 2004 , husband Toc 3 sister , Joleen , Colleen Gayleen husband Greg two room 9th floor . old sister 50th birthday love room staff . still need get Dorleen Arleen ... location upper west side , quaint neighborhood stroll around , go block west river east central park . plenty shop restaurant galour ! head action take subway right street south street seaport , times square , trade center etc , .thank Newton ya fine job ! see ya next year ! Kathleen ! 
 Sep 24 2008 	 good hotel complaint .. save money 	 good deal price LOCATION , friendly , helpful staff .. room clean , rm 502,503 view broadway .. nothing see car .. quiet , safe area , , rite aid close , mcdonald 's nite snack . Sept 2008 visit , 4 adult 2 room , .. save 500.00 - 600.00 stay instead Sheraton Park Central . Newton hotel ideally locate main subway line 96th Street . express Brooklyn bind train take heart Times Sqaure minute . would stay .. look many site , disappointed pick .. 
 Sep 18 2008 	 Loved facility location 	 despite hiccough book confirmation , staff great keep date even arrive . room faciliaite great 2 queen bed , small kitchen area ( microwave ) bathroom wetroom area . the hotel ideally locate main subway line 96th Street . express Brooklyn bind train take heart Times sqaure minute . 
 Sep 17 2008 	 Happy Newton 	 stay Newton four night settle daughter Columbia University . three subway stop actually walk distance ( mile half ) . room overlook Broadway much traffic night noise problem . everything clean , en suite bathroom modern clean . Prompt thorough maid service . desk staff friendly helpful map , advice , direction etc . quick subway ride Times Square etc sightseeing bus stop right outside . great budget ( although budget end August ) hotel frill . complaint . make stay excellent Key West Diner next door serve good reasonable breakfast great service . offer room service hotel although not try . interesting restaurant find close Amsterdam . 
 Sep 16 2008 	 Perfect ! 	 arrive Newton Hotel , staff great , particular Alex Humberto ! get upgrade suite could not happy ! member staff friendly helpful constantly go way make we feel welcome ! subway station right door step part main subway line Manhatten ! would definetly reccommend intend return ! 
 Sep 4 2008 	 not get want Newton 	 Hotel Newton offer good value , good location , reasonable rate NYC . be book . not get room book , even follow email verify guarantee reservation . I specify junior suite , guarantee one , first night tell none available , give double queen substitute , $ 25 discount . the air conditioner really loud , noise Broadway below . grant , able move junior suite second third night stay , quieter , although air conditioner still loud . I need return Upper West Side mid October , will not chance Newton . bite , twice shy ! 
 Sep 2 2008 	 terrible hotel careful ! 	 book Newton partly good review site . mistake ! arrive late night train connection staff use opportunity put bedroom nobody could left hotel look another would accept ! despite call ' twin ' , absolutely tiny . bed one person room move . also look disgusting ! complain night staff say could nothing problem would sort morning . morning come , course , turn rather difficult solve ... end , ' upgrade ' normal size room add huge amount daily rate ! would never choose hotel rate charge : expensive 4 * hotel elsewhere city . convince scam possibly one repeat customer past future . say careful book hotel try avoid . 
 Aug 22 2008 	 could not happy 	 family 's third stay Newton last four year . hotel provide terrific value money , room large ( especially NYC standard ) clean , staff helpful , location ( upper west side , right express subway stop ) far enough downtown relatively quiet , yet express subway two stop Times Square . price go since hotel complete renovation last two year , hotel still real bargain . drawback ( be small one ) one elevator , slow . 
 Aug 13 2008 	 nice budget hotel 	 Excellent budget hotel expensive city ( hotel price .. ) .very clean , problem frequent work elevator . great advantage 's location ( next Central Park metro station ) .definitely , recommend 
 Jul 31 2008 	 Loved Hotel 	 wonderful little hotel staff helpful room clean . think hotel room NYC small . definitly stay ! 
 Jul 18 2008 	 bad get discount rate line 	 room small , wee bit big cruise ship room . bathroom ( private ) nice . coffee pot walk across street either McDonalds Starbucks morning coffee breakfast ( offer breakfast ) offer newspaper free . buyone outdside . get room 2 night , tax $ 378 2night . would pay room . would worth .. window a / c loud , turn tv loud hear a / c noise . get hotelscheap.org stay 2 night big deal . 
 Jul 17 2008 	 nice little hotel ! 	 great little place stay . review say , great location , clean , friendly staff , quiet neighborhood Key West Diner delicious ! ( try homemade veggie burger ! ! ) also find nice little jazz bar street block . issue book Hotels.com ! make reservation pay room two double . check hotel room one double two twin fine . try many time get credit Hotels.com hung time call ! ! ! advice book directly hotel - rate not much different know get ! would stay heartbeat ! ! 
 Jul 6 2008 	 good location good price 	 niece recently make first trip NYC stay Hotel Newton . price ok . staff pretty friendly , get well room expect ( book ! ) price . although room face street , noise level not bad . hotel locate next great small restaurant , Key West , great breakfast . 96th subway station step away get Times Square less 10 minute . would stay ! 
