great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Jul 4 2009 	 disappoint Hilton GVC . 	 return two night stay property say ' m disapointe . first impression # 1 : property near anything . technically , Strip . , Westward Ho , Stratosphere , ' m sure thing mile north . 's technically strip , far anything fun . can not good restaurant show within good mile half close casino ( Sahara , Stratosphere , Rivera , Circus Circus cheesy . property relatively close monorail ( couple block back side Sahara ) , be still far convenient . plus , going add another $ 8- $ 12 per day stay depend monorail usage package . course , cheap cabbing everywhere . location really awful want leave property . course , part fun Vegas go fun . not want get see Vegas , even ? maybe location ok convention traveler . first impression # 2 : check , front desk attendant not even look . seem cold impersonal . ask i d credit card . take license wallet take like two second find credit card , & quot ; need credit card , sir & quot ; . um , would look , would see already hand give . kind rude honestly not expect Hilton property front desk attendant . service property hit miss . would say maybe third worker seem nice would greet hall . other , really much . overall , warm feel anyone . first impression # 3 : check room . studio Tower 1 , guess wish would read review first . room tiny . small bath , pretty tight way around . , hit bathroom . make . little poop mark toilet pubic hair rim bowl . wife goes use shelf bathroom vanity find cover dust . paint peel along ceiling bathroom . honestly feel like stay old Travellodge something ( hurt name reputation ) . suppose Hilton property . fourth impression : upon return hotel first night , stop security ask see room key . guest walk straight street , right get stop . return nice dinner dress not like homeless people try sneak . understand always concern safety appreciate . , going stop people front door hotel , stop everyone . feel like criminal go hotel . fifth impression : be late be tired , hear neighbor like room . ' m sure be across hall , likely connect door next room . wall ridiculously thin . neighbor not loud anything ; talk normal level . , wife could hear lay bed conversation room . all , pretty disappointing day first day ! day two : big sale meeting . offer room decent rate phone month back know wife plan visit Vegas anyway , think give good rate stay strip , quick look TripAdvisor , hotel seem rate pretty high take offer . part offer would need sit 60 - 90 minute sale presentation HGVC , would receive hotel voucher another night 's stay Hilton property $ 50 gaming chip . complete waste vacation time ! feel sorry anyone ever endure bunch bs feel even sorry anyone con buy one thing . the individual presentation ( wife high pressure sale guy , Chris ) start well enough little chit chat question past vacation annual vacation budget . , pitch . spend total $ xxx , XXX next 30 year vacation throw money away spend money today dee life could stay hotel would never stay ? Chris , sale guy , say 100 time , & quot ; sound great , not ? & quot ; Fact , wife finance degree work finance . little sale analysis ( show number ) many way . try get spend much new deed ( hotel ) be currently spend total vacation expenditure ( hotel + air + food + everything else ) . sale talk neglect time value money . really try avoid bring $ 1500 / year maintenance charge cost book , convert point , rolling point , etc . good two hour , still not give we cost . presentation suppose last total 90 minute . finally get cost ( something like $ 55k ) . oh really ? oh , finance 17 % ? 10 % ? oh really ? oh , today , $ 12k since be really try get sale end month . another 30 minute , get manager stop additional push . get we point be upset definitely buy right without analysis ( head little know number not even close work ) , sale guy Chris get mad , manager get mad pretty much stomp like whiney 5 - year old . course , get Relationship manager come survey thing go impression sale guy . course , relationship guy also try sell we small version plan even ridiculously expensive option try plan year . say ( 500th time ) . , get send reward center pay we crummy reward sit hell . get game voucher Hilton . fortunately , already pass monorail , really long walk Hilton . plus , give chip ; can not give cash . well , not give another dime wife bring chip back cage get cash . ridiculous amount work try get $ 50 sit 3 hour hell . one note value point : HGVC deed sale ebay right current bid ( 2 day leave auction ) 1/10th cost offer receive . I could go bad deal financially anyone . please contact question this . finally , get do presentation . apologize wife 100 time stay property put hell . point almost get walk . feel bad place . anyway , rest stay go without incident . pool tight , ok . workout room nicely equip , way small usage . little gift shop make nice sandwich , price unreal thing . hard lime drink mark $ 4.95 bottle actually wrong $ 6.00 . pool bar make decent cocktail . bathroom properly clean second day . all , place Holiday Inn Express Hampton Inn Hilton opinion . it possible good review people stay tower 2 . bring we tour unit nicely equip . big one two bedroom unit nice compare little dirty room . either way though , location suck , service pretty cold impersonal , room arrival dirty , wall thin . can not imagine anyone would ever stay . never could nenver recomment anyone . 
 Jun 22 2009 	 Great Week HGVC Strip 	 travel Ft . Lauderdale 8 people include kid , week June 13 June 20 2009 . HGVC accommodate , hook we new tower , close elevator high floor adjacent room everything request . friendly front desk . lobby beautiful circular pattern two level staircase lead plentiful Marketplace , gym active lounge wide screen tv pool ping pong table . easy access ample pool area two pool several hot tub , hotter other . get 4 - 6 chair pretty much everyday get pool 9 day . 2 bedroom suite clean well decorate spacious 4 - 6 people offer free wifi , large flat screen wonderful Bose sound system enjoy loud everyday without ever complaint . kitchen clean large useful gadget . bathroom good size water shower little erratic temperature tp could upgrade , easy trip CVS next door take care . bed pillow extraordinarily comfortable , impressed . tv full range channel also flat screen bedroom . bedroom well sound proof living area bathroom . parking garage build whole property eventually 4 - 5 tower currently quite walk current tower car park 4th floor , valet may worth extra 5 buck day call ahead . bell staff great , helpful friendly . elevator fast readily available . pressure time share people . bar pool get busy somewhat understaffed prepared . location surround construction right loud dusty make quite walk anywhere go except CVS right next door . I write think ... 
 Jun 20 2009 	 Great Casual Long stay 	 great place stay Vegas . live near Vegas life stay tend push away usual noisy casino . complaint . like dish , fork knife refridge room . go store stock food conveniently live room without room service etc ... one day hang , order lunch nice italian restaurant unable eat food due uneasy stomach ! take doggie bag food back hotel , put refrigerator . recovery nap able take leave over , put microwave provide , eat food plate silverware provide – rock ! ! ! easy convenient ! pool barbeque anyone use . bring meat cook ! ! cool ! pool nice Jacuzzis excellent . hotel store ( ' want go local grocery store ) buy food room . like . drive , Self Park , save 5 buck day . like stay . location , bit strip , however , new hotel build near stratosphere , near hotel . fasion mall near hotel .. mall excellent shop ! ! staff friendly . internet excellent free . take taxi , 10/15 buck get main area . never expensive year back . get daily rail pass 13.00 person . cross Sahara hotel get rail main area . all great escape main hotel . resort , casino hotel . also note , get Hilton membership card point automatically convert virgin air mile ! ! ! 
 Jun 18 2009 	 Buyer Beware : big difference one bedroom suite 	 let start say stay past . Hilton Platinum typically receive room upgrade and/or breakfast . past ' ve stay one bedroom suit nice kitchen separate bath shower . this trip book & quot ; studio & quot ; . say different typical Motel 6 , ' m serious . small , word cramp come mind . hotel maybe 50 % capacity , although check - in person really nice although bit clueless keep say lot people HGV stake stay . guess HGV membership one bedroom suite , sure 's good place stay . otherwise , current offer available strip would stay again . locationa previously mention , location strip bit although walk Sahara casino want gamble . cvs within 3 minute walk get snack , drink , etc .. bring back room . CHECK - inthe check - in slow consider 3 people check guest 2 people ahead line arrive 8:30pm . take 20 minute . know trouble woman checking say great room tower 2 , stay past , sad & quot ; h actually available , another great room tower 1 . & quot ; get room awful , appear room remodel , ask check - in get remodel room . rooma note big difference one bedroom suite nice studio awful . need update . neither room flat screen tv . otherwise , clean , nothing & quot ; fancy & quot ; .NOTE : casino property like work distraction free lobby . 
 Jun 13 2009 	 Awesome place stay 	 hotel , casino . really great staff , room clean provide great value mo.ney . close Vegas land mark . would visit . 
 Jun 12 2009 	 awesome city awesome hotel 	 although hotel lack spice hotel Las Vegas nice place stay . two bedroom suite perfect we 3 traveler . hotel casino restaurant situate strip far action . pool area gorgeous climate November beautiful ! would definitely stay . 
 Jun 1 2009 	 nice getaway - action 	 husband stay part timeshare presentation package . decent hotel , certainly one blow sock away , nice enough . pool great . plenty seat spot sun ( though weekday , might busy weekend ) . room nice , clean , adequate . housekeeping leave bit desire second day around , , enjoy room . do not expect right heart action . know arrive , Strip many time . 's monorail run day accessible Sahara ( across street hotel , 5 minute walk ) take big casino . good place go want quieter part strip , not mind walk get casino , okay pool bar sole source quick eat ( otherwise , leave hotel get food ) . mention love pool ? : ) 
 May 28 2009 	 Hidden Gem End Strip 	 vacation Vegas week . start stay Bellagio , move Hilton Grand Vacations Club strip RCI ( plan ) . Believe , like much Bellagio . not walk mile get room . suite quite roomy comfortable . nice size kitchen , dinette , small den , fairly small bathroom bedroom , King size bed . the pool wonderful ! little bar grill pool . small deli / coffee shop / store extremely overprice food . however , coffee tea great ! cab ride main area Vegas strip cost we around $ 15 . discover wonderful diner call Peppermill , within walking distance . directly across street Stratosphere . pharmacy also within walking distance could buy much less expensive beverage snack take back room . the location heart strip , end . close enough comfort nice get away mob . cab plentiful never wait line catch one ! ( unlike hotel heart strip ) . staff friendly accommodating . no complaint . would highly recommend hotel . 
 May 27 2009 	 comfortable hotel casino good thing 	 stay HGVC strip May 8 May 17 , 2009 find great experience . stay previous year love much come back . room comfortable mini kitchen need fridge hold orange juice morning beer evening . toaster need make toast jam morning help stay away fatty breakfast buffet hotel . 's casino find good thing spend good part day Riv Bellagio . nice come back quiet place . pool good relax well . minor problem internet connection one day quickly resolve call phone number , charge , front desk gave give HGVC internet password . even though fair distance main strip , Duece bus stop often enough front hotel big deal . 7 dollar 24 hour bus pass , 5 dollar year go . CVS Pharmacy next door everthing need food , drink snack not need shop inhouse deli / store cheap open 24 hour . eat steakhouse Circus Circus twice stay awesome . big portion tasty . first time get doggy bag could not finish huge cut prime rib serve . first time ever happen . anyways , throughly enjoy stay HGVC Strip will go back every year . 
 May 26 2009 	 Best Suite Value Vegas ! ! ! not stay anywhere else . 	 stay many hotel Vegas year , work pleasure . well well , Suites hotel amazing . huge room , stylish , Bathroom huge , suite full kitchen , great living room Flat Screen tv . amazing value , transplant suite Wynn , Bellagio would hundreds dollar ! ! ! year suit less $ 200 night . Perfect Hotel non casino need vacationer . 
