Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 Oct 6 2009 	 perfect Honeymoon Vegas 	 stay Hotel first 3 day honeymoon . choose property affordability suite . book regular suite upon check upgrade V Suite Mountain view . hotel staff friendly able check 9 am instead wait 3 pm , great way start trip . suite great . half bathroom , living room desk plasma tv . separate bedroom another Plasma tv gorgeous ensuite bath double granite vanity , stand shower , great soaker tub , water closet third plasma . the v suite bedroom window nice touch . thing lack room mini - fridge . we do not maid service , can not comment . use room service due cost . purchase coffee first morning hotel lobby cafe $ 4 , coffee not good would recommend go Shops Mandaly Casino Starbucks . the beach pool area beautiful . clean busy afternoon hung . lot lounge chair , closely packed together , would enjoy lounge chair full . bring beer beach beer price expensive , pick case convenience store across street Mandalay Bay . eat Beach Bar Grill lunch quite good , big portion quick service . the casino always great , clean , smoky . take advantage Players card perk . morning great time play table minimum much low night not nearly crowded . long gambling waitress always close would get whatever need - usually tip $ 1 drink much people . we would stay Mandalay Bay Hotel heartbeat . location south end strip we great . see Carrot Top Luxor next door Zumanity New York , New York 3 hotel . definately central strip location want walk around plan perfect ! 
 Oct 5 2009 	 * * please Read - not Believe Negative Reviews * * 	 stay Hotel 9 night husband group 8 friend celebrate 40th birthday . last time Vegas , stay Luxor good idea far south strip Hotel actually . lead booker trip starting become quite anxious negative review post . WORRY ! care Hotel entrance inside parking garage - time spend get & amp ; taxis bother much , get drop Mandalay Bay entrance & amp ; walk casino ! queue check ( suppose depend many flight come ) check - in staff pleasant . 10 we either upgrade ' v ' suite give comp spa pass . imo ' normal ' suite ( call normal ) much well storage space upgrade suite . queen size bed 2 double wardrobe , 2 large set drawer next bed separate storage area shelve drawer ( safe ) tv . friend ' v ' suite 1 double wardrobe & amp ; 1 set drawer difference upgrade 2 corner window . hardly use lounge area re - iterate reviewer say , bathroom fab . bath deep could not relax like home keep sink ! toiletry top daily general room clean nicely every day . planning trip Vegas , please consider strip would actually like base instead write negative review location . hotel nice quiet relax place escape ' mad , noisy ' world Las Vegas . Taxi 's range $ 6 $ 20 depend go travel ' deuce ' double decker bus couple time 's another story ! negative point comment lack shady area / umbrella around pool . 100deg we could manage 2 hrs max around pool first thing morning ! please feel free contact detailed account not wish bore anyone full 9 day worth story ! 
 oct 4 2009 	 absolutely Magnificent stay 	 go Vegas regular basis love high end moderate hotel . stay Cesars , Bellagio Venetian / Palazzo several time . room comparable four , service little worried read many complaint snotty employee . everyone nothing nice , room beautiful super clean spacious . pool area , incredible although crowded . make social situation people shy like great , force speak around would never . pack like sardine beach . wave pool fun relax , lazy river fun make sure u take inner tube . casino pool great , restaurant . wish time visit SPA hear property excellent . also purchase day buffet $ 35 $ 40 Sunday . never use control buffet rush eat one time nice try especially length time . take look picture let know question . 
 oct 4 2009 	 thehotel ... Great Vegas hotel get right deal 	 regular visitor Vegas ( travel 4 - 8 time year ) , THEhotel Mandalay Bay probably favorite hotel resort great right deal . this time around arrive Saturday ( football season ) stay three night . book trip mid - August find rate $ 149 Saturday $ 89 Sunday Monday night thehotel website . put perspective , many time room ( suite actually room THEhotel suite ) , go $ 400 per night weekend $ 250 per night weekday . room suite , enter small marble hallway half bath . nice size living room sofa , chair , wet bar , desk large entertainment center plasma tv DVD player . bedroom king two queen bed , small sit area large entertainment / wardrobe closet ample drawer , hanger , safe 27 " flat screen tv . living room bedroom floor ceiling window view pool mountain one side strip other . there nice size main bathroom soak tub , large separate marble shower , large vanity two sink large make - up mirror separate room toilette . see negative review lately regard condition room property general . stay THEhotel Mandalay Bay least 8 time , always find room public area clean , well maintain staff attentive . ever 5,000 room , bind isolated problem come . stay every major hotel Vegas venetian MGM , Mirage Excalibur , THEhotel Mandalay Bay win award consistently maintain high standard quality . one good feature THEhotel pool complex . separate facility THEhotel Mandalay Bay Bathhouse Spa , everything else ( pool , casino , Mandalay Bay Spa , etc . ) share . the pool complex one large Vegas ( perhaps second MGM ) . hotel Vegas wave pool . also lazy river lagoon pool ( though large nice MGM ' ) , two standard type pool , private cabana pool ( accessible rent cabana ) , Moorea Beach Club ( adult pool , top optional woman ) pool reserve guest Four Seasons ( part three hotel make Mandalay Bay ) . word advice , busy weekend late April early October , pool area , especially beach , packed people . need get pool early ( open 9:00 ) get chaise . otherwise ' spend time look spot sit soak sun . if enjoy nice spa experience head Spa Mandalay Mandalay Bay . negative thing say thehotel bathhouse spa good spa . gym , spa facility ( steam , sauna , whirlpool , relaxation room , etc . ) fair poor condition last visit February 2009 . go Spa Mandalay completely opposite bathhouse . fact , would rate Spa Mandalay one good , good , spa Vegas . Caesars Palace may still hold number one rank ( ' spa Vegas " ice room " actually snow ceiling ) , Spa mandalay excellent facility great staff , ample gym equipment soothe surrounding . ' $ 30 per day three day discount available . as upscale Vegas hotel , ' wide variety restaurant bar club . get , strongly suggest House Blues Foundation Room . ' top Mandalay Bay arguably one good view Vegas . need invite guest Foundation Room member get , quiet , less crow night may able get bouncer elevator let . also MIX lounge , nightclub restaurant top thehotel view nothing like one Foundation Room . if question thehotel , Mandalay Bay anything Vegas , send email , ' happy offer opinion . 
 oct 2 2009 	 go Downmarket 	 stay thehotel least year five year . room hotel general beginning show sign age overall still quality establishment . maybe get old maybe economic reality crowd lower age class level steadily time . feel like & quot ; new & quot ; party hotel . the pool overrun herd dude girl appear still awake drunk night . could not find seat lie far corner 15 minute .. could barely hear shout BLARING gangster rap & quot ; let us get & quot ; . still one good pool around period , 's shame become unpleasant . know 's Vegas not expect French Riviera look place read swim without beer spill drunk guy swear friend splurge go Wynn / Encore . 
 oct 1 2009 	 good hotel room ever stay 	 partner trip Las Vegas look hotel online godsmacke , get great . unbelivably huge excellent ammenitie . swimming pool spa gorgeous . good range restaurant bar . the hotel room clean , complaint clean stole sweet ! 
 Oct 1 2009 	 Loved ! 	 lovely suite amenity ! 's even television bathroom ! 
 Sep 30 2009 	 Classy modern hotel plenty go ` ` Strip '' 	 stay 5 night last month whilst vacation . stay suite , large bathroom ever see hotel . separate living area nice , little dark , flat screen tv bedroom lounge . there plenty within Mandalay Bay complex ; numerous restaurant , large casino , aquarium Arena ( Franz Ferdinand / Green Day great ! ) .I would stay , warn , not cheap . $ 20 pot tea room service bit shock ! ! 
 Sep 29 2009 	 Fantastic end great trip 	 book first 5 night trip elsewhere present offer stay two night complementry decide give try last two night not think would ever try way . ( due mainly location strip fact non - gaming hotel ) stay free would definately pay stay . suite two Queen bed . suite 1.5 bath living room / office / bar area . clean , spacious airy . main bathroom fantastic separate toilet area double sink large deep bath separate glass shower stall . clean actually comfortable use tub ( something generally not outside home ) bathroom small tv mount wall could watch take bath kind fun ( wish home ) long would wanted bubble bath hotel provide bath salt use . mini bar fully loaded could not ' find price list hard look not touch anything . small shop close elevator thing would need anyway stop go bed get drink snack . staff accomodate accumulate lot luggage point trip bell staff bring polite accomodate seem intersted ask question go thehotel give advice show concert onsite . ask bellman far Mandolay Bay would going eat gamble laugh say right hall ( thehotel tower look far mandolay bay structure outside really hall ) . issue upon check realize leave spa bag contain bathing suit hairbrush ect . taxi call front desk ask advice ( never get bag back preoccupy note taxi company cab number something will never neglect ) front desk great transfer we lose find send phone book could call cab company . woman phone back little later leave message see get phone book anything else could help . small personal touch really make difference we . great two day wish could use pool not chance . would definately reccomend hotel family vegas space multiple TV 's would great child . hotel well walk distance would reccomend anyone 1st timer want get see strip might find long walk . also want mention use business centre print boarding pass free would need pay want surf web check email . also use room service comparable would find hotel calibre strip expensive limited quick state great quick breakfast flight . 
 Sep 28 2009 	 stand smell .... 	 although past stay TheHotel many time , become increasingly dissappointe last six month ( 3 stay ) . hotel lobby consistently smell foul visit different item within room work . time hairdryer ( take hour replace - hair look awful . wait hour blowdry hair ? ? ? ) remote control living area . not even bother ask remote fix since everything need take forever . yes , room nicely decorate , lack service , rundown condition many item work certainly meet minimum requirement hotel price range . move . 
